T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65536	0,65537	0	0
40	0	1,0000000003174E-5	0,65536	-0,65536
60	0	-0,65535999999999	0	-0,65536
80	-0,65536	0	-1,0000000003174E-5	0
100	-0,65537	0,65537	-0,65537	9,9999999960687E-6
120	-0,65537	1,0000000003174E-5	0	9,9999999960687E-6
140	-0,65536	0,65537	-1,0000000003174E-5	9,9999999960687E-6
160	-0,65537	0,65537	0	0,65537
180	-0,65537	0,65537	0,65534	0,65535999999999
200	0,65534	0,65537	0,65534	0,65537
220	0,65534	0,65538	1,3107	0,65537
240	0,65534	1,31074	1,3107	0,65537999999999
260	0,65534	1,31075	1,3107	1,31074
280	0,65534	1,96611	1,3107	1,9661
300	0,65534	1,96611	1,3107	1,96611
320	0,65534	2,62147	1,3107	1,96611
340	1,3107	3,27684	1,3107	2,62147
360	0,65534	3,27684	1,3107	2,62148
380	0,65533	3,27684	1,3107	3,27684
400	0,65533	3,9322	1,31069	3,27684
420	0,65534	3,93221	1,3107	3,27684
440	0,65534	3,93221	1,3107	3,9322
460	1,31069	4,58757	1,3107	4,58757
480	0,65533	4,58758	1,96605	4,58757
500	1,31069	5,24294	1,96606	5,24293
520	0,65533	5,24295	1,96605	5,24294
540	1,31069	5,24294	1,96606	5,8983
560	1,3107	6,55366	1,96606	5,8983
580	1,3107	6,55366	1,96605	6,55366
600	0,65534	7,86439	1,31069	7,20902
620	1,31069	7,86439	1,31069	7,20902
640	1,31069	7,86439	1,31069	8,51975
660	0,65533	8,51975	1,31069	8,51975
680	0,65533	8,51976	1,31068	8,51975
700	0,65532	8,51975	1,31068	8,51975
720	0,65532	9,17512	1,31068	8,51975
740	0,65533	9,17512	1,31069	9,17512
760	0,65533	9,83049	1,31068	9,83049
780	0,65532	9,83049	1,96604	9,83048
800	1,31068	9,83049	1,96604	9,83048
820	1,96603	9,83049	2,62139	9,83048
840	1,96603	9,83049	2,6214	9,83048
860	2,62139	10,48586	3,27676	9,83048
880	2,62139	10,48585	3,27676	9,83049
900	9,17511	8,51978	18,35032	7,20906
920	18,35034	7,86441	17,03958	9,17513
940	15,72884	10,48588	15,72885	10,48588
960	15,72885	10,48589	16,3842	11,14125
980	15,72884	11,14125	16,3842	10,48589
1000	15,72884	11,79662	16,3842	11,14125
1020	15,72884	11,14125	16,3842	11,14125
1040	15,72884	11,79661	16,3842	11,14125
1060	15,72884	11,79662	16,3842	11,79661
1080	15,72884	11,79662	16,3842	11,79661
1100	15,72884	12,45198	15,72884	11,79661
1120	15,72884	12,45198	15,72884	11,79662
1140	15,07348	12,45198	15,72884	11,79661
1160	11,79666	11,7966	4,5876	10,48585
1180	3,93222	11,14124	5,89833	11,79661
1200	4,58762	13,10734	5,24298	13,10734
1220	4,58762	13,76271	4,58762	13,76271
1240	3,93227	14,41807	4,58763	13,76271
1260	3,2769	14,41807	3,93227	13,76271
1280	3,27691	14,41808	3,2769	13,76271
1300	2,62154	14,41808	3,2769	13,10735
1320	2,62154	13,10736	2,62154	13,10735
1340	1,96618	13,10735	2,62154	12,45199
1360	1,96618	12,45199	2,62154	11,79662
1380	1,96618	12,45199	3,2769	11,79662
1400	1,96618	11,79662	3,2769	11,14125
1420	1,96617	11,79661	-3,93216	11,14122
1440	-6,55366	11,14124	-3,27681	11,14124
1460	-2,62142	11,79662	-1,96606	11,79662
1480	-2,62142	12,45199	-1,96606	12,45198
1500	-2,62142	12,45199	-1,3107	11,79662
1520	-1,96605	12,45199	-1,31069	11,79662
1540	-1,96606	12,45198	-1,3107	11,79662
1560	-1,96606	12,45198	-1,3107	11,79661
1580	-1,96606	12,45198	-1,31069	12,45198
1600	-1,96606	12,45198	-1,31069	11,79661
1620	-1,96605	12,45198	-0,65533	11,14125
1640	-1,31069	11,79661	-0,65533	11,14124
1660	3,9999999998486E-5	11,14125	7,20912	9,83053
1680	12,45213	9,17517	13,76287	9,83053
1700	11,14396	11,14128	11,79677	11,14128
1720	11,14142	12,45201	11,79678	12,45201
1740	11,14142	12,45201	11,14142	12,45201
1760	11,14142	12,45201	11,14142	12,452
1780	10,48606	11,79665	11,14142	11,79664
1800	10,48606	11,79664	11,14142	11,79663
1820	10,48606	11,79664	11,14142	11,14127
1840	10,48605	11,79663	11,14142	11,14127
1860	10,48606	11,14127	11,14142	10,48591
1880	9,8307	11,14127	10,48606	10,4859
1900	9,8307	11,14127	9,8307	10,4859
1920	9,8307	10,4859	10,48605	10,4859
1940	9,83069	10,4859	11,14141	9,83053
1960	9,83069	10,4859	11,14141	9,83054
1980	10,48605	10,4859	11,79676	9,83053
2000	11,1414	10,4859	11,79676	9,83053
2020	11,79676	9,83054	20,31658	8,51983
2040	27,52573	8,52066	30,14724	7,86448
2060	29,49187	9,17521	29,49186	9,17522
2080	28,83651	9,83059	29,49187	9,83058
2100	29,49186	9,83058	30,14722	9,17522
2120	29,49186	9,83058	29,49186	9,83058
2140	29,49186	9,83058	30,14721	9,17522
2160	28,8365	9,83058	30,14721	9,17521
2180	30,14721	9,83058	30,14722	9,17521
2200	29,49185	9,17522	30,80257	9,17521
2220	30,14721	9,17521	30,80257	9,1752
2240	29,49185	9,17521	30,14721	8,51984
2260	29,49185	9,17521	30,1472	8,51985
2280	29,49184	9,17521	29,49184	8,51984
2300	28,83648	8,51984	33,42407	7,20912
2320	39,3225	6,55378	42,59936	5,89841
2340	41,94399	7,20914	42,59934	6,55378
2360	41,28863	7,20915	42,59935	7,20914
2380	41,94399	7,86451	41,94399	7,20915
2400	41,28863	7,86451	41,94399	7,20914
2420	-53,73857	7,86452	41,94398	7,86451
2440	41,28862	8,51987	41,94398	7,86451
2460	41,28863	7,86451	41,94398	7,20915
2480	41,28862	7,86452	41,94398	7,86451
2500	41,94398	7,20915	42,59934	7,20914
2520	42,59934	7,86451	43,2547	7,20915
2540	42,59934	7,86451	43,2547	7,20914
2560	43,2547	7,86452	43,25469	7,20915
2580	43,2547	7,86451	43,2547	7,20915
2600	42,59933	7,86452	43,2547	7,20915
2620	42,59933	7,86451	43,25469	7,20915
2640	42,59933	7,20915	43,25469	7,20915
2660	42,59933	7,86451	43,25469	7,20915
2680	41,94397	7,86451	42,59933	7,20915
2700	42,59933	7,20915	45,87618	6,5538
2720	47,84234	7,20917	48,49771	7,20917
2740	47,18698	7,86454	47,84235	7,86454
2760	47,84235	8,51991	47,84235	8,5199
2780	47,18699	8,51991	48,49771	8,5199
2800	47,84234	8,51991	47,84235	8,51991
2820	47,18699	9,17527	47,84234	8,51991
2840	47,18697	9,17528	47,18698	8,51991
2860	46,53162	9,17528	47,18698	9,17527
2880	46,53161	9,17527	47,84234	8,51991
2900	52,42998	7,86457	55,70684	7,2092
2920	55,05146	7,86457	54,39609	8,51993
2940	53,74073	9,1753	54,39609	8,51994
2960	53,74073	9,17531	53,74072	9,1753
2980	53,74072	9,83067	53,74072	9,1753
3000	53,74071	9,17531	53,74071	9,1753
3020	53,08535	9,17531	53,7407	9,1753
3040	53,08534	9,17531	53,7407	9,1753
3060	53,08533	9,17531	54,39605	8,51994
3080	53,74069	9,17531	54,39605	9,17531
3100	53,74068	9,83068	54,39604	9,17531
3120	53,74068	9,17532	54,39604	9,17531
3140	53,74068	9,17532	54,39604	9,17531
3160	53,74068	9,83068	54,39604	9,17531
3180	53,08532	9,17531	53,74068	9,17531
3200	53,08532	9,17531	53,74068	8,51995
3220	53,74068	9,17531	53,74068	8,51994
3240	53,74068	9,17531	53,74323	8,51994
3260	53,08532	9,17531	53,74068	8,51994
3280	53,08532	8,51994	55,70678	7,86459
3300	55,70682	8,51996	55,70681	8,51996
3320	55,05145	9,17533	55,70681	9,17532
3340	55,05145	9,17533	55,70681	9,17532
3360	55,05145	9,83069	55,70681	9,17532
3380	55,05145	9,17533	55,05145	9,17532
3400	54,39609	9,83069	55,05145	9,17532
