T	LX	LY	RX	RY
0	0	0	0	0
20	-9,9999999960687E-6	-0,65537	1,31073	-1,31072
40	0,65536	-1,31073	1,31073	-1,96609
60	0,65536	-2,62147	1,9661	-3,93219
80	0,65536	-4,58757	2,62146	-5,89828
100	1,96609	-6,55366	3,27682	-7,20902
120	1,96608	-7,8644	3,27682	-8,51975
140	1,96608	-9,17512	3,27682	-9,17512
160	1,96608	-10,48586	2,62146	-10,48585
180	1,96608	-11,14122	3,27683	-11,14121
200	1,96609	-11,79659	3,27683	-11,79658
220	1,96609	-13,10732	3,27683	-13,10731
240	1,96609	-12,45196	3,27682	-13,10731
260	1,96609	-13,76268	2,62147	-13,76267
280	2,62145	-13,76268	1,96865	-13,76268
300	-0,6554	-12,45196	-1,9999999999243E-5	-12,45195
320	-2,9999999995312E-5	-12,45196	0,65534	-12,45195
340	-3,9999999998486E-5	-12,45196	0,65534	-13,10623
360	-0,6554	-12,45196	0,65534	-12,45195
380	-0,65539	-12,45196	0,65534	-12,45195
400	-0,6554	-12,45196	0,65534	-12,45195
420	-0,6554	-13,10732	-1,9999999999243E-5	-13,10731
440	-0,6554	-13,10732	-1,9999999999243E-5	-13,10731
460	-3,9999999998486E-5	-13,10732	0,65534	-13,10731
480	-0,65539	-13,10732	0,65534	-13,10731
500	-3,9999999998486E-5	-13,10731	0,65534	-13,10731
520	-3,9999999998486E-5	-12,45196	-1,9999999999243E-5	-13,10731
540	-3,9999999998486E-5	-12,45196	-1,9999999999243E-5	-13,1073
560	-3,9999999998486E-5	-13,10731	-1,9999999999243E-5	-13,10731
580	-3,9999999998486E-5	-13,10731	-1,9999999999243E-5	-13,10731
600	-0,6554	-12,45195	-1,9999999999243E-5	-12,45195
620	-0,6554	-12,45195	-2,9999999995312E-5	-12,45194
640	-0,6554	-12,45195	-1,9999999999243E-5	-12,45194
660	-2,9999999995312E-5	-11,79658	1,96611	-10,48584
680	1,31073	-10,48585	1,31075	-9,83048
700	0,65537	-9,83049	1,31074	-9,83048
720	0,65537	-9,83048	1,31074	-9,83048
740	0,65537	-9,83048	0,65538	-9,83047
760	1,0000000003174E-5	-9,83048	0,65538	-9,83047
780	0	-9,83048	0,65538	-9,83047
800	0	-9,83048	0,65538	-10,48583
820	0,65536	-10,48584	1,31073	-9,83047
840	0,65535	-10,48584	1,31073	-11,14119
860	-9,9999999960687E-6	-11,1412	0,65536	-11,14119
880	-0,65538	-11,79656	0	-11,79656
900	-0,65538	-12,45192	1,0000000003174E-5	-11,79655
920	1,96614	-11,14119	1,96617	-11,14119
940	0,65542	-10,48583	0,65544	-10,48581
960	5,9999999997729E-5	-10,48582	8,0000000004077E-5	-11,14117
980	-1,31067	-11,14117	-1,31066	-11,79652
1000	-1,96604	-11,79653	-1,96603	-12,45188
1020	-2,62141	-12,45189	-1,96603	-12,45188
1040	-3,27677	-12,45188	-2,6214	-12,45187
1060	-3,27678	-13,10724	-2,6214	-13,10723
1080	-3,27678	-13,7626	-2,6214	-14,41796
1100	-3,27678	-14,41796	-2,6214	-14,41796
1120	-3,27678	-15,07332	-3,27677	-15,72868
1140	-3,27678	-16,38405	1,31083	-15,72866
1160	4,58772	-15,72867	-58,98216	-15,72866
1180	4,58773	-15,72867	5,2431	-16,38402
1200	4,58772	-16,38403	5,24309	-17,03939
1220	4,58771	-17,69476	5,24308	-17,69476
1240	4,58771	-18,35012	5,24308	-18,35012
1260	4,58771	-19,00549	5,24308	-19,00549
1280	4,58771	-19,66085	5,24309	-19,66085
1300	4,58771	-19,66086	5,24308	-19,66085
1320	4,58771	-20,31622	5,24309	-20,31622
1340	4,58771	-20,31623	5,24309	-20,97158
1360	4,58771	-21,62694	4,58772	-20,97158
1380	3,93234	-21,62695	4,58772	-22,2823
1400	5,2431	-22,28231	8,51998	-22,2823
1420	6,55388	-22,28231	7,20925	-22,2823
1440	6,55387	-21,62694	6,55389	-22,2823
1460	5,89851	-22,28231	6,55388	-22,2823
1480	5,24315	-22,93767	5,89852	-22,93766
1500	5,24314	-22,93767	5,89852	-22,93766
1520	4,58777	-22,93767	5,24315	-23,59302
1540	4,58776	-24,24839	5,24313	-24,90374
1560	4,58774	-25,55912	8,51998	-26,21445
1580	13,10762	-24,90373	17,03989	-24,24835
1600	16,38455	-23,59299	16,38455	-23,59299
1620	15,07381	-23,59299	15,72918	-24,24835
1640	15,0738	-24,24836	15,07381	-24,90371
1660	14,41843	-24,90372	15,0738	-25,55907
1680	13,76306	-25,55908	14,41843	-26,21444
1700	13,76305	-26,21444	14,41842	-26,21444
1720	13,76304	-26,21445	14,41842	-26,8698
1740	13,10768	-27,52517	12,45229	-27,52517
1760	9,83334	-28,18055	10,48616	-28,18053
1780	9,83079	-27,52518	10,48617	-27,52517
1800	10,48615	-27,52518	10,48617	-27,52518
1820	9,83079	-28,18054	11,14153	-28,18053
1840	9,83079	-28,18054	10,48616	-28,18053
1860	9,83079	-28,18054	10,48616	-28,18053
1880	9,83078	-28,18054	10,48616	-28,18053
1900	9,17542	-28,18054	9,8308	-28,83589
1920	9,17542	-28,8359	10,48615	-28,18053
1940	9,17542	-28,8359	9,83079	-28,83589
1960	10,48615	-28,83589	15,7292	-26,86977
1980	18,35078	-26,21441	19,66153	-25,55904
2000	18,35079	-25,55904	19,00617	-24,90367
2020	18,35079	-25,55904	18,3508	-25,55903
2040	17,69543	-25,55904	18,3508	-25,55903
