T	LX	LY	RX	RY
0	0	0	0	0
20	-9,9999999960687E-6	0	0	1,31072
40	-9,9999999960687E-6	0,65537	-1,0000000003174E-5	1,31072
60	-9,9999999960687E-6	1,31073	-1,0000000003174E-5	1,31071
80	0,65535000000001	1,31073	0,65535	1,96608
100	-9,9999999960687E-6	1,96609	-1,0000000003174E-5	2,62144
120	-9,9999999960687E-6	1,96609	-0,65536	2,62144
140	-9,9999999960687E-6	1,9661	-0,65536	3,27681
160	-0,65537	2,62146	0	3,27681
180	-0,65537	3,27682	0	3,93218
200	-9,9999999960687E-6	3,93218	0	4,58753
220	-0,65537	3,93218	-0,65536	4,58754
240	-0,65537	3,93219	9,9999999960687E-6	4,58754
260	-0,65535999999999	4,58755	-0,65535	5,89826
280	-0,65535	5,24292	-1,31071	6,55363
300	-1,96607	6,55364	-1,3107	7,20899
320	-1,31071	7,20901	-1,3107	8,51972
340	-1,96607	8,51973	-1,96606	9,17509
360	-1,96606	9,17511	-1,96605	9,83045
380	-2,62142	9,17511	-2,62141	10,48582
400	-2,62141	9,83047	-2,6214	10,48582
420	-3,27677	10,48583	-2,6214	11,14118
440	-2,6214	10,48583	-3,27675	11,14118
460	-3,27676	11,1412	-3,27675	11,79654
480	-3,93212	11,79656	-5,89821	11,14118
500	-5,89821	10,48583	-5,24284	11,79654
520	-5,89821	12,45192	-5,8982	13,10727
540	-5,8982	13,10729	-5,24284	13,76263
560	-5,24285	13,10729	-5,24285	13,76263
580	-4,5875	13,10728	-4,58749	14,41799
600	-4,5875	13,76264	-4,58749	15,07335
620	-5,24286	14,418	-4,5875	15,07335
640	-4,58751	14,41801	-4,5875	15,07335
660	-4,58751	14,418	-4,5875	14,41799
680	-5,24287	13,76264	2,62151	15,07334
700	13,76278	13,76263	17,03967	13,10725
720	15,72893	13,76262	15,07357	15,07334
740	15,07356	14,41799	15,07356	15,07334
760	15,07355	14,41799	15,07355	14,41798
780	14,41818	13,76263	14,41818	14,41798
800	13,76281	13,76263	13,76282	13,76262
820	13,10744	13,10727	13,10745	13,76262
840	12,45208	13,10727	12,45208	13,76262
860	9,83061	15,07337	7,86451	14,41799
880	7,86451	13,10728	7,86451	14,41799
900	7,20915	14,41801	7,20915	14,41799
920	7,8645	13,10728	7,86451	13,76263
940	7,8645	13,10728	7,20915	13,76263
960	7,8645	13,10728	7,20915	13,10727
980	7,20914	13,10728	7,20915	13,76263
1000	6,55379	12,45192	6,5538	13,10727
1020	5,89843	12,45192	5,89844	13,10727
1040	5,24307	12,45192	5,24308	12,45191
1060	5,24307	11,79656	5,24308	11,79655
1080	5,24308	11,79656	10,48603	11,79656
1100	11,14141	9,17512	11,79677	9,83047
1120	11,1414	9,17513	11,79676	9,83047
1140	12,45211	8,51977	13,10747	8,51976
1160	13,76282	7,8644	14,41818	7,20903
1180	15,07352	5,24296	15,72889	5,8983
1200	15,07351	4,58759	15,72888	3,27685
1220	16,38422	1,31078	18,35032	1,96613
1240	30,14695	0,65543	34,73459	-3,93213
1260	33,42384	-3,93212	32,76847	-2,6214
1280	32,11309	-3,27676	32,11309	-2,62141
1300	31,45771	-3,93212	30,80236	-3,27678
1320	30,14699	-3,93213	30,14699	-3,93214
1340	29,49162	-4,5875	29,49162	-3,93215
1360	28,83626	-4,58751	28,83626	-3,93216
1380	28,18088	-5,24287	27,52553	-5,24289
1400	26,87015	-5,89824	26,87016	-5,89825
1420	26,21479	-6,5536	26,21479	-5,89825
1440	26,21479	-6,5536	25,55943	-5,89826
1460	25,55942	-6,5536	25,55943	-6,55362
1480	24,90406	-6,5536	24,90406	-5,89826
1500	24,90406	-6,5536	24,2487	-5,89826
1520	24,24869	-6,5536	23,59334	-5,89825
1540	22,93796	-7,20897	24,90406	-5,24289
1560	32,76849	-3,93215	36,04537	-5,89825
1580	36,04537	-5,89824	35,39	-5,24289
1600	34,73463	-5,89824	34,73463	-5,89825
1620	34,07925	-7,20896	33,42388	-7,20897
1640	32,76851	-7,86432	32,11315	-7,86433
1660	31,45778	-7,86432	31,45778	-7,86433
1680	30,80241	-8,51968	30,14705	-7,86433
1700	29,49168	-9,17504	28,83633	-9,17505
1720	28,18096	-9,17503	28,18096	-8,51969
1740	27,52559	-9,17503	27,5256	-8,51968
1760	27,52559	-9,17503	26,87024	-8,51968
1780	26,87023	-8,51967	26,21488	-8,51967
1800	26,21487	-9,17503	25,55952	-8,51967
1820	25,55952	-8,51966	25,55952	-7,86431
1840	25,55951	-8,51966	25,55952	-7,86431
1860	24,90416	-9,17502	24,90417	-8,51967
1880	24,24881	-9,17502	24,24882	-8,51967
1900	24,90417	-9,17502	25,55954	-9,17504
1920	25,55953	-10,48575	25,55953	-9,83041
1940	25,55952	-10,48576	25,55953	-9,83041
1960	24,90416	-10,48576	24,90416	-9,83041
1980	24,90416	-10,48576	24,90416	-10,48577
2000	24,90416	-11,79648	20,31659	-10,48575
2020	13,76289	-13,10718	13,76288	-13,1072
2040	13,76289	-13,10718	13,76289	-11,79647
2060	13,76288	-12,45182	13,76289	-11,79647
2080	13,76288	-11,79645	13,76289	-11,1411
2100	13,76288	-11,14109	13,76288	-10,48574
2120	13,76288	-11,14109	13,76289	-10,48574
2140	13,76288	-10,48573	13,76289	-10,48574
2160	13,10752	-11,14109	13,76288	-10,48574
2180	13,76288	-11,14109	13,76289	-11,14111
2200	13,76288	-11,79645	13,76289	-10,48575
2220	13,10752	-11,1411	13,76289	-11,14111
2240	13,10752	-11,79646	13,76289	-11,14111
2260	13,76288	-11,79645	13,10753	-11,79647
2280	16,38435	-10,48573	26,87028	-8,51965
2300	33,424	-11,14108	33,42402	-10,48573
2320	32,76863	-9,83035	32,76864	-9,175
2340	32,76863	-9,17499	32,76864	-9,175
2360	32,11327	-9,83035	32,11328	-8,51964
2380	32,11327	-9,17499	32,11328	-8,51964
2400	32,11327	-9,83035	32,11328	-9,175
2420	32,11327	-9,83035	32,11328	-9,17501
2440	32,11328	-9,83035	32,11329	-9,175
2460	32,11328	-9,83035	32,11329	-9,83037
2480	36,70086	-9,17499	41,94383	-10,48573
2500	41,28847	-11,14108	41,28847	-9,175
2520	40,6331	-9,83035	40,63311	-9,175
2540	40,6331	-10,48571	40,6331	-9,83036
2560	40,6331	-10,48571	40,63311	-9,83035
2580	40,6331	-9,83035	41,28846	-9,83036
2600	41,9438	-10,48572	41,28845	-9,83037
2620	41,28844	-10,48572	41,28844	-9,83037
2640	41,28844	-10,48572	41,28843	-9,83037
2660	41,28842	-10,48572	41,28843	-9,83037
2680	41,28841	-10,48572	41,28842	-9,83037
2700	41,28841	-10,48572	41,28842	-10,48573
2720	41,28841	-11,14108	41,94377	-11,1411
2740	41,94376	-11,79645	41,94377	-11,1411
2760	41,94376	-11,79645	43,90987	-11,79646
2780	45,87599	-13,76254	45,876	-13,10719
2800	45,87599	-12,45181	45,22064	-11,79646
2820	45,87599	-12,45181	45,22063	-11,1411
2840	45,22062	-12,4518	45,22063	-11,79646
2860	45,22061	-12,45181	45,22063	-12,45182
2880	45,22061	-12,45181	44,56527	-12,45182
2900	44,56526	-12,45181	44,56527	-12,45183
2920	44,56526	-13,10717	44,56527	-12,45182
2940	43,9099	-12,45181	44,56526	-12,45182
2960	43,9099	-12,45181	43,90991	-11,79646
2980	43,9099	-12,4518	43,90991	-11,79646
3000	43,9099	-13,10716	43,90991	-12,45182
3020	43,25455	-12,4518	41,28845	-10,48572
3040	39,32235	-11,14107	39,32236	-10,48572
3060	39,32236	-10,4857	39,32237	-9,17499
3080	39,32236	-9,83034	39,32237	-9,17499
3100	38,66701	-9,83033	38,66701	-8,51962
3120	38,66701	-9,17497	38,66702	-8,51962
3140	38,01165	-9,17497	38,01166	-7,86426
3160	37,35629	-8,5196	37,3563	-7,86425
3180	37,3563	-8,5196	36,70095	-7,86425
3200	37,3563	-8,5196	37,3563	-7,2089
3220	36,70094	-7,86424	36,70095	-7,86425
3240	36,70094	-8,5196	36,70095	-7,86425
3260	36,70094	-8,5196	36,70095	-7,86425
3280	36,04558	-8,5196	36,70095	-7,86425
3300	36,70094	-8,5196	37,3563	-7,86425
3320	37,35629	-8,5196	38,01165	-7,86426
3340	38,01165	-7,86425	37,35629	-7,86426
3360	37,35628	-9,17497	38,66702	-7,86426
3380	49,80827	-5,24278	59,63883	-6,55351
3400	60,94959	-7,20886	60,29421	-5,24279
3420	60,29421	-5,89813	60,29421	-5,24279
3440	60,94956	-6,5535	60,94956	-5,89815
3460	60,94956	-6,5535	60,94955	-5,89816
3480	60,94955	-6,55351	60,94955	-5,89816
3500	60,29418	-6,55351	58,98346	-5,2428
3520	58,32809	-6,55351	57,01736	-5,89816
3540	55,70663	-6,5535	54,39589	-6,55351
3560	53,08514	-7,86422	51,77442	-7,86422
3580	50,46367	-8,51957	49,15293	-8,51958
3600	47,84219	-9,83029	47,18681	-9,8303
3620	45,87607	-10,48565	44,56534	-9,8303
3640	43,90996	-10,48565	42,59923	-9,8303
3660	41,28849	-9,83028	41,28849	-9,17493
3680	39,97775	-9,17492	39,32239	-9,17493
3700	38,66701	-9,17492	38,01165	-9,17493
3720	36,70091	-10,48564	36,04555	-9,83029
3740	35,39017	-10,48564	34,73481	-9,83029
3760	34,07943	-11,141	33,42407	-10,48565
3780	32,7687	-11,79635	32,7687	-11,79637
3800	32,76869	-12,45171	32,11333	-11,79636
3820	32,11332	-12,45171	34,73479	-11,79636
3840	36,04553	-15,07316	36,04555	-14,41782
3860	36,04554	-13,10707	36,04556	-11,79636
3880	36,70091	-12,45171	36,70092	-11,141
3900	36,70092	-11,79635	37,35629	-11,141
3920	37,35628	-11,79634	37,35629	-11,14099
3940	37,35629	-11,79634	37,3563	-11,14099
3960	37,35629	-11,14097	37,3563	-10,48563
3980	37,3563	-10,48561	37,35631	-9,17489
4000	36,70095	-9,17487	36,0456	-8,51951
4020	36,04559	-8,51951	36,04561	-5,89806
4040	36,04562	-3,27656	35,39028	-3,27657
4060	36,04564	-4,58727	36,04564	-2,6212
4080	36,70099	-3,27654	37,35635	-2,62119
4100	38,0117	-3,27654	38,01171	-2,6212
4120	38,01169	-3,27654	38,01171	-3,27655
4140	38,66706	-3,9319	38,66707	-3,27655
4160	38,66706	-3,93189	38,66706	-4,58726
4180	39,32242	-5,89797	39,32242	-5,89798
4200	39,32242	-7,20868	39,32243	-6,55333
4220	39,97779	-7,20832	39,9778	-5,89796
4240	39,9778	-6,55331	39,9778	-5,24259
4260	39,9778	-6,5533	40,63317	-5,24259
4280	41,28852	-5,89794	41,28853	-4,58723
4300	41,28853	-5,24258	40,63318	-3,93187
4320	40,63317	-3,93185	39,97782	-1,96578
4340	39,97782	-1,96576	39,97783	-0,65504
4360	39,97782	0,00033999999999423	39,97783	1,96641
4380	39,32246	1,96644	39,32247	3,27716
4400	29,49197	1,96646	1,31114	-1,96572
4420	-33,42341	-11,79615	-42,5987	-15,72835
4440	-42,59878	-13,76224	-42,59875	-11,14077
4460	-42,59876	-9,83002	-42,59876	-8,51931
4480	-42,59877	-8,51929	-42,59876	-7,20858
4500	-42,59877	-7,20856	-42,59877	-6,55322
4520	-42,59877	-7,86393	-42,59877	-6,55322
4540	-42,59878	-7,86393	-42,59877	-6,55323
4560	-42,59878	-7,20858	-42,59877	-7,20859
4580	-42,59877	-7,20858	-42,59877	-7,2086
4600	-42,59877	-7,86394	-42,59877	-7,2086
4620	-42,59879	-9,17467	-42,59887	-10,48541
4640	-42,59893	-13,10686	-42,5989	-11,14078
4660	-42,5989	-11,14075	-42,5989	-10,48541
4680	-42,59891	-10,4854	-42,5989	-9,83006
4700	-42,59891	-11,14077	-42,5989	-10,48542
4720	-42,59891	-11,14076	-42,5989	-10,48541
4740	-42,59891	-10,48541	-42,5989	-10,48542
4760	-42,59891	-11,14077	-42,5989	-10,48542
4780	-42,5989	-11,14076	-42,5989	-9,83006
4800	-42,59891	-10,48541	-42,59891	-9,83007
4820	-42,59892	-10,48542	-42,59891	-9,83007
4840	-42,59892	-9,83005	-42,59891	-9,17471
4860	-42,59892	-9,83005	-42,59891	-9,1747
4880	-42,59892	-10,48542	-42,59892	-9,83007
4900	-42,59893	-10,48542	-42,59892	-11,1408
4920	-42,59893	-11,79615	-42,59893	-10,48544
4940	-42,59893	-11,79616	-42,59892	-11,79617
4960	-42,59893	-13,10688	-42,59893	-11,79617
4980	-42,59896	-10,48544	-42,59895	-11,14081
5000	-42,59895	-11,1408	-42,59894	-10,48545
5020	-42,59895	-11,79616	-42,59894	-11,14081
5040	-42,59894	-11,14079	-42,59894	-10,48544
5060	-42,59894	-11,14079	-42,59893	-10,48544
5080	-42,59895	-11,14079	-42,59894	-11,14081
5100	-42,59895	-11,79616	-42,59894	-11,14081
5120	-42,59895	-11,79616	-42,5989	-10,48545
5140	-42,59871	-11,79617	-42,59861	-13,76228
5160	-42,59863	-13,76227	-42,59862	-12,45155
5180	-42,59863	-13,1069	-42,59864	-12,45155
