T	LX	LY	RX	RY
0	0	0	0	0
20	0,65535999999999	-0,65537	-0,65535999999999	-1,0000000003174E-5
40	0	-0,65538	0	-1,0000000003174E-5
60	0,65535	-0,65538	0	-0,65538
80	0,65535999999999	-1,31074	-9,9999999960687E-6	-1,0000000003174E-5
100	0,65535	-0,65538	-0,65537	-1,9999999999243E-5
120	-1,0000000003174E-5	-0,65538	0	-1,9999999999243E-5
140	0,65535999999999	-1,31075	0	-0,65539
160	1,31072	-1,31075	-9,9999999960687E-6	-1,9999999999243E-5
180	0,65535	-1,31076	0,65536	-0,65539
200	1,31072	-1,96613	1,31071	-1,96612
220	1,31072	-2,62148	1,31072	-1,31075
240	1,96608	-1,96612	1,31072	-1,96612
260	1,96608	-1,96612	1,31073	-1,31075
280	1,31073	-1,96612	0,65537	-0,65539
300	1,31074	-1,31075	0,65538	-1,9999999999243E-5
320	1,31074	-1,31074	0,65538	-1,0000000003174E-5
340	0,65537999999999	-0,65537	1,9999999999243E-5	0,65535
360	0,65537999999999	-1,9999999999243E-5	3,0000000002417E-5	-1,0000000003174E-5
380	0,65539	-0,65537	0,65539	0,65536
400	0,6554	-9,9999999960687E-6	4,0000000005591E-5	0,65536
420	0,6554	0	4,0000000005591E-5	1,31073
440	0,6554	0	4,0000000005591E-5	1,31073
460	0,65541	0,65536	4,0000000005591E-5	1,31073
480	0,6554	0,65536	4,0000000005591E-5	1,31073
500	4,9999999994554E-5	1,0000000003174E-5	1,31082	1,31075
520	5,24308	0,65538	2,62162	1,96612
540	1,31089	3,27687	0,65554	4,5876
560	1,3109	3,93223	1,3109	3,93224
580	1,96626	3,27687	1,3109	3,93223
600	1,3109	3,27687	1,3109	3,93223
620	1,96627	2,6215	1,31091	3,93223
640	1,96626	2,6215	1,3109	3,93224
660	1,96627	3,27687	1,3109	3,93223
680	1,3109	3,27687	0,00017000000000422	5,24298
700	-1,31056	6,55371	-1,96591	7,86444
720	-1,31054	7,20908	-2,62127	7,86446
740	-1,31055	7,20908	-1,96591	7,20908
760	-1,31055	6,55371	-1,96592	6,55372
780	-0,6552	5,89834	-1,31056	6,55372
800	-1,31056	6,55371	-1,96593	6,55372
820	7,20925	3,93223	18,35051	4,58758
840	18,35054	5,24296	15,07372	6,5537
860	15,72909	5,89834	15,72908	7,20906
880	16,38444	5,89833	16,38443	6,55369
900	17,03979	5,89832	16,38443	6,55369
920	17,03979	5,89832	16,38443	6,55369
940	17,03979	5,89832	16,38443	7,20904
960	17,69514	5,89831	16,38442	6,55368
980	17,69515	5,89831	17,03978	6,55368
1000	17,03978	5,89831	16,38442	6,55368
1020	17,03978	5,89832	16,38442	6,55369
1040	17,03979	5,89832	16,38443	7,20905
1060	17,03979	6,55368	16,38443	7,20906
1080	17,03979	6,55369	17,03978	7,20905
1100	30,80244	7,20906	51,11878	9,17517
1120	58,32782	8,5198	54,39566	10,48592
1140	54,39566	10,48592	54,39566	11,1413
1160	54,39566	9,83056	54,39566	10,48592
1180	54,39566	9,83055	53,74029	10,48591
1200	54,39565	9,83055	54,39564	10,48591
1220	54,39565	9,17518	54,39565	9,83054
1240	55,05101	9,17517	54,39565	9,83054
1260	55,05101	9,17517	54,39565	9,83053
