T	LX	LY	RX	RY
0	0	0	0	0
20	9,9999999960687E-6	0	-0,65535999999999	0
40	9,9999999960687E-6	0	-0,65535	0,65536
60	-0,65535	0	-0,65535	0
80	-0,65535	0	-0,65535	0
100	-0,65535	-0,65535999999999	0	0
120	-1,0000000003174E-5	-0,65537	0,65534	-0,65535999999999
140	0,65535	-0,65535999999999	0,65534	0
160	1,31071	-0,65535999999999	1,31069	0
180	1,3107	-9,9999999960687E-6	1,31069	0
200	1,3107	0	1,31069	0,65536
220	0,65533	0,65536	0,65533000000001	0,65536
240	1,31069	0	0,65532	0,65536
260	1,31069	0,65536	1,31068	0,65536
280	1,31068	0	0,65532	0,65536
300	0,65532	0,65536	1,31068	2,62146
320	1,31068	3,93218	1,96603	3,93218
340	1,31068	3,93218	1,96603	3,93218
360	1,96604	3,93218	1,31067	3,93218
380	1,96605	3,93218	1,31068	3,93218
400	1,31069	3,27682	1,31068	3,27682
420	1,31069	3,27682	1,96605	3,27683
440	1,96605	3,27682	1,31068	3,27683
460	1,96605	3,27683	1,96605	3,9322
480	1,96605	3,27683	1,96605	3,27684
500	1,96606	3,27683	1,3107	3,27684
520	1,31071	3,27684	1,3107	3,27684
540	1,31072	3,27684	1,31071	2,62148
560	1,31072	1,96612	0,65536	2,62149
580	0,65537	2,62149	0,65536	3,27685
600	0,65537	2,62149	0	2,6215
620	0,65537	2,62149	7,86443	2,62148
640	16,38423	2,62147	17,03962	3,27684
660	15,7289	3,93219	15,72889	4,58756
680	16,38426	4,58755	15,7289	4,58756
700	15,7289	4,58755	15,7289	4,58755
720	15,72891	3,9322	15,7289	4,58756
740	15,72891	3,93219	15,7289	3,9322
760	15,72891	3,93219	15,72891	3,9322
780	15,72892	3,93219	15,07354	3,9322
800	15,72892	3,93219	15,73147	4,58756
820	15,72893	4,58755	15,07356	3,9322
840	15,07357	3,93219	15,72893	3,9322
860	15,07358	3,27683	15,07357	3,9322
880	15,07358	3,27684	15,07358	3,27684
900	15,07359	3,27683	15,07359	3,27684
920	13,10751	1,96613	5,24308	1,3108
940	1,31087	1,3108	1,31087	1,96617
960	1,96623	2,62152	1,96623	3,27688
980	1,96623	2,62151	1,96623	2,62152
1000	1,96623	2,62152	1,31087	2,62152
1020	1,31088	1,96615	1,96623	2,62152
1040	1,96623	2,62151	1,96622	1,96616
1060	3,27694	1,96615	3,27693	2,62152
1080	3,27693	1,96616	3,27692	2,62152
1100	3,27693	1,96616	3,27692	1,96616
1120	3,93229	1,96616	10,48598	2,62151
1140	17,69504	3,27686	17,69504	3,93222
1160	17,03968	3,93222	16,38431	4,58759
1180	17,03967	4,58759	17,03967	4,58759
1200	17,69503	4,58758	17,69502	4,58759
1220	17,69502	4,58758	17,03965	5,24295
1240	17,69502	4,58759	17,03965	5,24295
1260	17,03966	4,58759	17,695	5,24296
1280	17,03965	4,58759	17,03964	5,24296
1300	17,03965	4,58759	17,03964	5,24296
1320	17,03964	4,58759	17,03963	4,5876
1340	17,03964	3,93223	19,6611	3,93222
1360	28,83628	4,58757	34,07924	5,24293
1380	34,07924	5,24293	32,76851	5,8983
1400	32,76851	6,55366	32,7685	6,55365
1420	32,7685	5,89829	32,7685	6,55365
1440	32,7685	6,55365	32,11313	7,20902
1460	32,11314	6,55365	32,11313	6,55365
1480	32,11313	7,20901	31,45777	7,20901
1500	32,11313	7,20901	31,45776	7,20901
1520	31,45777	7,20901	30,8024	7,20902
1540	31,45776	7,20901	30,8024	7,20901
1560	30,8024	7,86437	30,8024	7,86437
1580	30,80241	7,20901	30,8024	7,20901
1600	30,80241	7,20901	30,8024	7,20901
1620	30,80241	6,55365	30,14705	6,55365
1640	30,80242	5,89828	34,07927	5,89828
1660	34,73464	5,89828	34,07928	5,89829
1680	34,07928	5,89828	34,07928	5,89829
1700	34,07929	5,24293	-53,0836	5,89829
1720	34,07929	5,24293	34,07928	5,24294
1740	34,07929	5,24293	33,42393	5,24294
1760	34,0793	5,24293	33,42393	5,24294
1780	33,42394	4,58757	33,42394	4,58757
1800	38,66689	5,24293	45,2206	5,89829
1820	49,15282	6,55365	47,84209	7,20901
1840	48,49746	7,20901	48,49745	7,86437
1860	48,49745	7,20901	49,1528	7,86437
1880	49,80816	7,20901	49,80815	7,86437
1900	49,80816	7,20901	49,80815	7,20901
1920	50,46351	7,20901	49,80815	7,20901
1940	49,80815	7,20901	49,80814	7,86438
1960	49,80815	7,20958	49,80814	7,20902
1980	49,15279	7,86437	49,15279	7,86438
2000	49,15279	7,86438	48,49742	8,51974
2020	48,49743	7,86438	52,42964	8,51974
2040	53,74039	8,51974	53,74038	9,1751
2060	53,74038	9,17509	53,08501	9,83046
2080	53,74038	9,17509	53,08501	9,83046
2100	53,74038	9,1751	53,08501	9,1751
2120	53,08502	9,1751	53,08501	9,1751
2140	53,08501	9,1751	53,08501	9,1751
2160	53,08501	9,1751	53,08501	9,1751
2180	53,08501	8,51974	53,085	9,17511
2200	53,08501	9,1751	53,085	9,17511
2220	53,08501	8,51974	53,085	9,1751
2240	53,08501	8,51974	53,08501	8,51975
2260	53,08502	8,51974	53,08501	7,86438
2280	49,80819	7,20903	47,84208	7,20904
2300	47,84208	7,20903	48,49744	7,20903
2320	48,49744	7,20903	47,84208	7,20904
2340	47,84208	6,55367	47,84208	7,20903
2360	47,84209	6,55367	47,84208	7,20904
2380	47,84209	6,55367	47,84209	7,20903
2400	47,8421	6,55367	47,84208	7,20903
2420	47,84209	7,20903	47,84209	6,55367
2440	47,8421	6,55367	47,18672	7,20903
2460	47,18674	6,55366	47,18673	7,20903
2480	49,15283	6,55366	57,01727	7,20902
2500	62,91561	8,51974	62,26024	9,1751
2520	61,60489	9,83046	61,60488	10,48582
2540	61,60489	9,83046	61,60488	10,48582
2560	61,60489	10,48582	61,60488	10,48582
2580	61,60489	10,48581	61,60488	11,14118
2600	61,60489	11,14117	61,60488	11,14118
2620	60,94953	11,14117	61,60488	11,14118
2640	61,60489	10,48581	60,94952	10,48581
2660	60,94953	10,4858	60,94953	10,48581
2680	60,29417	10,48581	60,29417	9,83045
2700	61,6049	9,83045	66,84786	9,83045
2720	70,12471	9,17508	70,1247	9,83045
2740	70,1247	9,83045	70,1247	10,48581
2760	70,78006	10,48581	71,43541	10,48581
2780	71,43542	10,48581	70,78004	10,48581
2800	71,43542	10,48581	70,78005	10,48581
2820	70,78005	10,48581	70,78004	11,14117
2840	71,43541	11,14117	70,12468	11,14117
2860	70,78005	10,48581	72,09078	11,14117
2880	75,36764	11,14117	76,02301	11,79654
2900	76,023	11,79653	75,36763	12,4519
2920	76,67836	12,45189	76,67835	12,4519
2940	76,67836	12,45189	76,67834	12,4519
2960	76,02299	12,45189	76,02298	13,10726
2980	76,67835	12,45189	76,67834	13,10726
3000	76,67835	12,45189	76,02298	13,10726
3020	76,67835	12,45189	76,67834	13,10725
