T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65537	0	-0,65536	0
40	-1,31073	0	-7,86443	-0,65536
60	-12,45204	0	-12,45202	0
80	-12,45202	1,0000000003174E-5	-11,79666	0
100	-11,79667	0	-11,79666	-0,65536
120	-11,14132	-0,65536	-10,48596	-0,65537
140	-10,48597	-0,65537	-9,8306	-1,31073
160	-9,83062	-0,65537	-9,83061	-1,31073
180	-9,83062	-0,65538	-9,17525	-1,31074
200	-9,17526	-1,31074	-9,17525	-1,31074
220	-9,17526	-0,65538	-8,51989	-1,31075
240	-8,5199	-0,65538	-8,51989	-1,31075
260	-8,5199	-0,65538	-8,51989	-0,65538
280	-8,51989	-0,65538	-7,86453	-1,31075
300	-7,86453	-0,65539	-7,86453	-0,65539
320	-8,51989	-0,65539	-8,51988	-0,65539
340	-7,86453	-0,65538	-8,51988	-0,65539
360	-8,51989	-0,65538	-8,51988	-3,0000000002417E-5
380	-8,51989	-0,65539	-7,86452	-0,65539
400	-8,51989	-0,65538	-7,86452	-0,65539
420	-8,51989	-0,65539	-7,86453	-0,65539
440	-7,86453	-0,65539	-8,51989	-0,65539
460	-7,86454	-1,31075	-8,51989	-1,31076
480	-8,51989	-1,31075	-8,51989	-1,31076
500	-9,83061	-0,65539	-9,8306	-0,65539
520	-10,48596	-3,0000000002417E-5	-11,14131	0,65533
540	-11,79668	0,65533	-11,79667	0,65532
560	-5,89832	-0,65542	3,93227	-1,31079
580	4,58768	-1,31078	2,62159	-0,65543
600	1,31086	-5,9999999997729E-5	0,65551	-0,65542
620	0,65551	-5,9999999997729E-5	0,00014999999999787	-7,0000000000903E-5
640	-0,65521	-7,0000000000903E-5	0,00016000000000105	0,65529
660	0,00016000000000105	-7,0000000000903E-5	0,65552	0,65528
680	0,65552	0,65528	1,31089	-7,9999999996971E-5
700	0,65552	-7,9999999996971E-5	1,31088	-0,65545
720	1,31087	-9,0000000000146E-5	1,31087	-0,65545
740	1,31085	-0,65545	1,96621	-1,31082
760	1,96619	-1,31082	5,24302	-1,31082
780	18,35044	-1,96618	24,2488	-2,62154
800	22,2827	-0,65545	21,62733	-0,65545
820	21,62733	-0,65545	22,28269	-0,65545
840	21,62733	-0,65544	22,2827	-9,0000000000146E-5
860	21,62733	-7,9999999996971E-5	21,62734	-0,65545
880	21,62733	-1,31081	21,62733	-1,31082
900	20,97195	-1,96618	20,97194	-2,62154
920	20,31656	-2,62154	19,66119	-3,27691
940	18,35043	-3,27691	17,03969	-3,93227
960	15,72894	-4,58763	14,41819	-4,58764
980	20,31651	-5,243	38,01153	-5,89836
1000	46,53137	-6,55371	45,22064	-6,55372
1020	42,59915	-5,24299	41,94378	-5,89835
1040	41,28841	-5,89835	41,2884	-5,89835
1060	39,97766	-5,24298	39,32229	-5,24299
1080	38,01155	-5,24298	38,01155	-4,58762
1100	36,70081	-3,93226	36,04543	-3,93227
1120	34,73469	-3,2769	34,07931	-3,2769
1140	32,11321	-3,2769	31,45784	-3,27691
1160	30,80246	-3,27691	29,49173	-3,27691
1180	28,83635	-2,62154	28,18099	-2,62155
1200	27,52561	-2,62155	26,87025	-2,62155
1220	26,87025	-1,96619	39,3223	-3,27691
1240	55,0512	-5,89834	55,70661	-4,58762
1260	51,7744	-3,27689	51,11905	-2,62154
1280	51,11904	-2,62154	51,11905	-2,62154
1300	50,46368	-2,62153	50,46368	-1,96618
1320	50,46368	-1,96617	50,46369	-1,96618
