T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	0	0,65535
40	9,9999999960687E-6	0	-0,65535000000001	0,65536
60	9,9999999960687E-6	0	0,65535999999999	0,65536
80	-1,0000000003174E-5	0	0,65535	0
100	0,65535	-0,65536	0,65534	0
120	0,65534	1,0000000003174E-5	0,65534	0,65537
140	1,3107	0,65538	1,31069	0,65537
160	1,3107	0,65538	1,31069	1,31073
180	0,65534	1,9999999999243E-5	0,65533	0,65538
200	0,65533	0,65538	1,31069	0,65537
220	1,31069	1,9999999999243E-5	1,31068	0,65538
240	1,31068	3,0000000002417E-5	1,31068	0,65537
260	1,31068	1,9999999999243E-5	1,31068	0,65538
280	0,65532	1,9999999999243E-5	1,31068	0,65538
300	0,65532	1,9999999999243E-5	0,65532	0,65538
320	0,65532	1,9999999999243E-5	1,31068	0,65538
340	0,65532	1,9999999999243E-5	1,31068	0,65537
360	0,65532	1,0000000003174E-5	0,65532	0,65537
380	0,65532	1,0000000003174E-5	0,65530999999999	0,65536
400	-4,0000000005591E-5	1,0000000003174E-5	0,65530999999999	0,65536
420	0,65530999999999	0	0,65530999999999	-9,9999999960687E-6
440	0,65532	-1,31073	0,65530999999999	-9,9999999960687E-6
460	0,65532	-1,31072	0,65532	0
480	1,31069	0	0,65532	0
500	0,65533	-0,65536	1,31069	-0,65538
520	0,65533	-1,31074	0,65533	-1,31075
540	1,31069	-0,65538	0,65533	-0,65538
560	0,65534	-0,65537	0,65534	-1,9999999999243E-5
580	0,65534	0	0,65534	0,65535
600	0,65535	0	0,65535	0,65535
620	0,65535	-1,0000000003174E-5	0,65535	0,65535
640	0,65535999999999	-1,0000000003174E-5	1,31072	-2,9999999995312E-5
660	0,65535999999999	-1,9999999999243E-5	1,31072	0,65533
680	0,65537	-1,9999999999243E-5	1,31073	0,65533
700	1,31073	0,65533	1,31073	0,65533
720	1,31074	-3,9999999998486E-5	1,96609	-3,9999999998486E-5
740	1,9661	-3,0000000002417E-5	2,62145	0,65532
760	2,62145	-0,65541	3,27681	0,65531
780	2,62145	0,65533	3,27682	1,96605
800	3,27682	1,3107	3,27682	2,62141
820	3,27683	1,96605	3,93219	2,62141
840	3,9322	2,62141	3,9322	2,6214
860	4,58757	1,96603	5,24293	2,62139
880	5,24295	1,96603	5,89831	1,966
900	5,89831	0,65527	5,89832	1,31062
920	6,55369	0,65526	6,55369	1,31061
940	6,55369	0,65525	7,20906	1,3106
960	7,20907	-0,00012000000000256	7,20907	-0,00012999999999863
980	7,20908	-0,00012999999999863	7,86444	0,65523
1000	7,86444	-0,65549	7,86444	-0,0001399999999947
1020	7,86445	-0,6555	8,51981	-0,00014999999999787
1040	7,86446	-0,6555	8,51981	-0,65552
1060	7,86446	-0,65551	8,51981	-0,00016000000000105
1080	7,86446	-0,65552	8,51982	-0,65552
1100	8,51983	-1,31088	8,51983	-1,3109
1120	8,51983	-1,31089	8,51983	-0,65553
1140	8,51983	-1,96625	8,51983	-1,3109
1160	8,51984	-1,31089	8,51983	-1,3109
1180	8,51984	-1,31089	8,51984	-1,3109
1200	8,51984	-1,31089	8,51984	-1,3109
1220	8,51984	-1,3109	8,51984	-1,31091
1240	13,10742	-2,6216	16,38427	-1,96624
1260	14,4182	-1,96625	14,41819	-1,3109
1280	14,41819	-2,62161	14,41819	-1,96626
1300	14,41819	-2,62162	15,07355	-1,96627
1320	14,4182	-2,62162	14,4182	-2,62163
1340	14,4182	-3,27698	14,4182	-3,27699
1360	14,4182	-3,27699	14,4182	-3,277
1380	14,41821	-3,277	15,07356	-3,93236
1400	15,07356	-3,93236	15,72892	-3,93236
1420	15,07356	-4,58772	15,72891	-3,93236
1440	15,07355	-4,58772	15,7289	-3,93237
1460	15,07355	-4,58772	15,7289	-4,58668
1480	15,72891	-5,24309	15,72891	-5,24311
1500	15,07355	-5,89846	15,72892	-5,89847
1520	15,07356	-6,55383	15,07356	-6,55384
1540	15,07356	-7,2092	14,41821	-6,55384
1560	14,42077	-6,55384	14,41822	-6,55384
1580	14,41823	-7,2092	14,41823	-6,55384
1600	14,41824	-7,2092	14,41824	-7,2092
1620	13,76288	-7,86456	14,41824	-7,20921
1640	13,76288	-7,86457	14,41824	-8,51994
1660	14,41824	-8,51994	14,41824	-8,51995
1680	13,76288	-9,1753	14,41823	-8,51995
1700	15,0736	-9,83067	29,49162	-10,48602
1720	40,63291	-11,79674	39,97755	-11,79677
1740	38,01146	-10,48604	38,66681	-9,83068
1760	38,66682	-10,48604	38,66681	-9,83068
1780	38,66682	-9,83068	38,66681	-9,17532
1800	38,66681	-10,48604	38,6668	-9,83068
1820	38,66682	-10,48604	38,66681	-9,17533
1840	38,01145	-10,48604	38,01145	-9,83069
1860	38,01145	-9,83068	38,01145	-9,17533
1880	38,01145	-10,48604	38,01145	-9,83069
1900	38,01145	-10,48605	37,35609	-9,83069
1920	38,01145	-10,48604	38,01145	-9,83069
1940	38,01145	-10,48605	38,01145	-11,14142
1960	38,01146	-11,14142	38,01146	-11,14142
1980	38,01146	-11,14141	38,01146	-11,14142
2000	38,01147	-11,79678	38,01146	-11,14142
2020	38,01147	-11,79678	38,66683	-11,79679
2040	38,01148	-11,79679	38,01147	-11,7968
2060	38,01148	-12,45215	38,66683	-12,45216
2080	38,66683	-13,10752	38,66683	-12,45216
2100	38,66682	-13,10752	38,66682	-12,45216
2120	39,97755	-13,76287	53,74026	-13,76284
2140	62,91547	-14,41821	62,26012	-13,76287
2160	60,94939	-13,76286	60,94938	-12,45214
2180	60,94939	-12,45213	60,94938	-11,14141
2200	60,94939	-11,1414	60,94939	-9,83067
2220	60,94939	-9,83066	60,94938	-8,51994
2240	60,94938	-9,17529	61,60474	-8,51994
2260	60,94938	-8,51993	60,94937	-7,86456
2280	60,94937	-8,51992	60,94936	-7,86455
2300	60,29399	-7,86454	60,29398	-7,86454
2320	60,29397	-8,51989	60,29396	-7,86452
2340	59,63859	-7,86451	58,98322	-7,20913
2360	58,98321	-7,20912	58,32784	-6,55375
2380	57,67248	-7,20909	57,67247	-6,55372
2400	57,01711	-6,55371	57,0171	-6,5537
2420	56,36174	-6,5537	56,36174	-6,55369
