T	LX	LY	RX	RY
0	0	0	0	0
20	-1,31072	1,0000000003174E-5	-0,65535	9,9999999960687E-6
40	-1,96607	1,9999999999243E-5	-0,65534	0,65538
60	-1,31071	0,65538	-0,65534	0,65538
80	-1,3107	0,65539	-1,3107	1,31075
100	-1,31071	0,65539	-1,96606	1,31074
120	-1,96607	0,65539	-1,31071	1,31074
140	-2,62143	1,31075	-1,96608	1,96612
160	-3,2768	1,31076	-1,96608	1,31075
180	-2,62144	0,65543	-1,96608	1,96611
200	-3,2768	0,65539	-2,62144	0,65539
220	-3,2768	1,31075	-2,62144	1,31075
240	-3,2768	1,31075	-2,62144	1,96611
260	-3,93216	1,31076	-3,2768	1,96611
280	-3,93216	1,31075	-3,2768	1,9661
300	-3,93216	1,31075	-3,93215	1,96611
320	-4,58752	1,31075	-3,93215	1,31074
340	-5,24287	0,65539	-5,24286	1,31074
360	-5,89822	0,65538	-5,89822	0,65538
380	-6,55357	1,9999999999243E-5	-5,89821	9,9999999960687E-6
400	-7,20892	-0,65535	-7,20891	9,9999999960687E-6
420	-7,86427	-1,31071	-7,2089	-0,65535
440	-8,51962	-0,65535	-8,51962	-0,65535
460	-9,17497	-1,31071	-8,51961	-0,65535
480	-9,83032	-0,65534	-9,17495	-0,65535
500	-10,48567	-0,65534	-10,48567	9,9999999960687E-6
520	-11,14103	1,9999999999243E-5	-11,14102	0,65538
540	-11,79638	0,65539	-11,79638	1,31074
560	-12,45173	1,31075	-13,10708	1,96611
580	-14,41781	1,96612	-14,4178	1,96612
600	-15,07316	1,96613	-15,07316	3,27685
620	-15,72851	2,62149	-16,38387	2,62149
640	-17,03923	2,6215	-16,38386	3,27685
660	-17,69458	3,93222	-17,03922	3,93222
680	-17,69458	3,93222	-17,03922	4,58758
700	-17,69458	4,58759	-17,69457	5,24295
720	-18,34993	5,24295	-18,34992	5,89831
740	-19,00528	5,89832	-18,34992	5,89832
760	-19,00528	6,55369	-18,34991	6,55369
780	-19,00527	7,20905	-18,34991	7,20905
800	-19,00527	6,55369	-19,00527	7,20905
820	-19,66063	7,20905	-19,00526	7,20904
840	-19,66063	6,55369	-19,66063	7,20904
860	-20,97135	6,55369	-20,97135	7,20904
880	-22,28207	6,55369	-22,28207	7,20904
900	-22,93743	6,55369	-22,93742	7,20904
920	-23,59278	7,20905	-23,59278	7,86441
940	-24,24814	7,86441	-24,24814	7,86441
960	-24,9035	7,20905	-24,9035	7,20904
980	-15,7284	8,51977	2,62188	8,51978
1000	-0,65488000000001	9,17516	-3,27634	11,14125
1020	-3,27636	13,10735	-2,621	14,41808
1040	-3,93173	15,72882	-3,27637	17,03954
1060	-4,5871	17,03955	-3,93174	17,69492
1080	-4,5871	18,35029	-4,5871	19,00564
1100	-5,24246	19,00565	-4,5871	19,00564
1120	-43,25333	19,00565	-4,58709	19,00565
1140	-4,58709	19,00565	-4,58709	19,66101
1160	-4,58709	19,00565	-3,93172	19,66101
1180	-3,93173	19,00566	-3,27636	19,66101
1200	-3,93172	19,66101	-3,27636	19,00565
1220	-3,27636	19,00565	-2,62099	19,00565
1240	-3,27636	18,35029	-2,621	19,00564
1260	-2,621	18,35029	-1,96564	19,00564
1280	-2,621	19,00565	-1,96563	19,00564
1300	-1,96563	18,35029	-1,96563	18,35028
1320	-1,31027	17,69492	-1,31026	17,69492
1340	-0,6549	17,69492	0,0004599999999968	17,69491
1360	-0,6549	17,03955	0,00046999999999997	17,03955
1380	-0,6549	17,03955	0,00046999999999997	17,03954
1400	0,0004599999999968	17,03955	7,86485	18,35026
1420	9,83099	17,69492	9,17563	18,35028
1440	8,52026	18,35028	9,83098	19,00563
1460	8,52026	18,35028	9,17562	18,35027
1480	8,52025	17,69491	9,17562	17,6949
1500	8,52025	17,03954	9,17562	17,03954
1520	8,52025	17,03954	9,17562	16,38417
1540	8,52025	16,38417	10,48634	16,38416
1560	25,5598	17,03953	33,42426	16,38419
1580	30,14746	17,03956	30,14744	18,35029
1600	30,8028	18,35029	31,45817	18,35029
1620	30,80281	18,3503	32,11353	18,35029
1640	32,11353	18,35029	33,42426	18,35028
1660	32,7689	18,35029	33,42427	19,00564
1680	32,7689	19,00563	33,42427	19,66099
1700	32,76892	19,66099	33,42429	19,66098
1720	32,76893	20,31634	32,76895	20,97169
1740	32,1136	20,31634	32,11361	20,9717
1760	31,45825	20,9717	32,11362	20,31633
1780	32,11362	20,31633	32,76899	19,66096
1800	32,11364	19,66096	32,769	19,66095
1820	32,769	19,00559	33,42437	19,00558
1840	33,42437	18,35023	34,07974	18,35021
1860	34,07974	17,69485	34,07975	17,69485
1880	34,07975	17,03949	34,73511	17,69484
1900	34,07975	17,03948	34,73511	17,03948
1920	34,07975	16,38412	34,73511	16,38411
1940	28,83681	15,72876	24,9046	16,38411
1960	24,24925	16,38412	25,55998	17,03948
1980	24,90461	17,69486	25,55997	17,69485
2000	24,90461	17,69486	25,55997	18,35021
2020	24,90716	17,69486	26,21534	18,35021
2040	26,21534	18,35021	26,21534	19,00558
2060	26,21534	19,00559	27,52607	19,00558
2080	27,52607	19,00559	28,83679	19,00559
2100	28,83679	19,00559	29,49216	19,66095
2120	29,49215	19,66096	30,14751	20,31632
2140	30,14751	20,31632	30,14752	20,97168
2160	30,14751	20,97169	30,80288	20,97168
2180	30,14751	20,97169	30,14751	20,97169
2200	29,49214	20,97169	30,14751	21,62705
2220	29,49214	21,62706	29,49214	21,62706
2240	28,83678	21,62706	30,14749	21,62706
2260	44,56556	23,59316	52,43001	24,24854
2280	49,15321	24,24855	48,49784	25,55928
2300	47,84247	26,21465	49,15319	26,87001
2320	47,84246	26,21465	47,84246	26,87001
2340	47,84246	26,21465	47,18709	25,55928
2360	47,18709	25,55929	47,18708	25,55928
2380	46,53172	25,55928	46,53172	25,55928
2400	46,53171	25,55928	47,18707	25,55928
2420	46,53171	24,90392	47,18707	24,24856
2440	46,53171	24,24856	47,18707	24,24855
2460	46,53171	24,24855	47,84243	24,24855
2480	46,53171	24,24855	47,18707	24,24855
2500	46,53171	23,59319	47,18708	23,59318
2520	47,18708	23,59319	47,84244	24,24854
2540	47,18708	23,59318	47,84243	23,59318
2560	47,18707	22,93782	47,84244	22,93781
2580	47,18707	22,28245	47,84243	22,28244
2600	51,11925	22,93781	58,32831	22,93782
2620	57,67297	22,28246	57,67297	22,93782
2640	58,32832	22,93783	58,98368	22,93783
2660	58,32832	22,93783	58,98368	22,28246
2680	58,98368	22,28247	58,98369	22,93782
2700	58,32832	22,93782	58,98368	22,93782
2720	57,67296	22,93783	58,32832	22,93782
2740	57,67296	22,93783	58,32832	23,59318
2760	57,0176	22,93783	57,67296	22,93782
2780	57,01761	23,59318	57,67297	24,24854
2800	57,01761	23,59319	57,67297	23,59318
2820	57,67297	23,59318	58,32833	23,59318
2840	58,32834	23,59319	58,9837	24,24854
2860	58,32833	23,59319	58,32834	23,59318
2880	58,32834	23,59318	58,32835	23,59317
2900	57,67298	23,59318	58,32835	23,59317
2920	58,32834	22,93782	58,32834	22,93781
2940	58,32834	22,28245	58,32835	22,28244
2960	58,32834	21,62708	58,32835	21,62708
2980	58,32835	20,97172	58,98371	21,62707
3000	58,32835	20,97171	58,98371	20,9717
3020	58,98371	20,31634	58,98371	20,9717
3040	58,32835	20,31634	58,98371	20,31634
3060	58,98371	20,31633	58,98371	20,31632
3080	58,32835	19,66097	58,98371	20,31633
3100	58,32835	19,66097	58,98371	19,66096
3120	58,32834	19,00561	58,32834	19,66096
3140	57,01761	19,0056	57,67297	19,00559
3160	56,36224	19,0056	57,0176	19,00559
3180	56,36224	19,0056	55,70687	19,66096
3200	57,67296	19,0056	70,78033	22,28244
3220	74,71259	21,62712	72,09115	23,59321
3240	69,46968	26,21469	70,7804	28,83615
3260	70,78038	28,83616	70,78038	29,49152
3280	70,12501	28,83617	70,12501	29,49152
3300	69,46964	29,49153	70,125	29,49152
3320	68,81427	28,83617	68,81427	29,49152
3340	68,1589	28,83617	68,81426	28,83616
3360	68,81426	28,18081	69,46962	28,1808
3380	69,46963	28,1808	70,12499	28,1808
3400	70,12499	27,52544	71,43571	28,1808
3420	72,09107	27,52544	72,74644	27,52543
3440	73,4018	27,52543	74,05717	28,18079
3460	74,05718	27,52543	75,36791	28,18078
3480	75,36791	28,18079	76,02327	28,18078
3500	76,02327	28,18078	77,33399	28,18077
3520	77,33399	26,87005	77,98935	26,87004
3540	77,98935	26,87005	77,98934	26,21468
3560	77,98934	25,55931	77,98934	25,5593
3580	77,33397	25,55931	77,33397	25,5593
3600	76,6786	24,90395	76,67861	24,90394
3620	76,02324	24,90394	76,02324	24,90393
3640	75,36788	24,24858	76,02324	24,24857
3660	75,36788	23,59321	76,02324	23,5932
3680	72,09103	23,59321	70,78031	24,90393
3700	70,78032	24,90394	71,43568	25,5593
3720	70,78032	25,55931	71,43568	25,5593
3740	70,78032	25,5593	71,43569	26,21466
3760	70,78033	26,21467	71,4357	26,21467
3780	70,78033	26,21468	70,78034	26,87003
3800	70,78033	26,87004	70,78033	26,21467
3820	70,12497	26,21468	70,12497	26,21467
3840	69,46961	25,55932	69,4696	26,21467
3860	68,81424	25,55932	68,81424	25,55931
3880	68,15887	25,55931	68,15888	25,55932
3900	67,50351	26,21468	67,50352	26,21468
3920	66,84815	25,55932	66,84815	26,21468
3940	66,19278	26,87005	66,19279	26,87004
3960	65,53743	26,87005	65,53743	26,87004
3980	64,2267	26,87005	64,88207	26,87005
4000	63,57134	26,87005	63,57134	26,87004
4020	62,26061	26,87005	62,26062	26,87004
4040	60,94989	26,87005	73,40184	29,4915
4060	96,99514	30,1469	102,23815	30,14691
4080	96,99523	31,45765	96,9952	32,76838
4100	96,9952	32,76839	97,65055	34,07912
4120	97,65054	33,42376	98,3059	33,42374
4140	98,30589	32,11302	98,96125	32,76838
4160	98,96125	32,11302	99,61661	32,76838
4180	99,61661	32,11302	100,27196	31,45765
4200	100,92732	31,45765	101,58268	31,45763
4220	101,58268	30,80227	102,23804	30,80227
4240	101,58268	30,14691	102,23804	30,80226
4260	102,23804	29,49154	102,8934	29,49153
4280	102,23804	29,49153	102,23804	28,83616
4300	101,58267	28,1808	102,8934	28,18079
4320	101,58268	27,52544	102,89339	27,52542
4340	102,23803	26,87007	102,23803	26,87006
4360	101,58268	26,87007	102,8934	26,87006
4380	102,23804	26,2147	102,8934	26,87006
4400	102,8934	26,2147	102,8934	26,21469
4420	102,23804	25,55934	102,89341	26,21469
4440	102,8934	25,55933	103,54877	25,55932
4460	102,89341	24,90396	104,20413	24,90396
4480	104,20413	24,2486	104,20413	24,2486
4500	104,20414	24,24859	104,8595	23,59322
4520	104,85949	22,93786	106,82558	22,28249
4540	106,17021	22,28249	106,82558	22,93785
4560	106,17021	22,28249	106,17021	22,93785
4580	105,51485	22,2825	106,17022	22,93784
4600	106,17021	22,93785	106,82557	22,93785
4620	106,17021	22,93785	106,82557	22,93785
4640	106,1702	22,93785	106,82557	22,93785
4660	106,82557	22,28249	107,48093	22,93784
4680	107,48093	22,28249	108,13629	22,93784
4700	108,13629	22,93785	109,44701	22,93784
4720	108,79165	22,28249	109,44702	22,93784
4740	109,44702	21,62712	110,10238	22,28247
4760	110,10238	22,28249	110,75774	22,93783
4780	110,75774	22,28248	111,4131	21,62711
4800	110,75774	20,97176	109,447	21,62711
4820	106,17015	22,28249	106,17018	22,93785
4840	105,51482	22,93786	106,82553	23,59322
4860	106,82553	22,93786	108,13625	23,59322
4880	108,13625	22,2825	108,79161	22,28248
4900	109,44697	21,62713	110,10233	22,28248
4920	109,44697	21,62712	110,75769	22,28248
4940	110,10233	21,62713	111,41306	21,62712
4960	110,7577	20,97176	111,41306	20,97176
4980	111,41305	20,97176	112,06842	20,97175
5000	112,06842	20,31639	112,72378	20,97175
5020	112,72378	20,31639	113,37914	20,31638
5040	112,72377	19,66103	113,37913	20,31638
5060	113,37914	19,66103	113,37913	20,31638
5080	113,37913	19,66103	-42,59655	20,31638
5100	114,03449	19,00566	114,68986	19,66102
5120	114,03449	19,00567	114,68985	19,00566
5140	114,03449	19,00566	114,68985	19,00565
5160	114,03449	18,35029	114,68985	19,00565
5180	114,68985	18,35029	114,68986	18,35028
5200	114,68985	18,35029	115,34522	18,35028
5220	114,68985	18,35029	114,68986	19,00564
5240	114,68986	18,35029	115,34522	19,00564
5260	114,68986	18,35029	115,34522	18,35028
5280	116,00058	18,35029	123,86499	19,00565
5300	125,17574	18,35031	124,52038	18,3503
5320	123,86501	19,00567	124,52037	19,66104
5340	123,86501	19,66104	123,86501	20,31639
5360	123,20965	19,66104	123,20964	20,3164
5380	123,20964	19,66103	123,865	19,66103
5400	123,20963	19,66103	123,20963	19,66102
5420	122,55427	19,00567	123,20963	19,66102
5440	122,55426	19,00566	122,55426	19,00566
5460	122,55426	18,3503	122,55427	18,35029
5480	121,8989	18,35029	114,03449	17,03956
5500	106,17007	18,35028	107,48084	19,00564
5520	108,79157	19,66102	110,10228	20,31638
5540	109,44692	20,97175	110,10228	20,97174
5560	110,10228	20,97175	110,75764	20,97175
5580	110,10228	20,97174	110,75765	20,97174
5600	110,75765	20,31639	110,75765	20,97174
5620	110,75765	20,31639	111,41301	20,97174
5640	110,75765	20,31638	111,41301	20,31638
5660	110,10229	20,31638	110,75765	20,31637
5680	110,10229	20,31638	110,75765	20,97173
5700	110,10229	20,31638	110,75765	20,31637
5720	109,44693	20,31638	110,10229	20,97173
5740	110,10229	20,31638	110,75765	20,97173
