T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	-0,65535	0	0,65536
40	0	-9,9999999960687E-6	-0,65535	0,65536
60	0	-9,9999999960687E-6	-0,65535	0,65536
80	1,0000000003174E-5	-0,65537	-0,65535	0,65536
100	0,65537	-0,65536	-0,65534	0,65535000000001
120	1,0000000003174E-5	-9,9999999960687E-6	-0,65534	0,65536
140	1,9999999999243E-5	-9,9999999960687E-6	-0,65534	0,65536
160	1,9999999999243E-5	-9,9999999960687E-6	-0,65533	1,31071
180	1,9999999999243E-5	0,65535	-0,65533	1,31072
200	3,0000000002417E-5	0,65535	-1,31069	1,96608
220	3,0000000002417E-5	0,65535	-0,65533	1,96608
240	3,0000000002417E-5	0,65536	-1,31068	1,96608
260	-0,65533	1,31072	-1,31068	2,62145
280	-0,65533	1,96608	-1,96604	2,62145
300	-0,65533	1,96608	-1,31068	3,27681
320	-1,31068	1,96609	-1,96604	3,27681
340	-1,31068	1,96609	-1,96603	2,62145
360	-1,31068	1,96609	-1,96603	3,27681
380	-0,65532	1,96609	-1,96604	1,96609
400	-0,65533	1,31072	-1,96605	1,31072
420	1,9999999999243E-5	0	-0,65534	0,65536
440	1,9999999999243E-5	-0,65537	-1,3107	0,65535000000001
460	1,31074	-9,9999999960687E-6	6,55371	-1,9999999999243E-5
480	7,2091	-0,65539	4,58762	0,65533000000001
500	5,89835	-1,9999999999243E-5	5,243	0,65533000000001
520	5,24299	-2,9999999995312E-5	4,58764	-1,9999999999243E-5
540	5,243	-0,65539	4,58764	0,65533000000001
560	5,89836	-0,65539	4,58764	0,65533000000001
580	5,243	-0,65539	4,58764	-2,9999999995312E-5
600	5,243	-1,31075	4,58764	-2,9999999995312E-5
620	5,243	-0,65539	13,10744	-0,65539
640	22,28262	-1,31076	22,28266	-3,9999999998486E-5
660	22,28265	-0,6554	21,62729	0,65533000000001
680	22,28265	-0,6554	20,97192	-0,6554
700	22,28265	-0,6554	20,97193	-2,9999999995312E-5
720	21,62729	-0,6554	20,97193	-2,9999999995312E-5
