T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65535999999999	0	-0,65535999999999	1,31072
40	-0,65535999999999	0	0	-9,9999999960687E-6
60	-0,65535999999999	0,65536	-9,9999999960687E-6	1,31072
80	-0,65535999999999	1,31071	-9,9999999960687E-6	1,96608
100	-0,65537	1,96609	-0,65537	3,2768
120	-0,65537	2,62145	-0,65537	1,96608
140	-9,9999999960687E-6	1,31071	-0,65537999999999	1,96607
160	-0,65537999999999	1,31072	-0,65537999999999	1,96607
180	-1,31074	1,31072	-1,31075	1,96608
200	-1,31074	1,31072	-1,31075	1,96608
220	-1,31075	1,31072	-1,31075	2,62144
240	-1,31074	1,31072	-1,31074	1,31071
260	-1,31075	1,31071	-1,31074	1,31071
280	-1,96611	1,31072	-1,31075	1,31071
300	-1,3082	0,65535	-1,96611	0,65535
320	-1,96611	-1,0000000003174E-5	-1,96611	-1,9999999999243E-5
340	-1,96611	-0,65538	-1,96612	-0,6554
360	-1,96611	-1,31076	-1,96611	-1,31076
380	-1,96611	-1,96612	-1,31076	-1,96613
400	-1,31075	-2,62149	-1,31076	-1,96614
420	-1,31076	-3,27687	-1,31076	-2,62151
440	-1,31076	-3,27687	-1,96612	-3,93224
460	-1,31076	-4,5876	-1,96612	-4,5876
480	-1,96612	-5,89832	-1,31077	-5,24297
500	-1,31076	-5,89833	-1,31076	-5,24297
520	-1,31076	-6,5537	-1,31077	-6,5537
540	-1,31077	-7,20906	-1,96612	-7,20907
560	-1,96613	-7,20906	-1,96613	-7,86443
580	-1,31077	-8,51979	-1,96613	-7,86444
600	-1,96613	-8,5189	-1,96614	-8,51981
620	-1,96614	-9,17517	-1,31078	-9,17517
640	-1,96614	-9,83054	-1,31078	-9,17518
660	-1,96615	-9,17517	-1,31079	-7,86445
680	-1,31079	-7,86445	-1,96615	-5,89836
700	-1,96615	-5,24298	-1,96614	-2,62153
720	-2,6215	-1,96615	-2,6215	-5,9999999997729E-5
740	-3,27686	1,31067	-3,93222	3,27677
760	-3,93221	4,58751	-3,93221	5,89825
780	-4,58757	6,55362	-4,58756	7,86435
800	-5,89828	8,51973	-5,89828	9,83046
820	-5,89827	11,14119	-6,55363	12,45192
840	-6,55362	13,76266	-7,20898	15,72876
860	-0,65532	17,0395	24,904	20,97169
880	34,73711	22,93777	-51,773	25,55922
900	28,83626	25,55925	28,83626	27,52534
920	29,49164	28,18071	28,83628	29,49144
940	28,83628	31,45753	28,83629	34,07899
960	28,8363	36,70045	29,49167	39,97726
980	30,8024	41,288	31,45777	43,25408
1000	32,11314	44,56482	32,76851	46,5309
1020	33,42388	46,53091	33,42388	47,84163
1040	34,07925	47,18628	-51,77291	47,84165
1060	34,73461	46,53092	34,07924	45,87556
1080	34,07924	44,56484	33,42388	44,56484
1100	32,76853	43,25413	32,76852	43,25413
1120	32,76852	43,25413	32,11316	42,59877
1140	32,11315	42,59877	31,45779	41,9434
1160	30,80242	41,9434	30,80242	41,9434
1180	41,28829	41,94341	64,22626	43,25415
1200	79,2998	44,56487	79,29978	43,90948
1220	76,02293	42,59876	75,36757	41,9434
1240	76,02293	40,63267	75,36756	39,9773
1260	75,36755	38,66658	74,71219	38,01121
1280	74,05682	36,7005	73,40146	35,38977
1300	73,40145	33,42368	72,74608	33,42367
1320	72,74608	32,76831	72,09071	32,11294
1340	72,0907	30,80222	71,43534	31,45757
1360	71,43534	31,45757	71,43534	32,11292
1380	72,09071	32,11292	72,09071	32,76827
1400	72,09072	33,42363	72,74609	34,07897
1420	72,74611	34,73433	72,74612	35,38967
1440	74,05686	36,70037	74,05688	38,01106
1460	75,36762	39,32177	76,67838	41,9432
