T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	0	0
40	0	0	0	0,65535999999999
60	-0,65538	0,65535	-0,65538	0,65537
80	-0,65538	0,65537	-1,9999999999243E-5	1,31074
100	-0,65538	1,31073	-1,9999999999243E-5	0,65538
120	-0,65537	0,65538	-1,9999999999243E-5	0,65538
140	-1,9999999999243E-5	0,65537	-1,9999999999243E-5	0,65538
160	-1,0000000003174E-5	0,65538	-0,65537	0,65538
180	-1,0000000003174E-5	0,65537	-0,65537	0,65539
200	-0,65537	0,65537	-1,0000000003174E-5	0,65539
220	-1,0000000003174E-5	1,31074	-1,0000000003174E-5	0,65538
240	-1,0000000003174E-5	0,65538	-1,0000000003174E-5	1,9999999999243E-5
260	-1,0000000003174E-5	1,0000000003174E-5	-1,0000000003174E-5	0,65539
280	-1,0000000003174E-5	0,65538	-0,65537	0,65539
300	-0,65537	0,65538	-1,0000000003174E-5	0,65539
320	-1,0000000003174E-5	0,65538	-0,65537	1,31076
340	-0,65537	0,65539	-0,65537	0,6554
360	-0,65536	1,31075	0	1,31076
380	0	1,31075	-0,65536	0,6554
400	-0,65536	0,65539	-1,31073	1,31076
420	-1,31072	1,31075	-1,31072	0,6554
440	-1,31072	1,31076	-1,31072	1,31076
460	-1,96608	1,31075	-1,31072	1,31076
480	11,14117	1,31075	43,90937	2,62149
500	48,49698	3,27685	45,87552	3,93223
520	44,56479	4,58759	43,90943	5,24296
540	43,25407	5,24296	43,25407	5,24298
560	43,25407	5,24297	43,25407	5,24298
580	43,25407	5,24297	43,25407	5,89834
600	42,59871	5,24297	43,25407	5,89833
620	43,25407	5,89833	42,59871	5,89834
640	43,25407	5,89832	43,25407	5,89833
660	40,63262	5,24295	37,3558	5,24296
680	38,66652	5,24295	38,66652	5,24297
700	38,66653	5,89832	38,66653	5,89833
720	38,66653	5,89832	38,66653	5,24297
740	38,66653	5,24296	38,66653	5,24297
760	38,66654	5,24296	38,66654	5,24297
780	39,3219	5,89832	38,66654	5,24296
800	38,66654	5,24296	38,66654	5,24296
820	38,66654	5,24295	38,01118	4,5876
840	47,18627	5,24294	57,67218	5,24295
860	58,98294	5,24294	58,32756	5,89832
880	57,6722	6,55368	57,6722	5,89832
900	57,6722	5,89831	58,32755	5,89832
920	57,67219	5,24295	57,67219	5,24296
940	57,67219	5,89831	57,67219	5,24296
960	57,6722	5,89831	57,6722	5,24296
980	57,6722	5,24295	57,67219	5,24296
1000	57,6722	5,24295	57,01684	5,24296
1020	57,01684	5,24296	57,01685	5,24296
1040	57,01684	5,24295	57,01684	5,24296
1060	56,36149	5,24295	58,32757	5,24296
1080	66,84736	5,89832	73,40107	6,5537
1100	72,74573	7,20905	72,09035	7,86443
1120	72,09035	7,86443	71,43499	7,86444
1140	72,09035	7,86443	71,43499	7,86444
1160	71,43499	8,5198	71,43499	7,86516
1180	71,43499	8,5198	71,43499	8,51981
1200	71,43499	8,5198	70,77963	7,86445
1220	70,77964	7,86444	71,43499	8,51981
1240	70,77963	7,86444	70,77964	7,86445
1260	70,77963	7,86445	70,77963	8,51981
1280	71,435	7,86444	71,43499	7,86445
1300	72,09035	7,86444	72,09034	7,86444
1320	72,09034	7,86443	72,74569	7,86444
1340	72,7457	7,86443	72,74569	7,20907
1360	80,61008	7,86443	89,78525	9,17588
1380	90,44065	9,17516	89,78527	9,83054
1400	89,1299	9,83053	89,1299	10,48591
1420	89,1299	10,4859	89,78525	10,48591
1440	89,12989	10,4859	89,12989	10,48591
1460	89,12989	9,83054	89,78524	9,83055
1480	89,12988	10,4859	89,12988	10,48591
1500	89,12987	10,4859	88,47451	10,48591
1520	89,12988	9,83055	89,12987	15,07343
1540	89,12988	9,83054	89,12987	9,83055
1560	88,47451	10,4859	89,12988	9,83055
