T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65537	-0,65535000000001	-0,65536	0,65536
40	-0,65537	9,9999999960687E-6	-1,0000000003174E-5	1,31072
60	-1,0000000003174E-5	0,65535999999999	0	1,31072
80	-1,0000000003174E-5	1,31072	-1,0000000003174E-5	1,31072
100	-0,65537	0,65535999999999	-0,65537	0,65536
120	-0,65537	0,65535999999999	-0,65537	0,65536
140	-1,31074	0	-0,65538	0,65536
160	-1,31074	0,65535999999999	-1,31074	1,31072
180	-1,31074	0,65537	-1,31074	1,31072
200	-1,31075	1,31072	-1,31073	1,96609
220	-1,31074	1,31072	-1,31074	1,96608
240	-1,96611	1,96608	-1,9661	2,62143
260	-1,96611	1,96608	-1,9661	2,62143
280	-2,62148	2,62143	-1,96611	2,62144
300	-2,62147	2,62144	-2,62147	3,27679
320	-2,62148	3,2768	-3,27683	4,58751
340	-3,27683	3,93216	-3,27682	4,58752
360	-3,27683	4,58752	-3,27682	5,24287
380	-3,93219	4,58751	-3,93219	5,24287
400	-4,58755	5,24288	-3,93218	5,24287
420	-4,58755	5,24287	-5,24291	5,89823
440	-5,89827	5,24287	-6,55363	5,24287
460	-7,86436	5,24287	-9,17509	4,58751
480	-10,48582	3,27679	-11,79655	3,27679
500	-13,10729	2,62144	-14,41802	3,2768
520	-16,38411	1,96608	-17,03948	1,96608
540	-19,00558	1,31073	-19,66094	1,31073
560	-18,35021	2,62145	-9,83044	5,89825
580	-4,58749	7,86434	-5,24286	9,17505
600	-6,5536	9,17505	-6,5536	9,83041
620	-5,89824	8,51969	-5,89823	9,83041
640	-5,24288	9,17505	-5,24287	9,17505
660	-5,24287	9,17507	-4,58751	9,17506
680	-4,58751	8,51971	-4,58751	9,17507
700	-5,24287	8,51971	-5,24286	8,51971
720	-5,89824	7,86436	-5,89824	7,86435
740	-7,20898	7,209	-7,20897	6,55365
760	-7,86434	5,24293	-7,20898	5,24293
780	2,62153	6,55368	17,69499	9,17514
800	27,52549	11,14123	28,83623	13,1073
820	27,52804	13,1073	27,5255	13,10729
840	28,18086	12,45194	28,18087	13,1073
860	28,18086	13,1073	28,83623	13,76265
880	28,18086	13,10729	28,83622	13,76265
900	27,5255	13,76266	28,18087	13,76265
920	28,18086	13,1073	28,18086	13,76265
940	26,87013	13,1073	27,5255	13,10729
960	26,87014	13,10729	26,87014	13,10729
980	25,5594	12,45193	20,97185	12,45193
1000	18,35037	11,14121	18,35037	12,45192
1020	17,69501	12,45192	17,69502	12,45191
1040	17,69501	11,79656	17,69502	11,79656
1060	17,69502	10,48584	18,35039	11,14119
1080	18,35039	10,48583	18,35039	11,1412
1100	18,35039	10,48584	19,00576	11,14119
1120	18,3504	10,48583	19,66113	10,48583
1140	19,00576	9,83047	19,00577	10,48583
1160	19,00576	9,17511	23,59333	12,45193
1180	39,32214	15,72876	53,08489	20,3163
1200	57,01712	20,97167	55,05103	22,28237
1220	53,08493	22,28237	53,74029	22,28237
1240	53,73889	21,62701	53,08494	22,28236
1260	53,74029	21,62701	53,74029	22,28236
1280	53,08492	21,627	53,74028	22,28235
1300	53,08492	20,97164	53,74028	21,62699
1320	53,08491	20,97164	53,08491	20,97163
1340	53,08491	20,31627	53,08491	19,66091
1360	52,42954	19,66092	52,42954	20,31627
1380	51,77417	19,00555	51,11881	19,00555
1400	51,77416	17,69484	51,77416	17,69484
1420	52,42951	17,03949	52,42952	17,03948
1440	53,08487	16,38413	53,08488	16,38414
1460	53,74023	15,72878	53,74024	15,72877
1480	38,66685	10,4859	5,89857	4,58766
1500	-22,93757	-3,93198	-39,97712	-6,55341
1520	-44,56473	-5,24271	-42,59864	-2,62129
1540	-43,254	-1,96593	-42,59863	-1,96595
1560	-41,94328	-2,6213	-41,94328	-2,62131
1580	-41,28793	-3,27667	-41,28792	-3,93204
1600	-40,63257	-4,58739	-39,9772	-5,24276
1620	-39,9772	-5,89812	-39,32184	-5,89812
1640	-39,32185	-6,55348	-38,66648	-6,55349
1660	-38,66648	-7,20885	-38,66647	-7,20885
1680	-38,01112	-7,86421	-37,35575	-6,5535
1700	-36,70039	-7,20885	-36,70038	-6,5535
1720	-36,04502	-6,55349	-29,49132	-3,27671
1740	-19,66083	-2,62134	-14,41789	-1,31062
1760	-14,41789	-1,96599	-15,07325	-1,31063
1780	-15,07326	-1,96599	-15,07325	-1,96599
1800	-15,07326	-2,62134	-15,07326	-2,62135
1820	-15,07327	-3,93206	-15,07326	-3,93207
1840	-15,72862	-4,58742	-15,07326	-3,93123
1860	-15,07327	-4,58742	-15,07326	-3,93206
1880	-15,07327	-4,58742	-15,07326	-3,93207
1900	-15,07326	-4,58742	-9,83032	-1,31062
1920	0,65555999999999	0,65547	10,48607	3,93228
1940	17,03974	4,58764	16,38438	5,89835
1960	15,729	5,24299	16,38437	5,24299
1980	16,38437	5,243	16,38437	5,24299
2000	16,38437	3,93227	15,72901	4,58763
2020	15,729	3,93227	15,07365	4,58763
2040	14,41828	3,93227	14,41829	4,58763
2060	14,41828	4,58763	14,41828	5,24299
2080	14,41828	5,24299	14,41829	5,24299
2100	14,41828	5,24299	14,41829	5,89835
2120	15,07364	5,243	15,72901	5,243
2140	15,729	5,24301	16,38438	6,55373
2160	16,38437	5,89837	16,38437	6,55373
2180	16,38437	6,55373	16,38437	6,55374
2200	16,38436	5,89838	16,38437	5,89838
2220	16,38436	5,89838	15,72901	5,89838
2240	17,03974	5,89839	26,21491	8,51985
2260	39,97761	10,48595	47,84203	13,76275
2280	49,15276	13,10739	47,84203	14,4181
2300	47,84202	13,76274	47,84203	13,10738
2320	47,84203	12,45203	47,84203	11,79666
2340	47,18666	11,79667	47,18667	11,79741
2360	47,18666	11,79667	46,5313	12,45203
2380	47,18665	11,14131	46,53129	11,79667
2400	46,53129	10,48595	45,87593	11,14131
2420	45,87592	10,48595	45,22056	10,48595
2440	44,56518	9,8306	38,01152	9,17523
2460	34,0793	8,51987	33,42394	9,83058
2480	33,42393	10,48594	32,76858	10,48593
2500	32,76857	10,48594	33,42394	10,48594
2520	33,42393	9,83057	33,42394	10,48593
2540	32,76857	9,83057	33,42394	10,48593
2560	33,42394	9,83058	33,42394	10,48593
2580	32,76858	9,83058	33,42394	9,83057
2600	27,52567	5,89842	0,00037999999999982	-1,96587
2620	-26,21429	-10,48551	-39,32161	-15,07301
2640	-40,63239	-14,41767	-40,63239	-11,79625
2660	-42,59847	-12,45161	-43,25385	-13,10697
2680	-43,90922	-15,07305	-44,56459	-15,07305
2700	-45,87534	-17,03912	-46,5307	-17,69449
