T	LX	LY	RX	RY
0	0	0	0	0
20	9,9999999960687E-6	0	7,20902	0
40	20,97177	-1,3107	24,24863	-0,65533
60	22,9379	-0,65534	21,62718	2,0000000006348E-5
80	22,28254	-0,65534	21,62718	-0,65534
100	21,62719	-0,65534	20,97182	2,0000000006348E-5
120	21,62719	-0,65535	20,97182	-0,65534
140	21,62719	-0,65535	20,97183	-0,65535
160	20,97183	-1,31071	20,97183	-0,65535
180	20,97184	-1,31071	20,97183	-1,31071
200	20,97184	-1,31072	20,31647	-1,31071
220	20,31648	-1,96608	20,31648	-1,96608
240	19,66112	-1,96609	20,31647	-1,96608
260	19,66112	-2,62145	20,31647	-2,62145
280	19,66113	-2,62146	19,66112	-2,62145
300	19,00577	-2,62146	19,66112	-3,27682
320	19,66113	-3,27682	19,00577	-3,93219
340	19,66113	-4,58755	19,66114	-4,58755
360	19,66114	-5,24292	19,66114	-5,24292
380	19,66115	-5,24292	23,59332	-9,1751
400	29,49166	-17,03951	30,80236	-17,03951
420	30,14699	-15,07342	30,14698	-15,07341
440	31,4577	-15,07342	31,45769	-15,07342
460	32,11305	-15,07342	32,11305	-15,72878
480	32,11306	-15,72879	32,11306	-15,72879
500	30,80233	-15,07342	19,66104	-7,86436
520	9,1752	-4,58752	7,86447	-5,89826
540	9,83055	-5,24291	9,83055	-5,2429
560	9,83055	-5,24291	9,17519	-5,24291
580	9,17519	-5,24292	8,51983	-4,58755
600	8,51983	-4,58756	8,51983	-4,58756
620	8,51983	-4,58756	8,51983	-3,9322
640	8,51984	-3,9322	8,51983	-3,27684
660	8,51984	-3,93221	8,51983	-3,27684
680	8,51983	-3,27685	8,51983	-2,62148
700	3,27691	-0,65537	1,96617	0
720	2,62153	-0,65537999999999	2,62152	-0,65537
740	2,62152	-0,65537999999999	2,62151	-1,31073
760	2,62152	-1,31074	2,62152	-1,31074
780	2,62152	-1,31074	3,27688	-1,9661
800	2,62152	-1,96611	3,27688	-1,9661
820	3,27688	-1,96611	3,27689	-1,96611
840	3,27689	-1,96611	3,27689	-2,62147
860	3,27689	-2,62147	3,27689	-2,62147
880	3,27689	-2,62147	3,27688	-3,27683
900	3,27689	-3,9322	3,27688	-3,93219
920	3,27688	-3,9322	11,79662	-3,93219
940	21,62717	-4,58753	22,28256	-4,58752
960	20,97183	-4,58753	20,97183	-3,93217
980	21,62719	-3,93217	21,62718	-3,93217
1000	21,62719	-4,58754	21,62719	-4,58753
1020	21,62719	-4,58754	21,62719	-5,2429
1040	21,62719	-5,2429	22,28254	-5,2429
1060	22,28255	-5,24291	21,62718	-5,2429
1080	21,62719	-5,2429	21,62718	-4,58754
1100	21,62719	-5,2429	21,62718	-4,58754
1120	21,62719	-5,24291	22,28255	-5,2429
1140	22,28255	-5,24291	21,62719	-5,24291
1160	21,62719	-5,24291	21,62719	-5,89827
1180	21,6272	-5,89828	21,62719	-5,89827
