T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	0	0	0,65537
40	0,65536	1,0000000003174E-5	9,9999999960687E-6	1,0000000003174E-5
60	0,65536	0,65536	3,93222	0,65537
80	6,55371	0,65537	5,89835	0,65537
100	5,89834	1,31073	5,89835	1,31073
120	5,89834	1,31073	5,24298	1,9661
140	5,89834	1,96609	4,58763	1,96609
160	5,24298	1,96609	3,93226	1,96609
180	3,93225	1,31073	2,62153	1,9661
200	2,62152	1,31073	1,96616	1,31074
220	1,31078	1,31073	0,65543	1,31073
240	0,65541	1,31073	-2,62143	1,31073
260	-2,62144	1,31073	-3,27679	1,9661
280	-1,96606	1,9661	-2,62142	1,9661
300	-1,3107	1,9661	-2,62141	2,62146
320	-1,31069	2,62146	-1,96605	2,62146
340	-1,31069	2,62146	-1,96604	2,62146
360	-1,96605	2,62146	-2,6214	2,62146
380	-1,96605	2,62146	-3,27676	2,62146
400	-2,62141	2,62146	-1,96604	2,62146
420	12,45205	2,62145	32,76853	2,62145
440	39,97767	1,31071	36,04549	2,62144
460	35,39008	2,62144	34,73474	2,62145
480	35,39009	2,62145	34,73472	2,62145
500	34,73471	2,62145	34,07935	2,62145
520	34,7347	2,62145	34,07935	2,62145
540	34,7347	2,62145	34,7347	2,62146
560	35,39006	2,62145	32,7686	2,62146
580	27,52564	2,62146	24,90416	3,27683
600	25,55952	3,27683	25,55953	3,27684
620	26,21488	3,27684	25,55952	3,9322
640	26,21488	3,27684	26,21489	3,27684
660	27,52561	3,27684	26,87025	3,27685
680	28,18097	3,27685	26,21489	3,27685
700	19,00582	3,93222	15,729	3,27686
720	17,03973	3,27686	16,38438	3,93223
740	17,69509	3,93224	17,03974	3,93224
760	18,35045	3,27688	17,6951	3,27688
780	19,00583	3,27687	19,00583	2,62151
800	19,6612	3,27687	19,66121	3,27687
820	19,66121	3,27687	19,00586	3,27687
840	19,66122	3,27687	18,3505	3,27687
860	18,35049	3,27688	17,03977	3,27688
880	17,03976	3,27688	16,3844	3,27689
900	17,03974	3,27689	16,38438	3,27689
920	16,38437	2,62153	15,729	3,2769
940	16,38436	2,62153	15,729	3,2769
960	16,38436	3,2769	16,38437	3,2769
980	17,03972	3,93226	16,38438	3,93226
1000	16,38438	3,93226	17,03975	4,58762
1020	27,52565	4,58762	37,35623	4,58763
1040	41,94382	4,58763	40,63309	4,58763
1060	41,28844	4,58763	39,97772	4,58763
1080	41,28843	4,58763	39,97771	4,58763
1100	40,63306	4,58762	40,63306	4,58763
1120	40,63306	3,93226	39,9777	4,58763
1140	40,63306	4,58762	40,63307	3,93226
1160	41,28842	3,93226	40,63307	4,58762
1180	41,28842	3,93226	40,63307	3,93226
1200	41,28843	3,93225	40,63307	3,93226
1220	40,63307	4,58762	40,63307	4,58762
1240	41,28842	3,93226	40,63308	4,58762
1260	41,28842	3,93226	39,97771	3,93226
1280	41,28842	3,93225	39,97771	3,93226
1300	41,94379	3,93225	49,15288	5,24368
1320	57,67272	4,58764	58,32812	4,58764
1340	58,3281	4,58763	57,01739	4,58764
1360	58,3281	4,58764	57,67275	4,58764
1380	57,67274	4,58764	57,01738	4,58764
1400	57,67273	4,58763	57,01738	4,58764
1420	57,67274	4,58763	57,01738	3,93228
1440	57,67274	3,93227	57,01738	3,93227
1460	57,67274	3,93227	56,36203	3,93227
1480	57,67274	3,93227	-57,01526	3,93228
1500	57,01738	3,93228	57,01739	3,93227
1520	65,53718	3,93228	76,67849	3,9323
1540	83,23223	3,9323	81,92151	3,9323
1560	81,92149	3,9323	81,26614	3,9323
1580	81,92149	3,9323	80,61077	3,9323
1600	81,26612	3,9323	80,61076	3,27694
1620	81,26611	3,27694	80,61075	3,27694
1640	81,2661	2,62158	80,61075	3,27694
1660	81,26611	3,27694	80,61075	3,27694
1680	81,2661	3,27694	80,61075	3,27694
1700	81,2661	3,27694	81,26611	2,62158
1720	84,54293	3,27694	88,47519	2,6216
1740	89,78591	3,27695	88,47519	3,27696
1760	89,13054	3,93232	87,81983	3,27696
1780	89,13054	3,27696	89,13054	3,27696
1800	89,78589	2,62159	89,13053	2,6216
1820	89,78588	2,6216	89,13052	3,27696
1840	90,44124	3,27696	89,78588	2,62161
1860	90,44123	2,6216	90,44124	2,62161
1880	91,0966	3,27696	90,44125	3,27697
1900	91,0966	3,27697	90,44125	3,27697
1920	91,09661	2,62161	91,09661	2,62161
1940	91,09661	2,62161	91,75198	3,27697
1960	92,40733	2,6216	91,09661	2,6216
1980	77,33385	1,31085	49,15297	-0,65528
2000	22,93819	-2,62138	-0,65505	-3,27676
2020	-6,55338	-3,27677	-4,58727	-2,62139
2040	-3,27655	-2,6214	-3,93192	-1,96604
2060	-2,62121	-1,96603	-3,27657	-1,96604
2080	-1,96586	-1,96604	-2,62122	-1,96604
2100	-1,96588	-1,96604	-3,27659	-1,96604
2120	-1,96589	-1,96604	-2,62125	-1,96604
2140	-1,96589	-1,96605	-3,93199	-1,96603
2160	-6,55348	-1,31067	-7,86422	-1,31066
2180	-6,55349	-0,65531	-7,86421	-0,65531
2200	-7,20886	-0,65531	-7,86422	-1,31067
2220	-7,20887	-1,31067	-7,86423	-1,31067
2240	-7,20889	-1,31068	-8,5196	-1,31067
2260	-7,20889	-1,31067	-7,86424	-1,31067
2280	-7,20889	-1,31067	-8,5196	-1,31067
2300	-7,20889	-1,31068	-7,86423	-1,31068
2320	-6,55352	-1,31068	-7,20887	-1,31068
2340	-6,55352	-1,31068	-7,20887	-1,31068
2360	-6,55352	-1,31068	-7,20887	-1,31068
2380	-6,55352	-1,31069	-6,55351	-1,31068
2400	0,00016999999999712	-1,31068	6,5539	-1,31068
2420	9,83074	-1,31068	9,17537	-1,31067
2440	9,17537	-1,31068	9,17538	-1,31068
2460	9,83073	-1,31068	9,17538	-1,31068
2480	9,83073	-1,31068	9,17538	-1,31068
2500	9,83073	-1,31068	9,83073	-1,31068
2520	10,48609	-1,96605	9,83073	-1,96605
2540	10,48607	-1,96605	12,45218	-1,96605
2560	24,90417	-1,96605	31,45791	-1,96605
