T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65536	0,65537	0	0,65537
40	-0,65536	1,31074	-0,65536	1,31073
60	-1,31072	2,62146	-0,65536	1,9661
80	-1,31071	2,62146	-1,31072	2,62146
100	-1,96607	2,62146	-1,31072	2,62146
120	-1,96606	3,93218	-1,96607	3,27682
140	-2,62141	3,93219	-2,62142	3,93218
160	-3,27678	4,58755	-2,62142	5,24291
180	-3,27677	5,89827	-2,62141	6,55363
200	-3,27677	7,209	-2,62141	7,86436
220	-3,27676	9,17509	-3,27676	9,17509
240	-3,27675	10,48581	-2,6214	11,79653
260	-3,27674	13,76262	-2,6214	15,07334
280	-2,62139	17,03941	-1,31067	17,69477
300	-1,31066	19,66085	-0,65531	20,31621
320	-0,65531	21,62693	0,65541	22,28227
340	1,31077	22,28228	2,62148	22,28226
360	3,27684	22,28226	3,9322	22,28225
380	4,58756	22,93761	5,24291	22,93761
400	4,58756	24,24833	5,24291	23,59297
420	5,24292	23,59298	5,24291	22,93761
440	4,58756	22,93762	5,24291	22,28225
460	3,93219	22,28226	4,58755	21,62689
480	3,9322	21,62691	3,9322	21,62691
500	3,27685	21,62691	3,9322	20,97155
520	3,27685	20,97155	3,27684	20,31619
540	3,27685	20,3162	3,93221	20,31619
560	2,6215	20,97156	2,62149	20,3162
580	1,96613	20,3162	8,51989	21,62691
600	19,00609	21,62693	22,28307	20,97157
620	20,97233	22,28231	20,31696	22,93767
640	19,66162	24,24841	20,31698	24,24842
660	19,00627	25,55916	20,31699	24,9038
680	19,00627	26,21453	19,00627	26,21453
700	18,35092	26,86991	18,35092	26,86991
720	17,69557	27,52528	17,69557	27,52528
740	17,04022	28,83601	17,04021	28,18065
760	16,38486	28,83602	17,04022	28,83602
780	16,38486	29,49138	16,38484	28,83602
800	19,00639	30,14676	32,11385	31,45756
820	36,70136	32,113	37,35671	33,42372
840	36,04598	34,73445	36,70135	35,38982
860	36,046	36,70055	37,35672	37,35591
880	37,35674	39,322	37,35675	39,322
900	37,35676	39,97736	38,01213	39,322
920	37,35679	39,97736	37,3568	39,322
940	36,70146	39,97736	37,35684	39,32199
960	36,04612	39,97736	35,39077	39,32198
980	34,73543	39,97733	34,73543	39,32196
1000	34,08008	39,97732	34,08008	39,32196
1020	32,76936	39,97733	32,76935	39,32197
1040	31,45864	39,97734	31,45863	39,32199
1060	30,14792	39,97735	29,49255	39,32199
1080	28,18184	39,97736	28,18183	39,322
1100	26,87113	39,97737	26,87112	39,322
1120	26,21577	39,97737	26,21577	39,322
1140	24,90505	39,97737	25,56041	39,322
1160	24,90505	39,97736	24,24969	39,322
1180	24,24969	38,66665	23,59433	37,35593
1200	22,93898	36,70058	22,28362	35,38985
1220	21,62826	34,7345	21,62826	34,07915
1240	20,97291	34,07915	20,9729	33,4238
1260	20,31754	33,42381	20,9729	32,76845
1280	20,31755	33,42382	20,9729	33,42382
1300	19,66219	33,42384	20,31754	32,76847
1320	20,31754	33,42384	20,9729	32,76848
1340	20,31754	32,11312	20,31753	30,80239
1360	26,87109	32,76856	35,39072	32,76869
1380	34,7354	32,11333	34,08	32,76868
1400	33,42465	32,11332	34,08	31,45796
1420	33,42464	31,45795	33,42464	30,80259
1440	32,76929	31,45795	33,42463	30,80259
1460	32,76928	31,45795	32,76927	30,80258
1480	32,11392	30,80259	32,11392	30,80259
1500	32,11393	30,80258	32,11393	30,14722
1520	30,80322	30,14722	30,80321	29,49185
1540	30,80321	29,49186	30,80322	29,49184
1560	30,14786	29,49184	30,14786	29,49183
1580	29,49251	30,14719	29,4925	28,83647
1600	28,18179	29,49183	28,83715	28,83646
1620	28,83715	29,49184	38,66757	29,49195
1640	44,566	29,49196	45,22137	29,49195
1660	43,91063	30,80268	44,56601	30,80267
1680	43,25529	31,45804	43,91064	31,45803
1700	42,59992	30,80268	42,59991	30,14731
1720	41,28919	30,14732	41,28917	29,49195
1740	40,63381	28,8366	41,28915	28,18123
1760	39,97843	28,18124	39,32306	27,52587
1780	38,66769	28,18124	38,66768	27,52587
1800	38,01232	27,52588	38,01486	26,8705
1820	36,04623	26,8705	36,70159	26,21512
1840	35,39087	26,87047	35,39086	25,55973
1860	34,7355	25,55972	35,39084	24,90434
1880	34,73549	24,90434	35,39083	24,24897
1900	34,73548	24,90433	36,04618	24,90433
1920	36,04619	25,55969	36,04618	24,90433
1940	36,04619	25,5597	36,70154	25,55969
1960	36,04618	24,90433	36,70154	24,90432
1980	36,04619	24,90432	36,04619	24,90432
2000	36,04619	24,24895	36,04618	23,59357
2020	36,04619	24,24893	36,70154	23,59355
2040	36,04618	24,24891	36,70154	23,59354
2060	36,70154	24,90426	37,35689	24,90425
2080	37,35689	25,55961	38,01224	24,90424
2100	38,01225	25,5596	38,66761	25,5596
2120	38,01225	25,5596	39,32296	25,5596
2140	38,66761	26,21496	38,6676	25,5596
2160	38,66761	26,21496	39,32296	25,5596
2180	39,32296	26,87032	39,32295	26,21496
2200	39,32296	26,87032	39,32296	26,87032
2220	39,97832	26,87033	39,97831	26,87032
2240	40,63368	26,87033	40,63367	26,87033
2260	39,97832	27,5257	40,63367	26,87034
2280	39,97832	26,87034	40,63367	26,87034
2300	39,97831	27,52571	40,63367	26,87034
2320	39,97831	27,52571	41,28902	27,5257
2340	40,63367	27,52571	41,28902	27,5257
2360	40,63366	27,52571	41,28902	27,5257
2380	39,9783	27,52571	41,28902	27,5257
2400	40,63365	27,5257	41,28901	26,21498
2420	40,63365	27,5257	41,289	26,87033
2440	40,63364	26,87033	40,63364	27,52569
2460	40,63364	27,5257	40,63364	27,52569
2480	39,97828	27,52569	40,63362	26,87033
2500	40,63364	27,52569	40,63363	26,87033
2520	39,97827	27,5257	40,63363	27,5257
2540	39,97827	28,18107	39,97826	27,5257
2560	39,32291	28,83643	39,3229	28,18107
2580	38,66755	28,83643	39,32291	28,83643
2600	38,66755	28,83644	39,3229	28,83643
2620	38,66755	29,4918	39,3229	29,4918
2640	38,66755	29,4918	39,97826	29,4918
2660	39,97826	30,14717	40,63362	28,83644
2680	40,63363	30,14717	41,28898	29,49181
2700	41,28898	30,14717	42,59969	29,4918
2720	41,94434	30,14718	42,59969	29,49181
2740	41,94433	30,80253	42,59969	30,14716
2760	41,94433	30,80253	42,59968	30,14716
2780	42,59969	30,80253	42,59968	30,14717
2800	42,59969	30,14718	42,59969	30,14717
2820	42,59969	30,80254	43,25504	30,14717
2840	43,25505	30,14717	44,56576	29,49181
2860	43,91041	30,14717	41,28895	28,83638
2880	27,52645	28,18092	22,28356	28,83626
2900	22,93894	29,49163	24,24967	29,49163
2920	23,59431	29,49164	23,59431	29,49164
2940	23,59431	30,14701	24,24967	30,14701
2960	23,59432	30,80237	24,24967	30,14701
2980	23,59432	30,14701	24,24967	30,14701
3000	22,93896	30,80238	23,59431	30,14701
3020	23,59433	30,80238	23,59431	30,14701
3040	22,93896	30,80238	23,59431	30,80238
3060	22,93896	31,45775	24,24968	30,80238
3080	22,93896	31,45775	23,59431	31,45775
3100	22,93896	32,11311	23,59431	31,45774
3120	22,93895	32,11311	23,59431	31,45775
3140	22,93896	32,11311	23,59431	32,1131
3160	22,93896	32,11311	23,59431	31,45774
3180	22,93896	32,76847	22,93896	32,11311
3200	22,93897	32,11311	23,59432	32,11311
3220	22,93897	32,11311	22,93896	31,45775
3240	22,93897	32,76847	22,93897	31,45774
3260	22,93897	32,1131	22,93895	31,45774
3280	22,28361	31,45774	22,93896	31,45773
3300	22,28361	31,45774	22,93897	30,80237
3320	22,28361	30,80237	22,93896	30,147
3340	22,28361	30,80237	22,93895	30,147
3360	22,2836	30,14701	22,2836	30,147
3380	22,2836	30,147	22,93895	29,49163
3400	22,28359	30,14699	22,28359	29,49163
3420	23,59431	29,49164	32,76928	29,49175
3440	36,70149	29,49182	36,0461	30,14716
3460	34,73537	30,14716	35,39074	30,14716
3480	34,73539	30,14716	34,73538	29,4918
3500	34,08002	30,14716	34,73538	30,14715
3520	34,08002	30,14716	34,08001	30,14716
3540	34,08002	30,14717	34,73537	30,14716
3560	34,08001	30,14717	35,39073	30,14717
3580	35,39074	30,14718	36,04609	30,14717
3600	36,04609	30,80254	37,35681	30,14718
3620	36,70145	30,80255	37,3568	30,80254
3640	36,70146	30,80255	37,35681	30,80254
3660	36,70145	30,80255	37,35681	30,14718
3680	36,70146	30,80255	37,35681	30,80255
3700	36,70146	30,80256	37,35681	30,80256
3720	36,70146	30,14719	26,21577	26,87024
3740	9,83173	25,55945	7,21009	24,90407
3760	9,17622	25,55944	9,83158	25,55944
3780	9,17623	26,21481	9,83159	26,21481
3800	9,8316	26,87018	9,8316	26,21482
3820	9,83161	26,87018	10,48696	26,87019
3840	9,83161	27,52556	10,48696	27,52555
3860	9,83161	28,18091	10,48696	27,52555
3880	10,48697	28,18092	11,14232	28,18091
3900	10,48696	28,83628	11,14232	28,83627
3920	11,14233	29,49164	11,14232	28,83627
3940	11,14234	29,49164	11,79769	29,49164
3960	11,14234	29,49164	11,14233	29,49164
3980	11,14234	30,14701	11,14233	30,147
4000	10,48698	30,80237	11,14233	30,147
4020	13,76642	30,80237	19,00684	30,14704
4040	19,00686	31,45777	19,00684	31,45776
4060	18,35149	32,11313	18,3515	32,11313
4080	18,35149	32,76851	19,00685	32,76851
4100	17,69613	33,42388	18,35149	32,76851
4120	17,69613	34,07924	17,69612	34,07924
4140	17,04077	34,07926	17,04077	34,07925
4160	16,38541	34,73462	17,04077	34,73462
4180	16,38542	35,38998	17,04077	34,73462
4200	16,38541	35,38999	16,38541	34,73462
4220	15,73005	35,38998	16,3854	34,73462
4240	15,73005	34,73462	16,3854	34,73461
4260	15,73004	34,73461	15,73003	34,07923
4280	1,96721	32,11312	-8,51904	29,49166
4300	-7,86372	29,49164	-5,24223	30,147
4320	-7,20831	30,147	-6,55295	30,147
4340	-7,20829	30,80237	-6,55295	30,80237
4360	-7,20831	31,45774	-6,55296	30,80237
4380	-7,2083	31,45774	-6,55296	30,80237
4400	-7,20831	31,45774	-6,55296	31,45773
4420	-7,20832	32,1131	-6,55296	31,45773
4440	-7,20832	32,1131	-6,55296	32,11309
4460	-5,89759	32,1131	-5,24224	32,11309
4480	-5,8976	32,76846	-5,24225	31,45773
4500	-5,24224	31,45773	-3,93154	31,45772
4520	-4,58689	31,45773	-4,5869	30,80236
4540	-4,5869	31,45773	-4,5869	31,45772
4560	-5,89762	31,45773	-4,58689	31,45772
4580	-5,24225	31,45773	-5,24226	31,45772
4600	-5,89761	31,45773	-5,24226	31,45773
4620	-5,89762	32,11309	-5,24226	31,45773
4640	-5,89762	32,11309	-5,24227	31,45773
4660	-5,89762	32,76846	-5,24227	32,11309
4680	-6,55298	32,76846	-5,89762	32,1131
4700	-6,55298	33,42383	-6,55298	33,42382
4720	-6,55296	33,42383	-6,55297	32,76847
4740	-6,55296	34,07919	-5,8976	33,42382
4760	-6,55295	34,07919	-6,55296	34,07919
4780	-6,55295	34,07919	-5,89759	33,42382
4800	-8,51908	32,76846	-22,28194	27,52556
4820	-36,7001	25,55946	-37,35552	24,24871
4840	-34,73403	25,55944	-34,73404	25,55944
4860	-35,38939	26,21481	-34,73403	26,2148
4880	-34,73402	26,21481	-34,73402	26,21481
4900	-34,73401	27,52554	-34,07866	26,87017
4920	-34,07866	27,52554	-34,07866	27,52554
4940	-34,73401	28,1809	-34,73401	28,1809
4960	-34,07865	28,18091	-34,07865	28,83626
4980	-34,734	28,83627	-34,07865	28,83626
5000	-34,734	29,49163	-34,07864	29,49163
5020	-34,734	30,147	-34,07864	29,49163
5040	-34,734	30,147	-34,07864	29,49163
5060	-34,734	30,14699	-34,07864	29,49163
5080	-34,734	30,14699	-34,73401	28,83627
5100	-34,734	29,49163	-34,07865	29,49162
5120	-34,734	29,49162	-34,07865	29,49162
5140	-34,73401	29,49162	-34,07864	28,83626
5160	-34,734	29,49162	-34,07609	28,83625
5180	-30,8018	30,80234	-20,97122	32,11308
5200	-19,00501	32,76845	-19,00504	33,42381
5220	-19,66041	33,42381	-19,00504	33,42381
5240	-19,66039	33,42381	-19,00505	32,76844
5260	-19,00504	32,76845	-18,34969	32,11308
5280	-18,34968	32,11308	-17,03897	31,45771
5300	-17,03896	31,45771	-16,38362	30,80235
5320	-16,38361	30,80235	-15,0729	30,14697
5340	-15,72826	30,14698	-15,07291	29,49161
5360	-15,72826	28,83625	-15,07291	28,18088
5380	-10,48529	28,83624	0,00090999999999752	26,87015
5400	1,31176	23,59331	0,65631	18,35035
5420	0,65627	10,48593	1,3116	5,89834
5440	0,00086000000000297	5,24296	0,00081999999999738	3,93291
5460	-1,30993	4,58761	-1,96531	4,58761
5480	-2,6207	4,58762	-3,27609	4,58762
5500	-4,58428	5,89835	-4,58685	5,24299
5520	-5,24221	5,89836	-4,58687	5,24299
5540	-5,24223	6,55372	-5,24223	5,89836
5560	-5,89759	6,55373	-5,24224	6,55374
5580	-5,8976	7,86446	-5,8976	8,51983
5600	-7,20832	8,51985	-3,27607	10,48593
5620	3,93331	11,14133	5,89948	12,45206
5640	4,58874	15,07353	4,58873	15,72891
5660	3,93339	17,69502	3,93338	18,35039
5680	3,27803	19,66114	3,93339	20,31651
5700	3,27803	21,62725	3,27803	22,28262
5720	2,62268	23,59336	2,62268	24,24874
5740	2,62269	25,55947	3,27804	26,21484
5760	2,62269	26,87021	3,27804	26,87021
5780	2,62267	27,52558	2,62267	26,87022
5800	2,62267	28,18096	3,27803	28,18095
5820	4,58877	28,18096	14,41935	27,52564
5840	20,31761	27,52569	20,3176	28,18105
5860	19,00687	29,49178	19,66223	29,49178
5880	19,66224	30,14714	19,66223	30,14715
5900	19,00688	30,14715	19,66224	30,14715
5920	18,35152	30,14716	18,35153	30,14716
5940	17,69619	30,14716	18,35157	29,49181
5960	17,69623	29,49181	17,69623	29,49181
5980	16,38553	29,49181	16,38553	28,83645
6000	15,07482	29,49181	15,73017	30,14717
6020	14,41946	30,14719	14,41945	30,80254
6040	13,7641	32,11327	14,41946	32,11327
6060	13,76409	33,42401	14,41945	33,42401
6080	14,41945	34,73473	14,41944	34,73473
6100	14,41945	35,39009	15,73016	34,73473
6120	15,73016	36,04545	17,04087	35,39008
6140	17,04087	36,04544	17,69623	35,39007
6160	17,69623	36,04544	18,35158	35,39007
6180	17,69622	36,04543	18,35158	36,04543
6200	17,69622	36,70079	18,35157	36,04543
6220	18,35157	36,7008	19,00693	36,04543
6240	18,35157	36,04544	19,00693	36,04544
6260	18,35157	36,04545	19,00693	35,39008
6280	18,35157	35,39009	19,00692	35,39008
6300	19,00693	35,39009	19,00693	34,73472
6320	19,00693	34,07936	19,66228	33,42398
6340	19,00692	32,76862	19,66227	32,11325
6360	19,00691	32,11325	19,0069	30,80253
6380	19,66226	32,11326	31,45865	33,42411
6400	45,2214	34,07948	48,49833	33,42411
6420	46,53221	36,70092	45,22148	38,01163
6440	43,91078	39,97772	43,25542	39,32235
6460	42,60007	39,97772	42,60007	39,32235
6480	41,94471	39,97772	41,28935	39,32235
6500	41,28935	39,97772	41,94471	39,32235
6520	40,63399	39,97772	41,28935	39,32235
6540	40,634	39,97772	41,28935	39,32235
6560	40,634	39,97772	40,63399	39,32235
6580	39,97864	39,97772	40,63399	39,32235
6600	39,97863	39,97772	40,63399	39,32235
6620	39,32327	39,97772	39,97863	39,32235
6640	39,32326	39,97772	39,32326	39,32235
6660	39,32326	39,97772	39,32326	39,32235
6680	38,6679	39,97772	39,32325	39,32235
6700	38,6679	39,97772	39,32326	39,32235
6720	38,6679	39,97772	38,6679	39,32235
6740	38,6679	39,97772	39,32326	39,32235
6760	38,66791	39,97772	39,97863	39,32235
6780	39,32328	39,97772	40,63399	39,32235
6800	38,01251	39,97772	18,35154	39,32235
6820	-15,07223	39,97771	-43,25358	37,35618
6840	-63,57009	27,52566	-62,91481	30,14709
6860	-63,57012	34,07928	-62,91477	35,39001
6880	-63,57013	37,35611	-62,91477	39,3222
6900	-63,57012	39,97758	-62,91476	39,32223
6920	-63,57011	39,9776	-62,91475	39,32225
6940	-63,5701	39,97762	-62,91474	39,32226
6960	-63,57009	39,97764	-62,91474	39,32228
6980	-63,57009	39,97765	-62,91475	39,32228
7000	-63,5701	39,97765	-62,91475	39,32229
7020	-63,57011	39,97765	-62,91476	39,32228
7040	-63,57012	39,97764	-62,91476	39,32227
7060	-63,57013	39,97764	-62,91486	39,32228
7080	-63,57026	39,97763	-62,91489	39,32227
7100	-63,57024	39,97763	-62,91489	39,32227
7120	-63,57024	39,97762	-62,91489	39,32225
7140	-63,57025	39,97762	-62,91488	39,32225
7160	-63,57024	39,97761	-62,91489	39,32224
7180	-63,57025	39,9776	-62,91489	39,32224
7200	-63,57025	39,9776	-62,9149	39,32223
7220	-63,57026	39,97759	-62,9149	39,32223
7240	-63,57026	39,97758	-62,91491	39,32221
7260	-63,57027	39,32222	-62,91492	38,66685
7280	-63,57028	38,01148	-62,91492	37,35611
7300	-63,57028	37,35611	-62,91492	36,70074
7320	-63,57028	36,70075	-62,91493	36,04538
7340	-63,57029	36,04538	-62,91493	34,73465
7360	-63,57029	34,73465	-62,91494	34,07927
7380	-63,5703	33,42391	-62,91491	34,07927
7400	-52,42896	37,35609	-46,5306	36,04536
7420	-47,84133	36,04536	-47,186	34,73463
7440	-47,84134	35,38999	-47,18599	34,73463
7460	-47,84135	35,38999	-47,18599	34,73463
7480	-47,84135	35,38999	-47,84135	34,73462
7500	-47,84135	35,38999	-47,84136	34,73462
7520	-47,84135	34,73462	-47,186	34,73462
7540	-47,84135	34,73462	-47,186	34,07926
7560	-47,84135	34,07926	-47,186	34,07925
7580	-47,84135	34,73462	-47,186	34,07926
7600	-47,84136	34,07926	-46,53063	34,73461
7620	-34,73397	39,32217	-26,21407	39,32218
7640	-24,24794	39,32218	-23,5926	39,32217
7660	-23,5926	39,97753	-22,28188	39,32216
7680	-22,28188	39,32217	-20,97117	38,66681
7700	-21,62652	38,66681	-20,97117	38,6668
7720	-20,97117	38,6668	-20,31582	38,01145
7740	-20,31582	38,66681	-20,31583	38,01143
7760	-20,31582	38,01144	-20,31583	37,35607
7780	-20,31583	37,35607	-19,66048	36,70071
7800	-19,66047	38,01144	-19,66047	36,70071
7820	-19,66047	37,35607	-19,66047	37,35607
7840	-19,00511	37,35607	-19,00512	36,70071
7860	-19,66048	36,70071	-18,34977	36,04534
7880	-12,45138	38,66679	-4,58671	38,01144
7900	-3,27591	38,6668	-3,27596	38,01143
7920	-3,27594	38,6668	-1,96522	37,35607
7940	-2,62059	38,01143	-1,96523	37,35607
7960	-1,96524	38,01143	-1,30989	37,35606
7980	-2,62061	37,35607	-1,96526	36,7007
8000	-1,96526	37,35606	-1,30991	36,7007
8020	-1,96527	37,35606	-1,30992	36,70069
8040	-1,30991	37,35606	-1,30991	36,7007
8060	-1,96526	37,35606	-1,30991	37,35606
8080	-1,96526	37,35606	-1,30991	36,7007
8100	-1,96526	37,35606	-1,30991	36,7007
8120	-1,96527	37,35606	-1,30991	36,70069
8140	-1,96527	37,35606	-1,96528	36,04532
8160	-1,96527	36,04533	-1,96529	36,04532
8180	-2,62064	36,04532	-2,62065	34,73459
8200	0,00086999999999904	35,38995	14,41928	36,04536
8220	22,28368	35,39006	22,28366	35,39005
8240	21,62828	36,70077	21,62828	36,04541
8260	20,97292	36,70078	21,62828	36,04541
8280	20,97292	36,70079	21,62827	36,04542
8300	20,97292	36,70079	20,97291	36,04543
8320	20,31755	36,04544	20,9729	36,04543
8340	20,31754	36,7008	20,9729	36,04543
8360	20,31754	36,70079	20,97289	36,04543
8380	20,31754	36,04543	20,97288	36,04542
8400	20,97289	35,39007	22,2836	35,39006
8420	22,28361	35,39006	22,93896	34,7347
8440	22,93897	35,39007	23,59432	34,7347
