T	LX	LY	RX	RY
0	0	0	0	0
20	-9,9999999960687E-6	0	0	0
40	-9,9999999960687E-6	0	0	-0,65536
60	-9,9999999960687E-6	0	0	-0,65536
80	-9,9999999960687E-6	9,9999999960687E-6	0,65536	-0,65536
100	0,65536	-0,65535	0,65536	-0,65536
120	-1,31074	9,9999999960687E-6	-2,62146	2,9999999995312E-5
140	-2,62146	1,9999999999243E-5	-2,62145	0,65538
160	-2,62146	0,65538	-2,62145	0,65538
180	-2,62146	0,65538	-2,62145	1,9999999999243E-5
200	-3,27681	0,65538	-2,62145	0,65538
220	-2,62145	0,65538	-2,62144	0,65538
240	-3,27681	0,65539	-2,62144	0,65538
260	-3,27681	0,65539	-3,2768	1,31074
280	-3,27681	1,31075	-3,27679	0,65539
300	-3,93217	0,65539	-3,2768	1,31075
320	-3,93216	1,31076	-3,93215	1,31075
340	-3,93216	1,31075	-3,93215	1,31075
360	-3,93216	1,31076	-3,93215	1,31075
380	-3,93216	1,31076	-3,93215	1,31075
400	-3,93216	1,31076	-4,58751	1,31076
420	-3,93215	1,31076	-3,93214	1,31076
440	-3,93215	1,31076	-3,27677	1,31076
460	-3,27678	1,31076	-2,62141	1,31076
480	-2,62142	1,31076	-2,62143	1,31076
500	-3,2768	1,31077	-2,62144	1,31076
520	-2,62144	1,31077	-2,62144	1,31076
540	-2,62145	1,31076	-2,62145	1,31076
560	-3,27681	1,31076	-2,62145	1,31076
580	-3,27682	1,31076	-3,27682	1,31076
600	-3,27682	1,31076	-2,62145	1,31076
620	-3,27682	1,31076	-3,27682	1,31076
640	-2,62147	1,31076	-2,62146	0,6554
660	-2,62147	1,31076	-2,62146	1,31076
680	-2,62147	1,31076	-2,62147	0,6554
700	-2,62147	0,6554	-2,62147	0,6554
720	-2,62147	0,65541	-3,27682	0,6554
740	-3,27683	0,65541	-3,93218	0,6554
760	-3,27683	0,65541	-3,27683	0,6554
780	-3,93219	0,65541	-3,27683	0,65541
800	-3,27683	4,9999999994554E-5	-3,27682	3,9999999998486E-5
820	-3,27683	4,9999999994554E-5	-3,27682	4,9999999994554E-5
840	1,96609	4,9999999994554E-5	11,79663	5,9999999997729E-5
860	14,41811	5,9999999997729E-5	14,41811	0,65541
880	13,10738	5,9999999997729E-5	13,10738	0,65542
900	13,10739	5,9999999997729E-5	13,10739	5,9999999997729E-5
920	13,10739	5,9999999997729E-5	13,1074	5,9999999997729E-5
940	12,45203	5,9999999997729E-5	12,45204	5,9999999997729E-5
960	12,45203	5,9999999997729E-5	12,45205	5,9999999997729E-5
980	11,79668	5,9999999997729E-5	11,79669	5,9999999997729E-5
1000	11,79668	5,9999999997729E-5	11,14133	5,9999999997729E-5
1020	11,14133	5,9999999997729E-5	11,14133	7,0000000000903E-5
1040	11,14133	0,65543	11,14133	0,65543
1060	10,48597	0,65543	10,48598	7,0000000000903E-5
1080	10,48598	0,65543	10,48598	0,65542
1100	10,48598	0,65543	13,76283	0,65543
1120	17,03967	0,65543	17,03968	0,65542
1140	16,38431	0,65543	16,38432	7,0000000000903E-5
1160	16,38432	0,65543	15,72897	0,65543
1180	15,72896	0,65544	15,72897	0,65543
1200	15,72897	0,65544	15,72898	0,65543
1220	15,07361	0,65544	15,72898	0,65544
1240	15,07362	0,65544999999999	15,07363	0,65544
1260	15,07362	0,65544999999999	15,07363	1,31081
1280	15,07363	1,31081	15,07363	0,65544999999999
1300	15,07363	1,31081	14,41828	0,65546
1320	15,07364	1,31082	15,07364	0,65546
1340	14,41828	1,31082	14,41828	1,31083
1360	14,41827	1,31083	14,41828	1,31083
1380	14,41827	1,31083	14,41828	1,31083
1400	14,41828	1,31084	14,41828	1,31083
1420	14,41828	1,31084	14,41828	1,31083
1440	14,41828	1,31084	12,45218	1,96621
1460	11,79681	1,96622	11,79682	1,96621
1480	11,79682	1,96622	11,79683	1,96622
1500	11,79682	1,96622	11,79683	1,96621
1520	11,79683	2,62157	11,79684	1,96621
1540	11,79684	1,96622	11,79684	1,96621
1560	11,79684	2,62157	11,79685	1,9662
1580	11,79685	2,62156	11,79685	1,96619
1600	11,79684	1,96619	12,4522	1,96619
1620	12,45218	1,96619	12,45219	1,96618
1640	13,10754	1,96618	12,45219	1,96618
1660	15,07365	1,96618	16,3844	1,96619
1680	16,38439	1,96618	16,38439	1,96617
1700	16,38439	1,96617	16,3844	1,3108
1720	17,03975	1,96616	17,03976	1,96616
