T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	9,9999999960687E-6	9,9999999960687E-6
40	-0,65536	9,9999999960687E-6	-0,65535000000001	0,65536
60	-0,65536	0,65537	9,9999999960687E-6	9,9999999960687E-6
80	-0,65535	0,65537	-0,65535000000001	0,65537
100	-0,65535	0,65537	-0,65535000000001	0,65537
120	-0,65535	0,65537	-1,31071	0,65537
140	-1,31071	0,65537	-0,65535000000001	0,65537
160	-1,31071	0,65537	-1,3107	0,65537
180	-1,31071	1,31074	-1,3107	1,31074
200	-1,96606	1,31074	-1,96606	1,31074
220	-1,96606	1,31074	-1,96606	1,31074
240	-1,96607	1,9661	-1,31071	1,31074
260	-1,31072	1,9661	-1,31072	2,62146
280	-1,31072	2,62147	-1,31072	2,62147
300	-1,96609	2,62147	-1,96609	2,62147
320	-1,96609	2,62147	-1,96608	40,63236
340	-1,96609	3,27684	-1,96608	3,27684
360	-1,96609	3,9322	-1,96608	3,9322
380	-1,96608	3,9322	-2,62143	3,9322
400	-2,62144	3,9322	-1,96607	4,58756
420	-2,62144	4,58757	-3,93216	5,24293
440	-3,93216	5,8983	-3,93215	5,8983
460	-3,93215	5,89831	-3,93215	5,89831
480	-4,58751	6,55367	-4,58751	6,55367
500	-4,58751	6,55367	-4,5875	6,55367
520	-4,58751	6,55367	-4,5875	6,55367
540	-4,58751	6,55368	-4,5875	6,55367
560	-4,58751	6,55368	-5,24286	6,55368
580	-5,24287	6,55368	-5,24286	6,55368
600	-5,24287	6,55368	-5,24286	6,55367
620	-5,24286	6,55367	-5,24286	6,55438
640	-4,5875	6,55367	-4,58749	7,20903
660	-4,5875	7,20904	-4,58749	7,20904
680	-4,58749	6,55368	-4,58749	7,20904
700	-5,24285	7,20904	-5,24285	6,55368
720	-5,24285	7,20904	-5,24284	7,20903
740	-5,24285	7,20904	-5,24285	7,20904
760	-4,58749	7,8644	-5,24284	7,8644
780	-4,58749	7,8644	-4,58748	7,8644
800	-4,58748	7,8644	1,96616	8,51976
820	13,7628	9,17512	17,03967	9,17512
840	15,72893	9,83048	15,72893	9,83049
860	15,07357	10,48585	15,07357	9,83049
880	15,07356	9,83049	15,07357	10,48585
900	14,4182	10,48585	14,41821	10,48585
920	14,4182	10,48585	14,41821	10,48585
940	14,4182	10,48585	14,41821	10,48585
960	13,76284	10,48585	14,41821	10,48585
980	13,76285	10,48585	14,4182	9,83049
1000	13,76284	9,83049	13,76284	9,83048
1020	13,10747	9,83048	13,10748	9,83048
1040	13,10747	9,83048	13,10747	9,83048
1060	13,76282	9,83048	15,07353	10,48583
1080	18,35034	10,48583	24,90402	11,14118
1100	25,55938	11,79654	26,21474	11,79654
1120	26,21473	12,4519	26,87009	13,10727
1140	26,87008	13,10727	26,87008	13,76264
1160	25,55936	13,76265	24,90402	13,76265
1180	23,5933	13,1073	21,62723	12,45193
1200	19,66116	11,79657	18,35044	10,48584
1220	17,69508	10,48584	17,03972	9,83048
1240	16,38436	9,83048	26,21486	9,83048
1260	37,35616	11,1412	38,66693	10,48583
1280	37,35619	10,48584	36,70083	10,48584
1300	36,04547	10,48584	36,04547	10,48584
1320	36,04546	10,48584	35,39011	10,48584
1340	35,3901	11,1412	34,73475	10,48584
1360	35,39011	10,48584	34,73475	10,48584
1380	34,73475	11,1412	34,73475	10,48584
1400	34,73475	10,48584	34,73475	11,1412
1420	34,73474	10,48585	34,73474	11,1412
1440	34,73474	10,48584	34,73474	11,1412
1460	34,07938	10,48584	42,59915	13,10729
1480	58,98338	15,07339	62,91567	14,41802
1500	61,60493	15,07339	61,60493	15,07339
1520	61,60492	15,07339	61,60492	15,72875
1540	61,60492	15,72876	61,60493	15,72875
1560	61,60492	15,72876	61,60493	15,72875
1580	61,60492	16,38412	61,60492	16,38412
1600	61,60492	17,03948	61,60493	17,03948
1620	61,60492	17,03949	61,60492	17,03949
1640	61,60492	17,69485	61,60492	17,03949
1660	66,84787	18,35022	77,33381	19,66095
1680	79,29995	19,66095	78,64458	20,31632
1700	77,98921	20,31633	78,64458	20,31633
1720	77,98921	20,97169	77,98922	20,97169
1740	77,98921	20,9717	77,33386	20,97169
1760	77,33386	20,9717	76,6785	21,62705
1780	76,67849	21,62706	76,6785	20,97169
1800	77,33386	20,97169	91,75198	21,62706
1820	101,58259	21,62706	100,92725	22,28242
1840	99,6165	22,28243	99,61652	22,93779
1860	99,61651	22,93779	99,61652	23,59315
1880	99,61651	23,59316	98,96116	23,59315
1900	98,96115	23,59316	98,96115	23,59315
1920	98,96115	23,59316	98,96115	24,24852
1940	98,96114	24,24852	98,96114	24,90388
1960	98,96113	24,90388	99,61649	24,90388
1980	98,96111	24,90389	99,61648	25,55924
2000	98,30574	25,55924	79,95539	22,28242
2020	45,87866	17,69488	9,17543	13,76271
2040	-11,79631	14,41806	-11,79629	15,72879
2060	-10,48554	17,03951	-9,83019	17,03951
2080	-10,48555	18,35025	-9,83018	19,00561
2100	-10,48555	19,66098	-9,83018	20,31635
2120	-10,48554	20,31636	-10,48553	20,97172
2140	-10,48555	20,97173	-10,48554	21,62708
2160	-10,48555	21,62709	-10,48554	22,28245
2180	-10,48555	22,28245	-10,48555	22,28245
2200	-10,48555	22,28245	-10,48555	22,28245
2220	-10,48556	22,93781	-9,83019	22,9378
2240	-9,8302	22,28244	-9,83019	22,28244
2260	-10,48556	22,28244	-9,8302	22,28244
2280	-10,48556	22,28244	-10,48556	22,28244
2300	-10,48557	21,62708	-9,8302	21,62707
2320	-9,83021	20,97171	-3,9319	20,9717
2340	6,55401	20,9717	7,2094	20,97169
2360	5,89866	20,9717	5,89866	20,9717
2380	6,55402	20,31634	5,89866	20,31634
2400	5,89865	20,31633	5,89865	20,31633
2420	5,89865	20,31633	5,89865	19,66096
2440	5,24328	19,66097	5,24328	19,66096
2460	5,24328	19,0056	5,24328	19,0056
2480	5,89863	19,0056	5,24328	18,35023
2500	5,24327	18,35023	5,24327	18,35023
2520	5,24326	17,69487	4,58791	17,69486
2540	4,5879	17,0395	4,5879	16,38414
2560	3,93253	16,38414	3,93253	15,72877
2580	3,93252	15,72877	3,93253	15,72877
2600	3,93253	15,72877	3,93253	15,0734
2620	3,93252	15,07341	3,93252	15,0734
2640	12,45229	16,38413	32,11336	18,35022
2660	39,97784	18,35022	38,01176	18,35022
2680	38,01175	18,35022	38,6671	18,35022
2700	38,66709	17,69486	39,32246	17,69485
2720	38,66709	17,69486	39,32245	18,35022
2740	39,32244	17,69486	39,97781	18,35022
2760	39,32243	17,69486	39,32244	17,69485
2780	39,32244	17,69485	39,32244	17,69485
2800	44,56537	18,35022	49,15298	19,00558
2820	48,49762	18,35022	48,49761	18,35022
2840	48,49761	18,35022	48,49761	18,35022
