T	LX	LY	RX	RY
0	0	0	0	0
20	0,65537	2,62147	1,0000000003174E-5	0,65536
40	0,65538	2,62148	2,0000000006348E-5	2,62146
60	1,31074	3,27684	0,65537	1,31073
80	1,31072	2,62147	0,65535000000001	1,31072
100	1,96609	3,27684	2,62145	1,31075
120	4,58754	1,96614	3,93217	1,31075
140	5,24291	1,96614	4,58755	0,6554
160	5,89828	2,6215	7,20899	1,9999999999243E-5
180	9,17509	1,31078	9,1751	3,9999999998486E-5
200	11,14119	0,65544	10,48583	0,65541
220	11,79656	1,3108	11,14121	0,65542
240	11,79658	3,2769	9,83048	1,31081
260	10,48586	3,27693	10,48586	3,93226
280	11,14124	7,2091	11,14123	5,89835
300	12,45196	8,51982	12,45197	7,86444
320	13,7627	11,14127	13,10735	10,48588
340	15,07343	11,14127	14,41807	10,48588
360	14,41809	13,76271	13,10738	14,41804
380	14,41811	15,7288	14,41811	15,07341
400	14,41812	17,69487	13,76275	17,03948
420	14,41812	19,00559	12,45204	17,69485
440	13,76276	20,31631	12,45204	18,3502
460	13,10741	20,3163	12,45204	20,31628
480	13,10741	21,62702	11,79669	20,31627
500	12,45206	22,28238	11,14133	20,97164
520	9,8306	23,59311	9,17524	23,59309
540	9,83063	26,21457	9,17526	24,90381
560	9,83062	25,55919	9,17526	25,55917
580	9,83064	27,52528	8,51992	26,86989
600	9,83064	28,836	9,17528	26,86988
620	10,48601	28,83599	9,17529	28,18061
640	10,48601	29,49136	9,83063	27,52524
660	10,486	28,83599	9,17528	28,18061
680	9,17529	30,14672	8,51994	28,83597
700	9,17531	30,14672	8,51994	28,83597
720	8,51995	30,80208	7,20923	29,49134
740	7,86461	30,80209	7,8646	28,18061
760	9,83069	29,49136	8,51997	28,18061
780	8,51998	30,14672	9,17535	27,52526
800	9,83072	28,836	8,51998	27,52523
820	9,1779	29,49134	7,86464	28,1806
840	9,83074	28,83598	9,17538	25,55914
860	10,4861	26,21452	10,48611	24,24841
880	12,45219	24,24844	14,41826	20,97159
900	24,90409	23,59302	28,83629	23,59297
920	28,83629	24,90372	26,21486	23,59299
940	26,21489	25,55911	25,55953	23,593
960	26,21491	24,90375	25,55955	23,59299
980	26,21493	24,24839	24,90421	22,28227
1000	26,21494	23,59301	25,55958	21,6269
1020	26,87031	22,93764	26,87031	20,97153
1040	27,52568	22,28227	26,87031	20,97151
1060	27,52568	21,6269	26,21495	20,31615
1080	27,52568	20,97153	26,8703	19,66078
1100	28,18103	20,31616	26,8703	19,00541
1120	27,52567	20,31616	26,87029	19,0054
1140	27,52565	20,31614	26,87028	19,0054
1160	27,52564	20,31614	26,87028	19,00539
1180	26,87028	20,31614	26,21491	19,00538
1200	26,21491	19,66077	25,55955	18,35001
1220	26,87028	20,31612	26,21491	17,69464
1240	27,52563	19,00538	26,87026	17,03926
1260	27,52562	19,00536	26,21489	17,03926
1280	27,52562	18,35	26,21488	17,03925
1300	27,52561	19,00536	26,87025	17,69462
1320	27,52563	19,00537	26,87026	17,69461
1340	28,18099	19,66072	27,52562	18,34996
1360	28,18099	20,31607	26,87027	18,34995
1380	26,87027	19,66069	29,49173	19,66066
1400	31,45784	22,28214	30,14713	21,62676
1420	31,45786	23,59288	30,80251	22,28215
1440	31,45787	23,59289	30,80251	22,28214
1460	30,80252	24,24825	30,80252	22,28214
1480	31,45789	23,59288	30,80253	22,93749
1500	31,45791	24,24824	30,14718	22,28212
1520	31,45791	22,9375	30,80255	21,62676
1540	31,45792	22,9375	30,80255	20,97137
1560	31,45791	22,28211	30,80255	21,62673
1580	31,45791	22,28211	30,14718	21,6267
1600	32,11326	24,24814	38,01154	24,24807
1620	39,32227	25,55881	38,66691	24,90345
1640	39,32229	27,52495	38,66693	26,86958
1660	39,32229	28,83569	38,01156	28,1803
1680	38,66693	28,83569	38,01157	27,52494
1700	38,66693	28,83569	37,3562	27,52495
1720	38,66694	28,8357	38,01158	27,52496
1740	38,66694	28,8357	38,01157	27,52496
1760	38,66694	28,83571	37,35622	27,52496
1780	38,01159	28,8357	-53,08346	28,18032
1800	40,63305	30,80179	38,66698	30,14641
1820	38,66699	32,11253	38,01163	30,80179
1840	39,32235	32,11254	38,01163	31,45714
1860	38,667	32,7679	37,35629	31,45716
1880	38,01165	32,76791	37,35628	31,45716
1900	38,01165	33,42398	36,70093	31,45716
1920	36,70094	33,42328	36,04558	32,11253
1940	36,70095	32,76792	36,04558	31,45716
1960	37,35631	32,76791	36,04559	32,11253
1980	36,04561	34,07865	34,73488	32,76791
2000	35,39024	34,07865	34,07952	32,76791
2020	35,39026	34,07865	34,07953	32,11254
2040	34,7349	34,07866	34,07953	32,11255
2060	34,73489	33,4233	34,07953	32,11255
2080	35,39024	32,76793	35,39023	31,45718
2100	35,39023	32,11256	35,39023	30,14645
2120	36,04559	31,4572	35,39024	30,80183
2140	36,70096	32,11258	35,39024	30,80182
2160	36,70095	31,4572	36,04559	30,14645
2180	36,70096	31,4572	36,04559	29,49109
2200	36,70095	30,80183	36,04558	28,83571
2220	37,35631	30,14646	37,35631	30,14643
2240	43,25461	33,42325	43,25462	32,11251
2260	43,91	34,07864	42,59929	32,76791
2280	43,91002	33,4233	42,5993	32,11255
2300	43,91002	34,07867	43,25466	32,11256
2320	43,25467	33,42331	43,25467	32,11256
2340	43,25467	33,42331	42,59931	31,4572
2360	43,25468	32,76795	41,94397	31,45721
2380	44,56544	33,42331	45,22082	32,76793
2400	45,22082	34,73404	43,91011	34,07867
2420	43,91012	35,38943	42,5994	34,07869
2440	43,25477	35,38944	42,59941	33,42333
2460	43,25478	35,38943	42,59941	33,42333
2480	43,25478	35,38944	42,59941	34,07869
2500	42,59942	35,38943	41,94406	34,73406
