T	LX	LY	RX	RY
0	0	0	0	0
20	0	1,31072	0	-9,9999999889633E-6
40	-0,65537	0,65536	-1,0000000003174E-5	-9,9999999889633E-6
60	-1,9999999999243E-5	0,65535	-1,0000000003174E-5	-9,9999999889633E-6
80	-1,0000000003174E-5	0,65536	-1,0000000003174E-5	-0,65537999999999
100	-1,9999999999243E-5	0,65536	-1,9999999999243E-5	-0,65537999999999
120	-1,9999999999243E-5	0,65535	0,65534	-1,9999999992137E-5
140	-1,9999999999243E-5	0,65535	0,65534	-1,9999999992137E-5
160	0,65533	0,65535	0,65534	-1,9999999992137E-5
180	0,65534	0,65534	-1,9999999999243E-5	-0,65537999999999
200	0,65534	0,65534	0,65534	-2,9999999995312E-5
220	0,65534	-2,0000000006348E-5	0,65534	-0,65539
240	-3,0000000002417E-5	0,65532999999999	-1,9999999999243E-5	-2,9999999995312E-5
260	0,65534	0,65532999999999	-1,9999999999243E-5	0,65533000000001
280	0,65534	1,31069	0,65534	-2,9999999995312E-5
300	-3,0000000002417E-5	1,3107	0,65534	-2,9999999995312E-5
320	0,65533	0,65532999999999	0,65534	-2,9999999995312E-5
340	-3,0000000002417E-5	1,31069	-1,9999999999243E-5	-2,9999999995312E-5
360	-3,0000000002417E-5	1,31069	-3,0000000002417E-5	0,65533000000001
380	-3,0000000002417E-5	1,31069	-0,65539	0,65533000000001
400	-0,6554	1,31069	-3,0000000002417E-5	0,65532000000001
420	-0,65539	1,31069	-0,65539	-2,9999999995312E-5
440	-3,0000000002417E-5	-2,9999999995312E-5	-3,0000000002417E-5	-1,31075
460	-3,0000000002417E-5	-0,65539	-3,9999999998486E-5	-1,96612
480	-3,9999999998486E-5	-1,31075	-0,6554	-1,96612
500	-3,9999999998486E-5	-0,65539	-0,6554	-1,96612
520	-0,6554	-0,65539	-0,6554	-0,65539
540	-0,65541	-2,9999999995312E-5	-0,6554	-0,65539999999999
560	-0,65542	-2,9999999995312E-5	-2,62151	0,65533000000001
580	-3,27687	1,96606	-2,62151	1,31068
600	-2,62151	2,62141	-2,62151	1,96604
620	-2,62151	2,62141	-2,62151	1,31068
640	-1,96616	1,96605	-1,96616	1,96604
660	-1,96616	2,62141	-1,96616	1,96604
680	-1,96616	2,62141	-1,96616	1,96604
700	-1,96616	1,96604	-1,96615	1,31068
720	-1,96616	2,62141	-1,96616	1,31068
740	-1,96616	1,96604	-1,96616	1,96604
760	-1,96616	2,6214	-1,96616	1,96604
780	-1,96616	2,6214	-1,96616	1,31067
800	-1,96616	1,96604	-1,96616	1,31068
820	-1,96616	1,96604	-1,96615	0,65531000000001
840	-1,3108	1,96604	-1,96616	0,65531000000001
860	-1,3108	1,96604	-1,96615	0,65531000000001
880	-1,3108	1,31068	-1,31079	-4,9999999987449E-5
900	-1,3108	0,65532	-0,65543	-1,31077
920	-7,9999999996971E-5	-0,65541	-0,65543	-1,96613
940	-0,65543	-1,31076	-0,65543	-1,96613
960	-0,65543	-1,31077	-0,65543	-1,96613
980	-0,65544	-1,96613	-0,65543	-2,62149
1000	-0,65543	-1,96613	1,31067	-1,96613
1020	9,1751	-6,0000000004834E-5	11,79661	-0,65541999999999
1040	10,48588	-5,000000000166E-5	10,48587	-4,9999999987449E-5
1060	10,48587	0,65531	10,48587	-5,9999999990623E-5
1080	11,14123	0,65531	11,14123	-4,9999999987449E-5
1100	11,14123	-5,000000000166E-5	11,14123	-0,65541999999999
1120	11,14122	-5,000000000166E-5	11,14123	-4,9999999987449E-5
1140	11,14122	-3,9999999998486E-5	11,14122	-4,9999999987449E-5
1160	11,14122	-3,9999999998486E-5	11,14122	-0,65540999999999
1180	10,48586	0,65531	10,48586	-4,9999999987449E-5
1200	10,48586	-3,9999999998486E-5	10,48586	-0,65540999999999
1220	10,48586	-3,9999999998486E-5	10,48586	-4,9999999987449E-5
1240	10,48586	-3,9999999998486E-5	10,48587	-0,65540999999999
1260	10,48586	-3,9999999998486E-5	10,48586	-0,65540999999999
1280	10,48586	0,65532	-59,63766	-4,9999999987449E-5
1300	10,48586	0,65532	10,48587	-4,9999999987449E-5
1320	11,14123	0,65532	13,76271	-4,9999999987449E-5
1340	13,76272	0,65532	13,76272	0,65531000000001
1360	14,41807	1,31068	14,41808	1,31067
1380	14,41808	1,96604	14,41809	0,65531000000001
1400	15,07344	1,96604	15,07345	1,31067
1420	15,07344	1,96603	15,72881	1,31067
1440	15,7288	1,96603	15,72881	0,65531000000001
1460	15,72881	1,96603	15,72881	1,31067
1480	15,72881	1,96603	15,72881	0,65531000000001
1500	15,72881	1,31068	16,38417	0,65531000000001
1520	22,93786	3,27675	33,4238	4,58746
1540	34,07921	4,58747	32,76848	3,93211
1560	33,42383	5,24284	34,0792	4,58747
1580	34,73456	5,24284	34,73456	4,58747
1600	34,73455	5,24284	35,38992	3,93211
1620	35,38991	4,58748	35,38992	3,93211
1640	35,38992	4,58747	36,04528	3,9321
1660	36,04527	3,27675	36,04527	2,62138
1680	36,70062	2,62139	37,35599	1,96602
1700	37,35598	2,62138	36,70063	1,31066
1720	37,35598	1,96602	36,70063	1,31066
1740	36,70062	1,96603	37,35599	1,96602
1760	37,35599	1,96602	37,35599	1,31066
1780	37,35599	1,96602	37,35599	1,31066
1800	37,35599	2,62138	37,356	1,31066
1820	37,35599	1,96603	37,356	1,31066
1840	43,90968	3,93211	49,80803	3,9321
1860	49,15268	4,58746	49,15267	3,9321
1880	49,15266	5,24283	49,15267	5,24282
1900	49,15267	5,24283	49,80803	64,22522
1920	49,15266	5,24283	49,15267	4,58746
1940	49,80802	5,89819	49,80802	5,24282
1960	50,46338	5,24283	49,80802	4,58746
1980	50,46338	5,24283	49,80802	4,58746
2000	50,46338	5,24283	50,46338	4,58747
2020	49,80802	5,24283	50,46338	4,58746
2040	50,46338	5,24283	49,80802	5,24282
2060	50,46338	5,89819	50,46338	5,24283
2080	50,46338	6,55355	50,46338	5,89819
2100	50,46338	6,55355	50,46338	5,89819
2120	50,46338	6,55355	49,80802	5,24283
2140	51,77412	7,20892	55,70635	6,55355
2160	55,05099	7,86428	55,05098	7,86426
2180	54,39562	8,51964	55,05099	7,86427
2200	54,39562	8,51964	55,05099	8,51963
2220	55,05098	9,17499	55,05099	8,51963
2240	55,05098	9,17499	55,70635	8,51963
2260	55,70635	9,175	55,05099	8,51963
2280	55,05099	9,17499	55,05099	8,51962
2300	55,05099	9,17499	55,05099	8,51962
2320	55,05099	9,17499	55,05099	8,51962
2340	54,39563	9,17498	55,05099	8,51961
2360	54,39562	8,51962	54,39563	8,51961
2380	55,05098	9,17498	55,05099	8,51961
2400	55,05098	7,86426	55,05099	7,20889
2420	55,05098	7,20889	58,32781	8,51961
2440	-59,63683	11,14106	70,12453	10,48569
2460	68,15844	11,14107	68,15844	11,14106
2480	68,15844	11,79643	68,81381	11,14106
2500	68,8138	11,79642	68,8138	11,79641
2520	68,81379	11,79642	68,8138	11,14106
2540	69,46916	11,79642	70,12452	11,14106
2560	70,12452	12,45179	70,7799	11,79642
2580	70,77989	11,79643	71,43526	11,79642
