T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65536	0,65537	-1,0000000003174E-5	0
40	-1,31072	1,31074	-0,65537	1,31075
60	-1,31072	1,96612	-0,65537	1,9661
80	-1,31072	1,96612	-0,65537	1,96611
100	-1,31072	2,62148	-0,65537	3,27685
120	-1,31072	3,93222	-1,31073	3,93222
140	-1,96608	4,5876	-1,30819	4,58759
160	-1,96609	4,58761	-1,9661	4,5876
180	-1,96608	5,89834	-1,9661	5,24297
200	-2,62145	6,55371	-1,9661	5,89834
220	-3,27681	7,20908	-1,9661	5,89836
240	-3,27681	7,2091	-2,62146	7,2091
260	-3,27681	7,86448	-2,62146	7,2091
280	-3,27681	7,86448	-1,96609	6,55374
300	-2,62145	7,20911	-1,9661	5,89837
320	-2,62144	6,55374	-1,96609	5,243
340	-2,62144	5,89837	-1,96609	5,243
360	-2,62144	5,24301	-1,96609	4,58762
380	-2,62144	3,93227	-1,31072	2,62152
400	-1,96608	3,27689	-0,65536	1,96614
420	-1,31072	2,62152	-0,65536	1,96614
440	-1,31071	2,6215	-0,65536	1,96614
460	-1,31071	2,62152	-0,65536	1,96614
480	-1,96607	2,62151	-0,65536	1,96614
500	-1,31071	2,62151	-0,65536	2,6215
520	-1,31071	3,27687	-0,65535	2,6215
540	-1,31071	3,27688	-0,65536	2,62151
560	-1,31071	3,27688	-0,65535	2,62151
580	-1,96606	3,93225	-0,65535	2,62152
600	-1,3107	3,93225	-1,31071	3,27688
620	-1,96606	3,93225	-0,65534	3,93224
640	-1,96606	3,93225	-0,65534	3,27687
660	-1,96606	4,58761	-1,3107	4,5876
680	-1,96606	4,58762	-1,3107	3,93225
700	-1,96605	5,24298	-2,62143	4,5876
720	-12,45191	5,89834	-15,07339	6,55372
740	-15,72872	7,86447	-14,418	7,2091
760	-15,07337	7,2091	-15,07337	6,55373
780	-15,72872	7,86446	-14,418	7,20909
800	-15,07335	7,86447	-14,418	7,20909
820	-15,72871	7,2091	-14,418	6,55372
840	-14,41799	6,55373	-14,41799	5,89836
860	-15,07334	6,55372	-13,76263	5,89835
