T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	-0,65537	0,65536	0,65536
40	0,65535	-1,0000000003174E-5	0,65536	0,65536
60	0,65535	-1,0000000003174E-5	1,31071	0,65536
80	0,65534	-0,65537	0,65535	0,65536
100	0,65535	-0,65536	0,65535	0
120	0,65534	-0,65536	0,65534	0
140	0,65534	-0,65536	0,65534	0,65536
160	1,31069	-0,65536	1,3107	0
180	0,65534	0	1,3107	0,65536
200	1,31069	0	1,3107	0,65536
220	1,31069	-0,65536	1,3107	0
240	1,96605	0	1,3107	0
260	1,96605	-0,65536	1,31069	0
280	1,31069	-0,65536	1,96605	0
300	1,96604	-0,65536	1,96605	0,65537
320	1,96605	0	1,96605	0,65536
340	1,96605	0	1,96605	0,65536
360	1,96605	9,9999999960687E-6	1,96605	0,65536
380	1,96605	0	1,96605	0,65536
400	1,96605	0	1,3107	1,31073
420	1,96605	9,9999999960687E-6	1,3107	1,31073
440	1,3107	0,65537	1,3107	1,31073
460	1,31069	1,31072	0,65534	1,31073
480	0,65534	0,65537	0,65534	1,96609
500	0,65534	1,31073	0,65535	2,62145
520	0,65534	1,96609	-1,9999999999243E-5	2,62146
540	0,65534	2,62145	0,65534	3,27681
560	0,65534	2,62145	0,65535	3,27681
580	0,65535	2,62145	0,65535	3,27681
600	0,65535	3,27681	0,65535	3,93217
620	0,65535	3,27681	0	4,58754
640	-9,9999999960687E-6	3,93217	0	4,58753
660	-9,9999999960687E-6	3,93217	-0,65535	4,58754
680	0	3,93217	-0,65535	5,24289
700	-1,31072	4,58753	-1,31071	4,58753
720	-0,65535	3,93216	3,93221	5,89825
740	13,76282	2,62142	15,72895	1,31069
760	15,07354	3,2768	15,07354	3,27681
780	15,72889	3,2768	15,7289	3,93217
800	15,72888	3,2768	15,72889	3,93216
820	15,72889	2,62143	15,72889	3,2768
840	16,38425	2,62143	15,7289	3,2768
860	15,07354	2,62143	15,07354	3,93216
880	14,41818	3,93215	13,76283	5,89824
900	14,41819	5,24288	14,41819	6,55359
920	15,07354	5,89824	15,07355	5,89823
940	16,38426	5,24287	16,38427	5,89824
960	17,03962	5,24288	17,69499	5,89823
980	17,69499	5,24287	12,45206	5,89827
1000	3,27685	7,86439	-0,65535999999999	5,8983
1020	1,31072	7,20902	2,62145	7,86438
1040	3,2768	7,20901	3,27681	7,86437
1060	3,2768	6,55364	3,93217	7,20901
1080	3,93217	5,89828	3,93217	7,209
1100	4,58753	6,55364	4,58753	7,209
1120	4,58753	6,55364	4,58754	7,209
1140	4,58754	6,55364	4,58754	7,209
1160	4,58754	6,55364	4,58755	7,209
1180	4,58754	6,55364	3,93219	6,55364
1200	3,93219	5,89828	4,58756	7,209
1220	3,93219	6,55364	3,9322	7,20899
1240	3,9322	5,89827	3,9322	7,20899
1260	3,9322	5,89827	3,27685	7,20899
1280	3,93221	6,55362	10,48593	8,51969
1300	16,38427	5,89824	17,03967	7,20895
1320	17,03964	6,5536	17,69501	7,86432
1340	17,695	7,20896	17,69501	7,86432
1360	17,695	7,20896	17,69501	7,86432
1380	17,695	7,20896	17,03964	8,51968
1400	17,03964	7,86432	17,03964	8,51968
1420	17,03964	7,86432	16,38428	8,51969
1440	16,38428	8,51969	16,38429	8,51969
1460	16,38428	8,51969	16,38428	9,17505
1480	16,38428	8,51969	16,38429	9,17505
1500	16,38428	7,86433	17,03964	8,51969
1520	17,03964	7,86433	17,69499	8,51969
1540	17,69499	6,55361	17,69499	7,20896
1560	18,35034	6,5536	19,0057	7,20896
1580	19,00569	6,5536	18,35033	6,5536
1600	22,9379	7,86432	32,76848	7,86431
1620	37,35611	5,24284	37,35611	7,20892
1640	37,35609	7,20893	37,35609	6,55358
1660	37,35609	6,55356	37,35609	6,55357
1680	38,01144	5,24285	37,35608	6,55357
1700	37,35608	5,24285	38,01144	5,89821
1720	38,01144	4,58749	38,01144	4,58748
1740	38,66679	3,93212	38,01144	5,24285
1760	38,66678	4,58748	38,01143	4,58748
1780	38,01143	3,27676	38,66679	3,93212
1800	38,66678	3,93212	38,66678	4,58749
1820	38,66678	3,93212	39,32214	4,58749
1840	39,32213	3,93212	38,66678	4,58748
1860	39,32213	3,93212	39,32213	4,58748
1880	39,32213	3,93212	39,32213	4,58748
1900	39,32212	4,58748	39,32213	5,24285
1920	39,97749	5,24284	47,18657	8,51966
1940	51,7742	5,24286	53,7403	8,51967
1960	53,74028	7,86432	53,08493	7,86432
1980	53,74028	7,86431	53,74029	7,20896
2000	54,39565	6,5536	53,74029	7,20896
2020	53,74028	6,5536	53,74029	7,20896
2040	53,74028	6,5536	53,08493	7,20897
2060	53,08492	6,55361	53,08493	7,20897
2080	52,42956	5,89825	53,08493	7,20897
2100	53,08492	5,89825	52,42956	6,55361
2120	53,08492	6,55361	52,42957	7,20897
2140	53,08492	6,55362	52,42957	7,20898
2160	52,42956	6,55361	52,42957	7,86434
2180	52,42956	7,20898	52,42957	7,86434
2200	52,42957	7,86435	51,77421	7,86434
2220	52,42956	7,20899	52,42957	7,86435
2240	51,7742	7,20899	52,42957	7,86435
2260	52,42956	7,86435	58,3279	10,48581
2280	64,88162	9,83046	68,81385	10,48582
2300	69,46921	11,14119	68,81384	11,79656
2320	70,12457	11,1412	70,12457	11,79656
2340	70,77992	11,1412	70,77992	11,1412
2360	72,09063	9,83049	72,09063	10,48585
2380	72,74598	9,17512	72,74598	9,83048
2400	73,40133	9,17512	72,74598	9,83048
2420	73,40132	9,17511	73,40133	9,83048
2440	72,74596	9,17512	72,74596	9,83048
2460	73,40132	9,17512	72,74596	9,83048
2480	73,40132	8,51975	73,40133	9,17512
2500	74,05668	8,51975	74,05668	9,17511
2520	74,05668	8,51975	74,05668	9,83048
2540	74,05667	8,51975	74,05664	9,1751
2560	78,64423	11,1412	88,47481	13,76268
2580	93,71781	14,41805	93,71782	17,0395
2600	93,71779	17,03951	93,71779	18,35025
2620	94,37315	18,35024	93,71779	19,00561
2640	93,71779	19,00562	94,37315	20,31634
2660	94,37315	19,66098	94,37316	20,31634
2680	95,02852	20,31634	95,02852	20,9717
2700	95,02852	20,9717	95,02852	21,62706
2720	95,02852	20,97169	95,68388	21,62705
2740	95,68388	21,62705	95,68389	22,28241
2760	95,68388	21,62705	95,02853	22,93777
2780	95,68389	21,62704	95,6839	22,2824
2800	95,68389	21,62704	95,6839	22,2824
2820	95,02853	21,62704	83,88721	20,31633
2840	53,74021	16,38415	25,55932	13,7627
2860	5,2429	11,79664	1,96606	13,76269
2880	4,58753	15,07344	4,58754	17,03951
2900	4,58753	16,38413	4,58753	17,0395
2920	4,58753	17,0395	5,24289	18,35022
2940	4,58752	18,35022	4,58753	19,66095
2960	4,58752	19,66094	4,58753	20,3163
2980	4,58753	19,66094	4,58753	20,3163
3000	4,58753	19,66094	4,58753	20,3163
3020	4,58753	19,00557	4,58754	19,66094
3040	5,24289	19,00556	3,2768	19,00558
3060	1,96607	17,69484	1,96608	18,35019
3080	2,62144	17,69484	2,62144	18,3502
3100	1,96608	17,69484	1,96609	18,35019
3120	1,96609	17,03947	1,96609	17,69483
3140	1,9661	17,03947	1,96611	17,69483
3160	1,9661	16,38411	1,31075	17,03947
3180	0,65539	16,38411	0,6554	17,03947
3200	0,65539	15,72875	0,65539	15,72875
3220	1,9661	14,41802	1,9661	15,07338
3240	1,9661	13,76265	1,9661	13,76266
3260	2,62145	13,76266	2,62145	14,41801
3280	2,62145	13,1073	3,27681	14,41802
3300	3,2768	13,76265	2,62145	13,76265
3320	2,62144	13,10729	3,93218	13,76264
3340	11,79664	13,10726	16,38425	11,79652
3360	17,03961	11,79651	17,0396	13,7626
3380	17,0396	12,45189	17,69496	12,45188
3400	17,69495	12,45188	17,03958	12,45188
3420	17,69494	12,45187	17,69495	12,45188
3440	17,69494	11,79651	17,69494	12,45187
3460	18,3503	11,79651	17,69494	11,79652
3480	17,69494	11,79651	17,69494	12,45187
3500	18,35029	11,79651	18,3503	12,45187
3520	17,69494	11,79651	18,35031	12,45188
3540	17,69494	11,79651	18,3503	12,45188
3560	18,35029	12,45188	18,3503	13,10724
3580	18,3503	12,45188	17,69494	13,10724
3600	17,69494	11,79651	17,03959	11,14116
3620	15,07351	7,86436	16,38417	5,89832
3640	20,31634	-1,96593	24,24888	-5,89787
3660	31,45807	-10,48507	27,52603	-4,58656
3680	20,31708	-1,96512	13,7635	1,31168
3700	7,86529	-1,31001	5,24382	-7,86387
3720	5,2438	-9,83012	9,17591	-7,86414
