T	LX	LY	RX	RY
0	0	0	0	0
20	-1,31073	1,31074	-0,65537	0,65536
40	-0,65537	1,9661	-9,9999999960687E-6	0,65537
60	-1,9999999999243E-5	2,62146	-1,9999999999243E-5	1,31073
80	-3,0000000002417E-5	1,96611	-0,65539	0,65537
100	-1,31076	1,9661	-1,96612	0,65536
120	-3,27684	1,31074	-2,62147	0
140	-3,9322	1,31073	-3,93219	-1,0000000003174E-5
160	-4,58755	1,31072	-3,93218	-1,9999999999243E-5
180	-4,58755	0,65536	-3,93217	-0,65537
200	-5,2429	0,65536	-3,93217	-0,65539
220	-5,2429	-9,9999999960687E-6	-4,58753	-1,31075
240	-5,2429	-9,9999999960687E-6	-3,93217	-1,31075
260	1,96615	1,31073	9,8306	1,31072
280	10,486	3,93218	9,83063	2,62145
300	9,83061	4,58755	10,48598	2,62145
320	9,17526	3,27683	10,48853	1,96609
340	9,17526	3,27682	10,48598	1,96609
360	9,17526	3,27683	10,48599	1,31072
380	9,83062	2,62145	10,48599	1,31072
400	9,83063	2,62146	9,83063	1,31072
420	9,17526	1,96609	10,48599	1,31071
440	22,93798	5,24291	38,01153	6,55365
460	42,59916	9,17511	41,94379	8,51975
480	39,97769	11,14121	41,28841	9,83048
500	39,97768	11,14121	40,63304	9,17511
520	39,32231	9,83048	39,32231	9,1751
540	38,66694	9,17512	39,3223	8,51974
560	38,66693	9,83048	39,32229	8,51974
580	38,66691	9,17512	39,32227	56,36102
600	38,66689	9,17512	38,66689	7,86438
620	38,01153	8,51976	38,66689	7,20902
640	42,59909	9,17512	57,6726	11,14121
660	64,88172	13,10732	65,5371	12,45195
680	64,22636	14,41806	65,53708	13,10731
700	64,88172	13,10732	64,88172	11,79658
720	64,88172	12,45195	65,53709	11,14121
740	65,53708	12,45194	66,19245	10,48584
760	65,53708	11,79658	66,84781	10,48584
780	65,53708	11,14122	66,19245	9,83048
800	65,53708	11,14122	66,84781	9,83048
820	66,19244	11,14121	66,84781	9,83048
840	66,8478	10,48585	66,84781	9,83047
860	66,8478	11,14121	66,84781	9,83047
880	66,8478	11,14121	66,84781	9,83047
900	66,19244	11,14121	66,8478	9,83048
920	72,09075	11,79658	87,16426	13,76267
940	94,37339	16,38415	95,02877	15,07342
960	93,06266	16,38417	94,37338	15,07343
980	93,71801	16,38415	94,37338	14,41806
1000	93,06265	15,72879	94,37337	14,41805
1020	93,71801	15,72878	94,37337	13,10732
1040	93,71801	13,7627	94,37337	12,45196
1060	94,37336	13,7627	94,37336	12,45196
1080	93,71799	13,10734	93,718	11,79659
1100	93,71799	12,45196	94,37335	11,14123
1120	93,71799	11,79659	93,71799	9,17513
1140	79,95526	7,86442	46,53141	1,96616
1160	7,86462	-1,31062	-8,51961	-0,65527
1180	-7,20888	4,58767	-3,93204	5,89838
1200	-3,93204	7,86447	-3,27668	7,20908
1220	-3,93205	8,51982	-2,62132	7,20907
1240	-3,27669	8,51981	-2,62133	7,20907
1260	-3,27669	8,5198	-1,96597	7,20906
1280	-2,62135	7,86443	-1,96599	6,55369
1300	-1,96601	7,86442	-1,31064	6,55368
1320	-1,96601	7,86442	-1,31065	5,89831
1340	-2,62137	6,55369	-1,31065	5,24295
1360	-1,96601	5,89831	-1,31064	3,93221
1380	-1,966	4,58758	1,31084	4,58757
1400	4,5877	5,89832	5,89843	5,24294
1420	5,24306	6,55367	5,24307	4,58757
1440	4,5877	5,24294	5,24306	3,93221
1460	4,5877	4,58757	5,24306	3,27683
1480	3,93233	3,93221	4,5877	2,62147
1500	3,93233	3,27684	4,58769	1,9661
1520	6,55379	3,93221	22,28265	6,55365
1540	34,73471	9,8305	38,66696	9,17512
1560	38,01159	11,14121	38,01158	9,17512
1580	38,01157	9,83049	38,66694	8,51974
1600	38,01157	9,83048	38,01157	7,86439
1620	37,35875	8,51976	38,01156	7,20902
1640	37,3562	8,51975	38,01156	7,20901
1660	37,35619	7,86439	38,01156	6,55366
1680	37,3562	7,86439	38,01156	5,89829
1700	37,3562	7,20902	37,35619	5,89829
1720	36,70083	7,86438	37,35619	5,89828
1740	36,70082	6,55366	37,35619	5,24292
1760	36,04546	6,55366	36,70082	5,24292
1780	36,04546	6,55366	36,04546	5,24292
1800	36,04546	5,89829	36,70082	4,58756
1820	35,3901	5,89829	36,70082	3,93219
1840	35,3901	5,24293	36,04546	3,9322
1860	35,3901	4,58757	36,04546	3,27682
1880	30,14717	3,27684	19,00589	1,96611
1900	12,4522	3,27685	13,76293	3,93221
1920	14,4183	5,24295	14,4183	3,9322
1940	13,10757	4,58757	13,76293	3,27684
1960	13,10756	3,93221	14,41829	2,62147
1980	13,76292	3,93221	14,41829	2,62147
2000	13,76291	3,27684	15,07363	2,62146
2020	13,10753	3,27684	6,55383	1,96611
2040	2,62162	3,27686	5,24307	3,27685
2060	4,58771	5,24295	5,24307	3,27685
2080	4,5877	3,93222	5,24307	2,62148
2100	5,24306	3,27686	5,24306	1,96611
2120	4,5877	2,62148	5,24305	0,65538
2140	5,24305	1,31075	5,24305	1,0000000003174E-5
2160	5,24305	0,65538	18,35039	1,96609
2180	39,32225	7,20902	49,80822	7,20903
2200	48,4975	9,83049	47,84212	8,51976
2220	47,84211	9,83049	49,15284	8,51974
2240	48,49746	9,17512	49,15282	8,51974
2260	48,49745	9,17512	49,15281	7,86437
2280	48,49745	8,51974	49,15281	7,209
2300	48,49744	7,86438	49,1528	5,89828
2320	48,49743	7,20902	49,1528	6,55363
2340	48,49743	7,20901	49,80816	5,89827
2360	48,49743	7,20901	49,1528	5,89827
2380	48,49743	6,55364	49,80815	5,2429
2400	48,49743	6,55364	49,1528	5,2429
2420	49,15279	6,55364	49,80815	4,58754
2440	48,49743	5,89827	49,1528	5,24289
2460	48,49744	6,55363	49,1528	4,58753
2480	48,49744	5,24291	49,15281	3,93216
2500	52,42964	6,55363	72,09073	10,48581
2520	85,85358	13,76267	89,78583	13,76265
2540	87,81973	16,38412	88,47507	15,72876
2560	88,47507	17,03949	89,13043	15,07338
2580	88,47506	16,38412	88,47506	15,07338
2600	88,47506	16,38411	88,47506	15,72874
2620	87,8197	17,03947	87,81971	16,38409
2640	86,51154	17,69483	86,50899	17,03945
2660	85,19827	17,69483	85,19827	16,38409
2680	84,54291	17,69482	84,54292	16,38409
2700	83,88755	17,03946	84,54292	15,07336
2720	83,23219	15,72873	77,33388	11,14119
2740	48,49762	5,24294	15,07375	-0,65534
2760	-5,89804	5,000000000166E-5	-5,24268	1,31077
2780	-2,62122	5,24296	-0,65515	5,24294
2800	-1,31052	6,55368	0,65554	5,24293
2820	0,65553	6,55367	1,96625	5,24294
2840	1,96624	6,55368	2,62159	5,24294
2860	1,96622	7,20904	2,62157	5,89831
2880	2,62156	7,20905	3,27692	5,89832
2900	2,62155	7,86442	3,27691	6,55368
2920	2,62154	7,86442	2,62155	5,89832
2940	1,96617	7,86442	-3,27676	7,86442
2960	-5,89824	10,4859	-4,58751	9,83052
2980	-5,24288	11,14127	-4,58751	9,83053
3000	-5,24288	11,14126	-4,58752	9,17516
