T	LX	LY	RX	RY
0	0	0	0	0
20	1,96609	-0,65536	4,58757	-0,65537
40	5,8983	0,65536	5,24293	1,31072
60	5,8983	1,96608	5,24294	1,96608
80	5,8983	1,96609	5,24294	1,96608
100	5,24294	1,96608	5,24294	1,96608
120	5,24294	2,62145	5,24294	1,96608
140	5,24294	1,96609	5,24294	1,96608
160	5,24294	2,62145	4,58758	2,62144
180	5,24294	3,27681	5,24294	2,62144
200	5,24294	3,27681	4,58758	3,2768
220	5,24294	3,93217	5,24295	3,93217
240	5,24295	3,93218	4,58759	4,58753
260	5,24295	5,2429	4,58759	5,89826
280	5,24295	6,55363	5,24295	6,55362
300	5,24296	6,55363	5,24296	7,20899
320	5,24296	7,86436	5,24296	7,86435
340	5,89832	9,17508	5,24296	9,17508
360	5,24296	9,83045	5,24297	9,83045
380	5,24297	10,48581	5,24297	9,83044
400	5,89833	10,48581	5,24297	10,48581
420	5,89834	11,14117	5,24298	11,14117
440	5,89834	11,14118	5,24299	11,14117
460	5,89835	11,79654	5,24298	11,14117
480	5,89835	11,14117	6,55372	11,79653
500	14,41813	14,41798	18,35035	16,38406
520	19,00571	17,03943	17,69499	17,69479
540	19,00572	17,69479	18,35036	17,69478
560	19,00572	17,69479	19,00572	17,03943
580	19,00572	17,03943	18,35036	16,38406
600	19,66108	16,38406	19,00572	16,38406
620	19,00572	17,03943	19,00572	16,38406
640	19,66108	16,38406	19,00572	15,07333
660	19,66108	15,7287	19,66108	13,76261
680	19,66107	13,10724	19,0057	11,79652
700	11,1413	9,83045	-1,31067	8,51973
720	-3,27681	10,48582	-1,96607	11,79655
740	-1,3107	11,79656	-1,31071	11,14119
760	-0,65535	11,14119	-0,65535000000001	10,48582
780	-0,65536	9,17509	-0,65536	7,86436
800	0	5,89827	-0,65537	3,93217
820	-1,0000000003174E-5	3,93217	-0,65538	2,62144
840	-1,9999999999243E-5	2,62144	-1,31074	1,96607
860	-1,31075	1,96607	-1,31076	1,3107
880	-1,31075	1,31071	-1,96612	0,65534
900	-1,31076	1,31071	-1,96613	0,65534
920	3,27679	1,3107	11,14122	1,31069
940	13,10733	2,62141	12,45196	3,27677
960	12,45195	3,27678	11,79659	2,62141
980	12,45195	2,62141	12,45195	2,6214
1000	12,45195	3,27677	11,79659	2,6214
1020	12,45195	3,27677	11,79658	3,27676
1040	12,45194	3,93213	12,45194	3,93212
1060	12,45449	3,93212	11,79658	3,93212
1080	15,0734	4,58748	23,59318	5,24283
