T	LX	LY	RX	RY
0	0	0	0	0
20	-1,31072	0,65538	-1,31072	0,65537
40	-1,96608	1,31075	-1,96608	1,31076
60	-2,62144	1,96613	-2,62145	2,62149
80	-3,93218	1,96614	-3,93219	2,6215
100	-4,58755	3,27687	-4,58757	3,27687
120	-5,24293	3,27687	-4,58759	3,93223
140	-5,24295	3,93223	-4,58761	3,93223
160	-5,24297	3,93223	-4,58761	4,58759
180	-5,24298	4,5876	-5,24298	4,58759
200	-5,24298	4,5876	-47,84139	5,24295
220	-5,89834	4,5876	-5,24299	5,24295
240	-5,243	4,58759	-4,58765	5,24294
260	-5,243	5,24295	-4,58765	5,24294
280	-5,24301	5,24294	-4,58765	5,89829
300	-5,24301	5,8983	-4,58766	5,89829
320	-5,24302	5,8983	-4,58767	6,55365
340	-5,24303	5,8983	-4,58768	6,55366
360	-5,24303	6,55366	-5,24303	6,55366
380	-5,24303	6,55366	-4,58768	6,55365
400	-5,24304	6,55366	-4,58769	7,20901
420	-5,24305	7,20901	-4,5877	7,20901
440	-5,24306	7,86437	-4,58771	7,86437
460	-4,5877	7,86437	-3,93235	7,86436
480	-5,24307	7,86436	-3,93236	8,51971
500	-4,58771	8,51972	-4,58773	8,51971
520	-4,58772	9,17507	-4,58773	9,17507
540	-5,24309	9,17507	-3,93238	9,17506
560	-4,58774	9,83043	-4,58774	9,83042
580	-5,2431	9,83043	-4,58775	9,83042
600	-5,24311	9,17507	-4,58775	9,83043
620	-5,2431	9,83043	-4,58775	9,83042
640	-5,24311	10,48579	-4,58776	10,48578
660	-5,89848	10,48579	-5,24312	10,48579
680	-5,24311	11,14115	-5,24312	11,79651
700	-5,89848	11,14116	-5,24312	11,14115
720	-5,24312	11,79652	-4,58777	11,79651
740	-5,24313	11,79652	-4,58778	12,45187
760	-4,58779	12,45188	-3,93244	12,45188
780	-4,58781	12,45188	-3,93246	12,45188
800	-4,58782	12,45188	-3,93247	12,45188
820	-4,58783	12,45189	-3,93246	12,45189
840	-4,58782	12,4519	-3,93247	13,10725
860	-4,58783	13,10726	-4,58783	13,10725
880	-5,24319	13,10726	-4,58783	13,76261
900	-4,58782	13,76262	-3,93247	13,76262
920	-5,24319	13,76262	-4,58784	13,76261
