T	LX	LY	RX	RY
0	0	0	0	0
20	-11,14121	5,000000000166E-5	-25,55926	0,65548
40	-28,83613	9,9999999996214E-5	-26,21465	1,96618
60	-25,55928	2,62154	-26,87002	3,27691
80	-26,21467	2,62154	-26,21467	3,2769
100	-26,87003	1,96618	-26,21468	2,62154
120	-26,21468	1,96617	-26,87005	2,62154
140	-26,21469	2,62153	-26,21469	3,2769
160	-26,21469	3,2769	-26,21469	3,93226
180	-26,21469	3,27689	-26,21469	3,93226
200	-26,21469	3,2769	-26,21469	4,58762
220	-26,21469	3,93283	-26,21469	4,58762
240	-26,87005	3,93226	-26,87005	3,93226
260	-26,87005	3,93226	-26,21469	4,58762
280	-26,21469	3,93226	-25,55934	3,93225
300	-24,90397	3,93224	-18,35029	3,9322
320	-17,03953	2,62145	-17,03954	3,9322
340	-17,03956	3,9322	-17,03956	4,58757
360	-17,03956	3,9322	-17,03956	4,58756
380	-17,03956	3,93219	-16,38419	3,27684
400	-16,3842	2,62147	-16,3842	3,27683
420	-16,38419	2,62147	-16,38419	3,27683
440	-16,38419	1,96611	-16,38419	2,62148
460	-17,03956	2,62147	-17,03955	2,62148
480	-17,03954	2,62147	-17,03954	2,62148
500	-17,6949	2,62147	-17,6949	2,62148
520	-17,69489	1,31075	-17,03953	1,96611
540	-17,69489	1,31075	-17,69489	1,96611
560	-17,69488	1,96611	-17,69488	1,96611
580	-18,35024	1,96611	-18,35024	1,96612
600	-19,0056	1,96611	-18,35024	1,96612
620	-18,35024	1,31075	-18,35023	1,96612
640	-18,35024	1,96611	-18,35023	1,96612
660	-18,35023	2,62147	-18,35023	2,62148
680	-18,35023	2,62148	-18,35023	2,62148
700	-18,35023	2,62148	-18,35022	3,27684
720	-18,35022	2,62148	-18,35022	3,27685
740	-18,35022	2,62149	-18,35022	2,62149
760	-19,00557	2,62149	-19,66093	2,62149
780	-19,66093	2,62149	-20,31629	3,27685
800	-20,31628	2,62149	-20,97164	3,27685
820	-20,97163	2,62149	-21,62698	3,27686
840	-20,97163	3,27686	-21,62698	3,27686
860	-20,97162	2,6215	-20,97162	2,62149
880	-20,97162	1,31077	-20,97162	3,9999999998486E-5
900	-20,97162	-0,65532	-20,97162	-1,31068
920	-22,28234	-1,31069	-22,28234	-2,62141
940	-22,9377	-3,27678	-22,28234	-3,27677
960	-22,93769	-3,27678	-22,93769	-2,62142
980	-18,35014	-4,58752	-4,58739	-5,24292
1000	-2,62116	-5,89831	-2,62115	-4,58758
1020	-3,27656	-4,58757	-3,27655	-3,27684
1040	-2,62118	-3,93221	-2,62119	-3,27684
1060	-1,96583	-3,93221	-1,96584	-3,27684
1080	-1,96584	-3,27613	-1,96585	-2,62148
1100	-1,96585	-3,27684	-1,96585	-3,27684
1120	-1,96585	-3,27684	-1,96585	-2,62148
1140	-1,96585	-3,27684	-1,31049	-2,62149
1160	-1,96586	-3,27685	-1,31049	-3,27685
1180	-1,96586	-3,27685	-1,96585	-2,62149
1200	-1,31049	-3,27685	-1,31049	-3,27685
1220	-1,96585	-3,93221	-1,31049	-3,93221
1240	0,00029000000000678	-3,27687	5,89871	-1,96615
1260	9,17559	-2,62153	7,86485	-1,31079
1280	7,86483	-1,96616	7,86484	-1,96615
1300	7,86484	-2,62151	7,86483	-1,96615
1320	7,20947	-2,62151	7,20947	-2,62151
1340	7,20948	-2,62151	7,20948	-1,96614
1360	6,55411	-1,96614	6,55412	-1,96613
1380	6,55411	-1,96614	6,55412	-1,96613
1400	5,89876	-1,96614	5,89876	-1,31076
1420	5,89877	-1,31077	5,24341	-0,6554
1440	5,24341	-1,96613	10,48632	-0,65541
1460	22,28294	-7,0000000000903E-5	26,21517	0,65529
1480	26,21515	0,6553	26,21513	1,31067
1500	26,87049	1,31067	26,8705	1,96604
1520	26,87049	2,6214	26,21513	3,27677
1540	26,21513	3,93214	26,21513	4,58751
1560	26,21513	4,58751	26,21513	5,89824
1580	26,21514	5,24288	26,21514	6,55361
1600	26,87049	6,55361	26,21514	7,20897
1620	27,52587	7,20897	38,66713	11,14115
1640	44,56548	11,79651	45,22087	13,10725
1660	44,56548	13,76262	44,56549	15,07335
1680	43,91013	15,07335	44,5655	15,72872
1700	43,91014	15,07335	43,91014	15,72872
1720	44,5655	15,72872	43,91014	15,72872
1740	43,91014	15,72871	44,56551	15,72872
1760	43,91014	15,07336	44,56551	16,38409
1780	43,9127	15,72872	43,91015	15,72873
1800	43,91015	15,07337	43,91015	15,72873
1820	43,25479	15,07337	43,25479	16,38409
1840	43,25479	15,72873	43,25478	15,72874
1860	43,25478	15,07337	42,59943	15,07338
1880	42,59942	15,07337	42,59942	15,72873
1900	48,49773	15,72873	57,67301	19,00555
1920	63,57142	19,00554	62,91606	19,00555
1940	62,26066	19,00555	62,26066	19,00555
1960	62,91603	19,00555	62,91602	19,66092
1980	62,91601	19,66091	62,91601	20,31628
2000	62,91601	19,66092	62,91601	20,97165
2020	62,916	20,31628	62,91599	21,62701
2040	62,91599	20,97164	62,91599	21,62701
2060	62,91598	20,97164	62,91597	20,97165
2080	63,57133	20,97165	64,22669	21,62701
2100	64,88205	20,31627	63,57129	18,35019
2120	40,63347	11,79662	-4,58674	4,58765
2140	-20,97109	-0,65524	-23,59267	-0,65525
2160	-20,97128	1,96621	-20,97127	3,9323
2180	-20,97131	3,27693	-19,66062	3,9323
2200	-19,66062	3,93229	-18,34992	4,58766
2220	-17,69458	3,93229	-17,03923	3,93229
2240	-16,38387	3,93228	-15,72852	4,58765
2260	-15,72853	3,93229	-15,72853	4,58765
2280	-15,07318	3,93229	-15,07319	3,93229
2300	-15,0732	3,27692	-14,41784	3,93229
2320	-15,07319	6,55376	-14,41782	7,20913
2340	-14,41783	6,55377	-13,7625	7,20913
2360	-13,76251	5,89841	-13,76252	5,89841
2380	-13,76253	5,24305	-13,76254	5,89841
2400	-13,10718	5,24305	-13,76254	5,89841
2420	-13,76255	5,24304	-13,76255	5,8984
2440	-13,10719	5,24304	-13,76255	5,8984
2460	-17,03935	9,17524	-18,35007	9,8306
2480	-18,35007	8,51988	-18,35008	8,51988
2500	-19,00545	7,86452	-19,66081	8,51988
2520	-19,66082	7,20915	-19,66082	7,86452
2540	-19,66082	6,55379	-19,66082	6,55379
2560	-19,66082	5,89842	-20,31618	5,89842
2580	-20,97155	5,24305	-20,97155	5,24305
2600	-20,97154	4,58769	-21,6269	4,58769
2620	-21,6269	3,93232	-21,6269	4,58768
2640	-22,28226	3,27695	-22,28227	3,93232
2660	-22,28227	2,62159	-22,28227	2,62159
2680	-22,28228	1,96623	-22,28228	2,62159
2700	-22,93764	1,96622	-23,593	2,62159
2720	-23,593	1,31086	-22,93764	1,31086
2740	-23,593	1,31085	-23,593	1,31085
2760	-16,38399	-0,65526	-9,83021	1,3108
2780	-8,51936	0,65542	-8,51939	0,65543
2800	-8,51942	7,0000000000903E-5	-7,86406	0,65543
2820	-7,86405	0,65543	-7,86406	1,31079
2840	-7,86406	1,31079	-7,86406	1,96615
2860	-7,86406	1,31079	-7,2087	1,31079
2880	-7,2087	0,65542	-7,2087	0,65542
2900	-6,55333	0,65541	-6,55334	0,65542
2920	-6,55334	5,000000000166E-5	-6,55334	0,65542
2940	-6,55333	5,9999999997729E-5	-6,55333	0,65542
2960	-6,55334	0,65541	-6,55334	0,65542
2980	-6,55334	5,000000000166E-5	-4,58719	1,31076
3000	9,17561	2,62146	17,04007	2,62145
3020	15,72933	2,62146	15,07393	3,27683
3040	15,7293	2,62146	16,38466	3,27682
3060	15,72929	2,62146	15,72929	3,27682
3080	15,72929	3,27682	15,72929	3,27683
3100	15,72929	2,62145	15,72929	3,27682
3120	15,72771	2,62145	15,07393	3,27682
3140	15,07394	2,62145	15,07393	2,62146
3160	15,7293	2,62145	15,07394	2,62146
3180	14,41858	1,96609	14,41858	2,62145
3200	14,41858	1,96608	17,69541	2,62145
3220	26,21517	1,96607	26,87056	1,96607
3240	26,21518	1,96607	26,21518	2,62143
3260	26,21519	2,62143	26,21519	2,62144
3280	25,55983	2,62143	25,55983	3,2768
3300	25,55983	1,96608	24,90447	1,96608
3320	24,90448	1,96608	24,24912	2,62145
3340	24,24912	2,62144	24,24913	3,27681
3360	23,59377	2,62145	24,24913	2,62145
3380	35,39037	3,93216	46,53172	6,55362
3400	51,11936	5,24289	50,46397	6,55362
3420	51,11929	6,55362	51,77466	7,86435
3440	52,43002	7,86435	52,43001	7,86436
3460	53,08537	8,51971	53,74073	9,17508
3480	53,74072	9,17508	53,74072	9,83044
3500	55,05144	9,17508	55,05143	9,17508
3520	55,05144	9,17508	55,05144	9,83045
3540	55,7068	11,14118	55,7068	13,10727
3560	55,05144	14,418	55,05143	15,72874
3580	55,05143	15,72875	55,70679	16,38411
3600	61,60513	19,00556	64,88201	20,31629
3620	65,53738	20,31629	65,53736	21,62703
3640	65,53991	21,62702	65,53736	22,28239
3660	65,53736	22,28239	65,53736	22,93776
3680	65,53735	22,28239	65,53734	22,93776
3700	64,88198	22,93775	65,53734	23,59312
3720	64,88198	22,93775	54,3961	18,35025
3740	19,0064	9,83055	-17,69412	5,8984
3760	-19,005	5,24302	-15,72822	8,51984
3780	-14,41748	9,83056	-15,07287	10,48593
3800	-14,41754	11,79664	-14,41755	13,10738
3820	-13,76221	13,10738	-13,76222	14,41811
3840	-13,10687	13,76274	-13,10689	15,07347
3860	-13,10689	14,4181	-13,10689	15,07347
3880	-13,10689	14,4181	-13,76225	14,4181
3900	-13,1069	13,76273	-13,1069	14,4181
3920	-13,10691	13,10737	-13,10692	13,76273
3940	-12,45156	13,10736	-13,10693	13,10737
3960	-12,45159	15,07348	-13,76234	17,69496
3980	-14,41772	18,35033	-14,41772	18,35033
4000	-14,41773	18,35032	-15,07309	18,35033
4020	-14,41774	17,69496	-14,41774	17,0396
4040	-13,76238	16,38423	-13,10702	15,72887
4060	-12,45166	14,41814	-12,45166	14,41814
4080	-11,79631	13,76278	-11,14094	13,10742
4100	-11,14094	12,45205	-11,14094	12,45206
4120	-11,14094	11,79669	-11,14094	11,7967
4140	-11,14095	11,79669	-11,14095	11,79669
4160	-10,48559	11,14132	-10,48559	11,14132
4180	-10,48559	9,83059	-9,83023	9,83059
4200	-9,83017	9,83055	-5,24238	11,79662
4220	7,86501	11,14125	7,20965	10,48589
4240	6,55425	9,83053	7,2096	10,48589
4260	7,86497	9,83052	7,86496	9,83051
4280	7,86496	8,51978	7,86495	9,17515
4300	8,52031	8,51977	8,52031	8,51977
4320	9,17567	7,8644	9,17566	7,8644
4340	9,17566	7,20903	9,17566	7,20903
4360	9,17565	5,89829	9,17565	5,89829
4380	9,17565	5,24292	8,52029	4,58756
4400	8,52028	3,9322	9,17564	3,27683
