T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65538	9,9999999960687E-6	-0,65537	-0,65535999999999
40	-1,31075	9,9999999960687E-6	-0,65538	-0,65535999999999
60	-0,65539	-1,3107	-0,65539	-1,31071
80	-0,6554	-1,31071	-3,9999999998486E-5	-1,96607
100	-4,9999999994554E-5	-1,31071	-5,000000000166E-5	-1,31071
120	-0,65542	-1,3107	-0,65542	-1,31071
140	-0,65544	-1,31069	-0,65543	-1,3107
160	-1,31081	-1,31068	-0,65544	-0,65533
180	-0,65546	-1,31068	-0,65546000000001	-1,31068
200	-1,31083	-0,65531	-0,65546000000001	-0,65532
220	-0,65547	-0,65531	-1,31082	-0,65532
240	-0,65547	-0,65531	-1,31082	5,000000000166E-5
260	-0,65547	5,000000000166E-5	-0,65546000000001	5,000000000166E-5
280	-0,65547	5,000000000166E-5	-0,65546000000001	-0,65531
300	-0,65547	0,65542	-0,65547	5,000000000166E-5
320	-0,65547	5,9999999997729E-5	-0,65547	-0,65532
340	-0,65547	-0,65531	-0,65546000000001	-1,96605
360	-0,00010999999999939	-2,62141	-9,0000000000146E-5	-3,27678
380	-9,9999999996214E-5	-2,62141	-9,0000000000146E-5	-3,27679
400	-9,0000000000146E-5	-2,62142	0,65529	-3,27679
420	0,65528	-3,27679	0,65529	-3,93215
440	1,31064	-3,27679	1,31065	-3,2768
460	1,966	-3,27679	1,966	-3,27679
480	1,31062	-2,62142	1,96598	-3,27679
500	1,96596	-2,62143	1,96596	-2,62144
520	1,96594	-2,62143	1,96594	-2,62143
540	1,96593	-1,96607	1,96593	-2,62143
560	1,96591	-1,96606	1,96592	-1,96607
580	1,9659	-1,3107	2,62127	-1,96606
600	2,62125	-1,31069	2,62125	-1,96606
620	2,62124	-1,31069	2,62124	-1,3107
640	2,62123	-1,31069	2,62123	-1,31069
660	3,27658	-1,31069	3,27658	-1,3107
680	3,27657	-1,31069	3,27657	-1,3107
700	3,93192	-1,31069	3,93193	-1,31069
720	3,27655	-1,31068	3,93192	-1,96605
740	3,27655	-1,31068	3,93191	-1,96605
760	3,9319	-1,31068	3,93191	-1,96605
780	3,9319	-1,31068	4,58982	-1,31069
800	3,9319	-1,31069	3,93191	-1,31069
820	3,93189	-1,31068	3,9319	-1,31069
840	3,27654	-0,65532	3,27654	-0,65531
860	3,27653	-0,65531	2,62117	-0,65531
880	1,96581	-0,6553	1,96581	6,0000000004834E-5
900	1,9658	0,65543	1,31045	0,65543
920	1,9658	1,3108	1,96581	1,31079
940	1,96581	1,96616	1,31046	1,96614
960	1,31045	1,96615	1,31046	1,96614
980	1,31045	3,27687	0,6551	2,6215
1000	0,65509	3,27687	-0,00026000000000437	3,27687
1020	-0,65563	3,93223	-0,65562	3,27686
1040	-1,31099	3,93224	-1,96634	3,93223
1060	-2,62171	3,93224	-2,62171	3,27687
1080	-3,27707	3,93224	-3,93242	3,27687
1100	-3,93244	3,93224	-3,93242	3,27687
1120	-3,93244	3,93224	-4,58779	3,27687
1140	-4,5878	3,93224	-4,58779	3,27687
1160	-4,5878	3,93224	-4,58779	3,27687
1180	-4,5878	3,93223	-4,58779	3,27687
1200	-4,5878	3,27687	-3,27706	2,6215
1220	2,62126	3,27685	9,83031	3,27683
1240	9,17494	3,27684	8,51958	3,27684
1260	7,86421	3,9322	7,86422	3,27684
1280	7,8642	3,27684	7,86421	2,62147
1300	7,20883	3,27684	7,8642	2,62147
1320	7,20882	3,27683	7,86419	2,62147
1340	7,20882	3,27683	7,86419	2,62146
1360	7,86417	3,27682	7,86419	1,9661
1380	7,86418	2,62146	7,86419	1,9661
1400	8,51954	2,62146	8,51955	1,96609
1420	8,51953	2,62146	8,51954	1,96609
1440	8,51953	1,9661	8,51954	1,96609
1460	8,51953	2,62145	8,51954	1,96609
1480	8,51953	3,27681	8,51954	2,62145
1500	7,86417	3,27682	1,31052	3,27682
1520	-3,93246	5,24293	-5,24319	5,24295
1540	-4,58784	5,89831	-3,93246	5,24294
1560	-4,58783	5,24295	-4,58783	4,58758
1580	-4,58783	5,24294	-4,58783	4,58758
1600	-4,58783	5,24294	-4,58783	4,58758
1620	-4,58783	5,24295	-4,58783	4,58758
1640	-4,58783	4,58759	-4,58782	4,58758
1660	-4,58783	4,58759	-5,24318	3,93222
1680	-4,58783	3,93223	-5,24318	3,27686
1700	-4,58783	3,93223	-4,58782	3,27686
1720	-5,24318	3,27686	-4,58782	2,6215
1740	-5,24318	2,6215	-4,58781	2,6215
1760	-4,58782	3,27686	-4,58781	2,6215
1780	-4,58782	2,62151	-4,58781	2,6215
1800	-4,58782	3,27687	-4,58781	1,96615
1820	-4,58782	2,62152	-5,24317	1,96615
1840	-5,24318	1,96616	-5,89853	1,3108
1860	-5,89854	0,65545	-5,89851	-0,65529
1880	2,62128	-1,31067	11,79643	-1,96605
1900	11,79642	-1,31069	10,48571	-1,96604
1920	9,83034	-1,31068	9,83035	-1,96605
1940	9,17498	-1,96604	9,83035	-2,62141
1960	9,83034	-1,96604	9,83035	-1,96605
1980	9,83034	-1,96605	9,83035	-1,96605
2000	9,83034	-1,96605	9,83035	-2,62141
2020	10,48571	-1,96605	10,48571	-2,62142
2040	10,4857	-1,96605	10,48572	-2,62142
2060	11,14107	-1,96606	13,10717	-1,96607
2080	15,72863	-1,96606	15,72863	-1,96607
2100	15,07325	-1,31071	15,07325	-1,96607
2120	15,07324	-1,31072	15,07325	-1,31073
2140	15,07324	-1,31072	15,07324	-1,31073
2160	15,07323	-0,65536	15,07324	-1,31073
2180	15,07323	-0,65536	15,07324	-0,65537
2200	15,07323	0	14,41787	-0,65537
2220	15,07322	0	14,41787	-0,65535999999999
2240	15,07322	0	15,07322	0
2260	15,07321	0	15,07322	-0,65535999999999
2280	15,0732	9,9999999960687E-6	15,07321	0
2300	15,0732	0,65536	15,07321	0
2320	15,0732	0,65536	15,0732	0
2340	15,07319	0,65537	15,0732	0
2360	15,07319	9,9999999960687E-6	15,0732	0
2380	15,07318	9,9999999960687E-6	15,0732	0
2400	14,41782	9,9999999960687E-6	14,41783	0,65536
2420	14,41782	0	15,07319	0
2440	14,41782	0,65537	14,41783	0
2460	14,41781	0,65537	15,07318	0,65536
2480	14,41781	0,65537	14,41782	0
2500	14,41781	0,65537	15,07318	0
2520	15,07317	9,9999999960687E-6	14,41782	0
2540	15,07317	0,65537	15,07318	1,0000000003174E-5
2560	14,41781	0,65537	14,41782	1,0000000003174E-5
2580	15,07317	0,65537	22,93756	0,65536
2600	36,70023	2,62144	41,94318	3,27679
2620	41,28782	3,2768	40,63247	3,2768
2640	40,63246	3,93216	40,63247	3,2768
2660	40,63247	3,27681	40,63247	3,2768
2680	40,63247	3,93217	40,63248	3,27681
2700	40,63247	3,93217	40,63248	3,2768
2720	39,97712	3,93217	40,63249	3,27681
2740	41,28784	3,27681	41,28785	3,27681
2760	41,28785	3,93217	40,63249	3,27681
2780	41,28785	3,27681	41,28786	3,27681
2800	41,28785	3,93218	41,28786	3,27681
2820	46,53078	3,27681	55,05057	2,62143
2840	60,29351	3,27679	60,29352	3,27679
2860	59,63815	3,93216	59,63817	3,27679
2880	60,29352	3,2768	60,29353	3,27679
2900	59,63816	3,2768	59,63818	3,27679
2920	60,29353	3,2768	60,29353	2,62142
2940	60,29352	2,62143	60,29353	2,62142
2960	60,29352	2,62142	60,94888	1,96605
2980	60,94887	2,62141	60,94888	1,96604
3000	60,94887	2,62141	60,29352	1,96604
3020	60,29351	1,96605	62,25961	1,96604
3040	66,19183	2,6214	68,15794	2,6214
3060	68,15793	3,27676	68,15794	2,6214
3080	68,15793	3,27676	68,15794	2,6214
