T	LX	LY	RX	RY
0	0	0	0	0
20	-36,70063	-6,55352	-26,87008	-3,27676
40	-42,5989	-6,55352	-26,21214	-2,62142
60	-41,94354	-6,55353	-26,21468	-2,62142
80	-41,94353	-6,55354	-25,55932	-2,62143
100	-41,94353	-6,55355	-25,55932	-2,62144
120	-41,28817	-6,55355	-24,90396	-2,62144
140	-41,28817	-6,55356	-24,90396	-3,27681
160	-41,28817	-6,55357	-24,2486	-2,62146
180	-41,28817	-5,89822	-24,90396	-1,31074
200	-41,28817	-4,5875	-25,55933	-0,65538
220	-41,28818	-3,93214	-25,55933	-1,9999999999243E-5
240	-41,28818	-3,27677	-24,90398	-2,9999999995312E-5
260	-39,97747	-3,93214	-23,59327	-0,65539
280	-39,32213	-4,5875	-22,28255	-1,31075
300	-38,01141	-5,24286	-21,6272	-1,31076
320	-37,35605	-5,24286	-20,97184	-1,96612
340	-36,70068	-5,24287	-19,66111	-1,96613
360	-36,04533	-5,24288	-19,00575	-1,96613
380	-34,73461	-5,89824	-19,00576	-2,62149
400	-34,73461	-6,55361	-18,3504	-3,27685
420	-34,73461	-7,20897	-17,69505	-3,27686
440	-34,73462	-7,20897	-18,35041	-3,93222
460	-34,73462	-7,20897	-18,35041	-3,27686
480	-37,35608	-7,86432	-23,59334	-2,62147
500	-39,32218	-5,89823	-22,93796	-1,96612
520	-39,32217	-5,24287	-22,93796	-1,96612
540	-39,97753	-5,24287	-23,59331	-1,31076
560	-39,97752	-5,24288	-23,59331	-1,31076
580	-39,97752	-4,58752	-24,24866	-1,31077
600	-40,63288	-4,58752	-24,24866	-0,65541
620	-40,63286	-4,58752	-24,24864	-1,31077
640	-41,28822	-4,58752	-24,904	-0,65542
660	-41,28821	-4,58753	-24,904	-0,65542
680	-41,94356	-4,58753	-25,55934	-5,000000000166E-5
700	-42,59891	-3,93217	-26,21469	-5,9999999997729E-5
720	-42,5989	-3,27681	-26,87004	-5,9999999997729E-5
740	-43,25425	-3,27681	-27,52284	-5,9999999997729E-5
760	-43,90959	-3,27682	-27,52538	0,65529
780	-43,90959	-3,93219	-27,52537	-7,0000000000903E-5
800	-44,56493	-3,93218	-27,52536	-7,0000000000903E-5
820	-44,56493	-3,27682	-28,83607	0,65529
840	-45,87563	-3,27682	-30,14676	0,65529
860	-46,53097	-2,62146	-30,14674	1,31065
880	-46,53095	-2,62147	-30,80209	1,31065
900	-47,84166	-2,62146	-31,45744	0,65528
920	-48,49701	-3,27683	-31,45744	-7,9999999996971E-5
940	-48,49701	-3,27682	-32,1128	-0,65543
960	-48,49702	-4,58754	-32,11281	-0,65544
980	-49,15239	-4,58755	-32,76817	-1,3108
1000	-49,15239	-5,24291	-33,42354	-1,3108
1020	-49,80775	-5,24292	-32,76818	-1,31081
1040	-49,15239	-5,24293	-32,76817	-1,96618
1060	-48,49703	-5,24294	-32,11281	-1,96619
1080	-48,49703	-5,8983	-31,45746	-1,96619
1100	-47,84167	-5,89831	-32,11283	-1,96619
1120	-48,49704	-5,8983	-32,76819	-1,96619
1140	-49,15241	-5,89829	-33,42355	-1,96618
1160	-50,46313	-6,55365	-33,42356	-2,62154
1180	-49,80777	-6,55366	-32,7682	-3,93227
1200	-45,87557	-7,20903	-28,83599	-4,58763
1220	-45,22021	-7,86439	-28,836	-4,58763
1240	-45,87557	-7,86438	-30,14673	-3,93227
1260	-46,53093	-7,86438	-30,14673	-4,58762
1280	-47,18629	-7,86438	-30,80208	-3,93227
1300	-47,18629	-7,86438	-30,14672	-3,93228
1320	-35,3897	-5,89831	-11,79641	-2,62155
1340	-30,14673	-6,55367	-14,41788	-1,96619
1360	-30,80209	-5,89831	-14,41788	-1,9662
1380	-30,80209	-5,89831	-14,41789	-2,62156
1400	-31,45746	-5,89831	-15,07325	-2,62156
1420	-31,45747	-5,89831	-15,07325	-2,62156
1440	-31,45747	-6,55368	-15,72861	-2,62157
1460	-32,11283	-6,55368	-15,72862	-3,27692
1480	-32,11283	-6,55368	-16,38399	-3,27693
1500	-32,7682	-7,20904	-16,38399	-3,27693
1520	-33,42356	-7,20904	-17,03935	-3,93229
1540	-33,42356	-7,20905	-7,86422	-1,31084
1560	-11,14106	-3,93222	6,5539	-0,65547
1580	-11,7964	-3,93222	4,5878	-0,65546
1600	-11,79641	-4,58758	5,24314	-1,31083
1620	-11,14108	-5,24294	5,24313	-1,96618
1640	-11,79644	-5,24294	4,58777	-1,31081
1660	-11,79644	-5,24292	3,9324	-1,31081
1680	-12,45181	-5,24292	3,27704	-1,3108
1700	-13,10718	-5,24291	2,62167	-1,3108
1720	-14,41791	-5,2429	1,31094	-1,96615
1740	-15,07327	-5,89826	1,31093	-2,62151
1760	-15,72864	-6,55363	0,65556	-3,27687
1780	-15,72865	-7,20899	0,65556	-3,27688
1800	-15,72866	-7,20899	0,00019000000000347	-3,27688
1820	-16,38402	-7,20899	0,00019000000000347	-3,93224
1840	-16,38403	-7,86436	5,24311	-2,62151
1860	-0,65522	-6,55361	16,38438	-2,6215
1880	-1,31058	-6,5536	15,07362	-3,27685
1900	-1,31059	-7,20896	15,07361	-3,93221
1920	-1,96597	-7,20895	14,41824	-3,93221
1940	-1,96598	-7,86432	14,41823	-3,93221
1960	-1,96599	-7,20896	14,41822	-3,93222
1980	-1,96599	-7,86433	14,41823	-3,93223
2000	-1,31062	-7,20898	14,41824	-3,27687
2020	-1,96598	-6,55363	15,0736	-1,96616
2040	9,83065	-2,62145	35,39006	2,62141
2060	17,03977	0	31,45791	5,24285
2080	14,41834	1,96609	30,14719	6,55356
2100	13,10763	3,2768	29,49184	7,20891
2120	12,45227	3,27679	28,83649	7,2089
2140	13,10764	3,93215	29,49185	7,2089
2160	13,10764	3,93214	28,83649	7,20889
2180	12,45228	3,27678	28,18113	7,20889
2200	12,45228	3,27678	28,83649	6,55353
2220	12,45228	2,62141	28,83648	5,89816
2240	12,45227	1,96605	29,49184	5,89816
2260	13,76298	1,31069	30,14718	4,58745
2280	14,41832	-2,9999999995312E-5	30,80252	3,27672
2300	15,07366	-0,65539	31,45786	1,96601
2320	15,07365	-1,96611	31,45785	1,31064
2340	22,93803	-0,65537	55,05107	4,58749
2360	39,97764	3,0000000002417E-5	55,05111	4,58749
2380	38,6669	0,65538	55,05111	3,93213
2400	38,6669	0,65537	54,39575	3,93211
2420	38,66944	0,65536	55,0511	3,93211
2440	38,6669	0,65535000000001	55,05111	3,9321
2460	38,66689	0,65534	55,0511	4,58746
2480	38,66689	0,65534	54,39574	3,9321
2500	38,01154	0,65534	54,39574	3,93209
2520	38,66689	0,65533	54,39574	3,93207
2540	38,66688	-3,9999999998486E-5	55,70646	3,27671
2560	39,32225	-4,9999999994554E-5	55,70646	3,27669
2580	39,32225	-0,65543	56,36182	2,62132
2600	39,97761	-1,3108	56,36182	1,96595
2620	39,97761	-1,96617	56,36182	1,96594
2640	39,97761	-1,96617	57,67254	1,31057
2660	40,63297	-1,96618	57,01718	1,31057
2680	40,63297	-2,62155	57,01718	0,65519
2700	30,80245	-5,89832	17,69505	-8,51977
2720	-34,73444	-19,66078	-39,32205	-20,97152
2740	-55,7063	-24,90368	-39,32201	-19,66086
2760	-55,70622	-23,59299	-39,322	-19,66089
2780	-55,7062	-22,93766	-39,32199	-19,00555
2800	-55,7062	-22,28231	-39,32199	-19,66092
2820	-55,7062	-23,59304	-39,322	-19,66093
2840	-55,70622	-23,59304	-39,32201	-20,31628
2860	-55,70623	-24,24839	-39,32202	-20,97164
2880	-55,70624	-25,55911	-39,32204	-21,627
2900	-55,70625	-25,55911	-39,32204	-21,627
2920	-55,70624	-25,55912	-38,66667	-21,62701
2940	-55,70625	-26,21448	-39,32209	-22,93772
2960	-55,70629	-26,21448	-39,32207	-22,93773
2980	-55,70629	-26,21448	-39,32209	-22,93773
3000	-55,70631	-26,86984	-39,3221	-23,59308
3020	-55,70632	-26,86983	-39,32211	-23,59307
3040	-55,70632	-27,52518	-39,32212	-24,24843
3060	-55,70633	-28,18053	-39,32212	-24,24842
3080	-55,70632	-27,52518	-39,32211	-24,24842
3100	-55,70632	-27,52517	-39,32211	-24,24842
3120	-55,70633	-27,52518	-39,32211	-24,24843
3140	-55,70633	-27,52519	-39,32211	-24,24843
3160	-55,70632	-28,18054	-39,32211	-24,24843
3180	-55,70632	-27,52519	-39,32211	-24,9038
3200	-53,74022	-27,5252	-24,24866	-22,28236
3220	-36,70065	-26,21447	-22,28254	-22,93772
3240	-38,66676	-26,21446	-21,62719	-22,93771
3260	-38,0114	-26,21446	-22,28255	-22,28235
3280	-38,0114	-26,21447	-22,28255	-22,28236
3300	-38,01139	-26,21447	-22,28254	-22,28237
3320	-38,66675	-25,55912	-22,28253	-20,97165
3340	-38,66674	-24,90376	-22,93788	-20,97164
3360	-39,3221	-24,90376	-22,93788	-20,97165
3380	-39,97746	-24,90376	-23,59325	-20,97165
3400	-39,97746	-24,90376	-23,59325	-21,62701
3420	-40,63282	-25,55913	-24,24861	-21,62702
3440	-31,4577	-22,28232	5,24291	-15,0734
3460	-4,58758	-19,66087	9,83053	-15,72876
3480	-7,20904	-19,00551	9,83308	-15,07341
3500	-6,55369	-19,00552	10,48588	-15,07341
3520	-5,89832	-19,00552	10,48589	-15,07342
3540	-5,89832	-19,00554	10,48589	-15,07342
3560	-5,89832	-19,00553	10,48589	-14,41807
3580	-5,89831	-18,35018	10,48589	-15,07342
3600	-5,89831	-18,35018	10,4859	-15,07342
3620	-6,55367	-19,00553	9,83054	-15,07343
3640	-6,55368	-19,00553	10,48589	-15,07342
3660	-5,89833	-19,66089	10,48588	-15,72878
3680	-3,93225	-19,00554	20,31638	-13,7627
3700	5,24292	-17,69481	20,97174	-13,7627
3720	4,58754	-17,03946	21,62712	-13,10735
3740	5,24291	-16,38411	21,62712	-13,10736
3760	5,89827	-17,03948	22,28248	-13,10737
3780	5,89827	-17,03948	22,28248	-13,10737
3800	5,89827	-17,03949	22,93783	-13,10738
3820	6,55362	-17,03949	22,93783	-13,76273
3840	5,89826	-17,03948	22,93782	-13,76273
