T	LX	LY	RX	RY
0	0	0	0	0
20	0	-9,9999999960687E-6	0	0
40	0	-9,9999999960687E-6	0,65536	-9,9999999960687E-6
60	0,65536	-9,9999999960687E-6	-1,0000000003174E-5	-9,9999999960687E-6
80	-1,0000000003174E-5	-9,9999999960687E-6	0,65535	0,65535
100	-1,0000000003174E-5	0,65535000000001	-1,9999999999243E-5	0,65536
120	-1,0000000003174E-5	0,65536	-1,0000000003174E-5	1,31072
140	-1,9999999999243E-5	0,65536	-1,0000000003174E-5	1,31072
160	-1,9999999999243E-5	1,31072	-1,0000000003174E-5	1,31073
180	-1,0000000003174E-5	1,96609	-1,0000000003174E-5	1,96609
200	-1,0000000003174E-5	1,9661	-1,0000000003174E-5	1,9661
220	-0,65537	1,31074	-1,0000000003174E-5	1,96609
240	-0,65537	1,9661	-0,65536	2,62146
260	-0,65537	1,9661	-0,65537	2,62146
280	-0,65536	2,62147	-1,31072	2,62146
300	-1,31072	1,96611	-1,31072	3,27683
320	-1,31072	2,62148	-1,31072	3,27683
340	-1,31072	2,62148	-1,96607	3,27684
360	-1,96608	3,27684	-1,96608	3,27684
380	-1,96608	3,27684	-1,96607	3,9322
400	-1,96607	3,27684	-1,96607	3,27684
420	-1,96607	3,27684	-1,96607	3,9322
440	-1,96607	3,27684	-1,96607	3,27683
460	-1,96607	2,62147	-2,62143	3,27683
480	-2,62142	3,9322	-1,96605	4,58757
500	-2,62141	4,58757	-2,62141	5,24294
520	-1,96605	5,24294	-2,6214	5,24294
540	-1,96604	5,24294	-1,96604	5,8983
560	-1,96604	5,8983	-1,96604	5,24294
580	-1,96604	5,89831	-2,6214	5,8983
600	-2,6214	5,89831	-2,6214	6,55367
620	-2,6214	5,89831	-3,27675	6,55367
640	-3,27675	6,55367	-3,27675	7,20903
660	-3,27676	7,20904	-3,27675	7,20903
680	-3,93211	7,20903	-3,93211	7,20903
700	-3,27675	6,55367	-3,27674	7,20903
720	-3,9321	6,55367	-3,27675	6,55367
740	-3,27674	6,55367	-3,27675	6,55366
760	-2,62138	6,55366	-2,62138	6,55366
780	-2,62138	5,8983	-2,62137	6,55366
800	-1,96601	5,8983	-1,96602	6,55365
820	-1,96602	5,89829	-1,96601	5,89829
840	-1,96601	5,89828	-1,96601	5,89828
860	-1,31065	5,24292	-1,31066	5,89828
880	-1,31065	5,24292	-1,96602	5,24291
900	-1,96602	4,58755	-1,31066	4,58754
920	-1,31066	3,93218	-0,6553	3,93217
940	-0,65531	3,27681	5,000000000166E-5	2,62144
960	3,27689	3,27681	7,20913	5,24291
980	9,17526	5,89829	8,5199	7,20966
1000	8,5199	9,17511	8,51991	11,14122
1020	8,51991	12,45196	8,51991	13,7627
1040	8,51992	14,41807	7,86456	15,07344
1060	7,86455	15,07345	7,86455	15,72882
1080	7,86454	15,72882	7,20919	16,38419
1100	7,86455	16,38419	7,86455	16,38419
1120	7,20919	17,03956	7,20918	17,03956
1140	10,48603	17,03955	17,6951	15,07345
1160	19,00585	15,07346	17,6951	17,03955
1180	17,69511	17,03956	18,35047	17,69492
1200	18,35047	17,69493	18,35047	18,35029
1220	18,35048	17,69493	18,35048	18,35029
1240	18,35048	18,35029	18,35048	18,35029
1260	19,00585	18,35029	18,35049	18,35029
1280	18,35049	18,3503	18,3505	19,00565
1300	18,35049	18,35029	17,69513	18,35029
1320	17,69513	17,69494	18,35049	18,35029
1340	26,87028	18,35028	35,3901	18,35027
1360	36,70086	18,35028	34,73475	19,00565
1380	34,73475	19,00566	35,39012	19,00566
1400	35,39012	19,00566	34,73476	19,00566
1420	34,73476	18,3503	35,39012	18,35031
1440	35,39012	17,69494	35,39012	17,69494
1460	35,39012	17,69493	35,39012	17,69492
1480	36,04548	17,03956	36,04549	17,03956
1500	36,04549	16,3842	36,04549	16,38419
1520	36,04549	15,72882	36,70085	15,72882
1540	36,70085	15,07345	36,70084	15,7288
1560	36,70084	14,41808	36,70084	14,41807
1580	36,70084	13,76271	36,70084	13,76271
1600	36,70083	13,7627	37,35619	13,10734
1620	37,35618	12,45197	38,66691	12,45196
1640	45,87597	12,45196	51,7743	13,10732
1660	52,42968	12,45196	51,77429	12,45197
1680	51,77429	12,45197	52,42965	12,45198
1700	52,42965	11,79662	51,77428	11,79662
1720	52,42964	11,14126	52,42964	11,14126
1740	52,42964	10,4859	52,42964	11,14126
1760	52,42963	9,83055	52,42963	10,48591
1780	52,42962	9,83055	52,42962	9,83055
1800	51,77426	9,83055	51,77426	9,83055
1820	51,77426	9,83055	52,42962	9,83055
1840	51,77426	9,17519	52,42962	9,83055
1860	52,42962	9,83055	51,7768	9,83055
1880	51,77426	9,17519	51,77425	9,83055
1900	51,77425	9,17519	51,77425	9,83055
1920	51,77425	9,83055	52,42962	9,83054
1940	51,77425	9,17518	52,42962	9,17518
1960	52,42962	9,17518	52,42962	9,17517
1980	51,77426	8,51982	51,77426	9,17517
2000	52,42962	8,51981	53,08498	8,51981
2020	56,36185	7,86445	57,6726	8,51981
2040	56,36187	8,51982	55,7065	8,51982
2060	55,7065	9,17518	55,7065	9,83055
2080	55,7065	9,17519	55,05114	9,83055
2100	55,05113	9,83055	55,05114	10,48592
2120	55,05113	9,83056	54,39577	9,83056
2140	54,39577	9,83056	54,39577	10,48592
2160	54,39577	9,83057	53,74041	10,48593
2180	54,39576	9,17521	53,7404	9,1752
2200	54,39575	6,55374	57,0172	6,55373
2220	66,84776	8,51982	74,71224	9,17519
2240	74,71225	8,51984	73,40148	7,86448
2260	74,05685	7,20913	74,71221	6,55377
