T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	0	0
40	0,65535	0,65536	1,0000000003174E-5	-0,65535999999999
60	0	0,65536	0	0
80	0,65536	0,65535	1,0000000003174E-5	0
100	0,65536	0,65536	1,0000000003174E-5	-0,65537
120	0,65536	0,65535	-0,65535	-0,65537
140	0	-9,9999999960687E-6	-1,31071	-0,65537
160	-0,65536	-9,9999999960687E-6	-1,31071	-0,65537
180	-0,65535	-9,9999999960687E-6	-1,31071	-1,31074
200	-1,31071	-9,9999999960687E-6	-1,31071	-1,31074
220	-0,65535	-9,9999999960687E-6	-1,31071	-0,65537
240	-1,31071	-1,9999999999243E-5	-1,96607	-1,9999999999243E-5
260	-1,31071	0,65535	-1,96606	-1,9999999999243E-5
280	-1,96607	0,65534	-1,96606	-1,9999999999243E-5
300	-1,3107	0,65533	-2,62141	-1,9999999999243E-5
320	-1,96606	0,65533	-2,62141	0,65534
340	-1,96606	0,65534	-2,62142	0,65534
360	-1,96606	1,31069	-1,96605	0,65534
380	-1,96606	1,31069	-2,62141	0,65533000000001
400	-1,96605	1,31069	-3,27676	0,65533000000001
420	-2,62141	1,31069	-2,62141	0,65533000000001
440	-2,62141	1,31069	-2,6214	0,65533000000001
460	-2,62141	1,31069	-3,27676	0,65532
480	-2,62141	1,31068	-3,93212	0,65533000000001
500	-3,27676	1,31068	-3,93212	1,31068
520	-3,93212	1,96604	-3,93211	1,31068
540	-3,27676	1,96604	-3,93211	1,31068
560	-2,6214	1,96604	-2,6214	1,31068
580	-1,31069	1,96604	-1,3107	1,31069
600	-0,65534	1,96604	-0,65535	1,31069
620	1,0000000003174E-5	1,96604	-0,65535	0,65532
640	0,65536	1,96604	1,0000000003174E-5	1,31069
660	0,65536	1,96604	0,65536	1,96604
680	1,31072	2,6214	1,31072	1,96604
700	1,31071	2,6214	1,31072	1,96604
720	1,96607	2,6214	1,31327	1,96604
740	1,96607	2,6214	1,31071	1,96604
760	1,96606	2,6214	1,96607	1,96604
780	2,62142	2,6214	1,96606	1,96603
800	2,62141	2,6214	1,96606	1,96603
820	2,62141	2,62139	1,96606	1,96604
840	1,96605	2,62139	1,96605	1,96603
860	1,96605	2,62139	1,31069	1,96603
880	1,96605	2,62139	0,65533	1,96603
900	0,65533	2,62139	-3,0000000002417E-5	1,31067
920	-3,9999999998486E-5	1,96603	-0,65539	1,31067
940	-3,9999999998486E-5	1,96603	-0,65539	1,31067
960	-0,6554	1,96603	-1,31075	1,31067
980	-1,31076	1,96603	-1,96612	1,31067
1000	-1,96612	1,96603	-2,62148	1,31067
1020	-3,27684	1,96603	-3,93221	1,31067
1040	-4,58759	1,31067	-6,55368	0,65531
1060	-7,86442	0,65532	-9,83051	-0,6554
1080	-11,14126	-0,6554	-13,76271	-1,96611
1100	-14,41811	-1,31075	-17,03956	-2,62147
1120	-17,69494	-1,96611	-19,66103	-3,27682
1140	-20,31641	-2,62146	-21,62713	-3,27682
1160	-22,28251	-2,62053	-22,93786	-3,27681
1180	-22,28252	-2,62145	-23,59322	-3,93216
1200	-23,59323	-3,93216	-24,24858	-4,58751
1220	-23,59322	-3,93214	-24,24856	-4,5875
1240	-24,24856	-4,58749	-24,9039	-5,8982
1260	-19,66093	-5,89819	-21,62696	-7,2089
1280	-22,93768	-7,2089	-23,59304	-7,86425
1300	-24,24839	-7,86424	-25,5591	-8,5196
1320	-25,5591	-8,5196	-26,21445	-9,17495
1340	-26,86981	-9,17495	-28,18052	-9,8303
1360	-27,52517	-9,17494	-29,49124	-10,48565
1380	-28,83589	-10,48565	-29,49124	-11,14101
1400	-30,1466	-11,14101	-31,45732	-12,45173
1420	-30,80196	-11,79637	-32,11267	-13,10708
1440	-32,11267	-13,10708	-32,76802	-14,4178
