T	LX	LY	RX	RY
0	0	0	0	0
20	0	-0,65536	9,9999999960687E-6	0,65536
40	0	0	9,9999999960687E-6	0,65537
60	0,65536	0	0	0,65537
80	-1,31075	1,0000000003174E-5	-5,24295	-0,65534
100	-3,27686	-0,65535	-3,27685	1,31076
120	-3,93221	1,96612	-3,93221	2,62149
140	-3,27685	1,96611	-3,93221	1,96612
160	-3,27685	1,31075	-3,27684	1,96612
180	-3,27685	1,31074	-3,93221	1,31075
200	-3,27685	0,65538	-3,27684	0,65539
220	-2,62149	0,65538	-3,27685	1,31075
240	-3,27685	1,9999999999243E-5	-3,27685	0,65538
260	-3,93221	0,65538	-3,93221	0,65539
280	-3,93221	1,0000000003174E-5	-4,58756	1,0000000003174E-5
300	-4,58757	1,0000000003174E-5	-4,58756	1,0000000003174E-5
320	-4,58756	-0,65535	-5,24292	1,0000000003174E-5
340	-4,58756	-0,65535	-5,24292	1,9999999999243E-5
360	-4,58756	-0,65535	-4,58756	-0,65535
380	-4,58756	-1,31072	-4,58757	1,0000000003174E-5
400	-3,93221	-0,65535	-3,93222	-0,65535
420	-3,93222	-0,65535	-3,93222	1,0000000003174E-5
440	-3,93223	-0,65536	-3,93222	1,0000000003174E-5
460	-3,93223	-0,65536	-3,93222	-1,31071
480	-3,93223	-1,31072	-3,93222	-1,31072
500	-3,27687	-1,31072	-3,93223	-1,31072
520	-3,27687	-1,31072	-3,93223	-0,65535
540	-3,93223	-0,65536	-3,93223	-0,65535
560	-3,93223	-1,31072	-3,93223	-0,65535
580	-3,93223	-0,65536	-3,93223	-0,65535
600	-3,93224	-1,31072	-3,93223	-1,31071
620	-3,93224	-1,96609	-3,93223	-1,31072
640	-3,93223	-1,31072	-3,93223	-1,96608
660	-3,27688	-1,96609	-3,27687	-1,96609
680	-3,27688	-2,62145	-3,27687	-1,96609
700	-3,27687	-2,62146	-3,27687	-2,62146
720	-2,62151	-3,27683	-2,62151	-3,93218
740	-2,62151	-3,27683	-2,62151	-3,27682
760	-2,62151	-3,93219	-2,62151	-3,93219
780	-2,62151	-4,58755	-2,62151	-3,93219
800	-2,62151	-3,93219	-3,27687	-3,27682
820	-2,62151	-3,93219	-2,62151	-2,62145
840	-2,62151	-1,96609	-3,27686	-1,31072
860	-3,27687	-1,31072	-2,62149	1,96611
880	3,27684	6,55368	3,93224	10,48589
900	3,27687	14,41808	2,62151	17,69493
920	2,6215	20,31639	1,96615	22,93785
940	1,96615	22,93786	1,96615	22,93786
960	1,96615	22,28249	1,96616	22,28249
980	1,96616	20,97175	1,96616	20,97176
1000	1,3108	20,31639	1,3108	20,31639
1020	1,96616	19,66102	1,96616	19,66102
1040	2,62152	19,00564	5,24299	18,35028
1060	9,83058	18,35027	10,48596	19,00564
1080	9,83058	19,661	9,83059	20,31637
1100	10,48595	19,00564	10,48595	19,00564
1120	11,14131	17,69491	10,48595	17,6949
1140	10,48595	17,03953	10,48595	16,38417
