T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	-0,65537	0,65535	0,65536
40	0,65536	-1,31074	0	-0,65537
60	0,65536	-1,31074	0,65535	-0,65537
80	0,65535	-1,9661	0,65535	-1,31073
100	0,65535	-1,96609	0,65534	-1,9661
120	0,65534	-3,27682	0,65532	-1,96611
140	-2,9999999995312E-5	-3,27683	-3,9999999998486E-5	-1,96611
160	-0,6554	-2,62147	-0,6554	-1,31074
180	-5,000000000166E-5	-2,62147	-0,6554	-1,31074
200	-3,9999999998486E-5	-1,9661	-0,6554	-1,31073
220	-0,65539	-1,9661	-0,6554	-1,31073
240	1,31072	-0,65535000000001	1,96611	1,31076
260	1,31076	0,65539	1,31075	1,96612
280	1,31076	1,31076	0,6554	2,62148
300	0,65541	1,96612	0,65541	2,62149
320	0,65541	1,96613	0,65541	3,27685
340	0,65541	1,96613	0,65541	3,27686
360	0,65541	1,96614	3,9999999998486E-5	3,27686
380	0,65541	2,6215	3,9999999998486E-5	3,27686
400	5,000000000166E-5	2,6215	5,000000000166E-5	3,93223
420	6,0000000004834E-5	3,27687	-0,65531	3,93223
440	6,0000000004834E-5	3,27687	-0,6553	3,93223
460	6,0000000004834E-5	3,27687	-0,6553	3,93223
480	-0,6553	3,27687	-0,6553	4,58759
500	-0,6553	3,27687	-0,6553	3,93223
520	-0,6553	3,27687	-1,31066	3,93223
540	-0,6553	3,27687	-0,6553	4,58759
560	-0,6553	3,27687	-1,31066	4,58759
580	-0,65529	3,27686	-0,65529	4,58759
600	-0,65529	3,93222	-1,31065	4,58759
620	-1,31065	3,27687	-1,31065	3,93223
640	-1,31065	3,27687	-1,31066	3,93223
660	-1,31065	3,27687	-1,31065	3,93223
680	-1,31065	3,27687	-1,31065	4,58759
700	-1,31065	3,93223	-1,31065	4,58759
720	-1,31064	3,93223	-1,31065	4,58759
740	-1,31064	3,93223	-1,966	4,5876
760	-1,966	3,93223	-1,966	4,5876
780	-1,966	3,93223	-1,966	4,5876
800	-1,96599	3,93223	-2,62136	5,24295
820	-1,96599	3,93224	-2,62135	5,24296
840	-2,62135	4,5876	-2,62135	5,24296
860	-2,62135	4,58759	-2,62135	5,89832
880	-2,62135	4,58759	-3,2767	5,24296
900	-2,62134	4,58759	-2,62135	5,24296
920	-2,62135	4,5876	-2,62135	5,89832
940	-2,62135	5,24295	-2,62135	5,89832
960	-2,62135	5,24296	-2,62136	5,89832
980	-2,62135	5,89832	-3,27672	5,89832
1000	-2,62136	5,24296	-2,62136	6,55368
1020	-2,62135	5,89832	-1,966	7,20905
1040	1,31087	7,20907	0,65552	7,86443
1060	0,65551	7,20906	0,65551	7,86443
1080	0,65552	7,86442	0,00016000000000105	8,51978
1100	0,00016000000000105	7,86442	0,00014999999999787	8,51979
1120	0,00016000000000105	7,20906	0,00014999999999787	8,51978
1140	0,00016000000000105	7,20906	-0,6552	7,86443
1160	0,00016000000000105	7,20906	0,00016000000000105	8,51979
1180	0,00016000000000105	7,20906	0,00016000000000105	7,86442
1200	0,00016000000000105	7,20906	0,00016000000000105	7,86443
1220	0,00016000000000105	7,20905	-0,65521	7,86442
1240	0,00016000000000105	7,20906	0,65552	7,86442
1260	3,27702	7,20904	3,93242	7,20903
1280	3,93243	7,20903	3,27706	7,86439
1300	3,93243	7,20903	3,93243	8,51976
1320	3,93243	7,86439	3,93243	7,86439
1340	3,93243	7,20903	3,93243	7,8644
1360	4,58779	7,20903	3,93243	8,51976
1380	4,58779	7,20903	4,58779	8,51975
1400	4,58779	7,20903	4,58779	7,86439
1420	4,58779	7,20903	0,00016999999999712	5,24294
1440	-2,62133	4,58757	-2,62132	5,89831
1460	-1,96594	5,24294	-1,96594	6,55367
1480	-1,96594	5,8983	-2,6213	6,55366
1500	-1,96594	5,8983	-1,96594	6,55367
1520	-1,31058	5,8983	-1,96595	6,55367
1540	-1,31059	5,8983	-1,96595	6,55367
1560	-1,3106	5,89831	-1,96596	6,55367
1580	-1,96596	5,89831	-1,96596	6,55368
1600	-1,96596	5,89831	-2,62133	6,55367
1620	-2,62133	5,89831	-1,31058	7,20905
1640	-0,6552	5,89832	-1,31057	7,20905
1660	-1,31056	5,89832	-1,31056	6,55369
