T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65536	0	-0,65537	0
40	-0,65536	0	-0,65536	0
60	-0,65536	-0,65536	-9,9999999960687E-6	0
80	-0,65537	-0,65536	-0,65537	-0,65535999999999
100	-0,65536	-0,65536	-0,65538	0
120	-1,31073	-0,65536	-1,31074	1,0000000003174E-5
140	-1,31073	0	-1,31074	1,0000000003174E-5
160	-1,9661	-0,65536	-1,96611	1,0000000003174E-5
180	-2,62146	-0,65536	-2,62147	1,0000000003174E-5
200	-2,62146	-0,65536	-2,62147	1,0000000003174E-5
220	-2,62146	-0,65535000000001	-2,62146	-0,65535
240	-1,9661	-0,65536	-1,31074	-0,65535
260	-1,31074	-1,31071	-1,96611	-0,65535
280	-1,9661	-1,31072	-1,96611	-0,65534
300	-2,62147	-1,31071	-2,62148	-0,65534
320	-3,27684	-0,65535000000001	-2,62149	-0,65534
340	-2,62148	-1,31071	-3,27685	-0,65534
360	-2,62148	-1,3107	-3,27685	-0,65534
380	-2,62148	-1,31071	-2,62148	-0,65534
400	-2,62148	-0,65535000000001	-2,62149	2,0000000006348E-5
420	-2,62149	-1,31071	-1,96614	-0,65535
440	-2,6215	-0,65536	-3,27687	1,0000000003174E-5
460	-3,27687	-0,65535000000001	-3,27688	1,0000000003174E-5
480	-3,27687	9,9999999960687E-6	-3,27688	1,0000000003174E-5
500	-3,27688	-0,65536	-3,27688	1,0000000003174E-5
520	-3,27688	0	-3,27689	1,0000000003174E-5
540	-3,27687	0	-3,27688	0,65536
560	-3,27688	0	-3,27689	0,65536
580	-3,27688	-1,0000000003174E-5	7,20895	0,65536
600	39,97741	-3,0000000002417E-5	72,74586	0,65534
620	79,95506	-0,6554	75,36749	0,65537
640	74,71212	0,65535999999999	75,36748	0,65536
660	75,36749	0	75,36749	1,0000000003174E-5
680	75,3675	9,9999999960687E-6	75,36749	1,0000000003174E-5
700	76,02286	-0,65536	76,67822	-0,65535
720	77,33358	-1,31071	77,33357	-0,65533
740	77,98894	-1,3107	77,98894	-1,31069
760	77,98895	-1,31069	77,98893	-1,31068
