T	LX	LY	RX	RY
0	0	0	0	0
20	0	-1,0000000003174E-5	0	0
40	0	0,65535999999999	0	9,9999999960687E-6
60	-0,65536	0,65535999999999	-0,65536	9,9999999960687E-6
80	-0,65536	0,65535999999999	-0,65536	0
100	-0,65536	0,65535	-0,65536	0,65535999999999
120	-0,65536	0,65535999999999	-1,31072	0,65535999999999
140	-1,31072	1,31072	-1,31072	1,31073
160	-1,31072	1,31072	-1,31071	0,65535999999999
180	-1,31071	0,65535999999999	-1,31072	1,31073
200	-1,31072	1,31072	-1,31072	0,65537
220	-1,31072	1,96608	-1,31072	1,31072
240	-0,65536	1,96608	-1,31072	1,31073
260	-1,31072	1,31072	-1,31073	1,31073
280	-0,65537	1,96608	-1,31072	1,31073
300	-0,65536	1,96609	-0,65536	1,96609
320	-1,31072	1,96608	-1,31072	1,96609
340	-0,65536	2,62144	-0,65536	1,96609
360	-0,65535	2,62145	-1,31072	1,96609
380	-0,65536	2,62145	-1,31072	3,27682
400	-0,65535	2,62145	-0,65535	3,27682
420	-1,31071	3,27681	-1,31071	3,27682
440	-1,31072	3,93217	-1,96607	3,27683
460	-1,96607	3,27682	-2,62143	3,93219
480	-2,62143	3,93218	-1,96606	3,93218
500	-1,96607	4,58754	-2,62142	4,58754
520	-2,62142	4,58754	-2,62142	4,58755
540	-2,62143	4,58754	-2,62142	4,58755
560	-2,62142	5,24291	-2,62142	4,58756
580	-2,62142	5,89827	-3,27678	4,58756
600	-2,62142	5,24291	-3,27678	4,58756
620	-3,27679	5,24291	-3,9296	4,58756
640	-3,27679	5,24292	-3,93215	5,24292
660	-3,93215	5,24292	-4,58751	3,93221
680	-4,58753	1,31078	-5,24293	-4,58741
700	-3,93227	-9,83022	-4,58772	-15,07296
720	-11,14132	-20,31566	-24,90396	-22,93694
740	-37,35585	-24,24766	-43,25403	-23,5923
760	-47,18609	-22,93694	-48,49669	-21,62622
780	-51,11811	-20,3155	-49,15205	-18,34942
800	-40,63241	-15,07262	-30,80204	-12,45126
820	-22,93777	-9,17458	-17,6949	-6,55322
840	-13,76275	-4,58722	-11,79668	-3,9319
860	-9,83062	-1,96587	-9,17524	-1,31053
880	-8,51988	0,65551	-8,51987	0,6555
900	-8,51986	1,9662	-8,51985	2,62156
920	-8,51985	3,93226	-8,51984	3,93226
940	-9,1752	4,58761	-9,17519	5,24296
960	-9,83055	5,24295	-9,83055	5,89831
980	-10,48591	6,55366	-10,48591	6,55367
1000	-10,48591	6,55365	-11,14126	7,20902
1020	-11,14127	7,20901	-11,14127	7,20901
1040	-9,83053	7,86436	-3,27681	7,86437
1060	8,0000000004077E-5	8,51971	-1,31066	8,51972
1080	-1,31067	9,17507	-1,31067	9,17507
1100	-1,31067	9,83042	-1,31067	9,83044
1120	-1,31067	9,83043	-1,31067	9,83044
1140	-1,31067	9,83043	-1,31067	9,17508
1160	-0,65531	9,17507	-0,65531	9,17508
1180	-0,65531	9,17507	-1,31067	9,17509
1200	-0,65531	9,17508	-0,65531	8,51973
1220	-0,65531	43,90916	-0,65531	8,51973
1240	-0,65531	9,17509	-0,6553	8,51974
1260	-0,6553	8,51973	-0,6553	7,86438
1280	7,0000000000903E-5	8,51973	7,20916	8,51974
1300	11,79678	8,51973	11,79678	8,51974
1320	11,1414	9,83046	11,1414	9,83047
1340	11,1414	10,48582	11,14141	9,83047
1360	11,1414	10,48582	10,48604	10,48584
1380	11,14141	11,14119	11,1414	11,14121
1400	11,1414	11,79656	11,1414	11,79657
1420	11,1414	11,79656	11,79676	11,79657
1440	11,79675	12,45193	11,79675	12,45194
1460	12,45212	12,45193	13,10747	12,45194
1480	13,10747	12,45193	13,76283	12,45194
1500	14,41818	12,45193	14,41818	12,45194
1520	15,07354	13,10729	15,07354	12,45193
1540	15,07353	12,45192	15,07354	12,45193
1560	15,7289	13,10728	15,07354	12,45193
1580	15,7289	12,45192	15,07354	12,45193
1600	15,7289	13,10728	15,07354	13,10729
1620	15,07354	13,10728	15,07353	12,45193
1640	15,07353	12,45192	14,41817	12,45193
1660	15,07353	13,10728	15,07353	12,45193
1680	15,07353	12,45192	20,97185	13,1073
1700	30,80245	13,76266	34,07934	13,76266
1720	33,42396	15,07337	33,42396	13,76266
1740	33,42396	14,41801	34,07932	13,76266
1760	34,07931	13,76265	34,07932	13,76266
1780	34,07931	13,76265	33,42395	14,41803
