T	LX	LY	RX	RY
0	0	0	0	0
20	0,65536	0	0,65535999999999	-0,65536
40	0,65536	0	0,65535	-0,65536
60	0,65535	0	0,65534	-1,31074
80	1,3107	-0,65538	1,3107	-2,62146
100	1,96605	-2,62147	1,96604	-4,58756
120	2,62141	-3,9322	2,6214	-4,58756
140	2,62141	-3,27684	1,96604	-3,27683
160	1,96605	-2,62148	1,96605	-3,9322
180	1,31069	-2,62147	0,65532	-3,27683
200	0,65533	-2,62147	0,65532	-3,27684
220	0,65533	-2,62147	-4,0000000005591E-5	-3,27683
240	-3,0000000002417E-5	-1,96611	-3,0000000002417E-5	-2,62147
260	-3,0000000002417E-5	-1,96611	-3,0000000002417E-5	-1,96611
280	-3,0000000002417E-5	-1,31074	-0,6554	-1,96611
300	-3,0000000002417E-5	-1,31074	-0,6554	-1,31074
320	-0,65539	-0,65538	-0,65539	-0,65539
340	-0,65539	-0,65538	-0,65539	-1,31074
360	-0,65538	-0,65538	-0,65539	-0,65538
380	-0,65538	-1,9999999999243E-5	-0,65538	-0,65538
400	-1,31074	0,65535	-1,31075	-9,9999999960687E-6
420	-1,31073	0,65535	-1,31074	-9,9999999960687E-6
440	-1,31073	1,31071	-1,31073	-9,9999999960687E-6
460	-1,31073	1,31071	-1,96609	0,65536
480	-1,31072	1,31072	-1,96609	0,65601
500	-1,96608	1,31072	-1,96609	0,65536
520	-1,96608	1,31072	-1,96609	0,65536
540	-1,96608	1,31072	-1,96608	0,65536
560	-2,62144	1,31072	-1,96608	0,65536
580	-2,62143	1,31072	-2,62144	0,65536
600	-2,62144	1,31072	-2,62144	0,65536
620	-2,62143	0,65536	-3,2768	0
640	-2,62143	0	-2,62144	-1,31072
660	-2,62144	-0,65536	-2,62143	-1,96609
680	-1,96607	-1,31073	-2,62144	-3,27681
700	-1,96608	-3,27681	-1,96609	-3,93218
720	-1,31072	-3,27682	-1,96609	-4,58755
740	-1,31073	-3,27683	-1,96609	-3,93218
760	-1,96609	-2,62146	-1,9661	-3,27682
780	-1,96609	-1,9661	-1,96609	-2,62146
800	-2,62144	-1,96609	-2,62145	-1,96609
820	-2,62144	-1,31074	-3,2768	-1,96609
840	-3,2768	-1,31074	-3,27681	-1,9661
860	-2,62145	-0,65537	-1,96611	-1,31073
880	-1,96611	-1,0000000003174E-5	-1,31076	-9,9999999960687E-6
900	-0,65539	0,65536	-0,6554	0
920	-3,9999999998486E-5	0	0,65531	-1,31073
940	0,65532	-0,65536	0,65531	-1,96609
960	0,65531	-0,65537	1,31066	-1,96609
980	0,65531	-1,31073	0,65531	-2,62145
1000	-5,000000000166E-5	-1,96609	-5,000000000166E-5	-3,27682
1020	-0,65541	-2,62147	9,83043	-1,9661
1040	21,62711	-1,31073	21,62716	-2,62147
1060	19,66107	-0,65538	19,00571	-1,31074
1080	18,35036	-1,9999999999243E-5	18,35036	-0,65539
1100	17,69501	-3,0000000002417E-5	17,695	-0,65539
1120	17,69501	-3,0000000002417E-5	17,03965	-1,31075
1140	17,69502	-3,0000000002417E-5	17,03965	-0,65539
1160	17,03966	-3,0000000002417E-5	17,03966	-0,65539
1180	17,03967	0,65534	16,38431	-1,9999999999243E-5
1200	16,38431	0,65534	15,72895	-1,9999999999243E-5
1220	15,72895	1,3107	15,72895	0,65535
1240	15,72896	1,96607	15,07359	1,96608
1260	15,0736	3,2768	15,07359	3,27681
1280	15,0736	4,58753	15,0736	4,58753
1300	22,93802	9,17508	36,7008	10,48582
1320	37,35625	11,79655	35,39016	13,76265
1340	35,39017	15,72874	35,39017	15,72875
1360	34,73482	17,03948	35,39018	17,03949
1380	35,39018	18,35022	35,39018	17,69486
1400	36,04555	17,69486	36,04554	17,0395
1420	36,7009	17,69486	36,04553	16,38415
1440	36,70089	17,03951	36,04552	16,38414
1460	36,04552	17,0395	36,04551	16,38415
1480	36,04551	17,03951	36,04551	16,38415
1500	36,04551	17,03951	35,39015	16,38415
1520	35,39015	17,03951	36,04551	15,72879
1540	35,39015	17,03951	41,28845	17,03952
1560	52,42974	18,35025	52,42975	17,03952
1580	50,46366	18,35025	50,46366	17,69489
1600	50,46365	18,35024	49,80829	17,69488
1620	49,80829	19,0056	50,46363	18,35024
1640	50,46365	19,0056	49,80827	17,69488
1660	50,46363	18,35024	50,46363	17,03951
1680	50,46363	18,35024	50,46362	17,69487
1700	50,46363	18,35023	50,46362	17,69487
1720	50,46362	18,35023	49,80826	17,69487
1740	49,80826	18,35023	49,80825	17,69487
1760	49,80826	18,35023	49,80825	17,69487
1780	49,80825	18,35023	49,80825	17,03951
1800	49,80825	17,69487	51,11898	17,69487
1820	60,29415	19,66096	64,88177	19,00561
1840	64,22641	19,66097	64,22641	19,66097
1860	64,22641	20,31633	64,2264	19,66097
1880	64,22641	20,31632	64,2264	19,66096
1900	64,2264	19,66096	64,2264	19,66096
1920	64,2264	20,31632	64,2264	19,0056
1940	64,2264	20,31632	63,57103	19,66096
1960	64,2264	20,31632	64,22639	19,0056
1980	64,2264	20,31632	64,22639	19,66096
2000	64,2264	20,31632	64,2264	19,66096
2020	64,2264	19,66096	64,22639	19,66096
2040	64,2264	20,31633	64,2264	19,0056
2060	64,2264	19,66096	63,57104	19,00561
2080	64,2264	20,31633	63,57103	19,00561
2100	63,57104	19,66097	63,57104	19,66097
2120	63,57105	20,31633	63,57105	19,66097
2140	63,57105	20,31633	62,91569	19,66097
2160	62,91569	20,31633	62,91569	19,66097
2180	62,91569	19,66097	63,57105	19,00561
2200	62,91568	19,66096	68,81398	19,66097
2220	83,88749	20,97172	87,81976	20,97172
2240	85,85368	22,28245	85,85367	21,62709
2260	85,19831	22,93782	85,19831	22,28245
2280	85,19831	22,28245	85,85366	21,62709
2300	85,1983	22,28245	85,1983	21,62709
2320	85,1983	21,62709	85,1983	20,97173
2340	85,85366	20,97173	85,85365	20,31637
2360	85,85366	20,97172	85,85366	20,31636
2380	86,50902	20,97172	85,85366	20,31636
2400	85,85366	20,97172	85,85365	19,661
2420	86,50902	20,31636	86,50901	19,00564
2440	86,50902	19,661	86,50902	19,00563
2460	86,50902	19,661	86,50901	19,00563
2480	86,50901	19,00563	86,50901	17,69491
2500	77,98922	15,72883	47,84219	6,55379
2520	9,83079	1,31091	-9,1749	-0,65517
2540	-9,83024	0,65554	-8,51951	0,65554
2560	-8,51951	1,96626	-8,51952	1,31089
2580	-7,2088	1,96625	-7,20882	1,31088
2600	-6,55345	1,96624	-6,55347	1,96623
2620	-6,55347	2,62159	-6,55347	1,96623
2640	-5,89811	2,62158	-5,89812	1,96623
2660	-5,89812	2,62159	-5,24276	1,96623
2680	-5,24276	2,62158	-5,24277	1,96622
2700	-9,17495	3,93232	-11,14103	3,27697
2720	-9,83029	4,58768	-9,8303	3,93233
2740	-9,8303	4,58769	-9,83031	3,93232
2760	-9,8303	3,93232	-9,83031	3,27696
2780	-9,17495	3,93232	-9,83032	3,27696
2800	-9,17495	3,93232	-9,83032	3,27695
2820	-9,17496	3,93232	-9,83032	3,27695
2840	-9,17496	3,93231	-9,83033	3,27695
2860	-9,17497	3,27694	-9,17497	2,62158
2880	1,31087	3,9323	10,48606	1,96623
2900	10,48608	2,62158	9,8307	1,96622
2920	9,83071	3,27694	9,8307	2,62158
2940	10,48606	3,27694	9,83069	1,96621
2960	9,8307	2,62157	10,48605	1,96621
2980	10,48606	2,62158	10,48605	1,96621
3000	10,48605	2,62158	10,48604	1,31085
3020	10,48603	1,96621	11,14138	0,65549
3040	11,14139	1,31084	11,14137	0,00012000000000256
3060	11,14138	0,65548	10,48601	-0,65525
3080	11,14137	-0,65525	11,14135	-2,62134
3100	11,14135	-1,31062	11,14134	-2,62134
3120	11,14135	-1,96598	11,14134	-3,27671
3140	11,14134	-2,62135	13,7628	-1,96599
3160	33,42388	0,65547	41,94373	-0,65525
3180	39,32229	0,65547	39,32227	1,31083
3200	39,97764	1,9662	39,32227	0,65548
3220	39,97763	1,96619	39,32226	1,31082
3240	39,97762	2,62155	39,32225	1,31083
3260	39,32225	1,96619	39,32225	1,31082
3280	39,32225	1,96618	39,9776	0,65546000000001
3300	39,9776	1,31082	39,9776	0,65545
3320	39,97759	1,31081	39,97759	9,0000000000146E-5
3340	39,9776	0,65544	39,97759	8,0000000004077E-5
3360	39,97759	7,9999999996971E-5	39,97759	8,0000000004077E-5
3380	39,97759	7,9999999996971E-5	39,97758	-1,31065
3400	39,97759	-0,65529	39,97758	-1,31065
3420	48,49737	1,3108	54,39572	0,65545
3440	53,08499	1,31081	51,77425	0,65545
3460	52,42962	1,96617	51,77425	0,65545
3480	51,77425	1,31081	51,77425	0,65545
3500	51,77425	0,65545	52,42961	8,0000000004077E-5
3520	51,77425	0,65544	51,77424	9,0000000000146E-5
3540	52,42961	0,65545	51,77424	9,0000000000146E-5
3560	51,77425	1,31081	51,77424	0,65545
3580	51,77425	1,96617	51,77425	1,31081
3600	51,77425	1,96617	51,77425	1,31081
3620	51,77425	1,96617	51,11889	1,96617
3640	51,11889	2,62154	51,77426	3,2769
3660	63,5709	7,86446	72,09077	7,86448
3680	72,0908	9,1752	70,78006	9,17521
3700	70,78008	10,48593	70,78006	9,83057
3720	70,78006	10,48592	71,43541	9,83056
3740	70,78005	9,83056	70,78003	9,1752
3760	70,78004	9,83056	70,78003	9,17519
3780	70,78003	9,83055	70,78003	9,17519
3800	71,43539	9,83055	70,78002	9,17519
3820	70,78003	9,83055	70,78002	8,51983
3840	70,78002	9,83055	70,78002	8,51982
3860	70,78002	9,17518	70,78001	8,51983
3880	70,78002	9,17518	70,78001	8,51982
3900	70,78001	8,51982	70,78001	7,86446
3920	71,43538	8,51982	71,43537	7,20909
3940	72,7461	8,51982	81,92128	9,1752
3960	88,47503	9,1752	87,16429	9,17519
3980	86,50893	9,83056	86,50892	9,83056
4000	86,50892	9,83056	85,85355	9,83056
4020	85,85355	10,48592	85,85355	9,83056
4040	85,85355	10,48592	85,85354	9,83055
4060	85,85354	10,48592	85,85354	9,83055
4080	85,19818	11,14128	85,19818	9,83055
4100	85,19819	10,48591	85,19818	9,83055
4120	85,85355	11,14127	85,85354	9,83055
4140	85,19819	11,14128	85,19818	10,48591
4160	85,85354	11,14126	85,85353	9,83054
4180	85,85353	10,4859	85,85352	9,83053
4200	86,50888	10,4859	85,85352	9,83053
4220	86,50889	10,48589	86,50888	9,17517
4240	84,54279	9,17517	66,1924	1,96621
4260	32,76855	-3,93202	3,27696	-6,55345
4280	-1,96597	-5,8981	-0,65522	-5,24273
4300	-1,31058	-3,93202	-0,65523	-3,93202
4320	-0,65523	-2,62131	-0,65523	-3,27667
4340	0,00012000000000256	-2,62131	0,00010999999999939	-3,27615
4360	0,65548	-3,27668	0,65546	-3,93205
4380	1,31082	-3,27669	1,31081	-3,93206
4400	1,31081	-3,93206	1,3108	-4,58742
4420	1,3108	-3,93207	1,96615	-4,58743
4440	1,96615	-3,93207	1,31079	-5,24279
4460	-3,93213	-4,58741	-11,14117	-5,89813
4480	-10,48579	-4,58741	-9,83043	-5,24277
4500	-9,83043	-4,58741	-10,48579	-5,89813
4520	-9,83043	-5,24277	-9,83044	-5,89813
4540	-9,83043	-5,24277	-10,4858	-5,89813
4560	-9,83044	-5,24277	-10,4858	-5,89814
4580	-10,4858	-5,24278	-9,83044	-5,89814
4600	-9,83044	-5,24278	-10,48581	-6,5535
4620	-10,48581	-5,24278	-10,48581	-6,5535
4640	-9,83044	-5,24278	-9,83045	-6,5535
4660	-9,83045	-5,89814	-9,83045	-6,5535
4680	-9,83045	-5,89815	-9,83046	-7,20887
4700	-9,83046	-6,55351	-9,83046	-7,20887
4720	-9,1751	-6,55351	-9,83047	-7,20887
4740	-9,83047	-7,86423	-9,17512	-9,83032
4760	-9,17511	-11,14106	-0,65542	-13,76251
4780	28,83609	-10,4857	62,91533	-7,20888
4800	80,61044	-3,93204	83,232	-1,96595
4820	81,26592	1,31086	80,61055	2,6216
4840	79,9552	5,24304	79,29982	4,58768
4860	79,29982	5,8984	79,29982	5,24304
4880	79,29982	6,55376	78,64445	5,8984
4900	79,29981	6,55376	79,2998	5,89839
4920	79,29981	6,55375	79,29981	5,89839
4940	79,29981	7,20911	-54,39364	5,89839
4960	79,29981	6,55375	79,2998	7,20911
4980	86,50887	9,17521	91,75187	9,17522
5000	90,44115	9,83058	89,78577	9,83058
5020	89,78578	11,14131	89,78577	10,48594
5040	89,78576	11,1413	90,44113	9,83058
5060	90,44112	11,14129	90,44111	9,83057
5080	90,44112	10,48593	91,09648	9,17521
5100	90,44112	10,48593	90,44112	9,17521
5120	91,09648	9,83057	91,09647	9,17521
5140	91,09647	9,83056	91,09646	9,1752
5160	91,09647	9,83056	90,4411	8,51984
5180	76,02295	2,6216	41,9437	-6,55345
5200	8,51987	-9,17488	-3,27672	-8,51951
5220	-2,62132	-6,55343	-2,62133	-5,89807
5240	-2,62133	-3,932	-1,96598	-4,58736
5260	-1,31063	-3,93201	-1,31064	-4,58737
5280	-0,65528	-3,93201	7,0000000000903E-5	-4,58738
5300	7,0000000000903E-5	-3,93202	4,9999999994554E-5	-5,24275
5320	5,000000000166E-5	-4,58739	3,9999999998486E-5	-5,89812
5340	0,65541	-5,24276	0,6554	-5,89813
5360	0,6554	-5,24277	1,31075	-5,89813
5380	1,31076	-5,24277	1,31075	-5,89814
5400	1,31075	-5,89814	1,31074	-5,89814
5420	1,31075	-5,89814	1,31075	-5,89814
5440	1,96611	-5,24279	1,31074	-6,55351
5460	1,31074	-5,89815	1,31073	-7,20887
5480	8,51977	-5,24279	15,72886	-5,24277
5500	15,7289	-4,58742	15,72888	-5,24278
5520	15,72888	-3,93206	15,07352	-5,24278
5540	15,72888	-4,58742	15,72887	-5,24278
5560	15,72887	-5,24278	15,72887	-5,89815
5580	15,72887	-5,24279	15,0735	-5,89815
5600	15,72886	-5,24279	15,07349	-6,55351
5620	15,72885	-5,89815	15,07349	-6,55351
5640	15,07349	-6,55352	15,07349	-7,20888
5660	15,07349	-6,55352	15,07348	-7,86424
5680	15,07349	-6,55353	15,72885	-7,86425
5700	15,72885	-7,20889	15,07349	-8,51961
5720	15,72885	-7,86425	15,72885	-8,51961
5740	15,72885	-8,51961	23,59325	-7,86425
5760	41,28825	-5,24279	45,22051	-7,86424
5780	43,25441	-5,89816	43,25439	-6,55352
5800	43,90975	-5,89816	43,25438	-7,20889
5820	43,25438	-6,55353	43,25437	-6,55353
5840	43,25437	-5,24281	42,599	-5,89816
5860	43,25437	-4,58744	42,599	-5,2428
5880	42,599	-3,93208	41,94364	-4,58743
5900	41,94365	-3,27671	41,94364	-3,93207
5920	41,94364	-2,62135	41,94364	-3,27671
5940	41,94365	-3,27671	41,28828	-3,27671
5960	41,28829	-2,62135	41,28828	-2,62135
5980	41,94365	-1,96599	41,28829	-1,96599
6000	41,28829	-1,31063	41,28829	-2,62136
6020	41,94365	-1,31063	52,42955	-0,65525
6040	59,63866	-0,65525	58,32793	-0,65526
6060	58,32792	0,65547	58,32792	-0,65526
6080	58,98328	0,65547	58,32791	-0,65526
6100	58,98328	0,00010000000000332	58,98327	-1,31062
6120	58,98328	-0,65526	58,98327	-1,31062
6140	59,63863	-0,65525	59,63863	-1,96598
6160	60,294	-0,65526	59,63863	-1,96598
6180	60,294	-1,31062	60,29399	-1,96598
6200	60,294	-1,31062	60,29399	-1,96598
6220	60,94936	-1,31062	60,29399	-2,62135
6240	60,94935	-1,96598	60,94935	-2,62135
6260	60,29399	-1,96598	60,29399	-3,2767
