T	LX	LY	RX	RY
0	0	0	0	0
20	0	-0,6545	0,65536	-0,65537
40	-9,9999999960687E-6	-0,65537	1,31071	-0,65537999999999
60	0,65534	-1,31075	1,31071	-1,96611
80	0,65533	-1,96612	1,96605	-1,96612
100	1,31068	-1,96613	1,96605	-2,62149
120	1,96604	-3,27686	2,6214	-3,27687
140	1,96603	-3,27687	2,62139	-3,27688
160	2,62138	-3,93224	3,27675	-3,93224
180	2,62137	-4,58761	3,27674	-4,58761
200	3,27672	-5,24298	3,93209	-5,24298
220	3,27672	-5,89835	4,58744	-5,24299
240	3,93207	-5,89836	3,93208	-5,89836
260	3,93207	-6,55373	4,58743	-5,89837
280	4,58742	-7,2091	5,24279	-7,20909
300	4,58741	-7,2091	5,24278	-7,20911
320	4,58741	-7,86447	5,89813	-7,20912
340	5,24276	-7,86448	5,89813	-7,86449
360	5,89812	-8,51986	6,55348	-9,17522
380	6,55347	-9,83059	7,20883	-9,17524
400	6,55346	-9,8306	7,86418	-9,83061
420	7,86416	-10,48598	8,51953	-10,48598
440	7,86416	-11,14135	8,51952	-11,14135
460	8,51951	-11,79671	8,51952	-11,14136
480	8,51951	-11,79672	9,17488	-11,14136
500	9,17486	-11,79672	9,83023	-11,14136
520	9,17486	-11,79673	10,48559	-11,79673
540	9,83021	-11,79674	9,83023	-11,14138
560	9,83021	-11,79674	10,48558	-11,79674
580	9,83021	-11,79675	10,48558	-11,79675
600	9,83021	-12,45211	10,48557	-11,79675
620	9,83021	-11,79675	10,48558	-11,79675
640	9,17485	-11,79675	9,83022	-11,79675
660	9,17485	-11,79675	9,17486	-11,79675
680	8,51949	-11,79675	8,51951	-11,79675
700	7,86414	-12,45211	12,45171	-11,79675
720	17,6947	-12,45211	20,97155	-12,45212
740	20,31617	-12,45212	20,97153	-11,79676
760	20,97152	-12,45213	22,28225	-11,79677
780	20,97151	-11,79677	22,28224	-12,45213
800	21,62687	-12,45213	22,28224	-11,79678
820	21,62687	-11,79678	21,62687	-11,79679
840	20,9715	-12,45215	20,97151	-11,79679
860	20,31614	-12,45215	20,9715	-12,45215
880	20,31613	-12,45216	20,9715	-13,10751
900	20,31613	-13,10752	24,90371	-13,10752
920	32,1128	-13,76286	35,38968	-13,76286
940	34,7343	-14,41823	35,38966	-14,41823
960	34,73429	-15,0736	36,04502	-15,0736
980	34,73429	-15,72896	35,38966	-15,0736
1000	34,73429	-15,72897	35,38967	-15,07361
1020	34,7343	-15,72897	34,7343	-15,07362
1040	34,07893	-16,38434	34,7343	-15,72898
1060	34,07893	-16,38435	34,07895	-16,38435
1080	33,42357	-16,38436	34,7343	-16,38436
1100	34,07893	-17,03972	34,7343	-17,03973
1120	34,07892	-17,69509	34,73429	-17,03973
1140	34,73428	-17,69509	35,38965	-17,6951
1160	34,07891	-18,35046	34,73428	-18,35046
1180	34,07891	-19,00583	35,38963	-19,00583
1200	34,73426	-19,66119	35,38963	-19,00583
1220	34,73425	-20,31656	35,38962	-19,6612
1240	34,73425	-20,31657	35,38962	-20,31657
1260	34,07889	-20,97194	34,73425	-20,97195
1280	36,04499	-22,28267	42,5987	-21,62731
1300	43,90948	-22,93803	44,56484	-22,28268
1320	43,25411	-22,93804	44,56484	-22,28269
1340	43,90947	-22,93806	44,56484	-22,93806
1360	43,90946	-23,59343	44,56483	-22,93807
1380	43,90946	-23,59344	45,22019	-23,59345
1400	44,56482	-24,24881	45,87554	-24,24881
1420	44,56481	-24,90417	45,87554	-24,90417
1440	45,22017	-24,90418	46,53089	-24,90418
1460	45,87553	-25,55954	47,18626	-25,55955
1480	45,87552	-26,21492	51,11846	-26,21491
1500	57,01682	-26,87026	60,29369	-27,52563
1520	59,63832	-28,181	60,29368	-27,52564
1540	60,29367	-28,18101	61,6044	-28,18102
1560	61,60439	-28,83638	62,25976	-28,18103
1580	62,25975	-29,49176	62,91512	-29,49176
1600	62,91511	-30,80249	63,57048	-30,8025
1620	62,9151	-30,8025	64,22583	-30,80251
1640	62,91509	-31,45788	63,57047	-32,11324
1660	63,57046	-32,11325	64,88119	-32,11326
1680	64,22583	-32,76862	64,22584	-32,11326
1700	63,57047	-32,76863	64,22584	-32,11328
1720	63,57048	-32,76865	63,57048	-32,11329
1740	62,91511	-32,76865	62,91512	-32,11329
1760	62,25975	-32,76865	62,91512	-32,11329
1780	62,25975	-32,76865	62,25976	-32,76865
1800	60,94903	-32,76865	61,6044	-32,11329
1820	60,94903	-32,76865	61,6044	-32,11329
1840	60,94903	-32,76866	60,94904	-32,76866
1860	60,94903	-33,42403	61,6044	-32,76867
1880	60,94903	-32,76868	61,6044	-32,76868
1900	60,94904	-33,42405	68,15811	-32,76867
1920	76,02259	-32,76863	79,29947	-32,76864
1940	78,64409	-33,424	79,29945	-32,76864
1960	79,29944	-33,42401	79,9548	-33,42401
1980	79,29943	-33,42401	80,61016	-33,42401
2000	80,61014	-34,07937	81,26551	-34,07937
2020	81,2655	-34,07937	82,57623	-34,73474
2040	81,92086	-34,73474	83,23159	-34,73473
2060	82,57622	-34,73474	83,23159	-34,73474
2080	83,23158	-35,3901	83,23159	-35,3901
2100	85,19768	-36,04547	87,16379	-36,04547
2120	86,50842	-36,04547	86,50843	-36,04547
2140	85,85306	-36,70083	86,50843	-36,04547
2160	85,1977	-36,04547	85,19771	-35,39011
2180	84,54234	-36,04547	84,54235	-35,39011
2200	83,88698	-36,04547	83,88699	-35,39011
2220	83,23162	-35,39011	83,88699	-35,39011
2240	83,23162	-35,39012	83,23163	-35,39012
2260	82,57625	-35,39012	83,23163	-35,39012
2280	82,57625	-35,39012	83,23162	-35,39012
2300	82,57625	-35,39012	83,23162	-35,39012
2320	84,54235	-36,04548	86,50847	-35,39011
2340	85,85309	-36,04548	86,50846	-35,39012
2360	85,85308	-36,04548	87,16381	-35,39012
2380	86,50844	-35,39012	87,16381	-35,39012
2400	86,50844	-35,39012	87,16381	-35,39012
2420	87,1638	-34,73475	87,81917	-34,73475
2440	87,1638	-34,73475	88,47452	-34,73475
2460	87,81915	-34,73475	81,92083	-36,04547
2480	56,36145	-38,01157	28,83593	-38,66692
2500	9,17482	-39,97763	6,55332	-39,32228
2520	8,51942	-38,66692	10,48552	-38,66692
2540	9,83014	-38,66693	11,79623	-38,66693
2560	11,79621	-38,66694	13,10694	-38,66694
2580	12,45156	-38,66694	13,76228	-38,01158
2600	13,10692	-38,66695	13,76227	-38,66695
2620	13,76227	-39,32231	14,41763	-38,66695
2640	14,41762	-38,66695	14,41763	-38,66695
2660	14,41762	-38,66695	15,07299	-38,66695
2680	13,10689	-39,32231	7,86394	-39,97767
2700	4,5871	-39,97768	5,89783	-38,66695
2720	5,24246	-38,66695	5,24247	-38,66695
2740	4,58709	-38,66695	5,24246	-38,66696
2760	4,58709	-38,66696	5,24246	-38,66695
2780	4,58709	-38,66696	5,24246	-38,0116
2800	5,24245	-38,66696	5,89782	-38,66696
2820	5,89781	-39,32232	13,76225	-39,32232
2840	17,6945	-39,97768	19,00523	-39,97769
2860	18,34985	-39,97769	19,00522	-39,97768
2880	19,0052	-39,97769	19,66057	-39,97769
2900	19,66056	-39,97769	20,31593	-39,97769
2920	20,31592	-39,97769	20,97129	-39,97769
2940	20,31592	-39,9777	20,97128	-39,97769
2960	20,97127	-40,63306	21,62664	-39,97769
2980	21,62662	-40,63306	23,59273	-40,63306
3000	32,11254	-41,28841	40,63238	-41,2884
3020	41,94313	-41,2884	42,5985	-41,2884
3040	42,59848	-41,2884	43,90921	-41,2884
3060	43,9092	-41,2884	45,87529	-41,2884
3080	45,21991	-41,2884	46,53064	-41,94376
3100	45,87527	-41,94376	47,186	-41,28841
3120	46,53062	-41,94377	46,53063	-41,94377
3140	45,87526	-42,59913	47,18599	-42,59913
3160	46,53062	-42,59913	51,11821	-42,59912
3180	53,08435	-42,59912	53,73973	-42,59912
3200	53,08434	-42,59912	53,73972	-41,94375
3220	53,08435	-42,59911	54,39507	-41,94376
3240	53,7397	-41,94376	53,73971	-42,59911
3260	53,7397	-42,59912	54,39507	-41,94375
3280	53,7397	-41,94375	54,39507	-41,94375
3300	54,39506	-42,59911	55,05043	-41,94375
3320	54,39506	-42,59911	55,05043	-41,94375
3340	54,39506	-42,59911	55,05043	-41,94375
3360	54,39506	-42,59911	55,05043	-41,94375
3380	54,39506	-42,59911	55,70579	-41,94375
3400	57,01652	-42,59911	60,94876	-42,5991
3420	61,60413	-42,5991	62,25949	-42,5991
3440	61,60412	-42,5991	62,25949	-42,5991
3460	62,25949	-43,25445	62,91486	-42,59909
3480	62,25949	-43,25446	62,91486	-42,59909
3500	62,25949	-42,59909	62,91486	-43,25445
3520	62,91485	-43,25446	63,57022	-43,25446
3540	63,57021	-43,25446	64,22558	-43,25446
3560	64,22557	-43,90982	72,7454	-43,90979
3580	77,98841	-43,90977	80,60989	-43,90978
3600	79,29914	-43,25442	80,60986	-43,25443
3620	80,60986	-43,90979	81,26522	-43,90979
3640	81,26521	-43,90979	81,92313	-43,25443
3660	81,26521	-43,90979	81,92058	-43,25443
3680	81,26521	-43,25443	81,92058	-43,25289
3700	80,60986	-43,25443	81,26523	-42,59908
3720	80,60986	-42,59908	80,60987	-42,59908
3740	79,9545	-43,25444	79,29914	-42,59909
3760	76,67767	-43,25445	77,33304	-42,59909
3780	76,67767	-42,59908	77,33303	-41,94373
3800	76,67767	-42,59909	77,33304	-41,94373
3820	76,67767	-42,59909	77,33304	-41,94373
3840	76,0223	-42,59909	76,67767	-42,59909
3860	76,67766	-42,59909	76,67767	-41,94373
3880	76,02229	-42,59909	77,9884	-42,59909
3900	82,57602	-42,59907	87,16362	-41,9437
3920	86,50826	-42,59907	87,81898	-42,59907
3940	87,1636	-43,25443	88,47433	-42,59907
3960	88,47432	-42,59908	89,12969	-42,59908
3980	88,47432	-43,25444	89,12969	-42,59909
4000	88,47432	-43,9098	89,78505	-43,25445
4020	89,12968	-43,90981	89,78504	-43,90981
4040	89,12967	-43,90982	89,78504	-43,25445
4060	89,12967	-43,90982	89,78504	-43,90982
4080	89,78503	-43,90982	89,78504	-43,90982
4100	89,78502	-43,90982	90,44039	-43,90982
4120	89,78502	-43,90982	90,44039	-43,90983
4140	89,78502	-43,90983	90,44039	-43,90983
4160	89,78502	-43,90982	90,44039	-43,90983
4180	89,78502	-43,90982	90,44039	-43,90983
4200	89,78502	-43,90983	89,78503	-43,90983
4220	89,78502	-43,90983	90,44039	-43,90983
4240	89,78502	-43,90982	90,44039	-43,25446
4260	90,44038	-43,25446	90,44039	-42,59909
4280	90,44038	-42,5991	90,44039	-42,59909
4300	90,44038	-42,59909	89,12965	-42,59909
4320	71,43469	-44,56516	45,21994	-45,22051
4340	22,282	-46,53121	12,45145	-45,87586
4360	13,1068	-45,87587	15,72827	-45,87588
4380	15,72825	-46,53125	17,03898	-45,87589
4400	17,03896	-46,53126	18,34969	-46,53126
4420	17,69432	-46,53127	18,34969	-46,53127
4440	18,34967	-47,18664	19,6604	-46,53128
4460	19,00503	-47,18664	19,66039	-47,18665
4480	19,66038	-47,18665	20,31575	-47,84201
4500	20,31574	-47,84202	20,97111	-47,84202
4520	20,31574	-47,84202	20,97111	-48,49738
4540	20,31574	-48,49739	21,62647	-47,84203
4560	20,31573	-48,4974	21,62647	-48,49739
4580	20,31574	-48,4974	20,97111	-47,84204
4600	20,31573	-48,4974	20,97111	-48,4974
4620	23,59259	-49,15276	28,83557	-49,15276
4640	28,83558	-49,15277	29,49095	-49,15277
4660	28,83557	-49,15277	28,83558	-49,15277
4680	28,18021	-49,15278	28,83558	-49,15278
4700	28,18022	-49,15278	-62,91482	-49,15279
4720	27,52485	-49,15279	28,83558	-49,15279
4740	27,52485	-49,80815	28,18022	-49,15279
4760	28,18021	-49,80815	28,83558	-49,80815
4780	29,49093	-50,46352	38,01076	-50,46351
4800	43,25376	-51,11886	44,56451	-51,11887
