T	LX	LY	RX	RY
0	0	0	0	0
20	11,79672	-0,65536	2,0000000006348E-5	-1,9999999999243E-5
40	9,83062	9,9999999960687E-6	0,65537999999999	0,65535
60	11,14135	0,65537	1,31074	0,65535
80	11,79671	0,65537	1,96611	1,31072
100	11,79672	1,31074	2,62148	1,96608
120	12,45208	1,9661	3,27683	1,96608
140	13,10744	2,62147	3,27683	3,27681
160	13,10744	3,27683	2,62147	3,93218
180	12,45208	4,58756	2,62148	4,58754
200	12,45208	4,58756	2,62148	5,24291
220	12,45209	5,24293	2,62149	5,89827
240	11,79673	5,8983	1,96613	6,55364
260	12,45209	6,55366	1,96613	6,55364
280	12,4521	6,55366	3,93225	7,20901
300	15,07362	7,86439	4,58765	7,86438
320	14,41826	8,51975	3,9323	9,1751
340	13,10754	9,83048	2,62158	9,83047
360	12,45218	9,83048	1,96622	9,83047
380	11,14147	10,48585	1,31086	38,66632
400	10,48611	11,14122	0,65551000000001	11,79656
420	10,48611	11,79658	0,00015000000000498	12,45252
440	9,83075	12,45194	0,00015000000000498	13,10729
460	9,83076	12,45195	0,00015000000000498	13,10729
480	9,83076	13,76267	0,00015000000000498	13,76266
500	9,83076	13,76268	0,00015999999999394	13,76266
520	9,83076	13,76268	0,00015000000000498	13,1073
540	11,14146	13,10731	1,31086	11,79656
560	12,45218	11,14122	3,93228	11,1412
580	14,41824	10,48586	5,89835	10,48584
600	17,03968	10,48585	7,86443	10,48584
620	18,3504	10,48586	8,5198	10,48584
640	19,66113	10,48585	9,83051	11,14119
660	19,00576	10,48585	8,51978	11,1412
680	18,35039	11,14121	7,86442	11,14119
700	17,03966	11,14121	6,55369	11,14119
720	16,3843	11,1412	-77,33239	11,79655
740	15,72894	12,45192	6,55369	12,45191
760	16,38431	13,10728	6,5537	12,45191
780	16,38431	13,10729	6,55371	13,10727
800	17,03968	13,76265	7,20907	13,10727
820	17,03968	13,76265	7,20908	13,76263
840	17,03969	13,76265	6,55372	13,76263
860	16,38434	13,76265	5,89837	14,418
880	16,38434	14,41802	5,89838	14,418
900	15,72899	14,41802	5,24303	14,418
920	15,07365	14,41802	5,24305	15,07337
940	15,72903	15,07339	5,24307	15,72873
