T	LX	LY	RX	RY
0	0	0	0	0
20	1,31072	-0,65537	-1,31073	-0,65535999999999
40	-3,27683	-0,65538	-2,62147	-1,31073
60	-1,31073	-0,65537	-1,9661	-1,31072
80	-1,31074	-1,31073	-1,9661	-1,31072
100	-1,31074	-0,65537	-1,9661	-1,31072
120	-1,31074	-1,31073	-1,31074	-1,31071
140	-0,65538	-1,31073	-1,31074	-1,31072
160	-0,65538	-1,31074	-1,31074	-1,31073
180	-0,65537	-1,31074	-1,31073	-1,31073
200	-0,65537	-1,31074	-1,31073	-1,31073
220	-0,65537	-1,31074	-1,9661	-1,31073
240	-1,31073	-0,65539	-1,96609	-1,31075
260	-1,31073	-1,31076	-1,9661	-1,96612
280	-0,65537	-2,62152	-1,31074	-4,58764
300	1,31071	-8,51992	5,24287	-18,35054
320	12,45183	-32,1134	18,35013	-49,15303
340	29,4915	-66,19259	40,63293	-80,61067
360	47,1867	-89,13049	49,15289	-92,40733
380	49,80828	-91,75196	47,84215	-89,13045
400	45,22062	-83,8875	39,97762	-76,02308
420	38,01146	-67,50333	35,38993	-59,63892
440	34,73446	-51,77456	32,76828	-45,22088
460	32,11286	-39,32259	30,80208	-35,39035
480	30,80206	-31,45812	29,49131	-27,52589
500	29,4913	-24,24904	28,18057	-21,62753
520	28,18058	-19,66141	27,52521	-17,69527
540	26,86986	-15,72916	25,55914	-14,41839
560	26,2145	-13,10765	24,24841	-11,79689
580	24,90378	-11,14152	24,24841	-9,83076
600	24,24841	-9,17539	22,93769	-7,86463
620	22,9377	-7,20927	21,62697	-6,55388
640	21,62698	-5,89851	20,31625	-5,24313
660	20,97162	-4,58776	19,6609	-3,93237
680	20,31627	-3,27701	19,00555	-2,62163
700	19,00556	-1,96626	17,69483	-1,96624
720	18,35019	-0,65553	17,69483	-1,31087
740	17,69484	-0,65552	16,38411	-0,65549
760	17,03948	-0,65549	16,38412	-0,00011999999999546
780	16,38413	-0,00011999999999546	15,0734	0,65526000000001
800	15,72877	0,65526000000001	14,41804	1,31064
820	15,07341	1,966	14,41805	1,31065
840	15,07341	1,31065	14,41805	1,96602
860	14,41805	1,96603	13,76269	1,96604
880	14,41805	1,96603	14,41805	1,96605
900	14,41805	1,31068	14,41805	1,96606
920	14,41805	1,31069	14,41804	1,31071
940	13,76268	1,96607	2,6215	0,65534
960	-6,55365	0,65531	-6,55366	0,65534
980	-5,24292	1,31072	-6,55364	1,96611
1000	-5,89828	1,9661	-7,209	1,96612
1020	-7,209	1,96612	-7,86436	2,62151
1040	-8,51971	3,27687	-9,17508	3,93225
1060	-9,17508	4,58762	-9,83045	4,58765
1080	-10,48581	4,58765	-11,79653	5,24303
1100	-11,79653	5,24303	-13,76261	5,24306
1120	-14,41796	5,89844	-16,38404	6,55383
1140	-15,72867	7,20919	-3,27674	7,86455
1160	6,5538	9,83059	5,24309	9,83059
1180	3,93236	10,48598	1,96629	11,14138
1200	2,62166	11,79674	1,31094	11,79675
1220	1,31095	11,79674	0,65559	11,79675
1240	0,65561	11,79675	0,00025000000000119	11,79676
1260	-0,65509	11,79675	-0,6551	11,79677
1280	-0,65509	11,79677	-1,96581	12,45214
1300	-1,31045	12,45214	-1,96581	12,45215
1320	-1,31045	12,45214	-1,96581	12,45216
1340	-1,31045	12,45215	-1,96581	12,45217
1360	-0,65508000000001	11,7968	-1,31045	11,79681
1380	-0,65508000000001	12,45216	-1,31044	11,79681
1400	-0,65507	11,79681	-2,62116	12,45219
1420	-8,51943	12,45217	-13,107	13,10753
1440	-12,45163	13,76291	-13,76234	14,4183
1460	-13,76234	14,4183	-15,07306	15,07367
1480	-16,38377	15,72902	-17,69449	15,72903
1500	-17,69448	16,38438	-19,66057	16,38439
1520	-19,66056	16,38438	-20,97129	17,03975
1540	-20,97128	17,69511	-21,62665	17,03976
1560	-21,62664	17,03975	-22,28201	17,03976
1580	-21,62664	17,03975	-22,282	17,03976
1600	-20,97128	17,03975	-20,97129	16,38441
1620	-20,31593	16,38439	-20,31593	16,38441
1640	-14,41767	16,3844	-3,27644	17,03974
1660	0,65579	16,38434	-0,65495	17,03973
1680	-0,65495	17,03976	-1,96567	17,69514
1700	-0,65494	17,69513	-1,96567	17,69515
1720	-2,62101	17,69518	-4,58709	18,35057
1740	-5,89779	19,00595	-9,1746	20,97207
1760	-11,14066	22,28281	-13,7621	24,24893
1780	-15,72816	25,55966	-19,00495	26,87042
1800	-19,66029	28,18115	-22,28173	28,83654
1820	-22,93708	30,14726	-24,90316	30,80264
1840	-26,21387	31,45801	-28,17995	32,76876
1860	-28,8353	34,07949	-31,45675	35,39023
1880	-32,11211	36,04559	-34,07819	37,35633
1900	-35,38892	38,66703	-36,69965	39,32241
