T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	0	0
40	0,65535999999999	0,65535	-9,9999999960687E-6	0
60	0,65535999999999	-1,0000000003174E-5	-9,9999999960687E-6	-0,65535
80	0,65535999999999	-1,0000000003174E-5	0,65535	0
100	0,65535999999999	0,65535	0,65535	0
120	0,65535	0	0,65534	0
140	1,31071	0	1,96605	1,0000000003174E-5
160	1,96606	0	1,96605	1,0000000003174E-5
180	1,96606	0	1,31069	-0,65535
200	1,3107	0	1,31069	1,0000000003174E-5
220	1,96606	9,9999999960687E-6	1,96606	1,0000000003174E-5
240	1,96607	9,9999999960687E-6	2,62142	1,0000000003174E-5
260	1,96607	0	1,96606	1,0000000003174E-5
280	2,62143	0	1,96606	1,0000000003174E-5
300	2,62143	0,65536	2,62142	0
320	2,62143	0	2,62142	-0,65535999999999
340	2,62143	0	1,96606	0
360	2,62143	0	2,62142	0
380	2,62143	-1,0000000003174E-5	2,62142	0
400	2,62143	0	2,62142	0
420	2,62143	0,65535	2,62142	0,65536
440	2,62143	0,65535	1,96606	0
460	2,62143	0,65536	1,96606	0,65536
480	1,96607	0,65536	1,96607	0,65536
500	1,96607	1,31072	1,96607	1,31073
520	1,31072	1,96608	1,31071	1,96609
540	1,31072	2,62144	1,31071	3,27681
560	0,65535999999999	3,2768	2,62145	3,93217
580	2,62147	3,93216	1,9661	4,58752
600	1,96611	4,58752	1,9661	5,24288
620	1,31075	5,24287	1,31075	5,89825
640	1,31075	5,89824	1,31075	5,24288
660	1,31076	5,89824	1,31075	5,89825
680	0,6554	6,55359	0,65539	6,5536
700	0,6554	6,55359	0,65539	7,20896
720	0,65541	7,20895	0,65539	7,20896
740	0,65541	7,20895	3,0000000002417E-5	7,20896
760	3,9999999998486E-5	7,86431	3,9999999998486E-5	7,86432
780	4,9999999994554E-5	8,51967	3,9999999998486E-5	8,51968
800	-0,65531	9,17503	-0,65532	9,17504
820	-0,65531	9,17503	-1,31068	9,8304
840	-0,65531	9,83039	-0,65532	9,83039
860	-0,65531	10,48574	-0,65532	9,83039
880	-0,65531	9,83038	3,0000000002417E-5	10,48575
900	-0,65532	9,83038	3,0000000002417E-5	9,83038
920	-0,65533000000001	10,48573	-0,65533	9,83038
940	-0,65532	10,48573	-1,31069	10,48574
960	-0,65532	11,1411	-0,65532	10,48575
980	-1,31067	11,1411	-1,31068	10,48575
1000	-0,65531	11,14109	-1,31067	10,48574
1020	-1,31066	10,48573	-0,65531	10,48573
1040	-0,6553	10,48573	-0,65531	11,14109
1060	-0,6553	10,48572	-0,65531	9,83037
1080	-0,6553	10,48572	-0,6553	9,83037
1100	-0,6553	10,48572	-1,31066	10,48572
1120	-1,31065	9,83035	-1,31066	9,83036
1140	-0,6553	9,83035	-0,6553	9,83036
1160	-0,65529	9,83035	-0,6553	9,83036
1180	-0,65529	9,83035	-0,6553	9,83036
1200	-0,65529	9,83034	-0,6553	9,175
1220	-0,65529	9,83035	-0,65531	9,175
1240	-0,65529	9,17499	-0,6553	9,175
1260	5,89836	9,83035	17,69495	10,48573
1280	20,97181	11,14109	19,00573	11,1411
1300	19,00574	11,14109	19,00573	11,14109
1320	18,35038	11,14109	18,35037	11,14109
1340	18,35038	11,79644	18,35038	11,1411
1360	18,35039	11,79645	17,69502	11,79646
1380	17,69503	11,79645	17,69502	11,79646
1400	17,69503	11,79645	17,69502	11,79646
1420	17,69503	11,79645	17,69502	11,79646
1440	17,69503	11,79645	17,69502	11,79645
1460	18,35039	11,79645	17,69502	11,79646
1480	18,35039	11,79645	18,35038	11,14109
1500	18,35039	11,79645	18,35038	11,14109
1520	17,69503	11,14109	20,31648	11,1411
1540	26,87016	11,14109	28,83626	11,1411
1560	28,18091	11,79645	28,1809	11,79646
