T	LX	LY	RX	RY
0	0	0	0	0
20	-1,0000000003174E-5	0,65536	-1,9999999999243E-5	9,9999999960687E-6
40	-3,0000000002417E-5	0	-4,0000000005591E-5	9,9999999960687E-6
60	-0,65541	1,0000000003174E-5	-5,000000000166E-5	1,9999999999243E-5
80	-5,000000000166E-5	0,65537	-5,000000000166E-5	0,65537
100	-5,000000000166E-5	1,31072	-5,000000000166E-5	0,65537
120	0,6553	1,31071	0,6553	0,65535999999999
140	1,31066	1,31071	1,31066	0,65535999999999
160	1,31065	0,65536	1,96601	0,65535999999999
180	1,96601	1,31071	1,96601	0,65535
200	1,96601	1,31071	1,96601	0,65535999999999
220	2,62136	0,65535	2,62137	0,65537
240	2,62136	0,65537	2,62136	0,65537
260	2,62135	0,65538	3,27671	0,65539
280	3,27671	1,31074	3,93207	0,65539
300	3,27669	2,62147	2,6213	3,93222
320	3,27669	3,93221	3,93205	3,27685
340	4,58741	3,9322	4,58741	3,93221
360	5,24277	3,93221	5,89813	3,93221
380	5,89813	4,58756	5,89813	3,93222
400	5,89813	4,58757	6,55349	3,93222
420	6,55349	3,93221	6,55349	3,93222
440	6,55346	3,93222	6,55346	3,93223
460	6,55345	3,27686	5,89809	3,27687
480	5,89809	2,6215	5,89808	2,62151
500	5,24271	1,96615	5,2427	1,96617
520	5,24268	1,96616	5,24267	1,96617
540	4,5873	1,96616	3,93194	1,96616
560	3,93193	1,96615	3,93193	1,31079
580	3,27657	1,31078	3,27656	1,31078
600	2,6212	1,31077	1,31048	1,31077
620	1,31048	0,6554	1,31049	3,9999999998486E-5
640	0,65513	1,9999999999243E-5	0,65515	-0,65533000000001
660	-0,00021000000000271	-0,65535	-0,00019000000000347	-1,31072
680	-0,00018000000000029	-1,31074	-0,65553000000001	-1,96611
700	-0,65552	-1,96613	-0,6555	-2,6215
720	-1,31085	-1,96615	-1,31084	-1,96616
740	-53,73963	-1,96618	-2,62154	-1,31082
760	-3,2769	-1,31084	-3,27689	-1,31083
780	-3,93226	-1,96621	-4,58761	-1,96621
800	-4,58761	-1,96621	-5,24297	-2,62156
820	-5,24298	-1,96622	-5,89833	-1,9662
840	-5,89832	-1,96622	-5,89832	-1,9662
860	-5,89831	-1,31084	-5,89832	-1,9662
880	-5,89831	-1,31085	1,96612	0,65526
900	14,41825	0,65528	17,69512	1,31063
920	16,38437	0,65527	15,729	1,31064
940	15,729	1,31065	15,07365	1,31066
960	15,729	1,31065	15,729	1,31066
980	15,729	1,31065	15,729	1,96602
1000	15,07364	1,31065	15,07365	1,31065
1020	15,07365	1,31064	14,41829	0,65528
1040	14,41829	1,31063	14,41829	0,65528
1060	13,76293	1,31064	13,10757	1,31064
1080	13,10757	1,31064	12,45221	1,31065
1100	11,79684	1,966	11,14148	1,31066
1120	13,10756	3,27673	27,52575	6,55359
1140	38,01178	8,51968	38,01182	10,48579
1160	33,42425	11,79653	30,14745	14,41802
1180	26,21529	17,69486	23,59387	20,31637
1200	19,66173	22,93787	16,38495	24,904
1220	14,41888	26,87012	13,10818	26,21478
1240	11,79747	27,52552	10,48677	27,52554
1260	9,83141	28,18091	9,17606	28,18093
1280	8,52071	28,18093	6,55462	26,21485
1300	3,27777	23,59336	2,6224	22,93802
1320	2,62242	23,59338	2,62243	23,5934
1340	1,96707	23,59339	1,31171	23,5934
1360	1,31172	23,5934	1,31173	22,93804
1380	1,31174	22,93803	1,31174	22,28268
1400	1,31174	22,93803	0,65638999999999	22,28289
1420	1,31175	22,93804	0,65638999999999	21,62733
1440	1,31175	22,28268	0,65638	21,62733
