T	LX	LY	RX	RY
0	0	0	0	0
20	0	-1,31072	-0,65537	-1,31073
40	-0,65536	-1,96609	-1,0000000003174E-5	-1,31073
60	-1,0000000003174E-5	-2,62145	-0,65537	-1,9661
80	-1,0000000003174E-5	-1,96609	-1,0000000003174E-5	-1,9661
100	-1,0000000003174E-5	-2,62146	-1,0000000003174E-5	-1,9661
120	-0,65537	-1,31073	-1,0000000003174E-5	-0,65537
140	-1,0000000003174E-5	-0,65536	-1,0000000003174E-5	-0,65537
160	0	-1,31073	-1,0000000003174E-5	-0,65538
180	-0,65537	-1,96609	-1,0000000003174E-5	-1,31075
200	-1,0000000003174E-5	-1,9661	-0,65537	-1,31075
220	-0,65537	-1,9661	-0,65538	-0,65538
240	-0,65538	-1,31074	-0,65539	-0,65539
260	-0,65538	-1,96611	-0,65539	-1,31075
280	-0,65538	-0,65538	-0,65539	-0,65538
300	-0,65539	-1,9999999999243E-5	-0,65539	1,3107
320	-0,65539	0,65534	-0,65539	0,65534
340	-0,65539	-1,9999999999243E-5	-0,65539	0,65534
360	-0,6554	-1,9999999999243E-5	-0,6554	1,3107
380	-0,6554	0,65534	-0,6554	1,3107
400	-1,31077	0,65536	-0,65541	1,96608
420	-0,65541	1,31072	-0,65541	2,62145
440	-0,65542000000001	1,96609	-0,65542000000001	3,27681
460	-0,65542000000001	2,62145	-0,65542000000001	3,27681
480	-0,65542000000001	1,96609	-0,65543	1,96608
500	-1,31079	1,96608	-0,65544000000001	2,62144
520	-0,65543	2,62144	-1,3108	3,93216
540	-1,3108	1,96608	-1,3108	2,62144
560	-1,31079	1,96608	-1,3108	3,2768
580	-1,3108	3,27681	-1,3108	3,2768
600	-1,3108	2,62144	-1,3108	2,62144
620	-1,96616	2,62144	-1,3108	3,2768
640	-1,96616	2,62144	-1,96617	2,62144
660	-1,96617	1,3107	-1,96617	-2,9999999995312E-5
680	-1,96617	-3,27685	-1,31081	-4,58761
700	3,27679	-5,89838	8,51973	-6,55379
720	9,83047	-10,48596	9,17509	-13,10745
740	8,51973	-15,07355	9,17509	-15,72893
760	8,51973	-17,03965	8,51973	-17,03965
780	8,51973	-17,69502	8,51973	-17,03966
800	8,51973	-17,69502	9,17509	-17,03966
820	8,51974	-17,69502	8,51974	-17,03966
840	8,51974	-18,35039	9,17509	-17,69504
860	8,51974	-18,35039	9,1751	-18,35039
880	9,1751	-18,35039	8,51974	-17,03967
900	8,51974	-18,35039	8,51974	-18,35039
920	8,51974	-19,00575	8,51974	-19,66112
940	9,1751	-19,66113	15,72875	-15,07359
960	19,0056	-15,72894	19,66097	-15,72895
980	19,0056	-16,38431	19,66096	-16,38431
1000	19,66096	-17,03967	19,66095	-17,03968
1020	19,66096	-18,3504	19,66095	-18,35041
1040	19,66096	-20,31649	19,66095	-20,97185
1060	19,66095	-22,28257	19,66095	-22,28258
1080	19,66095	-23,59228	20,31631	-24,24866
1100	19,66095	-26,21474	19,66095	-26,21475
1120	19,66095	-26,87011	19,66095	-27,52548
1140	19,66096	-29,49155	20,31632	-29,49156
1160	20,31632	-31,45765	19,66096	-31,45766
1180	19,66096	-32,76838	20,31632	-33,42374
1200	19,66096	-35,38983	19,66096	-36,04519
1220	19,66096	-36,70056	19,66096	-37,35592
1240	19,66096	-38,01128	19,66096	-38,66664
1260	19,0056	-39,97737	19,66096	-40,63273
1280	19,66096	-41,2881	19,66096	-41,2881
1300	19,0056	-41,94346	19,66096	-42,59882
1320	19,66096	-43,25418	19,66096	-43,90955
1340	19,66096	-44,56491	19,66095	-45,22027
1360	19,0056	-46,531	19,66096	-45,87564
1380	19,66096	-47,84173	19,66096	-47,84174
1400	24,24851	-45,87565	30,80221	-44,56491
1420	34,07908	-45,22026	33,42371	-44,56491
1440	33,42371	-45,22028	33,42371	-44,56492
1460	32,76835	-45,22028	33,42371	-45,22028
1480	32,76835	-45,87564	32,76835	-46,53101
1500	32,76835	-47,84173	32,76836	-47,18638
1520	32,76836	-47,84173	32,76836	-47,84174
1540	32,76836	-49,15246	32,76836	-49,80783
1560	33,42374	-51,11856	36,70063	-52,42927
1580	37,35604	-55,05071	36,70068	-54,39536
1600	36,04532	-55,05072	36,04532	-55,05072
1620	36,04532	-55,70608	35,38996	-55,7061
1640	34,7346	-57,01681	35,38997	-57,01682
1660	35,38997	-58,32754	35,38997	-58,32755
1680	34,73461	-59,63828	35,38997	-60,29364
1700	34,73461	-60,949	34,73461	-60,94899
1720	34,73461	-61,60435	34,73461	-60,94899
1740	34,73461	-62,25971	35,38997	-62,25971
1760	34,73462	-62,91506	34,73461	-62,91506
1780	34,73462	-63,57043	35,38998	-62,91506
1800	34,73462	-64,22578	34,73462	-64,22579
1820	34,73463	-64,22579	36,70073	-62,91505
1840	36,04538	-64,22577	36,04537	-64,22577
1860	36,04538	-64,88113	36,04537	-64,88114
1880	36,04538	-66,19186	36,04538	-66,19186
1900	36,04538	-66,84722	35,39002	-66,84723
1920	36,04538	-67,50259	36,04538	-67,5026
1940	35,39002	-68,81331	35,39002	-68,81332
1960	35,39002	-70,12404	36,04541	-69,46868
1980	36,70097	-70,77936	41,94407	-72,09006
2000	47,8424	-74,05613	45,8763	-71,4347
2020	45,22092	-70,12398	45,87628	-68,81327
2040	45,22092	-70,12399	45,22091	-68,81328
2060	45,22091	-70,12401	45,87627	-69,46866
2080	45,22091	-70,12402	45,2209	-69,46866
2100	45,87627	-70,12402	45,87626	-69,46867
2120	45,87627	-70,12403	45,87626	-69,46868
2140	45,87627	-70,7794	45,2209	-69,46868
2160	45,87626	-70,12405	45,87626	-69,46869
2180	45,87626	-70,77941	45,87626	-70,12406
2200	45,2209	-70,77942	45,2209	-70,12406
2220	45,2209	-70,77942	45,2209	-69,46871
2240	45,22091	-70,12407	45,22091	-68,81335
2260	45,22091	-69,46871	45,22091	-69,46872
2280	46,53164	-70,12408	52,42993	-69,46872
2300	56,36214	-70,77942	55,70677	-70,77943
2320	55,70677	-71,4348	56,36212	-71,4348
2340	56,36212	-72,09016	55,70675	-72,74553
2360	55,70675	-74,05624	55,70674	-74,71161
2380	55,70674	-76,02233	55,70674	-76,02233
2400	56,3621	-77,33305	56,3621	-77,33306
2420	56,3621	-79,29915	59,63889	-81,26523
2440	80,6106	-84,542	94,37339	-88,47413
2460	96,33953	-87,81877	94,37341	-84,54197
2480	94,3734	-83,88662	94,37339	-82,5759
2500	93,71803	-82,5759	93,71802	-81,92055
2520	93,71803	-81,92055	93,71802	-81,26519
2540	93,71802	-81,2652	93,71802	-80,60984
2560	93,71802	-80,60984	93,71801	-79,95448
2580	93,71801	-80,60984	93,06265	-79,29912
2600	92,40729	-79,29912	92,40729	-77,98841
2620	92,40729	-78,64377	92,40729	-77,33304
2640	91,75194	-77,33305	91,75193	-77,33305
2660	91,75193	-77,98841	91,09657	-77,98841
2680	88,47512	-76,02232	84,54291	-73,40087
2700	83,23218	-72,7455	83,23218	-72,09014
2720	81,92146	-72,09014	81,26609	-71,43478
2740	81,26609	-72,09014	81,2661	-72,09015
2760	79,95538	-73,40087	79,95537	-74,05624
2780	76,02319	-80,60985	41,94423	-98,3046
2800	24,90451	-121,8976	15,07381	-131,72804
2820	9,17547	-131,07272	12,45225	-127,79593
2840	13,76296	-127,14057	14,4183	-125,82985
2860	14,41829	-124,51913	14,41828	-122,55305
2880	15,07364	-123,20842	15,07363	-123,20844
2900	15,73154	-123,20844	15,72898	-122,55308
2920	15,07362	-121,89772	15,72898	-120,587
2940	15,72898	-121,24236	16,38433	-119,93164
2960	16,38433	-121,24236	12,45215	-122,55308
2980	-2,6212	-129,10667	-7,20879	-131,07275
3000	-5,89807	-130,41739	-5,24271	-129,76202
3020	-5,89808	-129,76202	-5,89808	-128,45129
3040	-5,89809	-129,10665	-5,89809	-128,45129
3060	-5,24273	-129,10665	-5,24273	-127,79592
3080	-5,24273	-128,45129	-5,24274	-127,79593
3100	-5,89809	-128,45129	-5,89811	-127,79593
3120	-5,24274	-127,79592	-5,24275	-127,14057
3140	-5,89811	-127,79593	-5,89811	-127,14057
3160	-5,89811	-128,45129	-1,31056	-123,20841
3180	13,10749	-121,2423	18,35042	-120,58695
3200	18,35041	-120,58695	17,69504	-119,27623
