T	LX	LY	RX	RY
0	0	0	0	0
20	-9,9999999960687E-6	0	-9,9999999960687E-6	0
40	-9,9999999960687E-6	0	-0,65537	0
60	-0,65537	0,65535999999999	-1,31074	0
80	-0,65537	-1,0000000003174E-5	-0,65537999999999	0,65535999999999
100	-1,31074	0,65535	-1,31073	0,65535999999999
120	-1,31073	1,31071	-1,31073	1,31072
140	-0,65537	1,31071	-1,31073	1,31072
160	-0,65537999999999	1,96608	-1,31074	1,96608
180	-1,31074	1,31072	-1,31074	1,31072
200	-1,31074	1,31072	-1,31074	1,31072
220	-1,31074	1,31073	-1,31074	0,65535999999999
240	-1,31074	1,31072	-1,31074	0,65537
260	-1,9661	1,31072	-1,31074	1,31073
280	-1,31074	1,31072	-1,31074	1,31073
300	-1,31074	1,96609	-1,96609	1,31074
320	-1,96609	1,96609	-1,9661	1,31074
340	-1,9661	1,9661	-2,62145	1,31075
360	-2,62146	1,96611	-2,62146	1,31075
380	-2,62145	1,31075	-2,62146	1,31075
400	-2,62145	1,96611	-2,62145	1,96612
420	-2,62145	1,96612	-2,62146	1,96612
440	-1,9661	1,96611	-1,31075	1,31075
460	-1,31076	1,31075	-0,6554	0,65539
480	-0,6554	1,31076	-0,6554	1,31076
500	-0,6554	1,31075	-0,6554	0,6554
520	-3,9999999998486E-5	1,31075	-3,9999999998486E-5	0,6554
540	-0,6554	1,31075	-0,65539	0,6554
560	-2,9999999995312E-5	0,65539	-3,9999999998486E-5	0,6554
580	-3,9999999998486E-5	1,31075	-3,9999999998486E-5	0,6554
600	-3,9999999998486E-5	1,31075	-3,9999999998486E-5	0,6554
620	-3,9999999998486E-5	0,65539	-3,9999999998486E-5	0,6554
640	-3,9999999998486E-5	1,31075	-3,9999999998486E-5	0,65539
660	-3,9999999998486E-5	1,31075	-0,6554	0,6554
680	-3,9999999998486E-5	1,31075	-3,9999999998486E-5	1,31076
700	-3,9999999998486E-5	1,31075	-3,9999999998486E-5	1,31075
720	0,65532	1,31075	0,65532	1,31075
740	0,65532	1,31075	0,65532	1,31076
760	0,65532	1,31075	-3,9999999998486E-5	1,31076
780	0,65532	1,96612	-3,9999999998486E-5	1,31076
800	-2,9999999995312E-5	1,96612	-2,9999999995312E-5	1,96613
820	-3,9999999998486E-5	1,96613	0,65533000000001	1,31077
840	0,65533000000001	1,96613	0,65534	1,96614
860	-1,9999999999243E-5	1,96613	-1,9999999999243E-5	1,96614
880	-1,9999999999243E-5	1,96613	-0,65537999999999	1,96614
900	-1,9999999999243E-5	2,62149	-0,65537999999999	1,96614
920	-0,65537999999999	2,6215	-0,65537999999999	2,6215
940	-0,65537999999999	2,6215	-0,65537999999999	2,6215
960	-0,65537999999999	2,62149	-0,65537999999999	2,6215
980	-0,65537999999999	3,27686	-0,65537999999999	2,6215
1000	-0,65537999999999	3,27686	-0,65537999999999	3,27686
1020	-0,65537	3,27686	-0,65537999999999	2,6215
1040	-1,9999999999243E-5	3,27685	-1,9999999999243E-5	3,27686
1060	-1,9999999999243E-5	3,27685	-0,65537999999999	2,62149
1080	1,96607	2,62149	15,07338	1,31078
1100	26,21465	1,31079	24,90394	1,96615
1120	23,59322	2,62152	22,93786	3,27689
1140	22,93786	3,93225	22,93786	3,93225
1160	22,28251	3,93225	22,28251	3,93226
1180	22,28251	4,58761	22,28251	3,93226
1200	21,62714	4,58761	22,2825	3,93226
1220	22,28249	4,58761	22,93785	3,93225
1240	22,93785	3,93224	23,59321	3,93225
1260	22,93784	3,93224	22,93784	3,93224
1280	23,5932	3,93223	20,97172	3,93223
1300	19,00562	4,5876	19,00564	3,93224
1320	19,661	3,93224	19,66099	3,93224
