T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	9,9999999960687E-6	9,9999999960687E-6
40	-0,65535	0	-0,65535	0
60	-0,65535	-0,65536	-2,62146	-0,65535
80	-3,9322	9,9999999960687E-6	-3,27681	1,9999999999243E-5
100	-2,62145	0,65537	-3,27681	9,9999999960687E-6
120	-3,27682	9,9999999960687E-6	-3,27681	9,9999999960687E-6
140	-3,27681	0	-3,27681	0,65537
160	-3,27681	0,65535999999999	-3,27681	0,65537
180	-3,27681	0,65535999999999	-3,27681	0
200	-3,27681	0,65535999999999	-3,27681	9,9999999960687E-6
220	-2,62145	0,65535999999999	-2,62146	0
240	-2,62145	0	-2,62146	0,65535999999999
260	-1,9661	0	-1,9661	0
280	-1,9661	0,65535999999999	-1,96611	0,65535999999999
300	-1,96611	0,65535999999999	-1,9661	0
320	-1,9661	0	-1,31074	0
340	-1,31074	0,65535999999999	-1,31074	0
360	-1,31074	0	-1,31074	9,9999999960687E-6
380	-1,31075	0	-1,31075	9,9999999960687E-6
400	-1,31074	0,65535999999999	-1,31075	9,9999999960687E-6
420	-1,31074	0,65535999999999	-1,31074	0,65535999999999
440	-1,31074	0,65535999999999	-1,31074	0,65537
460	-1,31074	0,65537	-1,31074	0,65537
480	-1,31074	0,65535999999999	-1,31074	0,65537
500	-1,31074	0,65535999999999	-1,31074	0
520	-1,31074	0	-1,31074	9,9999999960687E-6
540	-1,31074	0,65535999999999	-1,31075	0,65537
560	-1,31074	1,31073	-1,9661	0,65537
580	-1,31074	1,31073	-1,31074	0,65537
600	-1,9661	1,31073	-1,9661	1,31074
620	-1,31074	1,9661	-1,96609	1,96611
640	-1,31073	2,62147	-1,96609	1,96611
660	-1,96609	1,31074	-1,96609	1,31075
680	-47,84129	1,31074	-1,96609	0,65538
700	-1,96609	0,65537	-1,96609	1,9999999999243E-5
720	-1,96609	-0,65536	-2,62145	-0,65534
740	-2,62145	9,9999999960687E-6	-2,62145	-0,65534
760	-2,62145	9,9999999960687E-6	-2,62145	-0,65534
780	-2,62145	9,9999999960687E-6	-3,27681	-0,65535
800	-2,62144	-0,65535	-2,62145	1,9999999999243E-5
820	-2,62144	0,65538	-3,2768	0,65538
840	-3,2768	1,31074	-3,27679	0,65539
860	-3,27679	1,31074	-3,27679	0,65538
880	-3,27679	1,31074	-3,27679	1,31075
900	-3,27679	1,31074	-3,27678	1,31074
920	-3,27678	1,31073	-3,93214	0,65538
940	-3,27678	0,65537	-3,27678	9,9999999960687E-6
960	-3,27679	0,65537	-3,27679	0,65537
980	-3,27679	9,9999999960687E-6	-6,55364	1,9661
1000	-7,20899	4,58755	-7,86432	4,58755
1020	-7,86432	5,2429	-7,86509	5,24292
1040	-8,51968	5,24291	-8,51969	5,24292
1060	-7,86432	5,89827	-7,86433	5,24291
1080	-7,86432	5,24291	-7,20896	5,24291
1100	-7,20896	5,2429	-7,20896	4,58755
1120	-7,20897	3,93218	-5,24287	3,93217
1140	6,55377	9,83042	13,76288	11,79652
1160	12,4522	11,7965	11,1415	11,79652
1180	11,1415	11,79651	11,1415	11,14115
1200	11,79685	11,14114	11,79684	10,48578
1220	12,45219	9,8304	12,45218	9,17504
1240	13,10754	9,17504	13,76289	9,17504
1260	13,10753	9,8304	13,76289	9,17504
1280	13,76289	9,17504	13,76288	9,17505
1300	14,41824	9,17504	14,41824	9,17504
1320	14,41824	9,17504	14,41824	8,51969
1340	14,41824	9,17504	13,76288	8,51969
1360	13,76288	8,51968	13,76288	8,51969
1380	13,10752	8,51968	10,48604	8,5197
1400	9,17532	8,51969	9,83069	8,5197
1420	9,83068	9,17505	9,83068	9,17506
1440	9,83068	9,83042	9,17532	9,17506
1460	9,83068	9,83041	9,17532	9,17506
1480	9,17532	9,17505	9,17531	9,17506
1500	9,17531	9,17505	8,51996	9,17506
1520	9,17531	9,83041	8,51995	9,17506
1540	7,86459	9,17505	8,51995	8,51969
1560	15,72899	13,76258	23,59347	15,72867
1580	26,87036	17,03938	26,21501	15,72867
1600	26,21501	15,72866	26,87036	15,0733
1620	26,87035	15,72866	27,52571	15,0733
1640	28,18106	15,0733	28,18105	15,0733
1660	28,18104	15,72865	28,18104	15,07331
1680	28,8364	15,0733	28,8364	15,07331
1700	28,8364	15,72866	28,83639	15,07331
1720	28,83639	15,0733	28,83639	15,07331
1740	28,83639	15,0733	28,8364	15,07331
1760	29,49176	14,41794	29,49175	14,41795
1780	29,49175	14,41794	29,49175	13,76259
1800	29,49175	14,41794	34,07933	17,0394
1820	38,01158	19,66085	39,32234	19,00549
1840	39,32235	19,00549	38,66698	19,0055
1860	39,32234	19,00549	39,32234	18,35014
1880	39,32234	18,35013	39,32234	18,35014
1900	39,9777	18,35013	39,32233	18,35014
1920	39,32233	18,35013	39,32233	18,35014
1940	39,32233	18,35013	38,66697	17,69478
1960	43,90991	20,97158	49,1529	23,59304
1980	49,80829	23,59304	49,15294	23,59305
2000	49,15293	24,24841	49,8083	24,24842
2020	49,80829	24,24841	49,80829	24,24842
2040	49,80829	24,24841	49,80829	24,24842
2060	49,80829	24,24841	50,46365	24,24842
2080	49,80829	24,24842	49,80829	23,59306
2100	49,80829	24,24841	49,80829	23,59306
2120	49,80829	24,24841	49,80829	24,24842
2140	50,46365	24,24842	49,80829	24,24843
2160	53,7405	26,2145	57,67275	27,52523
2180	58,98351	27,52522	58,98351	26,86987
2200	58,98351	26,86987	58,98351	26,86987
2220	59,63887	26,2145	59,63887	26,21451
2240	60,29423	26,2145	59,63887	26,21451
2260	60,29423	26,2145	60,29423	26,2145
2280	60,29423	26,2145	60,29423	26,21451
2300	60,29423	26,2145	60,29423	25,55915
2320	60,29423	26,86986	60,29422	26,21451
2340	60,94958	26,2145	60,94958	26,21452
2360	60,94958	26,21451	60,94958	26,21451
2380	61,60493	25,55914	60,94957	25,55915
2400	61,60494	26,21451	60,94958	25,55915
2420	61,60494	26,2145	60,94957	25,55916
2440	61,60494	26,21451	61,60493	25,55916
2460	61,60493	25,55915	61,60494	27,52524
2480	61,60495	28,83598	60,9496	28,18062
2500	61,60495	28,83598	61,60495	28,18062
2520	61,60495	28,18062	61,60495	28,18063
2540	61,60495	28,18062	60,94959	28,83599
2560	61,60495	28,83598	61,60495	28,18063
2580	61,60495	28,83598	60,94959	28,83599
2600	60,94959	28,83599	60,94959	28,83599
2620	60,94959	29,49135	60,94959	29,49136
2640	60,94959	29,49136	60,94959	29,49136
2660	60,29423	29,49136	60,94959	29,49136
2680	60,94959	29,49135	60,29424	29,49137
2700	60,29424	29,49135	60,29424	28,836
2720	60,29424	28,83599	60,29424	28,83601
2740	60,29424	28,836	59,63889	28,83601
2760	59,63889	28,83599	59,63889	28,836
2780	59,63889	27,52527	59,63889	27,52527
