T	LX	LY	RX	RY
0	0	0	0	0
20	0,65535	-0,65536	0,65536	0
40	0,65536	-0,65536	0,65536	-0,65536
60	1,31074	-0,65536	5,89834	1,0000000003174E-5
80	7,20908	-0,65535	6,55371	1,0000000003174E-5
100	6,55371	-0,65536	6,55371	-0,65536
120	6,5537	-1,31072	6,55369	-1,31072
140	5,89832	-1,96609	5,89832	-2,62145
160	5,89831	-2,62145	5,24295	-1,96609
180	5,24294	-2,62145	5,8983	-2,62145
200	5,8983	-2,62146	5,8983	-2,62145
220	6,55366	-2,62146	6,55366	-2,62145
240	6,55366	-2,62146	7,86438	-2,62146
260	7,86438	-3,27682	8,51975	-3,27682
280	9,17511	-3,27682	9,83048	-3,93218
300	10,48585	-3,93219	10,48585	-3,27683
320	11,79658	-4,58756	12,45194	-3,9322
340	11,79658	-4,58757	11,79658	-4,58757
360	17,03948	-4,58757	57,01667	-1,96611
380	76,67776	0,65538	82,57616	0,65539
400	80,61007	0,65538	80,61006	1,9999999999243E-5
420	81,26542	1,0000000003174E-5	81,26542	1,0000000003174E-5
440	81,92079	-0,65536	81,92079	-0,65537
460	83,2315	-1,31074	83,2315	-0,65538
480	83,88686	-1,31075	84,54222	-1,31075
500	85,19758	-1,31076	85,19759	-1,31076
520	85,85295	-1,96613	87,16368	-1,96612
540	87,16368	-1,96613	89,12977	-1,96612
560	89,78513	-1,96612	90,44049	-2,62148
580	91,75121	-2,62148	92,40656	-2,62148
600	93,06193	-3,27684	93,71729	-3,27684
620	94,37264	-3,93221	94,37265	-4,58756
640	96,99409	-9,17512	100,27092	-20,31642
660	104,20307	-28,18083	104,85843	-28,1808
680	103,54774	-28,18077	104,20309	-28,83612
700	103,54774	-29,49146	102,89238	-29,49145
720	102,89238	-30,1468	102,89238	-30,1468
740	103,54773	-30,80216	102,89236	-30,80215
760	102,89236	-31,45751	103,54772	-32,11288
780	103,54771	-32,76825	103,5477	-32,76825
800	104,85842	-33,42362	104,85842	-34,07899
820	105,51378	-34,73436	105,51377	-34,73436
840	106,16913	-34,73437	106,16913	-34,73436
860	105,51376	-35,38973	105,51376	-35,38973
880	104,85839	-36,04509	104,85839	-36,04509
900	104,85838	-36,70046	104,85837	-38,01117
920	104,85835	-38,01117	94,3724	-27,5253
940	70,12386	-11,79649	22,93774	-3,93206
960	12,45192	-3,27671	11,79657	-1,31064
980	11,14122	0,65542	10,48586	5,000000000166E-5
1000	10,48587	3,0000000002417E-5	11,14123	3,9999999998486E-5
1020	11,14123	-0,65533	11,14124	-0,65533
1040	11,14123	-1,3107	11,14122	-1,96606
1060	10,48585	-1,96607	10,48584	-1,96607
1080	9,83047	-2,62144	9,83046	-2,62144
1100	8,51973	-2,62144	8,51972	-2,62144
1120	8,51972	-3,2768	9,17506	-3,2768
1140	9,17505	-3,27681	6,55352	-1,96608
1160	7,86415	-1,31073	7,86415	-0,65538
1180	7,86417	-1,31074	8,51952	-0,65538
1200	7,86415	-1,96612	8,51951	-1,96612
1220	8,51951	-1,96612	8,51951	-2,62149
1240	9,17486	-3,27685	9,17485	-2,6215
1260	9,17484	-3,93223	9,83019	-3,93223
