T	LX	LY	RX	RY
0	0	0	0	0
20	-6,55405	0,65552	-9,17531	0,65544
40	-10,4862	1,31087	-7,20918	0,65542
60	-10,48621	0,65551	-7,20919	0,65542
80	-9,83084	1,31087	-6,55383	0,65542
100	-9,83085	1,31087	-6,55384	0,65543
120	-9,1755	0,65551	-6,55385	0,65543
140	-9,83087	1,31088	-6,55386	1,3108
160	-9,83087	1,96625	-7,20922	1,96616
180	-9,83088	2,62161	-7,20922	3,27689
200	-10,48624	3,93233	-7,20923	3,93225
220	-10,48624	4,5877	-7,20923	3,93225
240	-9,83088	4,58769	-7,20923	4,58761
260	-10,48625	4,5877	-7,20923	4,58761
280	-10,48625	4,5877	-7,20923	4,58761
300	-10,48625	5,24306	-7,20923	4,58762
320	-10,48625	5,24306	-7,20924	5,24298
340	-10,48625	5,24306	-7,20923	5,24297
360	-10,48625	5,24306	-7,20924	5,24298
380	-10,48625	5,24306	-7,20924	5,24298
400	-9,83089	5,24306	-7,20924	5,24297
420	-9,83089	5,24306	-6,55388	5,24297
440	-9,83089	5,24306	-41,28796	5,24297
460	-9,8309	5,89842	-0,65558	5,24295
480	-5,89853	5,243	-2,62146	5,2429
500	-6,55383	5,24299	-3,93219	5,2429
520	-6,55384	5,24298	-3,93219	5,24289
540	-7,2092	5,89834	-3,93219	5,89826
560	-7,2092	5,24298	-4,58755	5,24289
580	-7,20919	5,24298	-4,58754	5,24289
600	-7,86455	5,24297	-4,58754	5,24289
620	-7,86455	5,24298	-4,58754	5,24289
640	-7,86455	5,24297	-4,58754	5,24289
660	-7,86455	5,24297	-5,24289	5,24288
680	-0,00010999999999939	5,89828	34,7344	6,5535
700	39,97716	5,89821	41,28809	5,24276
720	38,66643	5,24285	43,25416	5,24276
740	40,63251	4,58748	43,90953	3,93203
760	41,28789	3,93212	44,5649	3,27667
780	41,94325	3,27675	44,56491	2,6213
800	41,94325	1,96603	45,87562	1,96594
820	42,59861	1,31066	45,87562	1,31057
840	43,25397	1,31066	45,87563	1,31057
860	43,90934	0,65528999999999	57,01681	1,96591
880	65,53643	3,2767	71,43494	2,62124
900	68,15792	3,27669	70,77957	3,2766
920	68,15792	3,27669	71,43493	3,2766
940	68,15791	3,27669	71,43492	3,93196
960	68,15791	3,93205	71,43492	3,27661
980	68,1579	3,93206	70,77955	3,27661
1000	68,1579	3,93206	71,43491	3,93197
1020	68,1579	3,93205	71,43492	3,93197
1040	75,36696	3,93204	83,88694	4,58731
1060	81,2653	4,58739	83,88694	3,93195
1080	80,60993	3,93203	84,5423	3,93195
1100	81,2653	4,58739	83,88695	3,93195
1120	81,26529	3,93203	84,54231	4,58731
1140	81,2653	3,93204	83,88695	3,93195
1160	81,2653	3,93204	84,54232	3,2766
1180	81,2653	3,93203	83,88696	3,2766
1200	81,26531	3,93204	83,88696	3,2766
1220	80,60995	3,93204	83,88696	3,27659
1240	80,60995	3,27668	83,88696	3,27659
1260	81,26531	3,93204	83,88697	3,2766
1280	80,60995	3,27668	83,88696	3,27659
1300	81,26531	3,27668	83,88697	2,62123
1320	81,26532	3,27667	91,09601	3,27657
1340	91,75122	3,27665	94,37287	2,62121
1360	91,09585	2,62129	94,37286	3,27656
1380	91,09586	2,62129	94,37288	2,62121
1400	91,09587	1,96593	94,37289	0,65512
1420	91,75124	0,65519999999999	94,37291	-0,65561
1440	91,75128	-1,96625	95,0283	-1,96633
1460	91,09592	-1,96624	94,37294	-1,96633
1480	90,44056	-1,31087	93,06221	-1,31096
1500	89,78519	-0,65551000000001	92,40684	-0,65559
1520	89,12982	-0,00015000000000498	92,40684	-0,6556
1540	89,12982	-0,00015000000000498	92,40938	-0,00023999999999802
1560	89,12981	0,65521	91,75147	-0,00023999999999802
1580	95,02809	1,31056	110,10175	1,96581
1600	110,10161	1,96589	112,06788	2,62117
1620	108,13549	1,96589	112,06787	1,9658
1640	109,44621	1,96589	112,72321	1,31044
1660	109,44619	1,96589	112,7232	1,31044
1680	110,10155	1,31053	113,37856	1,31044
1700	110,10154	1,31052	113,37856	0,65507
1720	110,10154	1,31052	113,37855	1,31043
1740	110,10154	1,31052	113,37855	1,31043
1760	109,44618	1,31052	112,72319	1,31043
1780	110,10154	0,65516	113,37854	1,31043
1800	109,44618	1,31052	112,72319	1,31043
1820	110,10153	1,31051	113,37855	1,31043
1840	110,10153	1,31052	113,37855	0,65507
1860	110,7569	1,31051	113,37855	0,65507
1880	96,33881	-1,31088	67,50267	-5,24304
1900	4,58739	-7,86428	-2,62165	-7,86427
1920	-9,17557	-7,20882	-5,24317	-6,55356
1940	-7,20945	-6,55348	-4,5878	-6,55356
1960	-7,86481	-6,55348	-4,5878	-5,89821
1980	-7,20945	-5,89812	-4,5878	-5,89821
2000	-7,20945	-5,24276	-4,5878	-5,89821
2020	-7,8648	-5,24276	-4,58779	-5,89821
2040	-7,8648	-5,89812	-4,58779	-5,89821
2060	-7,8648	-5,89812	-4,58778	-5,89821
2080	-7,20944	-5,89812	-9,83073	-5,24283
2100	-16,38457	-5,24274	-11,79682	-5,89819
2120	-14,41846	-5,24275	-11,14145	-5,89819
2140	-13,7631	-5,24275	-11,14145	-5,89819
2160	-13,7631	-5,89811	-11,14145	-5,89819
2180	-14,41846	-5,89811	-10,48608	-5,89819
2200	-13,76309	-5,89811	-10,48608	-5,8982
2220	-14,41845	-5,89811	-11,14144	-6,55356
2240	-13,76309	-6,55347	-10,48607	-6,55356
2260	-13,10772	-7,20884	-4,58772	-7,86433
2280	-9,1753	-7,8643	-5,24288	-8,51976
2300	-9,17526	-7,86431	-5,89825	-8,51975
2320	-9,17526	-8,51967	-5,89825	-8,51976
2340	-9,83062	-8,51967	-5,89825	-8,51976
2360	-9,17526	-8,51968	-6,5536	-8,51976
2380	-9,17526	-8,51967	-5,89825	-8,51976
2400	-9,17525	-9,17504	-6,5536	-9,17513
2420	-9,83061	-8,51968	-6,5536	-9,17513
2440	-5,8984	-8,51971	21,62711	-7,86448
2460	39,97713	-7,20905	45,22027	-7,86451
2480	41,94325	-7,86442	45,87562	-7,86451
2500	43,25397	-7,20906	47,18634	-7,86451
2520	43,90933	-7,86443	47,8417	-7,20915
2540	44,56468	-7,86443	47,8417	-7,86452
2560	44,56469	-7,86443	48,49706	-7,86451
2580	44,56468	-7,20907	47,8417	-7,20916
2600	44,56469	-7,20908	47,8417	-7,86452
2620	44,56469	-7,20907	47,8417	-7,86452
2640	44,56468	-7,86444	54,39534	-7,86453
2660	60,29347	-7,86447	64,88123	-8,51992
2680	61,60422	-7,86447	64,88122	-8,51991
2700	61,60421	-8,51983	64,88122	-8,51991
2720	61,60421	-8,51983	64,88122	-8,51992
2740	61,6042	-7,86446	64,22586	-8,51991
2760	61,60421	-7,86446	64,22586	-7,86455
2780	60,94885	-8,51983	64,22586	-8,51991
2800	60,94885	-7,86447	64,22586	-8,51991
2820	60,94885	-8,51982	64,22586	-8,51991
2840	60,94885	-7,86446	63,5705	-8,51991
2860	66,19178	-7,20912	80,6101	-5,8985
2880	83,8868	-5,89843	87,16382	-6,55388
2900	83,88679	-5,89843	87,1638	-6,55387
2920	84,54215	-6,55379	87,16381	-6,55387
2940	83,8868	-6,55379	87,16381	-7,20924
2960	83,88679	-7,20915	87,16381	-7,20923
2980	83,8868	-6,55379	87,16381	-7,20924
3000	83,8868	-7,20915	86,50845	-7,20924
3020	83,8868	-7,20915	87,16382	-7,20924
3040	83,88681	-7,20915	87,16382	-7,8646
3060	83,23145	-7,20915	86,50846	-7,20925
3080	83,88681	-6,5538	95,02823	-6,55301
3100	104,20322	-5,89847	112,72322	-6,55393
3120	108,79084	-5,89848	111,41248	-5,89857
3140	108,79082	-5,24313	112,06783	-5,24321
3160	108,79082	-5,24313	112,06783	-5,24322
3180	108,13546	-5,24313	111,41247	-5,24322
3200	108,13546	-4,58777	110,7571	-5,24322
3220	107,48009	-4,58777	110,7571	-5,24321
3240	107,48009	-4,58777	110,10174	-4,58785
3260	106,16936	-4,58777	109,44637	-5,24322
3280	105,514	-4,58777	97,64976	-5,89853
3300	66,84719	-8,51981	20,97174	-12,45197
3320	-9,83065	-13,10718	-5,24296	-12,45191
3340	-7,20922	-11,79647	-3,93223	-11,79655
3360	-7,86461	-11,14111	-4,5876	-10,48583
3380	-7,86462	-9,17503	-5,24298	-9,17511
3400	-7,86463	-9,17502	-5,24298	-8,51975
3420	-8,51999	-8,51966	-5,24299	-8,51975
3440	-9,17536	-8,51967	-5,89835	-8,51975
3460	-9,17536	-7,8643	-5,24299	-8,51975
3480	-5,89866	-7,86425	-12,45221	-7,8643
3500	-19,66141	-7,86422	-14,41828	-7,20895
3520	-17,03994	-7,20886	-13,76293	-7,86431
3540	-17,03993	-7,20886	-13,10756	-7,86431
3560	-15,72921	-7,20886	-12,4522	-7,86431
3580	-15,72921	-7,20887	-11,79684	-7,86431
3600	-15,07385	-7,86423	-11,79683	-7,86431
3620	-14,41849	-7,86423	-11,79684	-7,86431
3640	-15,07385	-7,86423	-11,79683	-7,86431
3660	-14,41849	-7,86423	-11,79683	-7,86431
3680	-15,07384	-7,86423	-12,45219	-7,86431
3700	-15,07384	-7,86423	-6,55389	-8,51971
3720	-9,17541	-8,51965	-5,89835	-8,51975
3740	-9,83073	-8,51966	-7,20908	-9,17511
3760	-10,48608	-9,17503	-7,20908	-9,17511
3780	-10,48609	-9,17502	-7,20908	-9,17512
3800	-10,48608	-9,17503	-7,20907	-9,17511
3820	-10,48608	-9,17503	-7,86443	-9,17512
3840	-10,48608	-9,17503	-7,86443	-9,83048
3860	-10,48608	-9,17503	-7,86443	-9,83048
3880	-11,14144	-9,83039	-7,86437	-9,17515
3900	15,7286	-8,51976	49,15237	-8,51989
3920	51,11833	-8,51982	53,73997	-8,51991
3940	51,11832	-7,86446	54,39533	-8,51991
3960	51,11832	-8,51982	54,39534	-8,5199
3980	51,11832	-8,51982	54,39534	-8,51991
4000	51,77368	-8,51982	55,0507	-9,17527
4020	51,77368	-9,17519	55,05069	-9,17528
4040	52,42904	-9,17518	55,70604	-9,83064
4060	52,42904	-9,83055	55,70605	-9,83064
4080	52,42904	-9,83056	55,70605	-9,83064
4100	52,42904	-9,83055	56,36141	-9,83064
4120	54,39513	-9,83056	66,84729	-9,83068
4140	70,12399	-9,83061	74,71174	-10,48606
4160	70,77937	-9,83061	74,05637	-10,48605
4180	72,09008	-9,83061	74,71174	-10,48606
4200	71,43473	-10,48598	75,3671	-10,48606
4220	71,43473	-10,48597	75,3671	-10,48606
4240	72,09009	-10,48597	75,36711	-11,14142
4260	72,0901	-10,48597	74,71175	-11,14142
4280	71,43474	-10,48597	74,71175	-10,48606
4300	72,09009	-10,48597	74,71175	-11,14141
4320	72,0901	-9,83061	75,36711	-10,48605
4340	72,09009	-9,8306	75,3671	-10,48605
4360	71,43474	-9,83061	74,71175	-9,83069
4380	81,26524	-9,17526	107,48013	-8,52003
4400	119,93199	-7,20925	129,10739	-7,20934
4420	125,17502	-7,20925	127,79666	-7,20934
4440	125,17501	-6,55389	128,45202	-7,20934
4460	125,17501	-6,5539	128,45202	-6,55398
4480	125,83037	-6,5539	127,79666	-6,55398
4500	125,83037	-6,5539	128,45203	-7,20935
4520	125,83038	-7,20926	128,45203	-7,20935
4540	125,83038	-6,5539	129,10739	-7,20935
4560	125,17502	-7,20927	129,10739	-7,20935
4580	125,83038	-7,20927	129,10739	-7,20936
4600	125,83038	-6,55391	129,10739	-6,554
4620	125,83038	-6,55391	129,10739	-7,20837
4640	125,83038	-6,55391	129,10739	-6,55399
4660	125,83038	-5,89855	129,10739	-6,554
4680	125,83038	-5,89855	128,45203	-6,55399
4700	125,83038	-6,55391	128,45203	-6,554
4720	125,17502	-6,55391	127,79668	-7,20936
4740	125,83039	-7,20927	128,45205	-7,20936
4760	125,17504	-7,86463	125,8306	-9,17544
4780	102,23715	-13,10745	70,77954	-17,0396
4800	22,28222	-20,31621	-9,83047	-19,66087
4820	-13,10753	-19,00543	-9,17513	-18,35016
4840	-12,45215	-17,69471	-9,83051	-17,6948
4860	-12,45216	-17,03936	-9,17516	-17,03944
4880	-12,45218	-17,03935	-9,17517	-17,03944
4900	-12,45218	-16,38399	-9,17517	-17,03944
4920	-12,45218	-16,38399	-9,17517	-16,38407
4940	-12,45219	-16,38399	-9,17517	-16,38408
4960	-12,45219	-15,72863	-9,17517	-16,38408
4980	-12,45219	-16,38399	-9,17518	-16,38408
5000	-11,79685	-16,38398	-8,51992	-17,0394
5020	-13,10512	-17,03932	-9,83063	-17,03941
5040	-12,45229	-17,03932	-9,83063	-17,69477
5060	-13,10765	-17,03932	-9,83064	-17,69477
5080	-13,10765	-17,03932	-9,83063	-17,03941
5100	-13,10765	-17,03933	-9,83063	-17,03941
5120	-13,10764	-17,69469	-10,486	-17,69477
5140	-13,10764	-17,69469	-10,48599	-17,69478
5160	-15,07365	-17,69473	-1,96607	-17,69486
5180	3,93204	-17,69479	5,89833	-17,69487
5200	2,62131	-17,69479	5,89832	-17,69487
5220	3,27667	-17,69479	5,89832	-17,69488
5240	3,27667	-17,03943	5,89832	-17,69488
5260	2,62131	-17,69479	5,89832	-17,69488
5280	2,6213	-17,69479	5,24296	-18,35024
5300	2,62131	-17,69479	5,89833	-17,69489
5320	2,62132	-17,6948	5,89833	-18,35024
5340	2,62132	-18,35016	5,89833	-18,35025
5360	2,62132	-17,69481	5,89833	-18,35025
5380	2,62132	-17,6948	5,89833	-18,35025
5400	2,62132	-18,35016	5,24297	-18,35025
5420	1,96595	-18,35016	5,24297	-18,35025
5440	6,5535	-18,35017	42,59869	-17,03958
5460	58,98269	-16,38417	66,19195	-17,03964
5480	62,25958	-17,03955	65,53659	-17,03963
5500	62,25957	-17,03955	65,53659	-17,03964
5520	62,25957	-17,03955	65,53659	-17,03964
5540	62,25958	-17,03955	65,53659	-17,695
5560	62,25958	-17,03955	65,53659	-17,03964
5580	62,25959	-17,69491	65,53659	-17,695
5600	62,25959	-17,03956	64,88124	-17,69501
5620	61,60423	-17,03956	66,19197	-17,69501
5640	73,40086	-17,0396	86,50844	-17,69507
5660	85,85291	-17,69499	87,16383	-18,35043
5680	84,54218	-17,69498	87,81919	-17,69507
5700	84,54217	-17,69499	87,81919	-18,35043
5720	84,54218	-17,69499	87,81919	-18,35043
5740	84,54217	-18,35035	87,16383	-17,69507
5760	84,54217	-17,69499	87,16383	-18,35044
5780	83,88682	-18,35035	87,16383	-17,69508
5800	83,88682	-18,35035	86,50847	-18,35043
5820	83,88682	-17,69499	87,16382	-18,35044
