T	LX	LY	RX	RY
0	0	0	0	0
20	-1,0000000003174E-5	-0,65536	-0,65536	0
40	-1,0000000003174E-5	-0,65535	-1,0000000003174E-5	-9,9999999960687E-6
60	-1,9999999999243E-5	9,9999999960687E-6	-0,65538	-9,9999999960687E-6
80	-0,65538	9,9999999960687E-6	-0,65538	-9,9999999960687E-6
100	-0,65538	0	-1,31074	-9,9999999960687E-6
120	-1,31074	0	-1,31074	0,65535
140	-1,31074	0	-1,31074	0,65535
160	-1,31074	0	-1,9661	0,65535
180	-1,31074	9,9999999960687E-6	-1,96609	0,65535
200	-1,31074	0	-1,96609	0,65535
220	-1,31074	0	-1,31073	-9,9999999960687E-6
240	-1,31074	0	-1,9661	-9,9999999960687E-6
260	-1,9661	0	-2,62146	0,65535
280	-2,62146	0,65536	-3,27675	3,93215
300	-1,31053	5,24287	-0,65514	5,89821
320	-0,65517	5,24288	-0,65516	5,89823
340	-0,65611	5,24288	-0,65516	5,89822
360	-0,65517	5,24288	-0,65517	5,89822
380	-0,65517	5,89822	-1,31053	5,89821
400	-1,31053	5,89823	-1,31053	5,89821
420	-0,65516	5,24286	-1,31052	5,89821
440	-1,31052	5,24286	-1,31052	5,89821
460	-0,65517	5,24286	-1,31053	5,89821
480	-1,31053	5,24285	-1,31054	5,8982
500	-1,31055	5,24286	-1,9659	5,89821
520	-1,96591	5,24286	-1,96591	5,89821
540	-1,96591	5,24286	-1,96591	5,89821
560	-1,96591	5,24286	-1,96591	5,8982
580	-1,31055	5,24286	-1,96591	5,8982
600	-1,96591	5,24285	-1,96591	5,8982
620	-1,96592	5,24286	-1,96592	5,8982
640	-1,96592	5,24285	-1,96592	5,8982
660	-1,96593	5,24285	-1,96591	5,8982
680	0,65561	6,55357	1,31101	6,55355
700	1,31098	6,55357	1,31099	7,20892
720	1,31099	6,55357	1,31099	7,20892
740	1,96635	6,55357	1,31099	7,20892
760	1,31098	6,55357	1,31098	7,20893
780	1,96633	6,55357	1,31098	7,20892
800	1,31097	6,55358	1,31098	7,20893
820	1,31097	6,55358	1,31098	7,20893
840	1,96634	6,55358	1,31099	7,20893
860	1,96635	6,55358	1,31099	7,20893
880	1,96635	6,55358	1,96635	7,20893
900	1,96635	6,55358	1,31099	7,20893
920	1,96635	6,55358	0,65563	7,20893
940	1,31099	6,55358	0,65563	7,20893
960	0,65561	6,55358	0,00021000000000271	6,55355
980	-1,31051	5,89821	-1,31049	6,55356
1000	-1,31051	5,89821	-1,31051	6,55356
1020	-1,3105	5,89821	-1,96586	6,55356
1040	-1,96587	5,89821	-2,62122	6,55356
1060	-1,96586	5,89821	-2,62122	6,55356
1080	-1,96586	5,89822	-1,96585	6,55356
1100	-2,62122	5,89821	-2,62121	6,55356
1120	-2,62122	5,89821	-2,62122	6,55356
1140	0,65567	8,51965	3,9327	10,4857
1160	6,55419	9,83034	5,24342	10,48569
1180	5,24341	9,17499	4,58805	9,83034
1200	4,58804	9,83034	3,93269	10,4857
1220	4,58803	9,83035	4,58804	9,83034
1240	4,58803	9,17498	4,58804	9,83033
1260	4,58803	9,17498	3,93268	9,83034
1280	4,58803	9,17498	3,93267	9,83033
1300	3,93267	9,17498	3,93267	9,83033
1320	3,93266	9,17498	3,93267	9,17497
1340	3,93266	9,17498	3,93266	9,17497
1360	3,93267	9,17498	3,27731	9,83033
1380	3,93266	9,17498	3,27731	9,17497
1400	3,93267	9,17497	3,93267	9,17496
1420	3,93267	9,17497	3,2773	63,56984
1440	3,2773	9,17497	2,62195	9,83032
1460	2,62194	9,17497	1,96658	9,83032
1480	1,96658	9,17497	1,96658	9,83032
1500	1,96658	9,17496	1,96659	9,83032
1520	1,31124	8,5196	-1,31004	7,20886
1540	0,00077000000000282	5,24279	-0,6546	5,89814
1560	-0,65462	5,24279	-1,30997	5,89814
1580	-0,65461	5,24279	-1,30997	5,24278
1600	-1,30998	4,58743	-1,96534	5,24278
1620	-1,30997	4,58743	-1,96533	5,24278
1640	-1,30997	4,58743	-1,30997	5,24278
1660	-1,30997	4,58743	-1,96533	5,24279
1680	-1,30997	5,24279	-1,96532	5,24278
1700	-1,30996	4,58744	-1,96532	5,24278
1720	-1,30996	4,58744	-1,30996	5,24279
1740	-1,30996	5,2428	-1,30995	5,24279
1760	-1,30996	4,58744	-1,30995	5,24279
1780	-0,6546	4,58744	-0,6546	5,89816
1800	0,00074999999999648	5,24281	-0,65461	5,89815
1820	0,00074999999999648	5,24281	-1,30996	5,24281
1840	-2,6206	3,93212	-2,62057	3,93211
1860	-2,6206	3,27676	-2,6206	3,27675
1880	-2,62059	2,62141	-2,6206	3,27676
1900	-1,96523	2,62141	-2,62059	3,27676
1920	-1,96523	2,62141	-1,96523	2,6214
1940	-1,96524	2,62142	-1,96523	2,6214
1960	-1,96524	2,62142	-1,96523	2,62141
1980	-1,30987	1,96606	-1,96523	2,62141
2000	-1,30987	1,96606	-1,96523	1,96605
2020	-1,30987	1,96606	-1,30987	1,96605
2040	-1,30987	1,3107	-1,30987	1,96605
2060	-1,30987	1,96606	-1,30987	1,96605
2080	-1,30987	1,3107	-1,30989	1,96604
2100	-1,30992	1,96606	-1,96526	2,62141
2120	-1,96526	1,31071	-1,96526	2,62142
2140	-1,3099	1,96607	-1,96526	1,96606
2160	-1,96526	1,3107	-1,96526	1,96606
2180	-1,96526	1,3107	-1,96525	1,96605
2200	-1,96526	1,31071	-1,96526	1,96605
2220	-1,96526	1,3107	-1,96525	1,96605
2240	-1,96526	1,3107	-1,96525	1,96605
2260	-1,3099	1,3107	-1,96525	1,96605
2280	-1,96525	1,3107	-1,96525	1,31069
2300	-1,96525	1,3107	-1,96525	1,96605
2320	-1,96525	1,3107	-1,96525	1,96605
2340	-1,96525	1,3107	-2,62061	1,96605
2360	-1,96526	1,3107	-2,62061	1,96605
2380	-1,96525	1,3107	-2,62061	1,31069
2400	-2,62061	1,3107	-2,62061	1,96605
2420	-2,62061	1,3107	-2,62061	1,96605
2440	-2,62061	1,3107	-2,62061	1,96604
2460	-2,62062	1,31069	-2,62061	1,96605
2480	-2,62062	1,31069	-3,27599	1,96604
2500	-2,62063	1,31069	-2,62063	1,96604
2520	-2,62064	1,31069	-3,93128	1,96603
2540	1,96717	1,31068	3,93335	1,31064
2560	3,27795	0,65529	2,62258	1,31065
2580	3,27795	0,6553	1,96723	1,31064
2600	2,62258	0,65529	2,62259	1,31064
2620	2,62259	0,65529	2,62259	1,31064
2640	2,62258	0,65529	1,96722	1,31064
2660	2,62258	0,65529	1,96723	1,31064
2680	1,96722	0,65529	1,96723	1,31063
2700	1,96722	0,65528	1,96723	0,65527
2720	2,62258	-8,0000000004077E-5	1,96723	1,31063
2740	2,62257	0,65528	1,96722	0,65527
2760	2,62258	0,65528	1,96722	0,65527
2780	2,62257	0,65528	1,96721	0,65527
2800	1,96721	0,65528	1,96721	1,31063
2820	1,96722	0,65527	1,31182	1,31062
2840	0,0010399999999962	0,65527	-0,65429	0,65526
2860	0,0010800000000017	-9,0000000000146E-5	-0,65429	1,31062
2880	-0,65429	-8,0000000004077E-5	-1,30964	0,65526
2900	-0,65429	0,65528	-0,65428	0,65526
2920	-0,65429	0,65528	-0,65428	1,31062
2940	0,0010800000000017	-9,0000000000146E-5	-0,65428	1,31062
2960	-0,65428	0,65527	-0,65428	1,31063
2980	0,0010800000000017	0,65528	-0,65428	1,31063
3000	0,0010800000000017	0,65528	0,0010800000000017	0,65527
3020	0,65644	0,65528	0,0010800000000017	1,31063
3040	0,65644	0,65528	0,65644	1,31063
3060	0,65644	0,65529	0,65644	1,31063
3080	0,65644	1,31065	1,31186	1,96602
3100	3,27798	1,31066	1,96724	1,96601
3120	1,96723	1,31067	1,31188	1,31066
3140	1,96723	1,31067	1,31188	1,96602
3160	1,96724	0,65532	1,31189	1,31067
3180	1,31188	1,31068	1,96725	1,96603
3200	1,96724	1,31068	1,96724	1,96603
3220	1,96723	1,31068	1,96723	1,96604
3240	1,96723	1,31069	1,96723	2,6214
3260	1,96722	1,96604	1,96722	2,6214
3280	1,96721	1,96605	1,96721	2,6214
3300	1,96721	1,96605	1,96721	3,27676
3320	2,62257	2,62141	1,96977	2,6214
3340	1,96721	2,62141	1,96722	1,96604
3360	2,62257	1,96604	1,96721	1,96604
3380	3,27797	0,65534	5,89949	0,65534
3400	5,89948	-1,0000000003174E-5	5,2441	0,65534
3420	5,89946	-1,0000000003174E-5	5,89947	0,65534
3440	5,89946	-1,0000000003174E-5	5,89947	0,65534
3460	5,89947	-1,0000000003174E-5	5,89947	0,65534
3480	6,55483	-1,0000000003174E-5	5,89947	0,65533
3500	6,55483	-1,9999999999243E-5	5,89947	0,65534
3520	6,55482	-1,9999999999243E-5	5,89947	0,65534
3540	5,89946	0,65535	5,89946	1,3107
3560	5,89945	0,65535	5,89946	1,3107
3580	5,89946	0,65535	5,89947	1,3107
3600	6,55482	-1,0000000003174E-5	9,83176	-3,27683
3620	19,00696	-4,58755	20,3177	-3,93221
3640	19,66231	-4,58756	20,31767	-3,93221
3660	20,97303	-4,58757	20,97303	-3,93222
3680	20,97303	-3,93221	20,31767	-3,27687
3700	21,62839	-3,93222	20,97303	-3,27687
3720	20,97303	-3,27687	21,6284	-2,62152
3740	21,62839	-3,27687	21,6284	-2,62152
3760	21,6284	-3,27687	21,6284	-2,62152
3780	22,28376	-3,27687	21,6284	-2,62152
3800	22,28376	-3,27687	21,6284	-2,62152
