T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65536	-0,65536	-0,65536	-0,65536
40	-1,31072	-0,65536	-1,31071	-0,65536
60	-1,96608	-0,65535	-1,96607	-0,65535
80	-2,62144	-1,31071	-1,31071	-0,65536
100	-1,96608	-1,31071	-1,96608	-0,65535
120	-1,96608	-0,65535	-1,31072	9,9999999960687E-6
140	-1,96608	1,9999999999243E-5	-1,96608	0,65537
160	-2,62145	0,65538	-1,96608	1,31073
180	-2,62145	1,31074	-1,31073	1,31073
200	-1,96609	1,31074	-1,31073	1,96609
220	-1,96609	1,9661	-1,31073	1,96609
240	-1,31074	1,31074	-0,65537	1,96609
260	-1,31074	1,9661	-1,31073	1,96609
280	-1,31073	2,62146	-0,65537	2,62145
300	-1,31073	3,27682	-0,65537	3,27681
320	-0,65537	3,27682	-1,0000000003174E-5	3,27681
340	-1,0000000003174E-5	3,93217	0,65536	3,93217
360	0	4,58754	0,65536	4,58753
380	0	4,58754	0,65536	4,58753
400	0	5,2429	0,65536	5,89825
420	0,65535999999999	5,2429	1,31072	5,89825
440	0,65535999999999	5,89825	1,96608	6,55361
460	1,31072	6,55361	2,62144	6,5536
480	1,96608	5,89824	3,2768	4,58751
500	3,27679	3,93215	4,58752	2,62141
520	4,5875	1,96605	5,89822	-0,6554
540	9,17498	-7,20903	19,66068	-26,8699
560	36,69997	-58,32726	60,94828	-92,40597
580	81,26441	-113,37733	98,95903	-123,2076
600	110,7556	-129,76103	115,99857	-138,28051
620	117,30925	-142,21246	112,72168	-140,90175
640	104,85737	-136,96958	98,95924	-131,72682
660	93,71645	-124,51799	89,12886	-116,65385
680	84,54123	-110,75571	81,91975	-105,51291
700	78,64296	-102,23615	76,6769	-100,27011
720	74,71081	-98,30406	73,40006	-95,68267
740	70,7786	-93,71663	70,12322	-92,40595
760	67,50177	-89,78453	66,8464	-87,81849
780	64,88031	-86,50779	63,56959	-85,19709
800	62,25887	-83,23102	62,25887	-81,92031
820	60,94815	-80,6096	59,63742	-78,64353
840	58,3267	-77,98817	58,3267	-77,33283
860	57,01597	-76,67746	57,01597	-75,36675
880	55,70525	-75,36674	56,36061	-74,05603
900	55,04989	-72,7453	55,70526	-71,43458
920	62,91436	-68,8131	68,81276	-66,19163
940	68,81278	-64,88092	67,50204	-62,91483
960	65,53595	-61,6041	65,53596	-60,94875
980	64,22523	-60,29338	64,22523	-58,98267
1000	62,9145	-58,98266	62,9145	-58,32731
1020	62,25913	-58,98266	62,25914	-58,32731
1040	60,94841	-57,67194	61,60632	-57,01658
1060	60,29305	-57,01657	60,94841	-56,36122
1080	60,29304	-56,36122	60,29304	-55,70587
1100	59,63767	-56,36122	59,63768	-55,70586
1120	58,98231	-55,70585	59,63768	-55,70586
1140	58,32695	-55,70586	58,98231	-55,0505
1160	58,32695	-55,70586	58,32695	-55,70586
1180	51,1179	-54,39514	45,87495	-53,08441
1200	44,56421	-52,42904	45,21958	-51,77368
1220	44,56422	-51,77368	45,21959	-51,11832
