T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65536	1,31073	-2,62148	2,62147
40	-3,27684	4,58757	-3,27683	5,8983
60	-3,93218	7,20905	-3,27682	7,20905
80	-3,27682	7,86442	-3,27682	7,20906
100	-3,27682	7,86442	-3,27682	7,20906
120	-3,27682	7,20906	-3,27682	7,20906
140	-3,93218	7,20906	-3,93218	7,20907
160	-3,93217	7,20907	-3,93217	6,55371
180	-3,93217	6,5537	-3,93217	5,89834
200	-3,93217	5,89833	-3,27681	5,24297
220	-3,27681	5,89833	-3,27681	4,5876
240	-3,27681	3,27686	-1,96609	0,6554
260	-0,65539	-4,58754	0,65529	-13,10731
280	3,27669	-23,59316	7,2088	-36,04509
300	9,17484	-41,28803	10,48556	-39,32192
320	9,83022	-34,07898	8,51951	-29,49141
340	7,20881	-24,24849	5,8981	-20,31629
360	4,5874	-15,72874	3,93206	-13,10727
380	3,93207	-10,48581	3,27672	-8,51971
400	3,27672	-5,89826	2,62136	-5,89825
420	3,27672	-3,93215	2,62137	-3,93216
440	2,62136	-2,62143	2,62136	-3,2768
460	2,62137	-2,62143	2,62136	-3,2768
480	1,96601	-2,62144	1,96601	-2,62143
500	1,966	-2,62144	2,62137	-3,93217
520	1,966	-3,27681	1,966	-3,93216
540	1,31065	-2,62144	1,31064	-3,2768
560	1,96601	-2,62144	1,96601	-3,27681
580	1,96601	-2,62145	1,96601	-2,62144
600	1,31065	-1,96608	1,966	-2,62145
620	1,966	-2,62145	1,966	-3,27682
640	1,31064	-2,62145	1,966	-3,27682
660	1,31064	-2,62145	1,966	-2,62145
680	1,31064	-3,27681	1,966	-5,24291
700	1,966	-5,89829	2,62136	-6,55365
720	2,62135	-7,20902	2,62135	-7,20903
740	2,62135	-6,55366	4,58744	-8,51975
760	9,1751	-8,51976	9,83062	-8,51976
780	8,51996	-7,20903	8,51994	-5,24292
800	7,86456	-3,27681	7,20917	-3,27678
820	7,20911	-3,93212	7,20907	-5,24281
840	6,55367	-6,55353	6,55364	-7,86423
860	6,5536	-11,14103	7,20892	-15,0732
880	7,2089	-15,07319	7,20889	-13,10706
900	6,55353	-10,48558	6,55354	-8,51947
920	5,89819	-5,898	5,24283	-3,93188
940	4,58747	-1,96578	4,58748	-0,65504
960	3,27676	0,65571	3,93212	1,31108
980	3,27676	1,96644	3,27676	2,62181
1000	3,27676	3,93253	3,27678	3,27717
1020	3,27678	4,58789	3,27679	4,58788
1040	2,62143	5,24325	3,2768	4,58788
1060	3,2768	5,24323	3,27682	5,24322
1080	3,27684	5,24319	3,27686	4,58781
1100	3,93224	3,93242	3,27695	1,31095
1120	5,2432	1,96628	7,20936	1,31091
1140	7,20939	3,93237	7,20941	3,93236
1160	6,55407	3,93236	7,20944	3,93235
1180	7,20944	4,5877	7,86481	3,93233
1200	8,52018	4,58768	9,17555	4,58767
1220	9,83091	5,24303	10,48628	5,24302
1240	10,48629	5,89838	11,14165	5,24301
1260	11,79701	5,24301	11,79702	4,58764
1280	11,79702	5,24301	12,45239	5,24301
1300	12,45239	5,89837	15,7292	5,89836
1320	45,22059	7,86447	62,26017	8,51983
1340	61,60484	9,83056	58,98337	10,48593
1360	58,98338	12,45202	59,63874	12,45202
