T	LX	LY	RX	RY
0	0	0	0	0
20	1,0000000003174E-5	-0,65536	0	-0,65536
40	-0,65535	-1,31072	0	-1,31072
60	-0,65535	-1,31072	0	-1,31071
80	-0,65535	-1,96608	1,0000000003174E-5	-1,96608
100	-0,65534	-1,31072	1,0000000003174E-5	-1,31072
120	1,0000000003174E-5	-1,96608	1,0000000003174E-5	-1,31072
140	1,9999999999243E-5	-1,96608	0,65537	-1,31071
160	0,65537	-1,96609	0,65536	-1,96608
180	0,65536	-2,62145	1,31072	-1,96608
200	1,31073	-2,62145	1,96608	-1,96608
220	1,31073	-1,96609	1,96608	-1,96608
240	0,65537	-2,62145	1,96608	-1,96608
260	1,31072	-2,62145	1,31072	-1,96608
280	0,65537	-2,62144	0,65536	-1,96608
300	0,65537	-1,96608	0,65535	-1,96608
320	-9,9999999960687E-6	-3,93217	1,31067	-6,55362
340	11,14111	-11,7965	22,93761	-15,72868
360	26,21442	-15,72869	26,21444	-13,76259
380	24,90374	-12,45187	25,55912	-11,14115
400	24,90378	-10,48579	24,90634	-8,5197
420	24,24845	-8,51971	24,9038	-8,5197
440	24,90382	-8,51971	24,90381	-7,86434
460	24,90382	-8,51971	24,90382	-8,5197
480	24,90383	-9,17507	24,90382	-9,17507
500	24,24847	-8,51972	24,24847	-9,17507
520	23,59311	-10,4858	24,24845	-10,4858
540	23,59309	-12,45188	24,90377	-15,07332
560	24,24838	-15,72869	24,24837	-15,07332
580	23,59302	-15,07332	24,24837	-15,07331
600	22,93766	-15,07332	23,59302	-13,7626
620	22,93767	-14,41796	23,59303	-13,76259
640	22,93768	-13,7626	23,59304	-13,10723
660	24,90379	-13,10723	26,86991	-13,10723
680	27,52529	-12,45188	27,52529	-11,14116
700	26,86994	-10,4858	27,52531	-9,83043
720	27,52531	-9,83044	27,52532	-9,17508
740	27,52533	-9,17508	28,18069	-8,51971
760	27,52534	-8,51972	28,1807	-8,51971
780	27,52534	-8,51972	27,52534	-7,86435
800	27,52535	-8,51972	28,18071	-7,86435
820	27,52536	-8,51972	28,18071	-7,86436
840	27,52536	-7,86436	28,83608	-7,20899
860	28,18072	-7,209	27,52536	-5,2429
880	26,21466	-5,24291	26,87002	-4,58754
900	26,87003	-5,24291	26,87003	-3,93219
920	26,21468	-5,24291	26,87003	-4,58754
940	26,21468	-5,24291	26,87002	-5,24291
960	26,21468	-5,89737	26,87002	-5,89827
980	26,21467	-6,55363	26,87002	-5,89827
1000	26,21466	-7,20899	26,21464	-6,55362
1020	25,55929	-7,20899	26,21464	-7,20898
1040	25,55928	-7,20899	26,21463	-7,20898
1060	25,55928	-7,86435	25,55927	-7,20898
1080	25,55927	-7,86435	25,55925	-7,86434
1100	25,55926	-7,86434	25,55925	-7,86434
1120	25,55926	-7,86434	25,55925	-7,20898
1140	25,55927	-7,86435	25,55926	-7,20898
1160	25,55927	-7,20898	25,55926	-6,55362
1180	24,90392	-5,89826	25,55927	-5,89826
1200	24,90393	-5,89827	24,90393	-4,58754
1220	24,24859	-5,24291	21,6271	-3,93218
1240	19,00566	-3,27682	18,35032	-1,96609
1260	17,69502	0,65536	17,03972	3,93218
1280	14,41835	6,55362	12,45233	9,83043
1300	10,48631	11,14115	9,17563	13,76261
1320	7,86495	13,76261	7,20961	15,7287
1340	5,24355	15,7287	4,58819	16,38407
1360	3,93285	16,38408	3,27749	16,38409
1380	2,62213	16,38409	3,27749	17,69482
1400	2,62214	17,03945	3,27749	17,69482
1420	3,2775	17,69481	2,62213	18,35018
1440	-10,48518	17,69481	-17,69425	17,69481
1460	-18,3496	18,35018	-17,03887	19,00554
1480	-17,69422	19,00554	-17,03886	19,00555
1500	-17,69421	19,00554	-17,03886	19,00554
1520	-17,69421	18,35018	-16,3835	18,35018
1540	-17,03886	18,35018	-16,3835	18,35018
1560	-17,03886	17,69482	-16,38351	18,35018
1580	-16,3835	17,69482	-15,72816	18,35018
1600	-16,38351	17,69482	-15,72815	17,69483
1620	-15,72815	17,69482	-15,72816	17,69483
1640	-15,72816	17,03946	-15,72817	17,69483
1660	-16,38353	17,03946	-16,38354	17,03947
1680	-16,38353	17,03946	-15,07282	17,69483
1700	0,00064000000000419	17,03947	8,5204	17,03947
1720	9,17578	17,03946	9,17577	17,69483
1740	8,52042	17,03947	9,17578	17,69483
1760	8,52042	17,69483	8,52041	17,69483
1780	8,5204	17,03947	8,5204	17,69484
1800	7,20967	17,03947	7,86502	17,69484
1820	7,86502	17,03947	7,86501	17,03948
1840	7,20965	17,03947	7,20964	17,03948
1860	7,20964	16,38411	7,20963	17,03948
1880	6,55427	16,38411	6,55426	16,38411
1900	13,10791	16,38411	37,35653	18,35022
1920	51,77465	18,35021	52,43001	19,00557
1940	50,46393	19,00557	50,46393	19,66093
1960	50,46395	19,00557	51,1193	19,66093
1980	50,46395	19,00556	50,46394	19,66093
2000	49,80859	19,66092	51,1193	19,00556
2020	50,46394	19,00555	51,11929	19,00556
2040	50,46394	18,35019	50,46393	19,00556
2060	50,46393	18,35019	50,46392	18,35019
2080	49,80857	18,35018	49,80856	18,35019
2100	49,1532	17,69482	49,80855	18,35018
2120	49,80856	17,69482	49,80855	18,35018
2140	49,15319	17,69481	49,80854	18,35018
2160	49,1532	17,69481	50,4639	17,69482
2180	49,80855	17,03945	50,4639	17,69481
2200	49,80855	17,6948	50,4639	17,69481
2220	50,4639	17,03944	50,4639	17,03944
2240	50,4639	16,38407	53,08534	16,38406
2260	66,19272	17,03944	75,36784	17,69481
2280	76,67858	16,38407	76,02319	17,03943
2300	75,36782	16,38406	75,36779	16,38407
2320	74,71241	15,72869	74,05702	15,7287
2340	73,40165	15,72869	73,40163	15,72869
2360	72,74626	15,72868	72,74624	15,72869
2380	72,09343	15,72868	72,74622	15,72868
2400	72,74621	15,07332	72,7462	15,72868
2420	72,7462	15,07332	73,40155	15,72868
2440	73,40154	15,07331	74,05689	15,07332
2460	73,40153	14,41795	74,05688	15,07332
2480	73,40152	14,41795	74,05686	15,07331
2500	73,4015	14,41794	72,74612	14,41795
2520	72,09076	14,41795	72,09074	14,41795
2540	70,78001	13,76259	70,12463	13,7626
2560	69,46926	13,10723	68,81387	13,7626
2580	68,15851	13,10724	69,46921	13,7626
2600	81,92125	14,41798	92,40714	13,76262
2620	93,0625	13,76259	92,40712	13,76261
2640	91,0964	13,7626	91,09638	13,76261
2660	90,44103	13,10724	89,78564	13,10725
2680	89,13028	12,45188	88,47489	12,45189
2700	87,81954	11,79652	87,81952	11,79653
2720	86,50881	11,14117	87,16416	11,79653
2740	86,5088	11,14117	86,5088	11,79653
2760	85,85344	11,14116	86,5088	11,79654
2780	85,85345	11,14116	87,16417	11,14117
2800	86,50882	11,14117	87,16418	11,79654
2820	87,16419	11,14117	87,81954	11,79654
2840	87,16419	11,14117	87,81954	11,14118
2860	87,16419	10,48581	87,81954	11,14118
2880	87,81955	10,48581	88,4749	11,14118
2900	87,81955	10,48581	88,47489	11,14117
2920	89,13027	9,83045	89,78564	11,79655
2940	89,13029	11,14118	90,441	11,14118
2960	90,44102	11,14118	91,09637	11,79655
2980	91,75174	11,79654	92,4071	12,4519
3000	91,75174	11,79654	92,40709	11,79654
3020	91,75174	11,14117	92,40709	11,79654
3040	91,75174	11,14117	92,40709	11,79654
3060	92,40709	11,79654	92,40708	11,79654
3080	92,40708	11,14117	91,09633	11,14118
3100	59,63875	11,14119	1,96646	9,83048
3120	-38,66636	8,51978	-41,94324	9,17514
3140	-38,66634	11,14121	-38,01095	11,79657
3160	-38,66631	11,79656	-37,35558	12,45193
3180	-37,35556	12,45192	-36,7002	13,76264
3200	-36,70018	13,10728	-36,04482	13,76264
3220	-36,70017	13,10727	-36,04482	13,10728
3240	-36,04482	13,10727	-35,38946	13,10728
3260	-35,38945	13,10727	-35,38946	13,10727
3280	-35,38945	12,45191	-35,38946	12,45191
3300	-35,38946	11,79654	-34,73411	11,79654
3320	-38,01095	11,14119	-43,9093	10,48583
3340	-45,87538	10,48583	-44,56465	11,14119
3360	-45,22001	10,48582	-45,22003	10,48583
3380	-45,87538	9,83046	-45,8754	10,48583
3400	-45,87539	10,48582	-45,8754	10,48583
3420	-45,87539	9,83046	-45,22004	10,48582
3440	-44,56466	10,48581	-42,59858	11,14118
3460	-41,28784	10,4858	-38,66639	11,14117
3480	-37,35564	11,14116	-35,38955	11,79652
3500	-34,73416	11,79651	-32,76807	11,79651
3520	-32,11268	11,7965	-31,45731	12,45187
3540	-30,80192	11,7965	-30,14656	12,45186
3560	-30,14653	11,7965	-28,83581	12,45186
3580	-28,83579	11,79649	-28,18043	12,45186
3600	-27,52505	11,79649	-26,21432	12,45186
3620	-25,55894	11,79649	-23,59285	12,45185
3640	-22,93747	11,79648	-21,62675	11,79649
3660	-20,97137	11,79648	-19,00529	11,79648
3680	-18,34991	11,79647	-16,38383	12,45184
3700	-15,72845	11,79647	-14,41773	12,45184
3720	-14,41772	11,79647	-13,76237	11,79647
3740	-11,79627	11,14111	1,31106	11,79648
3760	7,86474	10,48575	8,5201	11,14111
3780	7,86473	10,48575	7,20936	10,48575
3800	7,20936	10,48574	7,20935	10,48575
3820	6,55398	10,48574	7,20932	10,48575
3840	5,8986	9,83038	6,55395	9,83039
3860	5,89859	9,83038	5,89857	10,48574
3880	5,89859	9,83038	5,89857	9,83039
3900	5,89856	9,17502	5,89855	9,83038
3920	5,89855	9,17502	6,5539	9,83039
3940	6,55391	8,51965	6,55389	9,83039
3960	5,89854	9,17502	7,20924	9,17503
3980	6,55389	9,17502	7,8646	9,17502
4000	7,20924	8,51966	5,24313	9,83039
4020	3,27704	9,17502	3,9324	9,83039
4040	3,93241	9,17502	4,58776	9,83038
4060	3,93241	9,17502	3,9324	9,17502
4080	4,58776	8,51965	4,58775	9,17502
4100	3,9324	8,51965	4,58774	8,51966
4120	3,93238	8,51965	4,58774	8,51966
4140	3,93238	7,86429	3,93238	8,51966
4160	3,93237	7,86429	3,93236	8,51966
4180	3,93237	7,86429	4,58772	7,8643
4200	3,93236	7,86429	4,58771	7,8643
4220	3,93236	7,20893	4,58771	7,20893
4240	4,58771	6,55357	4,5877	7,20894
4260	4,5877	7,20893	4,58769	7,20894
4280	4,5877	6,55357	4,58768	7,20893
4300	3,93233	7,20893	3,93232	7,20894
4320	3,93232	5,89821	3,93231	6,55357
4340	3,27696	6,55357	3,9323	6,55358
4360	2,62159	5,89821	5,89839	6,55357
4380	20,31653	6,55357	30,8024	6,55356
4400	31,45778	6,55355	30,14704	7,20893
4420	28,83632	6,55356	28,8363	7,20893
4440	27,52558	5,8982	27,52556	5,89822
4460	26,21483	5,89821	25,55945	5,89822
4480	24,24872	4,58749	23,59333	4,5875
4500	22,28261	3,93213	21,62722	3,93214
4520	20,31649	3,27677	19,66111	3,27678
4540	18,35038	2,62141	18,35036	2,62142
4560	17,695	1,96605	17,69498	2,62142
4580	17,03962	1,31069	17,69497	1,96606
4600	17,03962	1,31069	17,69497	2,62142
4620	17,03962	1,96605	17,69497	1,96606
4640	17,69498	1,31069	18,35033	1,96605
4660	18,35034	1,31068	19,0057	1,96605
4680	18,35034	1,31069	19,00569	1,96605
4700	18,35034	1,31068	19,00568	1,31068
4720	20,31642	1,31068	30,80234	2,62142
4740	37,35602	1,96695	39,32212	3,27677
4760	38,66675	2,62141	39,32212	3,27677
4780	39,32214	3,27676	39,97749	3,27677
4800	39,97749	2,6214	40,63285	3,27677
4820	40,63285	2,6214	41,2882	2,6214
4840	40,63285	2,6214	41,28821	2,6214
4860	40,63285	2,6214	41,2882	2,6214
4880	40,63284	1,96603	41,28819	2,6214
4900	40,63283	1,96603	40,63282	2,6214
4920	39,97747	1,96603	40,63282	2,6214
4940	39,97747	2,62139	40,63281	2,6214
4960	39,97746	1,96603	39,97745	2,6214
4980	39,97745	1,96603	40,63281	2,6214
5000	40,63281	1,96603	40,6328	1,96604
5020	40,63281	1,96603	41,28817	1,96603
5040	40,63281	1,96603	41,28816	1,96603
5060	40,63281	1,31066	41,94352	1,31067
5080	40,6328	1,31066	41,94352	1,96603
5100	40,6328	1,31066	41,28815	1,31067
5120	42,5989	1,31067	45,22036	1,96603
5140	45,22036	1,31066	45,22036	1,96603
5160	44,56501	1,31067	45,22036	1,96603
5180	44,565	1,31067	45,22035	1,96603
5200	44,56499	1,31066	44,56498	1,31067
5220	44,56499	0,6553	44,56498	0,65531
5240	44,56499	0,6553	44,56497	1,31067
5260	43,90962	0,6553	44,56497	0,65531
5280	43,90961	0,6553	44,56496	0,65531
5300	43,90961	-5,9999999997729E-5	43,9096	0,65531
5320	43,9096	-5,9999999997729E-5	43,9096	0,65531
5340	44,56497	-5,000000000166E-5	58,32771	2,62141
5360	72,74583	1,96604	77,33338	2,62139
5380	76,67801	2,6214	76,678	3,27676
5400	76,67801	2,62139	77,33336	3,27675
5420	76,678	2,62139	77,33334	3,27675
5440	76,67799	1,96602	76,67797	1,96602
5460	76,02261	1,96602	76,0226	2,62139
5480	75,36724	1,31066	76,02256	-7,0000000000903E-5
5500	75,36718	-0,65544	74,71181	-7,0000000000903E-5
5520	74,05646	-7,9999999996971E-5	74,05645	-7,9999999996971E-5
5540	73,40109	-9,0000000000146E-5	74,05644	-9,0000000000146E-5
5560	72,74572	-0,65545	72,74571	-0,65545
5580	72,09034	-1,31081	72,09032	-0,65545
5600	71,43496	-1,31081	71,43495	-1,31081
5620	70,12423	-1,96618	70,78213	-1,31081
5640	70,12422	-1,96618	70,12421	-1,31081
5660	68,81349	-2,62155	70,77957	-1,31082
5680	77,33328	-1,96617	83,23157	-1,31081
5700	84,54232	-1,31081	84,54232	-0,65545
5720	84,54234	-0,65546	85,19769	0,65527
5740	85,19771	-9,9999999996214E-5	85,85307	-9,0000000000146E-5
5760	85,85307	-0,65545	85,85307	-9,0000000000146E-5
5780	85,19771	-9,0000000000146E-5	85,85306	-9,0000000000146E-5
5800	85,19771	-0,65546	85,85306	-9,0000000000146E-5
5820	85,19771	-0,65546	85,85307	-9,0000000000146E-5
5840	85,19772	-9,9999999996214E-5	85,85307	0,65527
5860	85,19772	0,65526	86,50843	0,65527
5880	85,85308	0,65526	86,50843	0,65527
5900	85,85308	0,65527	86,50843	1,31063
5920	85,85308	0,65526	86,50843	0,65527
5940	85,85307	-9,9999999996214E-5	85,85307	0,65527
5960	85,85307	0,65526	85,85306	0,65527
5980	85,19771	0,65526	85,85306	1,31063
6000	85,1977	0,65526	85,85306	0,65526
6020	85,85306	0,65526	85,85306	1,31062
6040	85,85307	1,31062	85,85306	1,31062
6060	85,85307	1,31062	85,85307	1,96599
6080	85,85308	1,31061	86,50843	1,96598
6100	85,85309	1,31062	86,50844	1,96599
6120	86,50845	1,96598	86,50844	1,96599
6140	86,50845	1,96598	87,1638	1,96599
6160	86,50845	1,31062	87,1638	1,31062
6180	86,50844	0,65526	87,16378	1,31063
6200	87,16379	0,65526	91,75138	1,966
6220	92,40676	1,31063	92,40675	1,96599
6240	91,75139	1,96599	92,40931	2,62136
6260	92,40677	1,96599	92,40676	3,27671
6280	92,40677	1,96599	93,06212	1,96599
6300	92,40676	1,96599	93,06211	1,96599
6320	93,06212	1,96599	93,06211	1,96599
6340	93,06212	1,31062	93,06211	1,96599
6360	93,06212	1,31063	93,06211	1,96599
6380	93,06212	1,96598	93,06211	1,96599
6400	93,06212	1,31062	93,06211	1,96599
6420	93,06212	1,31062	93,06211	1,96599
6440	93,06212	1,31062	93,71747	1,31062
6460	93,06212	1,31062	93,06211	1,31062
6480	93,06211	1,31062	93,06211	1,31062
6500	93,06212	0,65526	93,06211	1,31063
6520	93,06211	0,65526	93,71747	1,31062
6540	93,06211	1,31062	93,71747	1,31062
6560	93,06212	0,65525	93,71748	0,65526
6580	93,71749	0,65525	94,37284	0,65526
6600	94,37284	-0,00010999999999939	94,37284	0,65526
6620	95,0282	-0,00010999999999939	95,0282	-0,00010000000000332
6640	95,02819	-1,31083	71,43498	-1,96617
6660	18,35022	-3,93223	-35,38984	-4,58755
6680	-56,36154	-3,93219	-49,15252	-2,62147
6700	-46,53098	-3,9999999998486E-5	-45,8756	0,65532
6720	-43,90949	-5,000000000166E-5	-40,63268	1,31067
6740	-38,66657	1,31066	-36,70048	1,96602
6760	-34,73438	1,96601	-32,7683	2,62138
6780	-32,11292	1,96601	-29,49148	1,96601
6800	-28,83611	1,31064	-26,87004	1,31065
6820	-26,21465	0,65528	-24,24856	1,31064
6840	-23,59319	1,31064	-22,28246	1,31064
6860	-20,97173	0,65528	-19,661	1,31064
6880	-19,66099	0,65527	-18,35027	0,65527
6900	-18,35025	-9,0000000000146E-5	-17,6949	0,65527
6920	-17,69489	-9,0000000000146E-5	-17,03954	0,65527
6940	-17,03954	-9,0000000000146E-5	-17,03955	0,65527
6960	-17,6949	-9,0000000000146E-5	-17,69491	0,65527
6980	-18,35027	-9,0000000000146E-5	-18,35028	0,65527
7000	-19,00563	-9,9999999996214E-5	-18,35028	0,65527
7020	-19,00563	-9,9999999996214E-5	-19,00564	0,65526
7040	-19,661	-9,9999999996214E-5	-19,00565	-0,00010000000000332
7060	-20,31636	-9,9999999996214E-5	-19,66102	-9,0000000000146E-5
7080	-19,661	-9,9999999996214E-5	-19,00565	0,65526
7100	-19,66101	-0,65546	-19,00566	-0,00010000000000332
7120	-19,66101	-9,9999999996214E-5	-19,00565	-0,00010000000000332
7140	-19,00565	-9,9999999996214E-5	-18,3503	0,65527
7160	-18,35029	-9,9999999996214E-5	-17,69494	0,65526
