T	LX	LY	RX	RY
0	0	0	0	0
20	0	1,0000000003174E-5	-0,65535	0,65537
40	-1,31071	1,0000000003174E-5	-1,3107	9,9999999960687E-6
60	-1,96607	-0,65535	-2,62143	9,9999999960687E-6
80	-2,62142	2,0000000006348E-5	-3,27678	0,65538
100	-3,93214	0,65539	-4,58749	1,31074
120	-5,24285	1,31075	-5,8982	1,96611
140	-6,55356	1,31075	-7,20892	2,62147
160	-7,86428	2,62147	-8,51963	2,62147
180	-9,83036	2,62147	-10,4857	3,27683
200	-11,14107	3,27684	-11,79642	3,9322
220	-12,45178	4,58757	-13,10714	5,24293
240	-13,10714	4,58757	-14,41785	5,89829
260	-14,41785	5,8983	-15,07321	6,55366
280	-15,07321	5,24294	-17,03932	5,89829
300	-21,62692	5,8983	-21,62692	7,20902
320	-19,66083	7,86439	-19,66083	9,17511
340	-19,00547	9,17511	-19,00547	9,83047
360	-19,00548	9,83047	-19,00548	9,83047
380	-19,00548	10,48584	-19,00548	10,48583
400	-19,66085	11,1412	-19,66085	11,1412
420	-20,31621	11,1412	-20,97156	11,1412
440	-20,97157	11,1412	-20,97156	11,79656
460	-20,97157	10,48584	-20,97156	10,48583
480	-20,97156	10,48583	-20,97157	10,48582
500	-20,97157	9,83046	-20,97157	10,48581
520	-20,97158	9,83045	-21,62693	9,83045
540	-20,97158	9,1751	-20,97158	9,83045
560	-20,97158	9,83046	-20,97158	10,48582
580	-21,62693	9,83047	-21,62693	11,14119
600	-21,62694	10,48582	-22,28229	11,79654
620	-22,28229	11,14118	-22,28229	11,79654
640	-22,2823	11,14118	-22,28229	11,79654
660	-22,93765	11,79654	-22,93765	11,79654
680	-23,59301	10,48581	-23,593	11,14117
700	-23,59301	10,48581	-23,593	10,4858
720	-23,593	10,4858	-24,24836	10,4858
740	-23,59301	9,83044	-24,24836	10,48579
760	-24,24837	9,83043	-24,24836	9,83043
780	-24,24836	9,17506	-24,24836	9,17505
800	-24,24836	9,17506	-24,24836	9,83041
820	-23,59299	9,17505	-24,24835	9,17505
840	-24,24836	8,51968	-23,59299	8,51968
860	-22,93763	7,86432	-22,28227	8,51967
880	-21,62691	7,86432	-20,31619	7,86431
900	-19,00548	6,55359	-18,35012	6,55359
920	-17,03942	5,89822	-15,7287	5,89822
940	-15,07334	5,89821	-14,41799	5,89821
960	-14,418	5,89821	-13,76264	6,55357
980	-13,76264	5,89821	-13,76264	5,24284
1000	-9,17506	5,24285	7,86454	9,17501
1020	20,9719	9,83037	20,97192	9,83037
1040	20,31656	9,17502	21,62729	9,83037
1060	21,62728	8,51964	22,28263	8,51963
1080	22,28263	5,89818	22,93799	5,2428
1100	23,59334	3,27671	24,2487	3,27669
1120	24,24869	2,62134	24,24869	1,3106
1140	24,90404	0,65524000000001	24,90404	0,65523
1160	24,90405	-0,00012999999999863	24,90405	-0,00014000000000181
1180	24,90404	-0,00012999999999863	24,90404	-0,00014000000000181
1200	24,90404	-1,31087	-41,94265	0,65521
1220	55,05083	4,58741	76,02259	6,5535
1240	83,23165	4,58742	81,92094	5,24277
1260	81,26558	4,58742	81,92094	4,58741
1280	82,5763	3,27669	82,5763	3,27669
1300	81,92095	1,96596	81,92095	1,31059
1320	81,26559	0,65523	81,26559	-0,00014000000000181
1340	79,95487	-0,6555	79,95488	-0,00014000000000181
1360	79,29952	-1,31087	79,29952	-1,96623
1380	78,64416	-3,27696	78,64416	-3,93233
1400	78,64415	-4,58769	78,64415	-4,58769
1420	78,64414	-5,89841	78,64414	-5,89842
1440	78,64414	-7,20915	83,23168	-6,55378
1460	92,40682	-6,55379	94,37293	-6,5538
1480	93,71755	-7,86452	94,37291	-7,86452
1500	95,68362	-8,51989	96,33898	-9,17526
1520	96,99434	-11,14136	97,64969	-11,14136
1540	98,30505	-12,45209	98,30504	-13,10746
1560	98,30504	-13,76281	98,9604	-13,76281
1580	98,96039	-15,07354	98,9604	-14,41818
1600	98,96039	-15,72891	98,9604	-17,03963
1620	99,61575	-17,69499	99,61576	-17,695
1640	99,61576	-18,35037	100,27112	-18,35037
1660	100,92648	-19,00573	100,92648	-19,00574
1680	100,92648	-18,35037	100,92648	-17,69501
1700	100,92648	-17,695	100,92648	-17,03964
1720	102,89257	-16,38427	114,03384	-10,48598
1740	123,86439	-10,48596	125,83051	-9,17523
1760	125,17514	-8,51986	125,17515	-7,20913
1780	125,83051	-7,20912	125,83052	-5,24304
1800	125,83052	-5,89839	124,5198	-3,93231
1820	125,17516	-4,58765	125,17517	-3,27694
1840	125,17516	-3,27693	124,51981	-3,27693
1860	124,51982	-3,27693	125,17518	-2,62157
1880	125,17518	-3,27693	125,17518	-2,62157
1900	125,17518	-2,62155	125,17518	-1,9662
1920	125,17518	-1,9662	125,17518	-1,31084
1940	124,51982	-0,65546	125,17518	-0,00010999999999939
1960	125,17517	-9,9999999996214E-5	124,51982	0,65526
1980	124,51981	-9,9999999996214E-5	124,51982	0,65526999999999
2000	124,51982	0,65527	124,51982	0,65526999999999
2020	123,86445	1,31064	123,86446	1,31064
2040	123,86446	1,96601	123,86447	1,96601
2060	124,51982	1,96601	124,51982	2,62137
2080	125,17518	2,62137	125,83054	3,27672
2100	125,83054	2,62137	126,4859	3,27672
2120	132,38419	3,9321	136,97179	4,58747
2140	136,97178	3,93211	136,31642	5,24284
2160	136,97178	4,58748	137,62714	4,58748
2180	138,28249	4,58748	138,28249	4,58748
2200	138,93784	3,93212	138,93785	4,58747
2220	139,5932	3,93211	139,59321	4,58747
2240	139,5932	4,58747	139,5932	5,24283
2260	140,24856	5,24284	139,5932	5,8982
2280	139,5932	5,8982	138,93784	5,8982
2300	139,5932	5,24285	140,24856	5,89821
2320	140,24856	5,89822	140,24856	6,55358
2340	140,24857	6,55359	140,90393	7,20895
2360	140,90392	7,20895	140,24857	7,86431
2380	140,24856	7,86431	147,4576	11,7965
2400	166,46332	17,03945	180,88153	20,97165
2420	182,84767	21,62703	180,22622	23,59311
2440	180,22623	24,90385	180,8816	27,5253
2460	180,8816	28,18068	180,8816	29,4914
2480	180,88161	30,80214	180,88161	34,07895
2500	180,88161	35,38969	180,88162	38,66651
2520	180,22626	41,28797	180,22626	44,56479
2540	180,22626	47,18625	180,22627	49,15235
2560	180,22627	51,11844	180,22628	53,7399
2580	179,57092	54,39527	180,22629	54,39527
2600	168,42961	49,80769	124,51991	41,94329
2620	62,26005	29,4914	0,65568	19,0056
2640	-14,41786	17,69487	-11,14103	21,62706
2660	-8,51956	23,59316	-9,17493	24,90389
2680	-8,51958	24,24853	-7,86422	24,24852
2700	-7,20886	23,59316	-7,20887	24,24851
2720	-6,55352	22,93779	-6,55352	22,93778
2740	-6,55352	21,62707	-6,55352	21,62707
2760	-6,55352	20,97171	-7,20888	20,97171
2780	-6,55352	19,66099	-7,20887	19,66098
2800	-7,20887	19,00563	-7,86422	19,66098
2820	-7,20886	19,00562	-7,86421	19,66097
2840	-7,86421	18,35024	1,31094	19,66096
2860	22,28268	20,31631	30,14712	20,97165
2880	29,49175	19,00557	28,83639	19,66093
2900	29,49175	19,00557	29,49175	17,69485
2920	30,14711	15,72875	30,1471	15,07338
2940	30,1471	13,76265	30,80245	13,76264
2960	30,80245	12,45192	30,80244	12,45191
2980	31,4578	11,79655	31,4578	11,79654
3000	31,45779	11,14119	31,45779	10,48581
3020	32,11315	9,83045	32,11315	9,83044
3040	32,11315	8,51971	25,5595	7,20897
3060	22,93801	5,89824	24,24875	5,89824
3080	24,24874	5,89824	24,24874	5,89824
3100	24,24874	4,58751	24,24875	4,5875
3120	23,59338	3,27678	23,59338	3,93213
3140	23,59338	3,27677	22,93802	3,93213
3160	22,28266	3,93213	21,6273	4,5875
3180	21,6273	4,58749	21,6273	5,24286
3200	21,6273	5,89823	20,97195	7,20895
3220	20,97194	7,86432	20,97194	9,17504
3240	20,97194	9,17505	20,31658	10,48577
3260	20,31657	9,83041	20,31657	10,48577
3280	20,31656	10,48577	19,6612	10,48576
3300	22,93801	10,48576	49,15259	17,03938
3320	74,71192	18,35011	81,26565	19,00547
3340	79,29955	19,00548	78,64419	19,66084
3360	79,95491	18,35011	79,29955	19,00547
3380	79,29954	19,00547	78,64418	19,00547
3400	78,64418	18,3501	78,64418	18,3501
