T	LX	LY	RX	RY
0	0	0	0	0
20	0	0,65536	0	0
40	0	0,65536	0	0
60	0	0	0,65536	0
80	0	0,65536	1,0000000003174E-5	0
100	0	0,65536	1,0000000003174E-5	1,0000000003174E-5
120	1,0000000003174E-5	1,31073	1,0000000003174E-5	0,65538
140	-0,65535	1,31073	-0,65535	1,31073
160	-0,65535	1,31073	-0,65535	1,31074
180	-0,65535	1,9661	-1,31071	1,31075
200	-0,65535	1,9661	-1,31071	1,31074
220	-0,65535	1,9661	-0,65535	1,31074
240	-1,31071	1,9661	-1,31071	1,31074
260	-1,31071	1,9661	-1,31071	1,31074
280	-0,65535	1,9661	-1,31071	1,31074
300	-1,31071	1,96609	-1,31071	1,31074
320	-1,31072	1,9661	-1,31071	1,31074
340	-1,31072	1,31074	-1,31071	1,9999999999243E-5
360	-1,31072	0,65537	-1,31071	1,9999999999243E-5
380	-1,31072	0,65537	-1,31071	1,9999999999243E-5
400	-1,31072	0,65538	-1,31071	1,9999999999243E-5
420	-1,31072	0,65538	-1,96607	0,65538
440	-1,31072	0,65538	-1,96607	0,65539
460	-1,96607	1,31075	-1,96607	0,65539
480	-1,96608	1,31075	-2,62143	0,65539
500	-2,62143	0,65539	-2,62143	0,65539
520	-2,62142	1,31075	-2,62142	0,65539
540	-2,62142	0,65539	-2,62142	3,0000000002417E-5
560	-2,62142	2,0000000006348E-5	-1,96606	-0,65534
580	-1,96607	2,0000000006348E-5	-1,96606	1,0000000003174E-5
600	-1,96607	1,0000000003174E-5	-1,96607	1,0000000003174E-5
620	-1,96607	1,0000000003174E-5	-1,31071	1,0000000003174E-5
640	-1,96607	0	-1,96607	1,0000000003174E-5
660	-1,96606	0,65536	-1,96606	0
680	-1,96606	0,65536	-1,96605	0
700	-1,96606	-9,9999999960687E-6	-1,96605	-0,65537
720	-1,96606	0,65535000000001	-1,96605	0
740	-2,62141	-9,9999999960687E-6	-2,62141	-9,9999999960687E-6
760	-2,62141	0,65535000000001	-3,27676	-9,9999999960687E-6
780	-2,6214	0,65535000000001	-3,27676	0
800	-3,27677	0,65535000000001	-3,27676	0,65535
820	-3,93212	0,65535000000001	-3,93211	0,65536
840	-4,58747	0,65535000000001	-3,9321	-9,9999999960687E-6
860	-3,9321	0,65534	-3,9321	-1,9999999999243E-5
880	-3,9321	-1,9999999999243E-5	-3,9321	-0,65538
900	-3,9321	-2,9999999995312E-5	-3,9321	-0,65538
920	-3,9321	-0,65539	-4,58746	-1,31075
940	-3,9321	-1,31076	-3,9321	-1,96612
960	-3,9321	-1,31077	-3,9321	-1,96613
980	-3,9321	-1,31077	-3,9321	-1,96613
1000	-4,58746	-1,96615	-4,58747	-2,62151
1020	-3,93211	-1,96615	-1,96603	-3,27688
1040	5,000000000166E-5	-3,27688	1,31076	-3,93224
1060	2,62148	-3,93225	3,27683	-5,24297
1080	3,93218	-5,24297	3,93218	-6,55369
1100	3,93218	-5,89833	3,27682	-5,89833
1120	2,62145	-5,89833	1,96608	-5,89833
1140	1,31072	-5,89834	3,93219	-6,55371
1160	8,51988	-6,55372	7,86461	-8,51982
1180	6,55387	-7,86446	6,55387	-7,86445
1200	6,55386	-6,55372	5,8985	-6,55372
1220	5,8985	-5,24301	5,24314	-5,89837
1240	5,24314	-5,24301	4,58779	-5,89837
1260	4,58779	-5,24301	3,93243	-5,89838
1280	3,27708	-5,24302	3,27709	-6,55374
1300	2,62173	-6,55375	2,62174	-7,20911
1320	2,62174	-7,20911	2,62175	-8,51983
1340	1,96639	-7,86448	1,9664	-9,17521
1360	1,9664	-8,51985	1,96641	-9,83057
1380	1,96641	-9,83058	1,96641	-10,48594
1400	1,96641	-9,83059	1,96641	-11,14131
1420	2,62176	-10,48596	2,62177	-11,14132
1440	2,62176	-11,14132	2,62177	-11,14133
1460	2,62176	-11,14133	2,62177	-11,7967
1480	2,62176	-11,14134	1,96641	-11,7967
1500	1,96641	-11,79671	2,62177	-12,45207
1520	1,96641	-12,45208	2,62177	-13,10744
1540	1,96647	-12,45208	1,96655	-12,45206
1560	1,96657	-13,10742	1,96657	-13,76278
1580	1,96657	-13,10743	1,96658	-13,76279
1600	1,96658	-13,76279	2,62194	-14,41815
1620	2,62193	-14,41816	2,62194	-15,07352
1640	2,62194	-14,41816	1,96658	-15,07352
1660	2,62194	-14,41816	1,96658	-15,07352
1680	2,62194	-15,07352	2,62194	-15,72888
1700	2,62194	-15,72889	2,62194	-16,38425
1720	1,96658	-15,72889	2,62194	-17,03961
1740	1,31124	-18,35035	-2,62078	-18,35037
1760	-1,96533	-18,35037	-0,65458	-19,66109
1780	-0,65459	-19,00573	-0,65458	-19,00573
1800	-0,65458	-19,00572	0,000780000000006	-19,66109
1820	-0,65458	-19,00572	-0,65458	-19,66108
1840	0,00077000000000282	-19,00573	-0,65458	-19,66109
1860	-0,65459	-19,00573	-0,65459	-19,66109
1880	-0,65459	-19,66109	-0,65459	-19,66109
1900	-0,65459	-19,66109	-0,65459	-20,31645
1920	-0,65459	-19,66109	-1,30995	-20,97181
1940	-1,30995	-20,31645	-0,65459	-20,97182
1960	-0,65459	-20,31646	-1,30995	-20,97182
1980	-0,65459999999999	-20,97183	-0,65459	-21,62718
2000	-0,65459	-21,62719	-0,65459	-22,28255
2020	-0,65459	-21,62719	-0,65458	-22,28255
2040	-1,30995	-21,62719	-0,65459	-22,28256
2060	-0,65459	-22,28256	-0,65459	-22,93792
2080	-0,65459	-22,93792	-0,65459	-23,59328
2100	-0,65459999999999	-23,59329	-0,65459	-23,59329
2120	-0,65459	-23,59329	-0,65459	-24,24865
2140	0,65614	-24,24866	8,52056	-23,5933
2160	16,38497	-22,28257	19,00643	-23,59329
2180	19,00642	-22,93793	19,00642	-22,93793
2200	19,00642	-22,93793	19,00642	-23,59329
2220	19,00642	-23,5933	19,00642	-24,24866
2240	18,35106	-23,5933	18,35106	-24,24866
2260	18,35105	-23,5933	19,00641	-24,24866
2280	18,35104	-23,59331	19,0064	-24,90403
2300	19,00639	-24,24867	19,00639	-24,90404
2320	19,66174	-24,90404	19,66174	-25,55941
2340	19,66174	-24,90405	19,66173	-25,55941
2360	19,66173	-25,55942	19,66173	-26,21478
2380	20,31709	-25,55943	20,31709	-26,21479
2400	20,31708	-26,21479	20,97245	-26,87015
2420	20,97244	-26,2148	24,90462	-26,21479
2440	30,14756	-24,2487	32,76902	-25,55942
2460	33,42438	-24,90407	33,42438	-25,55943
2480	33,42438	-24,24871	33,42437	-25,55942
2500	33,42437	-24,90407	33,42437	-25,55942
2520	33,42437	-24,90407	33,42437	-25,55943
2540	33,42436	-25,55944	34,07972	-26,2148
2560	33,42437	-25,55944	34,07973	-26,2148
2580	34,07972	-26,2148	34,07972	-26,2148
2600	33,42435	-25,55945	34,07973	-26,2148
2620	34,07972	-25,55945	33,42436	-26,21481
2640	33,42436	-25,55945	32,76901	-26,21481
2660	39,978	-25,55946	58,98357	-24,9041
2680	70,1248	-24,24875	74,05702	-24,90411
2700	74,71237	-24,90411	74,05701	-24,90411
2720	74,05701	-24,24875	74,05701	-24,90411
2740	74,05701	-24,24875	74,05701	-25,55947
2760	74,05701	-24,90411	74,05701	-25,55947
2780	73,40164	-24,90411	73,40164	-24,9041
2800	72,74628	-24,24875	73,40164	-24,9041
2820	72,74627	-24,24875	72,74628	-24,9041
2840	72,74627	-24,24875	72,74627	-24,90411
2860	72,74626	-24,24875	73,40162	-24,90411
2880	73,40162	-25,55948	73,40162	-25,55948
2900	74,05698	-25,55948	74,05698	-26,87021
2920	74,05697	-26,21485	74,05482	-26,87021
2940	74,71233	-26,21485	74,71233	-27,52557
2960	75,36769	-26,87021	74,71233	-27,52557
2980	74,71232	-26,87021	74,71233	-26,87021
3000	74,05696	-26,87022	74,05697	-27,52557
3020	74,71232	-26,87022	74,05696	-27,52557
3040	74,05696	-26,87021	74,05696	-27,52557
3060	74,71232	-26,87022	74,05696	-28,18093
3080	74,05696	-27,52558	74,71233	-28,18094
3100	74,71233	-27,52558	74,71233	-28,8363
3120	74,71233	-28,18094	74,71233	-28,83631
3140	74,71233	-28,18094	74,71233	-28,8363
3160	75,36769	-28,83631	75,36769	-29,49167
3180	75,36769	-30,14704	76,02305	-30,14703
3200	76,02304	-30,14705	79,29987	-29,49169
3220	83,88745	-28,18096	84,54283	-28,83631
3240	84,54281	-28,18096	84,54282	-28,83632
3260	84,54281	-28,18096	84,54281	-28,83632
3280	84,54281	-28,18096	84,54281	-28,83633
3300	84,54281	-28,18097	84,54281	-28,83633
3320	84,54281	-28,18097	83,88745	-28,83633
3340	83,88744	-28,18097	83,88745	-28,83633
3360	83,23209	-28,18097	83,23209	-28,83633
3380	83,23209	-27,52561	82,57673	-28,18097
3400	81,92136	-27,52561	81,26601	-28,18097
3420	81,92137	-27,52562	81,26601	-28,18097
3440	83,2321	-27,52562	95,02872	-26,21491
3460	106,17003	-23,59346	110,10227	-24,90418
3480	110,75762	-24,24882	110,75761	-24,24881
3500	110,7576	-22,93809	110,75761	-23,59345
3520	111,41297	-22,93809	111,41297	-22,93808
3540	110,7576	-22,28272	112,06832	-22,28272
3560	112,06832	-21,62736	111,41296	-22,28271
3580	111,41295	-21,62735	112,06832	-22,28271
3600	112,06831	-20,97199	112,06832	-21,62735
3620	112,06831	-20,97199	112,06831	-21,62735
3640	112,06831	-20,97199	112,06831	-20,97199
3660	112,0683	-20,97199	112,0683	-21,62735
3680	112,0683	-20,31663	112,0683	-20,97199
3700	112,0683	-20,31663	112,0683	-20,97199
3720	112,72366	-20,31663	112,72366	-20,97199
3740	112,72365	-20,31663	112,72366	-21,62735
3760	112,06829	-20,972	112,72364	-22,9381
3780	110,75754	-24,90419	93,71798	-32,76852
3800	57,6729	-39,32213	3,27773	-46,53109
3820	1,96673	-46,53106	1,31118	-49,15252
3840	2,62184	-49,80793	3,27719	-51,11866
3860	3,93253	-50,46331	3,93252	-51,11867
3880	4,58788	-50,46332	4,58787	-51,11868
3900	4,58786	-50,46333	4,58786	-51,1187
3920	4,58785	-50,46334	4,58784	-50,46335
3940	3,93248	-49,80799	3,93248	-50,46335
3960	3,93247	-50,46337	4,58783	-51,11873
3980	4,58782	-50,46337	4,58782	-51,11874
4000	3,93246	-50,46338	0,65562000000001	-50,46337
4020	-0,65514	-49,15264	0,00024000000000513	-49,808
4040	0,65559	-49,15263	0,65558	-49,15263
4060	1,31093	-48,49728	1,31093	-48,49727
4080	1,31092	-47,84192	1,96628	-48,49728
4100	1,96627	-47,84192	1,31091	-47,18655
4120	1,96626	-47,18656	1,31346	-47,18656
4140	1,3109	-45,87583	1,3109	-46,53119
4160	0,65554	-45,87583	1,31089	-46,53119
4180	1,31089	-45,87583	0,65553000000001	-45,87582
4200	1,31088	-45,22046	0,65551	-45,22046
4220	0,65551	-43,90974	0,65551	-44,56509
4240	0,6555	-43,90973	0,6555	-43,90973
4260	0,65549	-43,25436	0,65549	-43,90972
4280	0,65549	-43,25436	0,00013000000000574	-43,25436
4300	0,00010999999999939	-42,599	0,65548	-43,90972
4320	4,58771	-42,59901	7,86465	-42,59901
4340	7,86471	-42,59901	7,86471	-43,25437
