T	LX	LY	RX	RY
0	0	0	0	0
20	0	-1,0000000003174E-5	0	-0,65535999999999
40	9,9999999960687E-6	-0,65537	9,9999999960687E-6	-1,31073
60	1,9999999999243E-5	-1,31074	1,9999999999243E-5	-1,31074
80	-0,65534	-1,9661	-0,65534	-2,62146
100	-0,65533	-2,62147	-0,65533	-3,27683
120	9,83053	-5,24294	27,52549	-1,96618
140	40,63289	3,93204	43,90978	7,20884
160	41,94371	9,17492	41,28833	9,83028
180	41,28833	11,79636	41,94368	12,45173
200	41,28831	13,76244	41,2883	13,76245
220	40,63293	13,76244	40,63293	13,76245
240	40,63292	13,76244	40,63291	13,76245
260	40,63292	13,76244	40,63291	13,10708
280	41,28827	13,10708	41,28827	12,45172
300	41,94363	12,45171	41,28827	11,79636
320	41,94363	12,45171	41,94363	11,79636
340	42,59899	11,14098	42,599	10,48563
360	43,25435	10,48563	43,25435	9,83027
380	43,25436	9,83026	43,25436	9,17491
400	43,25436	8,51954	38,01143	4,58739
420	29,49164	-0,00012000000000256	27,52551	-1,96619
440	28,83624	-1,31083	28,83624	-0,65546999999999
460	28,83625	-1,31084	28,83625	-1,31083
480	29,49161	-1,31084	29,49161	-1,96619
500	29,49161	-1,9662	30,14698	-1,96619
520	29,49161	-1,9662	30,14697	-2,62156
540	30,14698	-3,27692	30,14698	-3,27692
560	30,14698	-3,27692	30,14697	-3,93228
580	30,14697	-3,93229	30,14697	-4,58764
600	30,14697	-4,58765	30,14697	-5,243
620	30,14698	-4,58765	30,14697	-4,58765
640	30,14697	-4,58765	30,80233	-4,58765
660	30,80234	-4,58765	30,80233	-4,58765
680	30,80234	-5,24301	30,80234	-5,89837
700	30,80234	-5,24302	30,80234	-5,89837
720	36,04526	-4,58767	56,36163	-1,96624
740	79,9548	0,65519	85,19777	2,62128
760	83,88705	3,93199	83,88705	5,24272
780	83,88705	7,2088	83,88705	7,2088
800	83,88704	7,20879	83,88704	7,86416
820	83,88705	8,51951	83,23168	9,83024
840	83,88705	9,83023	83,88704	9,17488
860	83,88704	9,17487	83,88704	9,17488
880	83,88704	9,83023	83,88704	9,83023
900	83,23168	9,83023	83,23168	9,83023
920	83,23169	9,83023	82,57633	10,48559
940	82,57633	11,14095	82,57633	11,14095
960	82,57633	11,79631	81,92097	11,79631
980	81,92097	11,79631	81,92097	11,79631
1000	81,92097	11,79631	81,92096	11,79631
1020	81,92096	12,45167	81,92095	13,10704
1040	81,92095	13,76239	81,92094	13,7624
1060	81,26558	14,41776	81,92093	13,7624
1080	81,92093	14,41776	81,92093	13,7624
1100	81,92093	13,7624	81,92093	14,41776
1120	82,57629	15,07312	82,57629	13,76241
1140	82,5763	13,7624	82,5763	13,7624
1160	83,23166	13,10703	83,23166	13,10704
1180	82,5763	13,10703	83,23166	11,79631
1200	83,23166	11,79631	83,23165	11,14095
1220	83,23165	11,14095	83,23164	10,48559
1240	83,23165	11,14094	83,23164	9,83023
1260	83,23164	9,83022	82,57628	9,17487
1280	70,77972	7,20879	53,08486	7,20881
1300	43,25437	4,58738	44,56509	3,93202
1320	45,87582	4,58737	45,22045	5,24273
1340	45,87581	5,24273	45,87581	5,24274
1360	46,53117	5,89809	46,53117	4,58738
1380	46,53116	4,58737	46,53116	5,24274
1400	46,53117	5,24273	47,84188	3,93201
1420	47,84188	3,27664	48,49724	2,62129
1440	49,1526	1,96592	49,1526	1,31057
1460	49,80796	1,31056	49,80796	0,6552
1480	49,80796	-0,00016000000000105	51,11868	-1,31088
1500	50,46332	-1,96625	51,11868	-1,96625
1520	51,11868	-2,62162	51,11868	-2,62161
1540	51,77404	-2,62162	51,77404	-1,96625
1560	51,77404	-1,96626	51,77403	-1,96625
1580	52,4294	-0,65554	52,4294	-0,65553
1600	51,77404	-0,00018000000000029	51,77404	-0,00016999999999712
1620	51,11868	2,62126	49,80796	4,58736
1640	40,63286	9,17489	28,83627	13,76246
1660	25,55944	15,72854	25,55943	16,38391
1680	26,2148	18,34999	24,90407	20,97144
1700	24,24872	22,28214	24,90408	22,93752
1720	24,24872	23,59287	24,24872	24,24824
1740	24,24872	24,24823	24,90408	24,24824
1760	24,24871	24,9036	24,90406	24,9036
1780	24,90406	25,55896	24,90405	26,21432
1800	24,90405	26,21432	24,90405	25,55897
1820	24,90404	25,55896	24,90404	25,55896
1840	25,5594	24,90359	25,55939	25,55896
1860	25,55939	24,24823	26,21475	23,59288
1880	26,21474	22,93751	26,8701	21,62679
1900	26,8701	21,62679	24,90398	19,00536
1920	14,41808	15,07322	1,9661	11,79645
1940	-1,9661	11,14109	-1,9661	13,10718
1960	-2,62147	14,41789	-3,27683	15,07326
1980	-3,27683	15,72862	-3,27684	15,72862
2000	-3,27684	16,38398	-3,27684	16,38399
2020	-3,9322	16,38398	-3,27685	17,03935
2040	-3,93221	16,38398	-3,27685	17,03935
2060	-3,27685	17,03935	-3,27686	16,38399
2080	-3,27686	15,72862	-2,6215	15,07327
2100	-3,27686	15,07326	-3,27686	15,07327
2120	-3,27686	14,4179	-2,6215	13,76254
2140	-3,27686	13,10717	-3,27686	12,45182
2160	-3,27686	12,45181	-2,6215	11,79645
2180	-2,6215	11,14108	-2,6215	10,48572
2200	-2,6215	10,48571	-2,6215	9,83036
2220	-2,62149	9,17499	-2,62149	7,86427
2240	3,2768	8,51961	9,83046	8,51961
2260	10,48583	7,86423	10,48583	7,86424
2280	10,48584	8,51959	10,48584	7,86423
2300	10,48585	7,86422	9,83048	7,86423
2320	10,48585	7,86422	10,48584	7,20886
2340	9,83048	7,20886	10,48584	6,5535
2360	10,48585	5,89813	10,48585	5,89814
2380	10,48585	5,89813	10,48585	5,24278
2400	10,48584	5,24277	10,48585	5,24277
2420	10,48586	5,24277	10,48585	4,58742
2440	10,48586	3,93205	10,48585	3,27669
2460	10,48585	3,93205	10,48585	3,27669
2480	9,8305	2,62132	10,48585	1,96597
2500	10,48585	1,96596	10,48585	1,31061
2520	10,48586	0,65524	14,41806	1,31059
2540	24,90399	7,86417	34,7345	12,45169
2560	35,38989	14,41776	35,38987	13,76241
2580	34,73451	15,07313	35,38986	16,38385
2600	34,73449	17,03921	34,73449	16,38386
2620	34,73448	17,69457	35,38983	17,69458
2640	35,38983	18,34994	35,38983	17,69458
2660	35,38982	17,69458	36,04518	17,03923
2680	36,04518	18,34993	36,04518	17,69458
2700	36,04518	17,69458	36,04517	17,69458
2720	36,04517	18,34994	36,70053	17,69458
2740	36,70053	18,34994	36,70053	17,69458
2760	36,70053	17,69458	36,70052	17,69459
2780	36,70052	17,03922	36,70052	16,38387
2800	37,35588	16,38386	37,35587	15,72851
2820	37,35587	15,7285	37,35587	15,07315
2840	37,35587	15,07314	37,35587	15,07315
2860	37,35587	15,7285	37,35587	15,07315
2880	37,35587	15,07314	37,35587	15,07315
2900	37,35587	15,07314	38,01123	14,41779
2920	37,35587	14,41778	37,35587	13,76243
2940	38,66659	15,07314	46,53099	16,38386
2960	53,08466	17,03921	57,67221	16,38385
2980	59,63831	17,0392	59,6383	17,69457
3000	60,29367	17,69456	60,29367	17,69456
3020	60,29368	17,69456	60,29367	17,03921
3040	60,29367	16,38384	60,29367	17,0392
3060	59,63831	16,38384	59,63831	15,72849
3080	60,29368	16,38384	60,29367	15,72848
3100	60,29368	15,72847	60,29368	15,07312
3120	59,63832	15,07311	59,63832	14,41776
3140	58,98296	15,07311	59,63833	14,41776
3160	59,63833	13,76239	59,63833	13,7624
3180	60,29369	13,76239	59,63833	13,10704
3200	60,29369	13,10703	59,63833	12,45167
3220	59,63834	12,45167	59,63834	11,79631
3240	59,63834	11,14094	56,36151	11,79632
3260	54,39542	13,10703	53,74007	13,10704
3280	55,05079	12,45167	55,05079	12,45168
3300	55,05079	13,10703	54,39543	13,10704
3320	55,05079	12,45167	55,05078	13,10704
3340	55,05078	12,45167	54,39541	13,10704
3360	54,3954	13,10704	54,3954	13,10705
3380	54,3954	13,10704	54,3954	12,45168
3400	54,39539	13,10704	54,39539	13,10705
3420	55,05074	12,45168	55,05074	12,45169
3440	55,70611	11,14095	56,36146	11,14096
3460	56,36146	11,14095	56,36146	11,14096
3480	56,36146	11,14096	56,36145	11,14097
3500	56,36146	11,14096	55,70609	11,14097
3520	55,70609	11,14096	55,70609	10,48561
3540	57,01682	10,4856	68,81338	13,10705
3560	84,54219	17,0392	89,12978	19,66065
3580	87,16372	20,31601	87,16371	20,31602
3600	87,16371	22,28209	87,81907	22,28209
3620	87,81907	21,62673	87,81907	20,97137
3640	87,81907	20,97137	87,81907	20,31601
3660	87,81907	20,316	87,81907	20,31601
3680	87,81907	19,66064	87,81908	19,66065
3700	87,81907	19,00528	87,81907	19,00529
3720	87,81908	19,00528	87,16372	17,03921
3740	87,81908	17,0392	87,81908	16,38384
3760	87,81909	15,72847	87,16372	15,07312
3780	74,05642	15,07313	55,70619	11,79634
3800	51,11862	10,48562	52,42934	11,79635
3820	53,08471	11,14098	-41,94249	11,79635
3840	53,08471	11,79634	53,74007	11,79634
3860	53,74007	11,79634	53,74007	12,4517
3880	53,74008	13,10706	53,74008	12,45171
3900	53,74008	12,4517	53,74008	12,45171
3920	53,74008	11,79634	53,74009	11,79634
3940	53,74009	11,14098	54,39545	10,48562
3960	54,39546	9,83025	54,39546	9,1749
3980	54,39546	9,17489	54,39545	8,51954
4000	54,39545	8,51953	54,39545	8,51954
4020	54,39544	7,20881	54,39544	7,20882
4040	54,39544	7,20881	54,39543	5,8981
4060	55,05079	5,89808	55,70615	5,24273
4080	55,70615	4,58736	56,36151	3,93201
4100	56,36151	3,932	56,36151	3,932
