T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	9,9999999960687E-6	-0,65536
40	9,9999999960687E-6	-0,65537	0,65537	-0,65537
60	0,65537	-0,65537	0,65537	-0,65537
80	0,65537	-1,31073	0,65537999999999	-1,31073
100	0,65537	-1,31074	0,65537	-1,31074
120	0,65537999999999	-1,31074	1,31074	-1,31074
140	0,65537999999999	-1,96609	0,65537999999999	-1,9661
160	0,65539	-1,31074	0,65537999999999	-1,31074
180	0,65539	-1,96611	0,65539	-1,9661
200	0,65539	-1,96611	0,65539	-1,9661
220	0,65539	-1,96611	0,65539	-1,9661
240	0,6554	-1,31074	0,6554	-1,31074
260	0,65541	-1,31074	0,65541	-0,65538
280	0,65541	-1,31074	0,65541	-1,31074
300	0,65542	-1,0000000003174E-5	1,96616	2,62146
320	1,96618	2,62146	1,96619	2,62146
340	2,62156	2,62147	2,62156	2,62147
360	2,62156	2,62147	2,62157	3,27684
380	2,62156	3,27684	2,62156	3,27684
400	2,62157	61,60388	1,9662	3,27685
420	1,9662	3,9322	1,31084	3,93221
440	0,65548	3,93221	4,58767	3,93222
460	17,0397	2,62152	19,6612	2,62151
480	17,03973	3,27687	17,69508	3,93224
500	17,69508	3,93225	17,69507	3,93225
520	17,69507	3,93226	17,69507	4,58763
540	17,69507	3,93227	17,69507	4,58763
560	18,35044	5,24299	17,69508	5,243
580	17,69509	5,89836	18,35045	5,89836
600	18,35046	6,55372	18,35046	6,55373
620	18,35046	6,55372	18,35047	6,55373
640	17,6951	6,55373	17,69511	6,55373
660	17,69511	7,20909	19,00585	7,86446
680	19,66123	7,20909	19,66123	7,20909
700	19,66123	7,86445	19,66123	7,86446
720	19,66123	7,86446	19,66123	7,86446
740	19,66123	7,86446	19,66123	8,51982
760	19,66123	7,86446	19,66123	8,51983
780	19,66123	9,17519	19,66123	9,17519
800	19,66123	8,51983	20,97196	61,60399
820	33,42395	9,83058	43,25451	9,17522
840	42,59916	8,51985	42,59916	9,17521
860	42,59916	9,17521	43,25453	9,83058
880	42,59917	9,83058	42,59916	10,48595
900	43,25452	9,83059	42,59917	10,48595
920	42,59917	10,48595	42,59917	10,48595
940	42,59917	10,48596	42,59917	11,14132
960	42,59917	11,14132	41,94382	11,14132
980	41,94382	11,14133	41,94382	11,14133
1000	42,59918	11,14133	53,08508	11,7967
1020	62,91566	11,14135	-42,59724	11,14135
1040	64,22644	11,7967	64,22644	11,79671
1060	64,8818	11,79671	64,22644	11,79672
1080	64,22644	11,79673	64,22644	12,45209
1100	64,22644	12,4521	64,22644	12,4521
1120	64,22644	13,10747	64,22644	13,10747
1140	63,57108	13,10747	62,91572	13,76284
1160	62,91572	13,76284	62,91572	14,41821
1180	63,57108	14,41821	70,78015	15,72896
1200	79,95536	15,72896	80,61077	15,0736
1220	79,30003	15,72896	78,64467	16,38433
1240	79,30004	17,03969	78,64468	17,0397
1260	78,64468	17,04001	78,64468	17,03971
