T	LX	LY	RX	RY
0	0	0	0	0
20	-0,65535999999999	0,65536	9,9999999960687E-6	0,65538
40	-0,65535999999999	1,31074	9,9999999960687E-6	1,31074
60	-0,65535	1,9661	9,9999999960687E-6	1,9661
80	1,0000000003174E-5	2,62146	9,9999999960687E-6	1,96611
100	2,0000000006348E-5	2,62147	1,9999999999243E-5	1,96611
120	-0,65534	2,62147	1,9999999999243E-5	2,62148
140	-0,65534	2,62147	0,65538	2,62148
160	-0,65534	3,27684	1,9999999999243E-5	2,62148
180	-0,65534	3,27684	-0,65533	2,62149
200	-0,65533	3,27684	2,9999999995312E-5	2,62149
220	-0,65532	3,27684	-0,65532	3,27685
240	-1,31068	3,27685	-0,65532	3,27685
260	-1,31068	3,27685	-0,65532	3,27685
280	-1,31068	3,9322	-0,65531	3,27685
300	-1,96604	3,27685	-1,96607	1,31076
320	-5,24296	3,0000000002417E-5	-5,24297	3,0000000002417E-5
340	-5,24296	3,0000000002417E-5	-5,24296	-0,65532
360	-5,89832	3,9999999998486E-5	-5,24296	-0,65532
380	-5,89832	3,9999999998486E-5	-5,24297	5,000000000166E-5
400	-5,89833	5,000000000166E-5	-5,24297	5,000000000166E-5
420	-5,24298	5,000000000166E-5	-4,58762	-0,65531
440	-5,24298	5,000000000166E-5	-5,24298	5,9999999997729E-5
460	-5,24298	0,65542	-4,58762	0,65542
480	-5,24298	0,65542	-4,58762	0,65542
500	-5,89835	0,65542	-5,24298	-0,65531
520	-5,89835	5,000000000166E-5	-5,24299	-0,65531
540	-5,24299	0,65541	-5,24299	5,9999999997729E-5
560	-5,89836	5,9999999997729E-5	-5,243	5,9999999997729E-5
580	-5,243	5,9999999997729E-5	-5,243	-0,65529
600	-5,89836	5,9999999997729E-5	-5,24299	7,0000000000903E-5
620	-5,89835	0,65543	-5,24299	7,0000000000903E-5
640	-5,24299	0,65543	-5,24299	0,65544
660	-5,89835	1,31079	-4,58762	0,65544
680	-5,24299	1,31079	-4,58762	0,65544
700	-5,24298	1,96616	-4,58762	1,31081
720	-5,24298	1,96617	-4,58762	1,31082
740	-5,24298	1,96618	-5,24298	1,96618
760	-5,24298	2,62155	-5,24298	2,62155
780	-5,89833	3,27691	-5,24297	2,62156
800	-5,89833	3,27692	-5,89833	3,27692
820	-6,55369	3,93229	-5,89832	3,27693
840	-6,55368	3,93229	-6,55368	3,9323
860	-7,20904	3,9323	-7,20904	3,9323
880	-7,86439	3,9323	-7,86439	3,27694
900	-8,51975	3,9323	-8,51974	3,93231
920	-5,89818	10,48591	-2,62113	17,03952
940	-3,93177	19,0056	-4,58715	19,0056
960	-5,89787	20,31633	-5,2425	20,31633
980	-5,89786	20,31634	-5,24251	20,31635
1000	-5,89787	20,31635	-5,24251	20,31635
1020	-6,55324	20,97171	-5,24251	20,97172
1040	-6,55324	21,62708	-5,89788	21,62709
1060	-6,55324	22,93782	-6,55323	22,93782
1080	-7,2086	24,24854	-7,20859	24,24855
1100	-7,86394	25,55927	-7,20857	26,21464
1120	-7,86393	27,52536	-7,20856	28,18072
1140	-8,51928	28,83607	-8,51927	28,83607
1160	-8,51927	29,49143	-8,51927	29,49143
1180	-9,17464	29,49143	-8,51927	28,83609
1200	-9,17463	29,49144	-8,51927	28,83609
1220	-9,83	28,83609	-9,17464	28,18074
1240	-9,82999	30,14682	-5,89764	36,04506
1260	2,62228	39,32187	7,2099	39,32186
1280	5,2438	39,32185	5,24379	38,66649
1300	5,2438	39,32184	5,89916	37,35576
1320	5,89914	37,35575	6,5545	36,04503
1340	6,55449	34,7343	7,20985	34,07894
1360	7,8652	32,76821	7,8652	30,80214
1380	7,20983	29,49142	7,86517	26,86998
1400	7,86516	25,55925	8,52051	22,28244
1420	9,1784	20,31635	9,17584	18,35026
1440	9,17582	17,69489	9,17581	17,69489
1460	13,10802	20,9717	26,21544	24,9039
1480	27,52625	26,86998	25,56014	27,52534
1500	24,90476	28,83605	24,90477	30,14678
1520	22,93868	31,4575	24,24939	31,4575
1540	24,24937	32,11285	24,90472	30,80212
1560	24,9047	30,14674	26,87076	28,18064
1580	27,5261	26,86989	30,14753	23,59307
1600	32,76895	20,31623	36,70109	17,0394
1620	39,32251	13,76256	44,56536	10,48574
1640	50,46358	7,86427	58,98176	5,24281
1660	72,74603	5,2428	81,26586	4,58744
1680	83,23191	4,58743	85,85333	5,2428
1700	89,13014	5,24279	92,40696	4,58743
1720	93,06232	4,58741	95,68377	4,5874
1740	97,64986	5,24276	98,96058	5,89812
1760	99,61594	6,55348	101,58202	5,89812
1780	100,92667	6,55349	101,58204	6,5535
1800	100,27132	7,86422	100,92668	6,55351
1820	99,61596	7,86424	100,27131	7,86424
1840	98,96058	8,51961	98,30521	8,51961
1860	96,33911	9,17496	95,68374	9,17496
1880	93,71764	9,83031	92,40691	9,83031
1900	91,09618	10,48565	89,78546	9,83027
1920	87,81938	8,51952	87,16401	6,5534
1940	85,85329	4,58729	85,85329	1,96581
1960	84,54257	-1,31105	85,8533	-7,86472
1980	85,85331	-11,79694	87,16404	-16,38451
2000	87,16405	-19,66135	88,47478	-24,24892
2020	89,13016	-27,52576	89,13018	-31,45796
2040	89,1302	-35,39016	89,78558	-39,32235
2060	89,13021	-40,63308	89,78557	-41,94381
2080	89,13021	-43,25455	88,47485	-44,56528
2100	87,81948	-44,56528	87,81948	-44,56528
2120	86,50875	-43,90993	85,85338	-43,90993
2140	84,54265	-43,25457	84,54265	-43,25456
2160	82,57657	-42,5992	82,57657	-41,94384
2180	81,9212	-41,28848	81,26584	-40,63311
2200	80,61048	-39,97775	79,29973	-40,63312
2220	71,43518	-44,56531	66,19212	-45,22069
2240	65,53678	-42,59923	66,84752	-41,28847
2260	65,53679	-38,667	65,53679	-36,70089
2280	64,22607	-34,07943	64,88144	-32,11332
2300	64,22608	-30,14723	64,88145	-28,83648
2320	65,53682	-26,21502	66,19219	-24,2489
2340	65,53684	-20,3167	66,19221	-16,38448
2360	64,8815	-11,14155	64,22615	-7,8647
2380	62,26008	-4,58787	61,60474	-3,27712
2400	60,29403	-1,9664	60,29404	-2,62175
2420	58,98332	-1,9664	58,98333	-1,9664
2440	58,32797	-1,31105	57,67261	-1,96641
2460	57,67262	-1,31106	57,67262	-1,96642
2480	56,3619	-0,6557	56,3619	-1,31104
2500	56,36191	-0,00032999999999817	60,2941	0,65504
2520	77,98911	5,89794	92,40753	9,83012
2540	95,02932	11,14084	95,02933	10,4855
2560	94,37394	11,79624	95,68467	12,45274
2580	95,68468	13,76235	96,9954	14,41773
2600	96,99541	15,0731	96,99541	15,72848
2620	96,34005	17,0392	95,6847	18,34994
2640	93,06327	20,31602	91,75255	20,31602
2660	88,47576	20,97138	86,5097	22,2821
2680	82,57754	23,59281	80,61148	22,93745
2700	76,67932	22,28206	73,40253	21,62671
2720	69,47038	20,31597	67,5043	19,00525
2740	64,22751	18,34989	62,91679	16,38381
2760	60,29535	16,3838	59,64	15,07309
2780	58,32927	14,41773	57,67392	13,10702
2800	56,36321	13,10702	56,36322	12,45167
2820	55,70786	11,79631	55,70787	11,14095
2840	55,05252	11,14095	55,05252	10,48559
2860	54,39717	10,48559	54,39717	9,17486
2880	50,46474	3,27659	39,9784	-7,20924
2900	9,17592	-16,38433	-2,62098	-30,14694
2920	-6,5533	-31,45768	-3,27646	-28,83622
2940	-2,62108	-26,87011	-1,96572	-26,21474
2960	-1,96572	-24,90401	-0,655	-23,59328
2980	-1,31036	-22,28254	0,00036000000000058	-21,62717
3000	0,00036000000000058	-19,66109	1,31108	-19,00571
3020	0,65572	-18,35034	1,96644	-18,35034
3040	1,31108	-17,03962	3,27716	-17,0396
3060	3,93252	-16,38424	5,24323	-15,72886
3080	5,24323	-15,0735	5,89859	-15,07349
3100	3,27708	-17,03957	2,62167	-17,69493
3120	2,62168	-17,03957	3,27705	-17,03956
3140	2,62169	-16,3842	3,27705	-16,38419
3160	2,62169	-15,72882	3,27705	-16,38418
3180	2,62169	-15,72881	1,96633	-15,72881
3200	1,96633	-15,72881	1,96634	-16,38416
3220	1,31097	-16,38415	1,96634	-16,38414
3240	0,65562000000001	-16,38414	1,96634	-17,03949
3260	1,31098	-17,03949	1,96634	-17,69485
3280	1,96633	-17,69485	3,27706	-18,3502
3300	3,27705	-17,69485	3,93241	-18,3502
3320	3,93241	-17,69485	6,5539	-15,72877
3340	9,17552	-9,83053	9,83102	-5,89836
3360	8,52032	-5,24301	7,86495	-4,58765
3380	7,20961	-3,93229	7,86497	-3,27693
3400	6,55425	-1,96621	7,20961	-1,96622
3420	5,8989	-1,31086	6,55426	-1,31086
3440	6,55426	-0,65551	7,20963	-0,6555
3460	6,55427	-0,00014000000000181	7,20964	-0,6555
3480	5,89891	-0,6555	6,55427	-0,65549
3500	6,55428	-1,31086	11,1419	0,65525
3520	16,38493	1,96598	18,35105	0,65527
3540	16,38494	-7,9999999996971E-5	16,38494	-1,96615
