T	LX	LY	RX	RY
0	0	0	0	0
20	0,65535	0	0,65537	0
40	0,65535	9,9999999960687E-6	0,65536	0,65536
60	0,65534	9,9999999960687E-6	0,65536	0,65537
80	0,65535	0,65537	0,65536	0,65536
100	-1,0000000003174E-5	0,65537	0	0,65537
120	-1,0000000003174E-5	9,9999999960687E-6	0,65536	0
140	0,65536	-0,65535	0,65537	-0,65536
160	0,65536	-1,31072	0,65537	-1,96608
180	0,65535	-1,96607	0,65537	-1,96608
200	0,65536	-1,31072	0,65537	-0,65536
220	0,65536	-1,31072	0,65537	-1,31072
240	0,65536	-1,31072	0,65537	-1,96608
260	0,65536	-1,96608	0,65537	-1,31072
280	0,65535	-1,96607	0,65537	-1,96608
300	0,65536	-2,62143	0,65537	-1,96608
320	0,65536	-2,62144	0,65537	-1,96608
340	0,65536	-2,62143	0,65538	-1,96608
360	0,65537	-2,62143	0,65538	-1,96608
380	0,65537	-2,62144	3,0000000002417E-5	-3,2768
400	9,9999999960687E-6	-3,2768	3,0000000002417E-5	-2,62144
420	9,9999999960687E-6	-3,2768	-0,65533	-2,62144
440	1,9999999999243E-5	-3,2768	-0,65533	-3,2768
460	-0,65534	-3,93216	-0,65533	-3,2768
480	-1,3107	-3,93216	-1,31069	-3,27681
500	-1,31069	-3,93216	-1,31069	-3,93216
520	-1,3107	-3,93216	-1,31068	-3,27681
540	-1,96605	-3,2768	3,2769	-0,65535
560	7,86451	-0,65534	6,5538	0,65537
580	6,55378	1,31074	6,55379	1,9661
600	6,55378	1,9661	5,89843	1,96609
620	6,55378	1,9661	5,89843	1,96609
640	5,89842	1,9661	5,89843	2,62146
660	5,89843	1,9661	5,89844	2,62146
680	5,89843	1,9661	5,89844	2,62146
700	5,89843	2,62146	5,24309	2,62146
720	5,24307	1,9661	5,24309	1,96609
740	5,89843	1,31073	5,89844	1,0000000003174E-5
760	6,55379	-0,65535	3,27696	-0,65534
780	1,31084	-0,65533	2,62158	1,9999999999243E-5
800	3,27693	-0,65533	3,93231	1,9999999999243E-5
820	3,9323	-0,65534	3,93231	-0,65534
840	14,4182	3,9999999998486E-5	20,31657	3,9999999998486E-5
860	19,6612	3,9999999998486E-5	19,66118	1,31076
880	19,0058	1,31076	19,66118	1,96612
900	19,66117	0,6554	19,66118	1,96612
920	19,66116	1,96612	19,66117	1,96612
940	19,66115	1,96612	19,66116	2,62148
960	19,66115	3,27685	19,66116	3,27684
980	19,66115	2,62149	19,66116	3,27684
1000	19,66114	3,27685	19,66115	3,27684
1020	19,66113	2,62148	19,66115	2,62148
1040	19,00578	2,62148	22,28262	2,62148
1060	34,07929	3,93222	44,56527	4,58759
1080	48,4975	4,5876	48,4975	5,24295
1100	48,49748	5,24295	48,4975	5,89831
1120	49,15285	6,55367	49,15286	6,55367
1140	49,15284	6,55367	49,15286	7,20903
1160	49,15285	7,20903	49,15286	7,86439
1180	49,8082	7,86439	49,80821	8,51975
1200	49,8082	8,51975	49,80821	9,83047
1220	49,8082	9,83047	49,15285	10,48583
1240	49,15284	10,48583	49,15285	10,48583
1260	49,15283	10,48583	49,15284	11,14119
1280	49,15283	10,48583	50,46357	11,14119
1300	62,91559	13,10731	72,74621	13,10732
1320	76,02309	13,76269	76,67844	15,07341
1340	76,02306	15,72878	76,02307	17,0395
1360	76,67841	18,35022	77,33378	20,3163
1380	77,33376	21,62703	77,33376	23,59311
1400	77,33375	24,24847	77,33375	25,55919
1420	77,33373	26,21455	77,33375	28,18064
1440	77,33373	28,836	77,9891	30,14672
1460	77,98908	30,80209	77,98909	32,1128
1480	77,98908	32,76816	77,98909	33,42352
1500	77,98907	33,42352	78,64443	33,42352
1520	78,64442	33,42352	79,29979	34,07889
1540	79,95514	33,42353	79,95514	34,07889
1560	79,95512	34,73425	79,95513	34,73425
1580	79,9551	34,73425	79,95512	35,38961
1600	79,29973	34,73424	78,64438	34,73424
1620	85,19806	34,73426	94,37331	34,73427
1640	99,61629	34,07891	99,6163	34,73427
1660	98,9609	34,73427	98,30556	34,73426
1680	98,9609	34,73426	98,30555	34,73425
1700	98,30554	34,73425	98,30554	34,73425
1720	97,65017	34,07889	96,99481	33,42352
1740	96,9948	32,76816	95,68408	32,11279
1760	95,68406	30,80207	94,37334	30,1467
1780	93,06259	27,52525	93,06259	25,55916
1800	91,75185	20,97162	90,44113	19,00552
1820	89,13039	16,38407	87,81966	14,41798
1840	86,50892	11,14117	84,54285	8,51971
1860	83,23211	5,24291	73,40161	3,0000000002417E-5
1880	40,63316	-11,14111	3,27718	-20,31618
1900	-23,59289	-24,24833	-28,18046	-23,593
1920	-25,55901	-22,28227	-24,24827	-20,97156
1940	-24,90365	-19,66084	-24,90364	-18,35013
1960	-24,2483	-17,0394	-23,59293	-16,38404
