T	LX	LY	RX	RY
0	0	0	0	0
20	-7,20906	-0,65535999999999	-1,96611	-1,9999999999243E-5
40	-6,5537	-9,9999999960687E-6	-1,96611	-1,9999999999243E-5
60	-6,5537	-9,9999999960687E-6	-1,31076	0,65534
80	-6,5537	-9,9999999960687E-6	-1,31075	-2,9999999995312E-5
100	-5,89834	-0,65537999999999	-0,65539	-0,65539
120	-5,89834	-0,65539	-0,65539	-0,6554
140	-5,89833	-1,96611	-0,65539	-1,31076
160	-6,55369	-1,96612	-0,65539	-1,96612
180	-6,55369	-2,62148	-1,31074	-2,62149
200	-6,55368	-3,27685	-0,65538	-2,6215
220	-6,55368	-3,27685	-0,65537	-3,27686
240	-5,89832	-3,93222	-0,65538	-3,93222
260	-5,89832	-4,58759	-0,65537	-3,93223
280	-5,24296	-4,58759	-1,9999999999243E-5	-4,5876
300	-5,24296	-5,24296	-9,9999999960687E-6	-4,58761
320	-4,5876	-5,24296	0,65535000000001	-4,58761
340	-4,58759	-5,89833	0,65535000000001	-5,24297
360	-4,58759	-5,24297	1,31071	-5,24298
380	-3,93223	-5,89833	1,31072	-5,24298
400	-3,93222	-6,5537	1,96608	-6,55372
420	-3,27686	-7,86444	-3,93222	-8,5198
440	-17,69495	-9,17517	-13,76274	-9,17519
460	-17,69495	-9,83056	-11,79664	-9,17521
480	-17,0396	-9,1752	-11,79665	-7,86449
500	-17,0396	-9,1752	-12,45201	-7,86448
520	-17,0396	-8,51983	-12,45201	-7,86448
540	-17,69495	-9,17519	-12,452	-8,51982
560	-17,69494	-9,17518	-13,10736	-8,51982
580	-18,35031	-9,83053	-12,452	-9,17518
600	-17,69494	-10,48589	-11,79664	-9,83054
620	-17,03958	-11,14125	-11,14128	-10,48589
640	-16,38423	-11,14125	-11,14128	-9,83053
660	-15,72888	-10,48588	-10,48593	-9,83052
680	-15,72888	-9,83052	-9,83057	-9,83053
700	-15,07352	-10,48588	-9,83058	-9,17517
720	-15,07352	-9,83053	-9,83058	-9,17517
740	-14,41816	-9,83053	-9,17522	-9,83054
760	-14,41816	-11,14126	-9,83058	-10,48591
780	-14,41816	-11,79663	-9,17521	-10,48591
800	-14,41816	-12,45199	-9,17522	-11,79664
820	-14,41816	-13,10735	-9,17522	-12,452
840	-12,45207	-13,76272	5,89827	-11,14127
860	13,10739	-9,83049	20,97186	-9,17512
880	15,72889	-8,51976	20,31646	-7,20904
900	16,38423	-6,55367	21,62717	-5,89832
920	16,38422	-5,8983	21,62717	-5,24296
940	16,38422	-5,24295	21,62716	-4,5876
960	16,38422	-5,24295	21,62716	-4,5876
980	17,03957	-5,24295	22,28251	-4,5876
1000	17,03957	-5,24295	22,93787	-4,5876
1020	17,69492	-4,5876	23,59322	-4,5876
1040	18,35028	-5,24296	23,59323	-4,58761
1060	18,35028	-5,24295	23,59323	-4,5876
1080	19,66101	-5,24295	34,07914	-3,27686
1100	36,0453	-3,27682	41,28827	-2,62146
1120	36,04531	-2,62145	40,63289	-1,31074
1140	35,38995	-1,96608	40,63289	-1,31073
1160	35,38994	-1,96609	41,28825	-1,96609
1180	35,38994	-1,96609	40,63289	-1,31073
1200	36,0453	-2,62145	41,28824	-1,9661
1220	35,38993	-2,62145	41,28824	-1,9661
1240	35,38993	-2,62146	41,28824	-2,62147
1260	36,04529	-3,27682	41,28824	-3,27684
1280	39,32213	-4,58756	54,39565	-4,58755
1300	52,42959	-6,55362	57,67253	-6,55363
1320	52,42957	-6,55364	58,32787	-5,89829
1340	53,08492	-7,209	58,98322	-5,89828
1360	54,39562	-6,55364	59,63856	-5,89829
1380	54,39561	-6,55364	59,63856	-5,89828
1400	54,39561	-5,89827	58,9832	-5,24293
1420	53,74025	-5,89828	58,98319	-4,58757
1440	53,74025	-5,89828	58,9832	-5,24293
1460	53,08489	-6,55365	58,9832	-5,8983
1480	58,9832	-6,55366	64,22616	-7,20902
1500	58,98321	-7,20902	64,22614	-6,55366
1520	58,9832	-6,55366	64,22614	-5,8983
1540	58,32783	-5,8983	62,91542	-5,24294
1560	57,01712	-5,24293	62,26007	-5,24294
1580	57,01712	-5,89829	62,26007	-5,24295
1600	57,01712	-5,89829	62,26006	-4,58759
1620	57,01712	-5,8983	60,94932	-5,89831
1640	39,32218	-8,51973	15,07357	-11,79654
1660	-19,66096	-17,6948	-34,07908	-19,00554
1680	-46,53111	-17,03945	-38,66671	-13,1073
