T	LX	LY	RX	RY
0	0	0	0	0
20	1,31071	0	1,31071	0,65536
40	1,96606	0	1,31071	0
60	1,3107	-0,65535	1,3107	0
80	1,31069	-0,65536	0,65533000000001	0
100	1,31068	-0,65535	0,65532	0
120	0,65532	-0,65535	-0,65539999999999	1,0000000003174E-5
140	-5,000000000166E-5	-0,65535	-0,65541	-0,65535
160	-0,65542	-0,65535	-0,65541999999999	1,0000000003174E-5
180	-0,65543	-0,65534	-1,31079	1,0000000003174E-5
200	-0,65543	-0,65535	-1,31079	1,0000000003174E-5
220	-1,3108	-0,65534	-1,96616	1,0000000003174E-5
240	-1,3108	-0,65535	-1,96616	1,0000000003174E-5
260	-1,96617	1,9999999999243E-5	-1,96616	1,0000000003174E-5
280	-1,31081	1,9999999999243E-5	-1,96617	1,0000000003174E-5
300	-1,96617	-0,65534	-2,62152	1,0000000003174E-5
320	-1,96617	1,9999999999243E-5	-1,96616	1,9999999999243E-5
340	-1,31081	1,9999999999243E-5	-1,96616	1,0000000003174E-5
360	-1,3108	1,9999999999243E-5	-1,96616	1,0000000003174E-5
380	-3,93227	1,9999999999243E-5	-7,20912	1,96612
400	-5,89838	1,31076	-5,89836	1,96612
420	-5,89837	1,31076	-6,55373	1,96611
440	-5,89837	1,31076	-6,55372	2,62147
460	-5,89837	1,31076	-6,55372	2,62148
480	-5,89837	1,96612	-6,55372	2,62148
500	-6,55373	1,31076	-6,55372	1,96611
520	-6,55372	1,96612	-6,55371	2,62148
540	-6,55372	1,96612	-7,20907	1,96611
560	-6,55371	1,31076	-7,20907	2,62147
580	-7,20907	1,96612	-7,20906	2,62147
600	-7,20907	1,31076	-7,86442	2,62148
620	-7,20906	1,96612	-7,86441	2,62148
640	-7,86442	2,62148	-7,86441	2,62148
660	-7,86441	2,62148	-8,51976	3,27684
680	-8,51977	2,62148	-9,17512	3,27684
700	-8,51976	3,27684	-1,3107	3,93218
720	1,31077	2,62147	4,0000000012697E-5	4,58755
740	1,9999999999243E-5	3,9322	3,0000000009522E-5	4,58755
760	1,31074	4,58756	0,65538000000001	4,58755
780	1,31074	4,58756	0,65538000000001	4,58755
800	1,31074	4,58756	0,65538000000001	5,24292
820	1,31074	5,24292	0,65539000000001	5,24292
840	1,31075	4,58756	0,65539000000001	5,24292
860	0,65539	5,24292	0,65539000000001	5,24292
880	0,65539	4,58756	0,65539000000001	5,24292
900	1,31075	4,58756	3,0000000009522E-5	5,24292
920	0,65539	5,24292	3,0000000009522E-5	5,24292
940	-6,55366	5,24294	-8,51975	6,55366
960	-6,55364	5,89831	-6,55364	6,55367
980	-5,89829	6,55367	-6,55364	7,20903
1000	-5,24292	6,55367	-5,24291	6,55366
1020	-4,58755	6,55366	-5,2429	6,55366
1040	-4,58755	5,8983	-5,2429	6,55366
1060	-4,58754	5,8983	-5,89826	6,55366
1080	-5,2429	5,8983	-5,24289	6,55366
1100	-5,2429	5,8983	-5,24289	7,20902
1120	-5,2429	5,89831	-5,89825	6,55366
1140	-5,24289	6,55366	-5,89824	6,55366
1160	-5,24289	6,55366	-5,89824	7,20902
1180	-5,89824	5,89831	-6,55359	6,55366
1200	-5,89824	5,89831	-6,55359	6,55367
1220	5,24302	7,20901	10,48603	6,55364
1240	9,83064	6,55365	8,51992	7,20901
1260	8,51992	7,20902	8,51992	7,20901
1280	9,17527	7,20902	7,86456	7,20902
1300	8,51992	6,55366	8,51993	6,55366
1320	8,51992	6,55366	8,51993	7,20902
1340	9,17529	6,55366	8,51994	6,55366
1360	9,17529	5,8983	8,51994	6,55366
1380	9,1753	5,8983	9,1753	6,55366
1400	9,1753	5,8983	7,86459	5,8983
1420	9,1753	5,89831	8,51995	6,55366
1440	8,51995	5,89831	8,51997	5,8983
1460	8,51997	5,89831	7,86461	5,89831
1480	8,51998	5,24295	7,86463	5,24294
1500	7,86462	5,24295	8,51999	5,8983
1520	9,17533	5,24295	9,17534	5,89831
1540	9,83069	5,24294	15,72899	6,55365
1560	18,35048	5,8983	17,69511	5,89829
1580	17,6951	5,8983	17,03975	7,20902
1600	17,6951	5,8983	17,03975	6,55366
1620	17,6951	5,89831	17,03975	6,55366
1640	17,03974	6,55366	16,38439	6,55366
1660	16,38438	6,55366	16,38439	6,55366
1680	17,03974	6,55366	15,72903	6,55366
1700	16,38438	5,8983	15,72903	6,55366
1720	16,38438	6,55366	17,03975	6,55365
1740	29,49175	6,55365	34,07937	7,209
1760	34,07935	7,20901	32,76862	7,20901
1780	33,42397	6,55365	32,76862	7,20901
1800	32,76861	6,55365	32,11325	7,20901
1820	32,7686	7,20901	32,11325	7,209
1840	32,7686	6,55365	32,11325	7,20901
1860	32,11324	6,55365	31,45788	7,20901
1880	31,45788	6,55365	31,45788	7,20901
1900	32,11323	6,55365	30,80252	7,20901
1920	31,45787	7,20901	30,80252	7,20901
1940	31,45787	6,55365	30,14715	7,20901
1960	30,80251	6,55365	30,14716	7,20901
1980	30,80251	6,55365	30,14716	7,20901
2000	30,80251	6,55366	30,14716	7,20901
2020	30,14715	6,55366	28,83643	7,20901
2040	29,49178	6,55366	28,83643	7,20901
2060	33,42398	7,20901	42,59919	9,17509
2080	46,5314	8,51974	45,22067	9,1751
2100	45,22066	9,1751	44,56531	9,17509
2120	44,5653	9,17511	43,90995	9,1751
2140	44,56531	8,51974	43,90996	9,1751
2160	44,56531	8,51975	44,56532	9,1751
2180	45,22067	8,51975	44,56531	9,1751
2200	45,87602	8,51974	45,22066	9,1751
2220	45,876	8,51974	45,22065	8,51974
2240	45,876	8,51975	45,876	9,1751
2260	45,876	8,51974	45,22064	9,1751
2280	45,876	8,51974	45,22064	9,1751
2300	45,22064	8,51975	44,56528	9,1751
2320	45,22064	8,51975	44,56528	8,51974
2340	45,22064	8,51975	44,56528	8,51974
2360	44,56528	7,86439	43,90992	8,51974
2380	43,90991	7,86439	43,25456	8,51975
2400	43,90991	7,86439	43,25456	8,51975
2420	43,25455	7,86439	42,59919	8,51975
2440	43,25455	7,86439	42,5992	8,51975
2460	43,25455	7,86439	42,5992	8,51975
2480	43,25455	7,86439	42,59919	8,51974
2500	43,25454	7,86439	42,59919	7,86438
2520	47,18676	8,51974	47,18679	8,51975
2540	46,5314	8,51975	45,87605	9,17511
2560	46,5314	8,51975	45,87604	9,17511
2580	45,87604	8,51976	45,87604	9,17511
2600	45,22068	8,51975	44,56531	8,51975
2620	45,22067	8,51975	44,56532	8,51975
2640	45,22067	8,51975	44,56532	8,51975
