T	LX	LY	RX	RY
0	0	0	0	0
20	0	0	1,0000000003174E-5	9,9999999960687E-6
40	0	0	1,0000000003174E-5	9,9999999960687E-6
60	-0,65536	-0,65536	0	0
80	-0,65536	-0,65536	-0,65535	0
100	-0,65536	-0,65536	1,0000000003174E-5	-0,65536
120	9,9999999960687E-6	-1,31073	0,65538	-1,31073
140	0,65537	-1,96609	0,65538	-1,96609
160	0,65537	-2,62146	1,31074	-1,96609
180	1,31073	-2,62146	1,31074	-1,9661
200	1,31073	-2,62146	1,31074	-2,62146
220	1,31074	-3,27683	1,31074	-2,62147
240	1,31074	-3,27683	1,31074	-3,27682
260	1,31074	-3,93219	1,31075	-3,27683
280	0,65538	-3,27683	0,65539	-2,62147
300	0,65539	-3,27683	0,6554	-2,62146
320	0,65539	-2,62146	3,9999999998486E-5	-1,9661
340	3,9999999998486E-5	-2,62146	3,9999999998486E-5	-1,9661
360	-0,65532	-2,62146	3,9999999998486E-5	-1,9661
380	-0,65532	-2,62147	-0,65532	-1,9661
400	-1,31069	-2,62146	-1,31068	-1,96609
420	-1,96605	-2,62146	2,62153	-0,65538
440	9,17522	-1,31074	9,17523	-0,65538
460	7,86449	-0,65537	7,20913	0
480	7,20912	-0,65536	7,86449	0
500	7,86447	0	7,86448	0,65537
520	7,86447	0,65537	7,86448	1,9661
540	5,24302	2,62148	-3,93211	4,58758
560	-5,24283	5,89831	-4,58745	7,20905
580	-5,24283	7,20905	-5,24282	8,51977
600	-5,24282	7,86441	-5,24281	8,51978
620	-5,24282	7,86442	-5,24281	8,51979
640	-5,24282	8,51978	-5,2428	9,83051
660	-5,24281	9,17514	-5,24281	9,83051
680	-5,24281	9,83051	-5,2428	11,14124
700	-5,89817	10,48587	-5,89816	11,14124
720	-5,24281	11,14124	-5,89816	11,79661
740	-5,89817	11,14123	-5,2428	11,7966
760	-5,24281	11,14123	-5,2428	11,79659
780	-5,24281	11,79659	-5,2428	12,45195
800	-5,24281	11,79659	-5,2428	13,10731
820	0,65549	11,79657	4,58772	13,76266
840	3,93235	13,1073	3,93234	13,76266
