T	LX	LY	RX	RY
0	0	0	0	0
20	-1,31072	0	-0,65535	-0,65536
40	-1,96608	-1,31072	-1,31072	-1,96608
60	-2,62144	-1,96608	-1,31072	-2,62144
80	-2,62146	-2,62144	-1,31074	-2,62145
100	-2,62147	-3,27681	-1,31075	-3,93217
120	-2,62148	-3,93217	-1,96612	-4,58754
140	-2,62149	-4,58753	-1,96613	-4,58754
160	-2,6215	-4,58754	-1,96613	-5,2429
180	-2,6215	-4,58754	-1,96614	-5,2429
200	-2,6215	-5,2429	-1,96613	-5,24291
220	-2,62149	-4,58754	-1,96613	-4,58754
240	-2,62149	-4,58754	-1,96612	-4,58755
260	-2,62149	-4,58754	-2,62148	-4,58755
280	-3,27684	-4,58755	-1,96612	-4,58755
300	-3,27684	-4,58754	-2,62147	-4,58755
320	-3,27684	-4,58755	-1,96611	-4,58756
340	0,65535999999999	-4,58755	1,9661	-4,58755
360	9,9999999960687E-6	-3,93219	0,65537	-3,27683
380	9,9999999960687E-6	-3,27683	1,31073	-3,9322
400	0,65537	-3,9322	1,31073	-4,58756
420	0,65537	-4,58756	1,9661	-5,24292
440	0,65537	-5,24292	1,9661	-5,24293
460	0,65537	-5,89828	1,9661	-5,89829
480	1,31073	-5,24292	1,9661	-5,89828
500	1,31074	-5,89828	1,96611	-5,89829
520	1,31074	-5,89828	1,96611	-5,24293
540	1,31075	-5,24292	1,96611	-5,24292
560	1,31075	-5,24292	1,96612	-5,24293
580	1,31076	-5,24292	1,96613	-4,58756
600	0,6554	-4,58756	1,96613	-4,58756
620	0,6554	-3,9322	1,96613	-3,9322
640	0,65541	-3,9322	1,96613	-3,9322
660	0,65541	-3,27684	1,31078	-3,27684
680	5,9999999997729E-5	-2,62147	1,31078	-3,27683
700	0,65542	-2,62147	1,31078	-2,62147
720	0,65541	-3,27683	1,31078	-3,27683
740	0,65541	-3,93219	1,31076	-3,27683
760	0,6554	-3,93219	1,31076	-3,93219
780	0,65539	-4,58755	1,31076	-4,58755
800	2,9999999995312E-5	-4,58755	1,31075	-4,58755
820	1,9661	-3,93218	10,48588	-4,58755
840	11,14127	-3,93218	10,48589	-3,27682
860	9,17517	-2,62146	9,83053	-3,27682
880	8,51981	-2,62146	9,83053	-3,27683
900	8,5198	-2,62146	9,83052	-3,27683
920	9,17516	-3,27682	9,83051	-3,27683
940	9,17515	-3,27682	9,83052	-3,27683
960	9,17515	-3,93219	9,83052	-3,93219
980	9,17515	-4,58754	9,83052	-5,24291
1000	9,17515	-5,24291	9,83052	-5,89827
1020	9,17516	-5,89827	9,83052	-6,55363
1040	9,17516	-6,55363	9,83052	-7,20899
1060	11,79662	-7,20899	13,76273	-6,55362
1080	12,45201	-6,55362	12,45202	-5,89827
1100	10,48594	-5,2429	10,48595	-4,58755
1120	9,17523	-3,93218	9,83059	-3,93219
1140	8,51987	-3,27682	8,51988	-2,62147
1160	6,5538	-2,62146	7,20917	-1,9661
1180	5,89845	-1,9661	6,55382	-1,9661
1200	5,24309	-1,31074	5,2431	-1,31074
1220	4,58774	-1,31073	5,2431	-1,31073
1240	3,93238	-0,65537	4,58774	-0,65537
1260	2,62166	-1,0000000003174E-5	3,27702	0,65535
1280	1,9663	1,31072	1,9663	1,31072
1300	3,9324	1,31072	8,51997	1,31072
1320	7,86462	1,96609	7,20926	2,62145
1340	5,89854	2,62145	5,89855	3,27681
1360	5,24318	3,27681	6,55391	2,62145
1380	5,24318	2,62145	5,89855	1,31073
1400	4,58783	1,31074	5,89855	9,9999999960687E-6
1420	5,24319	-0,65535000000001	7,20928	-1,31071
1440	5,24319	-2,62142	6,55394	-5,24286
1460	5,89859	-11,79644	7,8647	-21,62684
1480	15,07374	-34,73401	23,59353	-48,49655
1500	24,24891	-61,60372	24,24901	-71,43406
1520	22,28297	-72,08939	22,93835	-68,15719
1540	21,62763	-64,88038	22,93834	-63,56966
1560	21,62759	-60,29286	22,93829	-58,98215
1580	22,28292	-59,63751	22,28294	-62,25894
1600	19,00615	-63,56966	18,3508	-64,88038
1620	16,38471	-67,50181	16,38473	-70,77861
1640	13,76318	-74,71081	15,07368	-90,43947
1660	7,20933	-114,03242	-3,27633	-136,96998
1680	-9,17446	-148,11101	-8,51893	-157,94136
1700	-13,76174	-163,83956	-10,48485	-162,52883
1720	-6,55265	-152,04306	5,24393	-136,96982
1740	13,1083	-124,518	22,93867	-112,72159
1760	28,83684	-99,61446	-49,15104	-87,16271
1780	35,39033	-76,67699	38,01172	-66,84663
1800	38,01164	-58,32699	39,32231	-51,77342
1820	38,01154	-45,8752	38,66687	-41,2877
1840	38,01148	-37,35555	38,66683	-34,73412
1860	38,01145	-31,45733	38,01144	-28,8359
1880	36,7007	-26,86982	37,35607	-27,52519
1900	36,7007	-26,21446	37,35607	-25,55911
1920	36,04534	-24,90375	37,35607	-24,24839
1940	36,04534	-24,2484	42,59899	-24,90375
1960	51,77416	-24,90372	55,70639	-24,24835
1980	54,39566	-22,28227	53,08493	-19,66084
2000	51,77421	-18,35011	51,11885	-16,38404
2020	48,4974	-14,41795	48,49741	-13,76259
2040	45,87596	-11,79651	45,87597	-11,14115
2060	45,2206	-10,48579	45,2206	-9,17506
2080	43,25452	-7,86434	43,25453	-6,55362
2100	41,9438	-5,89824	42,59917	-5,89824
2120	41,28844	-5,89824	41,94381	-5,24288
2140	41,28844	-4,58751	42,59916	-5,24287
2160	41,94379	-4,5875	43,25452	-5,24286
2180	42,59915	-5,89822	47,84208	-6,55358
2200	49,80819	-6,55356	50,46355	-5,89821
2220	49,15281	-3,93212	49,80817	-3,93212
2240	49,15281	-3,93212	49,80817	-3,27676
2260	48,49745	-2,6214	49,15281	-2,62139
2280	48,49745	-1,31067	49,1528	-1,31068
2300	47,84207	-0,65531	49,15279	4,9999999994554E-5
2320	47,1867	0,65542	47,84205	1,96614
2340	46,53132	3,93223	46,53132	5,89832
2360	45,87595	7,8644	45,22058	10,48585
2380	43,25449	13,1073	43,25449	15,07338
2400	41,2884	17,03947	40,63305	19,00556
2420	44,56525	19,00559	55,70653	18,35024
2440	54,39584	20,31633	53,74047	20,9717
2460	51,77438	22,28242	52,42975	22,28242
2480	51,11903	22,93778	51,77439	23,59314
2500	51,11903	22,93779	51,77439	22,28243
2520	51,11903	22,93779	51,7744	22,28243
2540	-49,80641	22,28244	51,7744	22,28243
2560	50,46367	23,59316	51,11904	23,59316
2580	50,46367	23,59316	51,11904	23,59316
2600	49,80831	24,24852	50,46367	24,24852
2620	51,11903	22,9378	55,70661	22,93781
2640	55,05125	23,59317	55,05125	24,24896
2660	54,39589	24,24853	55,05125	24,24853
2680	53,74053	24,90388	55,05125	24,24852
2700	54,39588	23,59316	55,05126	23,59316
2720	54,39589	23,59316	55,05125	23,59316
2740	54,39589	24,24852	55,05125	23,59316
2760	53,74052	24,24852	54,39589	23,59316
2780	53,74052	24,24852	55,05124	24,24852
2800	53,74052	24,24852	54,39589	23,59316
2820	53,74052	23,59316	51,77441	22,28245
2840	33,42411	19,66103	7,20944	15,07353
2860	-18,34988	10,48602	-29,49116	7,86456
2880	-26,86974	9,8306	-23,59294	10,48597
2900	-26,2144	11,79669	-25,55903	11,79668
2920	-26,21441	13,10739	-25,55904	13,76275
2940	-26,86979	14,4181	-25,55907	14,41809
2960	-26,21446	14,41808	-25,55912	15,07343
2980	-26,86985	15,72879	-25,55914	15,07342
3000	-26,86988	15,07342	-25,55917	15,07341
3020	-26,21455	15,0734	-25,5592	15,0734
3040	-26,21457	15,72875	-25,55921	15,72875
3060	-26,86994	15,72876	-25,55922	15,72875
3080	-26,21458	15,72876	-25,55922	15,72928
3100	-26,21459	15,72875	-25,55922	15,72875
3120	-23,59313	15,07339	-17,03944	15,07339
3140	-15,7287	15,07339	-15,7287	15,07338
3160	-17,03942	15,07339	-15,72869	15,07339
3180	-16,38406	15,07339	-15,7287	14,41802
3200	-16,38406	14,41803	-15,72869	14,41802
3220	-16,38405	14,41803	-15,07332	14,41802
3240	-15,72868	13,76266	-14,41796	13,76266
3260	-15,72868	13,76266	-14,41794	13,1073
3280	-17,03941	13,10731	-17,03942	13,10731
3300	-17,03941	13,10731	-16,38405	13,10731
3320	-17,69477	12,45195	-16,38404	12,45194
3340	-15,07331	11,79658	-0,65526	9,83051
3360	9,83067	9,83051	11,14144	9,17515
3380	9,17534	9,8305	9,83071	9,17514
3400	9,17535	9,17514	10,48608	9,17514
3420	9,83071	9,17514	10,48608	8,51977
3440	9,83072	8,51977	11,14144	7,8644
3460	10,48608	7,8644	11,14144	7,86439
3480	10,48607	8,51975	11,7968	7,86439
3500	10,48608	7,86439	11,79681	7,86439
3520	11,14145	7,86439	12,45217	7,20903
3540	11,14145	7,20903	12,45218	6,55367
3560	11,79682	6,55367	12,45219	6,55367
3580	11,79682	5,89832	13,10755	5,89831
3600	12,45219	5,89832	13,10756	5,89831
3620	12,4522	5,89831	13,10757	5,24295
3640	12,45221	5,24296	13,10758	4,58759
3660	12,45221	3,93223	13,10758	3,93222
3680	12,45222	4,58759	13,10759	4,58758
3700	12,45222	5,24295	15,07368	4,58759
3720	17,69515	4,58759	17,69516	4,58759
3740	17,03979	5,24295	17,69515	5,24294
3760	17,03978	4,58758	17,69514	4,58758
3780	17,03978	3,93222	17,69513	3,27685
3800	22,93806	3,27686	30,80248	3,93223
3820	30,14715	3,93223	30,14714	3,93223
3840	29,49177	4,58759	30,14714	3,93223
3860	29,49177	3,93222	30,14713	4,58758
3880	29,49176	4,58758	29,49176	4,58758
3900	28,83639	4,58758	29,49176	3,93221
3920	28,83639	3,93222	29,49175	3,93221
3940	28,18102	4,58758	28,83639	4,58757
3960	28,18102	4,58758	29,49175	3,93222
3980	28,18102	4,58758	30,80247	3,93222
4000	40,63298	3,27688	49,80815	2,62153
4020	49,15281	2,62153	48,49745	3,27688
4040	47,84208	3,27689	48,49745	3,93224
4060	47,84208	3,93224	48,49744	3,93224
4080	47,18671	5,24296	47,18672	4,5876
4100	47,18671	4,5876	47,84207	4,5876
4120	47,18671	4,5876	48,49743	4,5876
4140	47,1867	4,5876	47,84206	3,93223
4160	46,53132	3,93223	47,18668	3,27687
4180	45,87595	1,96615	45,87594	0,65543
4200	45,22057	-0,65529	45,87592	-2,62138
4220	44,56519	-3,93209	45,22054	-4,58746
4240	45,22052	-5,89817	53,74029	-7,86425
4260	55,05104	-7,86424	54,39567	-7,86424
4280	52,42957	-7,86424	53,08492	-7,20888
4300	51,77419	-6,55352	52,42955	-5,89816
4320	51,11882	-5,89816	51,77419	-5,89816
4340	50,46346	-5,24279	51,11883	-5,24279
4360	50,46346	-4,58743	51,11882	-5,2428
4380	49,8081	-4,58744	50,46347	-4,58744
4400	49,15274	-4,58744	50,46347	-5,2428
4420	49,8081	-5,2428	50,46347	-5,89816
4440	50,46347	-5,89816	54,39567	-7,20887
4460	54,39567	-6,5535	54,39567	-5,24278
4480	53,74029	-5,24278	55,05101	-5,89814
4500	54,39564	-6,5535	55,051	-6,55351
4520	54,39563	-6,5535	55,05099	-7,20886
4540	54,39562	-6,5535	55,05098	-7,86423
4560	47,18658	-9,83027	23,5934	-15,07308
4580	-7,20881	-20,97128	-27,5252	-25,55878
4600	-32,1128	-29,49098	-25,55916	-27,52494
4620	-26,21454	-26,21422	-26,21455	-24,90351
4640	-26,86992	-24,24816	-26,86993	-23,59281
4660	-27,5253	-22,93745	-26,86995	-22,93746
4680	-27,52532	-22,2821	-26,21461	-22,2821
4700	-26,86998	-22,2821	-26,21463	-22,93746
4720	-26,87	-22,93745	-26,21465	-23,5928
4740	-28,18075	-22,93743	-26,87004	-22,93741
4760	-25,55932	-22,9374	-18,35029	-23,59275
4780	-17,69492	-22,93737	-17,69493	-21,62664
4800	-19,00566	-21,62662	-18,35031	-21,62662
4820	-19,66104	-21,62662	-19,00567	-20,97126
4840	-20,3164	-20,97126	-19,00568	-20,3159
4860	-19,66105	-20,3159	-19,00569	-20,31591
4880	-19,66106	-19,66054	-19,00568	-20,3159
4900	-19,66105	-20,3159	-19,00569	-19,66054
4920	-19,66105	-19,66054	-19,00314	-19,66054
4940	-19,66106	-19,00518	-19,00569	-19,66054
4960	-17,0396	-19,66055	-10,48593	-19,66055
4980	-9,83054	-19,66055	-9,83054	-19,0052
5000	-10,4859	-19,0052	-9,83053	-19,00521
5020	-10,48589	-19,00522	-9,17517	-19,66059
5040	-9,83053	-19,66059	-8,5198	-19,6606
5060	-9,17516	-19,6606	-7,86443	-19,6606
5080	-8,51979	-19,66061	-7,86442	-19,66061
5100	-8,51979	-19,6606	-3,27685	-20,97133
5120	-0,65537	-20,97133	0	-20,31598
5140	-1,31073	-20,31597	-0,65535999999999	-20,31598
5160	-1,31073	-20,31598	-0,65535999999999	-20,31599
5180	-1,96609	-19,66063	-1,31072	-20,31599
5200	-1,96609	-19,66063	-1,96609	-20,31599
5220	-1,9661	-20,31599	-1,31074	-19,66063
5240	-2,62146	-19,66063	-1,31073	-20,31599
5260	-2,62145	-19,66063	-1,31072	-20,316
5280	-0,65537	-20,316	10,48587	-20,97136
5300	17,03958	-20,97136	20,31643	-21,62672
5320	18,35035	-20,316	19,00571	-20,316
5340	17,69498	-20,31601	19,0057	-20,97138
5360	17,69498	-20,97138	18,35034	-20,97138
5380	17,03961	-20,31602	17,69498	-20,31603
5400	17,03961	-20,31603	18,35034	-20,31604
5420	17,03961	-20,9714	17,69497	-20,97141
5440	17,03961	-20,9714	17,69498	-20,97142
5460	17,03961	-20,97141	17,69497	-20,97142
5480	17,0396	-20,97141	18,35032	-20,97142
5500	17,0396	-20,97141	18,35032	-20,97142
5520	17,03959	-21,62677	18,35031	-21,62678
5540	17,69495	-21,62678	18,35031	-21,62678
5560	17,69494	-21,62678	19,00567	-22,28215
5580	20,97177	-22,28215	23,59324	-22,28215
5600	22,28252	-22,28215	22,93789	-21,62679
5620	22,28253	-21,62679	22,9379	-21,6268
5640	22,28253	-21,6268	22,9379	-22,28217
5660	22,28254	-22,28216	22,93791	-22,28217
5680	22,93791	-22,28217	22,93792	-22,93753
5700	22,28255	-22,93753	23,59328	-23,5929
5720	22,28255	-22,93753	22,93792	-22,93754
5740	22,28255	-23,5929	23,59329	-23,5929
5760	20,97184	-24,24825	19,6611	-24,90361
5780	18,35037	-24,24825	19,66109	-24,24826
5800	19,00572	-24,24825	19,66108	-24,90362
5820	19,00571	-24,90362	19,66107	-25,55898
5840	19,0057	-26,21434	19,66107	-26,86971
5860	19,00569	-26,8697	20,31641	-26,8697
5880	19,66105	-27,52506	20,3164	-27,52507
5900	20,31641	-28,18043	31,45763	-28,83578
5920	39,32205	-28,83577	43,90962	-28,83576
5940	41,94354	-28,83577	41,94354	-28,83577
5960	41,28817	-28,18041	42,59889	-28,18042
5980	41,28816	-28,18042	41,94352	-27,52507
6000	40,63279	-27,52506	41,28816	-27,52507
6020	39,97742	-27,52507	40,63279	-27,52507
6040	39,32206	-26,86971	39,97742	-26,86972
6060	38,66669	-26,86971	39,97741	-26,86971
6080	39,32204	-26,86972	39,32204	-26,86972
6100	38,66667	-26,21436	39,32204	-26,21436
6120	38,01131	-26,21435	38,66667	-26,86972
6140	38,0113	-26,86972	39,97739	-28,18044
6160	47,84179	-28,83579	57,01696	-28,83577
6180	57,67236	-28,83576	57,017	-28,18041
6200	56,36163	-26,86969	57,017	-27,52506
6220	56,36163	-27,52506	57,017	-28,83578
6240	56,36164	-30,14651	57,67237	-31,45724
6260	57,017	-31,45724	57,67237	-32,1126
6280	57,017	-32,1126	57,67237	-32,76797
6300	56,36419	-32,76796	57,017	-32,76797
6320	55,70628	-32,1126	56,36163	-32,1126
6340	55,05091	-31,45724	55,70627	-30,80188
6360	54,39554	-30,80188	55,05091	-30,80188
6380	54,39554	-30,14652	55,70627	-30,80188
6400	54,39554	-30,14652	55,05091	-29,49116
6420	54,39554	-29,49116	55,05091	-30,80188
6440	58,32773	-31,45724	67,50289	-32,11257
6460	70,12439	-30,80183	70,12439	-30,14648
6480	68,81366	-29,49112	68,81366	-28,83576
6500	68,1583	-28,83576	69,46902	-28,1804
6520	68,1583	-28,1804	68,81366	-28,18041
6540	68,15829	-27,52505	68,81365	-27,52505
6560	68,15828	-26,86969	68,81364	-26,86969
6580	67,50291	-26,21433	68,81364	-26,21433
6600	67,50291	-26,21433	68,15827	-25,55898
6620	67,50291	-24,90361	68,15828	-25,55898
6640	67,50291	-24,90362	69,46899	-24,24826
6660	65,5368	-26,21433	47,84192	-32,11252
6680	17,03974	-38,66606	-7,20882	-43,25355
6700	-18,35007	-44,5643	-12,45182	-43,25363
6720	-11,79648	-41,9429	-11,79648	-41,94292
6740	-12,45185	-41,28757	-11,7965	-41,28758
6760	-13,10723	-40,63223	-11,79651	-40,63224
6780	-13,10725	-39,97687	-12,45189	-39,97688
6800	-13,10726	-39,32153	-12,4519	-39,32153
6820	-13,10727	-39,32153	-12,45191	-39,32154
6840	-13,10728	-39,32154	-11,79657	-39,32155
6860	-12,45193	-39,32155	-11,79657	-39,32156
6880	-11,79659	-38,6662	-11,14123	-38,6662
6900	-11,7966	-38,66621	-11,14125	-38,66621
6920	-12,45199	-39,32156	-12,452	-39,97692
6940	-13,10737	-39,97693	-12,452	-39,97693
6960	-13,10738	-39,97692	-12,45201	-39,97693
6980	-13,10738	-39,97693	-12,45202	-39,97694
7000	-13,76275	-39,97693	-12,45202	-39,97694
7020	-13,76275	-39,32157	-12,45202	-39,32158
7040	-13,76275	-39,32157	-12,45202	-39,32158
7060	-13,76275	-39,32157	-12,45202	-38,66622
7080	-13,76274	-38,66622	-12,45201	-38,66622
7100	-14,41811	-38,66621	-14,41811	-39,32158
7120	-14,41811	-38,66622	-13,10738	-38,66622
7140	-14,41811	-38,66622	-13,10738	-38,01086
7160	-14,41811	-38,01086	-13,10738	-38,01086
7180	-13,76275	-38,01087	-13,10738	-38,66623
7200	-13,76274	-38,01086	-12,45202	-38,66623
7220	-13,76274	-38,01086	-13,10737	-38,66623
7240	-13,76274	-38,01086	-13,10737	-38,66622
7260	-12,45201	-38,66623	-3,27688	-38,66623
7280	-1,0000000003174E-5	-38,66622	1,31072	-39,97694
7300	-1,0000000003174E-5	-39,32159	1,31072	-39,32159
7320	-2,0000000006348E-5	-38,66623	0,65534	-39,3216
7340	-3,0000000002417E-5	-38,66624	-1,9999999999243E-5	-38,66624
7360	-0,6554	-38,66624	-2,9999999995312E-5	-38,66625
7380	-0,6554	-38,66624	-3,9999999998486E-5	-38,66625
7400	-0,65541	-38,66625	-5,000000000166E-5	-39,32161
7420	-1,31077	-39,32161	-0,65541	-39,32162
7440	-1,31078	-39,32162	-0,65541	-39,97698
7460	-1,31078	-39,97698	-5,000000000166E-5	-40,63234
7480	7,86434	-40,63235	15,72877	-40,63234
7500	17,03952	-40,63233	16,38417	-40,63234
7520	15,07344	-39,97698	16,38416	-39,97698
7540	15,07343	-39,97698	16,38416	-40,63235
7560	15,07343	-39,97698	15,72879	-40,63235
7580	15,07342	-40,63234	15,72879	-40,63235
7600	14,41806	-40,63234	15,07342	-40,63234
7620	13,10734	-39,97697	14,41807	-39,32161
7640	13,10734	-39,3216	13,76271	-38,66624
7660	12,45198	-38,01087	13,10735	-38,66622
7680	12,45198	-38,66622	13,10735	-38,66621
7700	12,45198	-38,66621	13,10735	-39,32157
7720	11,79662	-38,6662	12,45199	-39,32156
7740	11,79662	-39,32155	12,45199	-39,97691
7760	17,69491	-39,9769	31,45763	-39,97689
