T	LX	LY	RX	RY
0	0	0	0	0
20	0	-1,0000000003174E-5	-0,65535	0,65535999999999
40	1,0000000003174E-5	-1,0000000003174E-5	-0,65535	0
60	1,0000000003174E-5	-1,0000000003174E-5	-0,65535	0,65535999999999
80	0	-1,0000000003174E-5	1,0000000003174E-5	0,65535999999999
100	1,31072	-1,0000000003174E-5	1,31072	9,9999999960687E-6
120	1,96608	-0,65536	1,96608	-0,65535000000001
140	2,62143	-0,65535	1,96607	-0,65534
160	2,62144	-1,31071	2,62144	1,9999999999243E-5
180	3,93216	-0,65534	2,62144	2,9999999995312E-5
200	3,93216	1,9999999999243E-5	3,2768	1,9999999999243E-5
220	3,93216	1,9999999999243E-5	3,2768	1,9999999999243E-5
240	3,93216	1,9999999999243E-5	3,27681	1,9999999999243E-5
260	3,93217	1,9999999999243E-5	3,27681	0,65539
280	3,93217	1,9999999999243E-5	3,93217	0,65539
300	3,93216	0,65538	3,27681	1,31075
320	3,93217	0,65538	3,2768	1,31075
340	4,58753	0,65538	3,93216	1,96611
360	4,58751	1,31074	3,93215	1,96611
380	4,58751	1,31075	3,93216	2,62147
400	4,5875	1,9661	3,93215	1,96611
420	4,58752	1,9661	3,93216	2,62147
440	4,58752	2,62146	3,93216	3,27683
460	4,58752	2,62147	3,2768	3,27683
480	3,93216	3,27682	3,2768	3,93219
500	3,93216	3,27682	2,62144	3,93219
520	3,93216	3,27683	3,2768	3,93219
540	3,93216	3,27682	3,2768	3,93219
560	3,27679	3,93218	2,62143	3,93219
580	3,2768	3,93218	2,62144	4,58754
600	3,27679	3,93218	2,62143	5,2429
620	3,2768	4,58753	1,96608	5,89826
640	2,62143	5,2429	1,96606	5,24291
660	2,62141	5,24291	1,96604	5,24292
680	2,6214	5,24292	1,96603	5,24293
700	2,62139	4,58756	1,96604	5,24292
720	2,6214	4,58755	1,31069	5,24292
740	1,96605	3,93219	1,31069	3,93219
760	1,96605	2,62145	1,31068	1,9661
780	1,96603	1,9999999999243E-5	1,31066	0,65538
800	1,96602	1,0000000003174E-5	1,31067	0,65538
820	1,96604	0,65537	0,65532	1,31073
840	1,31069	1,31073	0,65533	1,31073
860	1,31069	0,65536	0,65533	1,96609
880	1,31069	1,31072	-1,9999999999243E-5	1,96608
900	-1,9999999999243E-5	1,96607	-0,65538	2,62144
920	-1,9999999999243E-5	2,62142	-0,65537	2,62143
940	-1,9999999999243E-5	2,62142	-1,9999999999243E-5	2,62143
960	0,65534	1,96606	0,65534	2,62143
980	1,96606	1,96607	1,31069	1,96608
1000	2,62141	1,31072	1,96605	1,96609
1020	3,27677	47,18592	2,62141	1,96609
1040	3,27677	1,96609	3,27677	1,9661
1060	3,27677	1,96609	2,62141	2,62145
1080	3,93212	1,96609	3,27677	2,62145
1100	3,27677	1,96609	3,27677	2,62145
1120	3,93212	1,96609	3,27676	2,62146
1140	3,93212	1,96609	3,27676	2,62146
1160	3,93467	1,9661	3,27676	2,62146
1180	3,93212	2,62146	2,6214	2,62146
1200	3,93212	2,62146	3,27676	2,62146
1220	3,27676	2,62146	2,6214	3,27682
1240	2,6214	2,62146	2,62139	3,27683
1260	2,62139	3,27682	1,96603	3,27683
1280	1,96602	3,27682	1,31066	3,93219
1300	5,24287	3,93218	7,20901	4,58755
1320	7,209	4,58754	5,89828	5,24291
