T	LX	LY	RX	RY
0	0	0	0	0
20	0	-1,0000000003174E-5	0,65535	-1,31074
40	-2,0000000006348E-5	-1,96613	0,65534	-2,62149
60	-2,0000000006348E-5	-2,6215	1,3107	-5,24296
80	1,3107	-7,20907	1,31069	-9,17517
100	1,31069	-9,83054	1,96606	-10,48589
120	0,65534	-10,48589	1,96606	-10,48588
140	0,65534	-10,48587	1,96606	-10,48587
160	1,3107	-9,8305	1,96606	-9,83051
180	1,96606	-9,17515	2,62142	-9,17516
200	1,96606	-8,51979	3,27678	-8,5198
220	2,62142	-7,86444	3,27678	-7,86445
240	2,62142	-8,51982	2,62141	-10,48594
260	2,6214	-11,14132	3,27676	-11,79668
280	2,6214	-11,79668	2,6214	-11,79668
300	1,96604	-12,45204	2,62139	-13,76277
320	1,96603	-14,41815	2,62138	-15,07353
340	1,96602	-14,41816	1,96603	-13,76279
360	1,96603	-13,76278	1,96603	-13,10742
380	1,31066	-13,76278	1,96602	-14,41816
400	1,31065	-17,03963	0,65527	-29,49158
420	-7,8643	-65,53672	-19,00512	-137,62709
440	-28,83492	-237,89824	-20,96966	-281,80824
460	-24,24548	-281,80834	-39,97454	-281,80784
480	-42,59653	-281,80733	-41,28588	-281,80754
500	-13,76021	-281,80795	3,27939	-281,80807
520	3,93446	-281,80796	4,58917	-271,32192
540	3,27766	-242,48578	0,6558	-212,99428
560	-4,58735	-186,12424	-6,55357	-161,2203
580	-9,1751	-138,28244	-8,51978	-118,62142
600	-7,86446	-102,23723	-6,55377	-87,81916
620	-5,89841	-75,36718	-4,5877	-66,19201
640	-4,5877	-57,67223	-3,27697	-52,42928
660	-3,27697	-46,53099	-2,6216	-42,59879
680	-2,6216	-38,6666	-1,96623	-34,7344
700	-1,96622	-32,11293	-1,31086	-30,14683
720	-1,31086	-28,18074	-0,00014999999999787	-28,83612
740	-0,65551	-28,83613	-0,00016000000000105	-29,49151
760	-0,00016000000000105	-29,49151	0,65519	-28,83615
780	-0,00017000000000422	-27,52542	1,31054	-26,87007
800	0,65517999999999	-24,90397	0,65516	-22,93788
820	-0,00019999999999953	-20,97179	0,65516	-19,0057
840	-0,00021000000000271	-17,69497	0,65514	-17,0396
860	-0,00023000000000195	-15,72888	-0,00023000000000195	-15,72888
880	-0,65559	-15,72888	-0,00023000000000195	-15,72888
900	-0,65559	-15,07352	-0,00023000000000195	-15,0735
920	-0,65558	-14,41813	-0,00021000000000271	-14,41812
940	-0,00019999999999953	-13,76276	1,31053	-13,76274
960	-0,00017000000000422	-12,452	1,31056	-11,79662
980	1,31057	-10,48588	2,6213	-9,8305
1000	1,96596	-9,17513	2,62133	-8,51976
1020	2,62133	-7,20903	3,2767	-7,20903
1040	2,62134	-5,89831	3,2767	-5,89831
1060	1,96597	-5,89832	2,62133	-5,24297
1080	1,3106	-3,93224	2,62132	-4,5876
1100	1,3106	-3,93225	1,96596	-3,93225
1120	1,31061	-3,93225	1,96597	-5,24298
1140	9,83038	-3,93227	23,5932	-3,93227
1160	25,55937	-2,62155	24,24863	-1,31082
1180	23,59327	1,31065	24,24864	1,96601
1200	23,59329	2,62139	24,24865	3,27675
1220	23,59328	3,93211	24,24865	3,93212
1240	23,59329	3,93212	23,59329	3,93212
1260	22,93792	3,93212	23,59328	3,93212
1280	22,93793	3,93212	23,59328	3,93212
1300	22,28256	4,58748	22,93792	4,58747
1320	22,28256	4,58747	23,59327	3,93209
1340	22,28256	4,58746	23,59327	3,93208
1360	22,28255	3,93207	20,31643	2,62135
1380	19,66107	2,62136	20,97181	3,27672
1400	20,97182	4,58746	21,62718	5,24283
1420	20,97182	4,58746	22,28254	4,58746
