T	LX	LY	RX	RY
0	0	0	0	0
20	-9,9999999960687E-6	0	-0,65536	0
40	-9,9999999960687E-6	-9,9999999960687E-6	-0,65537	-0,65536
60	-0,65537	-9,9999999960687E-6	-1,0000000003174E-5	0
80	-0,65537	0,65536	-0,65536	0
100	-9,9999999960687E-6	1,31072	-0,65536	0,65536
120	-0,65537	1,31073	-0,65536	0,65537
140	-0,65537	1,31072	-1,31073	1,31073
160	-1,31073	1,96609	-1,31072	1,31073
180	-1,31073	1,96609	-1,96609	1,31074
200	-1,31073	1,9661	-1,31073	1,31074
220	-1,31074	1,96609	-1,31073	1,31073
240	-0,65537	1,96609	-0,65536	1,9661
260	-9,9999999960687E-6	1,96609	0	1,31073
280	-9,9999999960687E-6	1,96609	-1,0000000003174E-5	1,31073
300	-9,9999999960687E-6	1,96609	0	1,96609
320	-1,9999999999243E-5	2,62145	0	1,96609
340	-9,9999999960687E-6	2,62145	0,65535999999999	1,96609
360	0,65536	2,62145	0,65535999999999	1,96609
380	0,65535	1,96609	1,31073	1,96609
400	0,65535	2,62145	-2,62147	2,62146
420	-7,86443	3,93219	-8,5198	3,93219
440	-7,86443	5,24291	-7,86443	4,58755
460	-8,51979	3,93219	-8,51978	3,27682
480	-7,86444	3,27682	-7,86442	3,27681
500	-7,86443	3,27681	-7,86443	3,27681
520	-7,86443	3,27681	-7,86442	2,62145
540	-7,86443	3,27681	-8,51978	2,62145
560	-7,86444	3,27681	-7,86442	2,62146
580	-7,86443	3,27681	-7,86442	2,62145
600	-7,86443	3,2768	-7,86441	2,62145
620	-7,86443	3,27681	-7,86441	3,2768
640	-7,86442	3,2768	-7,86442	2,62144
660	-7,86443	3,27679	-7,86442	2,62143
680	-7,86443	2,62143	-7,86443	2,62143
700	-8,51979	3,27679	-8,51978	1,96607
720	-8,5198	2,62142	-8,51979	2,62143
740	-8,5198	3,27746	-8,51979	2,62143
760	-9,17516	3,27678	-9,17515	2,62142
780	-9,17516	3,27679	-9,17515	1,96606
800	-9,17516	2,62142	-9,17515	1,96606
820	-9,17516	2,62142	-9,83051	1,96606
840	-9,83052	2,62142	-9,83051	1,96606
860	-10,48588	1,96606	-9,83051	1,96606
880	-5,24293	3,2768	-1,96607	3,27682
900	-2,62143	3,93218	-2,62143	3,27683
920	-3,2768	3,93218	-3,27679	3,93218
940	-3,2768	3,27682	-3,27679	2,62146
960	-3,27681	3,27682	-2,62144	2,62146
980	-2,62144	3,27682	-2,62144	2,62146
1000	-1,96609	2,62145	-1,96608	1,96609
1020	-1,96609	2,62145	-1,96608	2,62146
1040	-1,96608	3,27682	-1,96608	2,62146
1060	-1,96608	3,27682	-1,31072	2,62146
1080	-1,96609	3,27682	-1,31072	2,62146
1100	-1,31072	3,27682	-1,31072	3,27683
1120	-1,31072	3,93219	-1,31071	3,27684
1140	-1,31073	3,9322	-1,31072	3,27683
1160	-1,31073	3,9322	-1,31072	4,58756
1180	-1,31073	4,58756	-1,31073	4,58756
1200	-1,31074	5,24292	-1,31073	4,58757
1220	-1,31074	5,24293	-1,31073	4,58757
1240	-1,31074	4,58757	-1,31073	4,58757
1260	-1,31074	5,24293	-1,31073	4,58757
1280	-1,31074	4,58757	-1,31073	4,58757
1300	-1,31074	4,58758	-1,31073	3,93222
1320	-1,31074	3,93221	-1,31073	3,93221
1340	4,58757	4,58758	9,83056	4,58759
1360	10,48594	5,24296	9,83058	5,24297
1380	9,83057	5,24296	9,83058	5,24296
1400	9,83057	5,24296	9,17522	5,24297
1420	9,83057	5,89833	9,17522	5,24297
1440	9,17521	5,24297	9,17522	5,24297
1460	8,51985	5,89833	8,51986	5,89834
1480	8,51985	6,5537	7,8645	5,89834
1500	7,86449	6,5537	7,8645	5,89834
1520	7,86449	6,5537	7,8645	6,55371
1540	7,86449	7,20907	7,20914	6,55372
1560	7,20914	7,20907	7,20915	6,55372
1580	7,20914	7,20908	7,20915	7,20908
1600	7,20914	7,20908	6,55379	7,86445
1620	6,55378	8,51981	6,55379	7,86446
1640	5,89842	8,51982	5,89843	8,51982
1660	5,24306	9,17518	6,55379	9,17518
1680	11,14138	9,83054	14,41826	9,83055
1700	13,7629	11,14128	13,7629	10,48592
1720	13,76289	11,14128	13,76289	9,83056
1740	13,76288	10,48591	13,7629	10,48592
1760	14,41825	10,48592	15,07362	10,48592
1780	15,07362	10,48591	15,72898	10,48592
1800	15,72898	11,14128	15,729	11,14128
1820	16,38435	11,79664	16,38436	11,14128
1840	15,729	11,79664	16,38437	10,48591
1860	17,69509	11,14127	22,28271	11,14128
1880	24,24882	11,14129	24,24882	11,79666
1900	24,24881	11,79666	24,24882	11,1413
1920	24,24881	11,79666	24,24882	11,1413
1940	24,90417	11,1413	24,90417	11,1413
1960	24,90417	11,1413	24,90417	11,1413
