T	LX	LY	RX	RY
0	0	0	0	0
20	-9,9999999960687E-6	-9,9999999960687E-6	0	0
40	-0,65537	-9,9999999960687E-6	-0,65537	0
60	-0,65537	-9,9999999960687E-6	0	0
80	-0,65537	-9,9999999960687E-6	-0,65536	-0,65536
100	-1,31073	0	-0,65537	0
120	-0,65538	-9,9999999960687E-6	-0,65537	0
140	-0,65538	-9,9999999960687E-6	-0,65537	-0,65536
160	-1,31074	-0,65537	-1,31073	-0,65536
180	-1,31074	-0,65537	-1,31074	-0,65537
200	-1,31074	-1,31073	-1,9661	-0,65537
220	-1,9661	-1,31074	-1,96609	-1,31073
240	-1,9661	-1,31074	-2,62146	-0,65537
260	-2,62147	-0,65537999999999	-2,62146	-0,65537
280	-2,62147	-0,65537999999999	-2,62146	-0,65537
300	-3,27682	-0,65537999999999	-2,62145	-0,65537
320	-3,27682	-0,65537999999999	-3,27682	-1,0000000003174E-5
340	-3,27682	-0,65537999999999	-3,27681	-1,0000000003174E-5
360	-3,27682	-0,65539	-3,27681	-0,65538
380	-3,27682	-0,65539	-3,27681	-0,65538
400	-3,27682	-0,65537999999999	-3,27681	-0,65538
420	-3,27681	-1,31075	9,17516	1,31072
440	20,97184	1,9661	17,69503	1,31074
460	16,3843	1,9661	16,3843	1,31075
480	16,3843	1,9661	15,72894	1,96611
500	15,72893	1,9661	15,72894	1,96611
520	15,72893	1,31073	15,07358	1,31075
540	15,72893	1,31073	15,72893	0,65538
560	15,72893	0,65537	16,38428	1,9999999999243E-5
580	16,38428	-0,65535	16,38428	-0,65535
600	16,38427	-0,65535	16,38427	-0,65535
620	16,38426	-0,65535999999999	16,38427	-1,31071
640	16,38426	-1,31072	17,03963	-1,31071
660	17,03962	-1,31072	17,03963	-1,96608
680	17,03962	-1,31072	17,03962	-1,96608
700	17,03961	-1,96609	17,03962	-2,62144
720	17,69498	-1,96609	28,18087	-1,96607
740	33,42384	-1,96608	31,45775	-2,62144
760	30,80238	-1,96608	30,80238	-1,96608
780	30,80237	-1,96608	30,80238	-1,96607
800	30,80237	-2,62145	30,80238	-2,62144
820	30,80237	-2,62145	31,45773	-2,62144
840	31,45772	-1,31073	32,11308	0
860	32,76843	1,96607	33,42381	41,94303
880	33,4238	4,5875	34,73452	5,24287
900	34,73451	5,24286	35,38988	5,24287
920	34,73452	5,24286	34,07917	4,5875
940	34,73453	5,24286	54,39557	7,209
960	67,50299	6,55367	65,53692	5,8983
980	63,57082	5,24294	63,57084	4,58759
1000	63,57083	4,58758	62,91548	3,93223
1020	62,91547	3,27686	62,91548	3,27687
1040	62,26011	2,6215	62,26012	3,27687
1060	62,26012	2,6215	62,26013	2,62151
1080	62,26012	3,27686	62,26013	3,27686
1100	62,26012	3,93222	61,60477	3,93223
1120	61,60477	3,93223	62,26014	3,93223
1140	62,26013	3,93222	61,60478	4,58759
1160	62,26013	5,24295	62,26015	5,24296
1180	62,9155	6,55367	62,91551	6,55368
