T	LX	LY	RX	RY
0	0	0	0	0
20	1,9999999992137E-5	-0,65537	-1,0000000003174E-5	-0,65535999999999
40	-0,65536	-0,65538	-1,0000000003174E-5	-0,65538
60	6,55365	-2,62153	17,03959	-3,93229
80	22,28258	-4,58769	22,28257	-2,62158
100	21,62721	-1,96621	22,2826	-1,96621
120	22,2826	-1,96622	22,28256	-1,31086
140	22,28256	-1,96622	22,93792	-1,31086
160	22,93795	-1,96622	22,93791	-0,65549
180	22,93794	-1,31086	22,93791	-0,6555
200	22,93793	-1,31087	22,9379	-0,6555
220	22,93791	-0,6555	22,9379	-0,65549
240	22,9379	-0,65551	22,9379	0,65522
260	22,9379	-0,00014000000000181	22,93793	0,65523
280	22,93789	0,65523	22,9379	1,3106
300	22,93789	1,31059	22,9379	2,62133
320	22,28254	1,96597	22,28253	2,62134
340	22,28256	2,62134	22,28255	3,93207
360	21,62718	3,27671	22,28253	4,58744
380	21,62717	3,93207	20,97182	5,2428
400	21,62721	4,58745	21,62718	5,24281
420	21,6272	4,58745	21,62716	5,24282
440	21,62719	4,58746	21,62715	5,89819
460	21,62715	5,24283	21,62717	5,8982
480	21,62715	5,24284	20,97178	5,89822
500	20,97179	5,24285	20,97181	5,89821
520	20,97178	5,24285	19,66104	5,24288
540	7,86445	4,58758	-4,58753	5,8984
560	-5,89827	7,20915	-5,2429	9,17527
580	-5,24289	9,17527	-5,24287	9,83064
600	-5,2429	9,83064	-5,24287	10,486
620	-5,2429	10,486	-5,24291	11,14137
640	-5,2429	10,48601	-5,24291	11,14138
660	-5,24291	10,48601	-5,2429	11,14137
680	-5,24288	10,486	-5,24288	11,14137
700	-5,24292	10,486	-5,24291	11,14137
720	-5,24292	11,14136	-5,24293	11,14138
740	-5,24292	10,486	-5,24292	11,79673
760	-5,24292	10,486	-5,24292	11,14136
780	-5,24292	10,48599	-5,24292	11,14136
800	-5,24292	10,48599	-5,89829	10,48599
820	-5,89828	9,83061	-5,89828	10,48598
840	-5,89828	10,48598	-5,89829	10,48598
860	-5,89828	10,48597	-6,55362	10,48598
880	-5,89829	10,48597	-6,55366	10,48597
900	-6,55365	9,8306	-5,89829	9,8306
920	1,0000000003174E-5	7,86447	11,14131	7,20907
940	14,41818	5,24291	14,41819	7,20902
960	13,76281	6,55366	14,41817	7,20902
980	13,76283	7,20901	13,7628	7,86437
1000	14,41816	7,20901	14,41819	7,86436
1020	13,76283	7,209	13,76279	7,86436
1040	13,76279	7,20899	13,76279	7,86436
1060	13,76281	7,20899	13,76279	7,86435
1080	13,76279	7,20898	13,76279	7,86435
1100	13,76279	7,86435	13,76281	7,86435
1120	13,10745	7,86433	13,10742	7,86434
1140	13,76281	7,86434	13,10745	7,20898
1160	13,10742	7,20897	13,10743	7,86434
1180	13,76278	6,5536	20,97184	5,24285
1200	31,45778	3,27675	34,07928	4,58748
1220	33,42391	3,93213	33,42389	4,58749
1240	33,4239	4,58749	33,42389	5,24286
1260	33,42389	4,5875	33,42389	5,24286
1280	34,07925	4,58749	34,07924	5,24287
1300	34,07924	5,24286	34,07923	5,24286
1320	34,73458	5,24286	34,07926	5,24287
1340	34,07923	5,24286	34,73459	5,89823
1360	34,73458	5,24287	34,07922	5,89823
1380	36,04531	4,5875	41,94368	4,58752
1400	45,22055	3,93212	44,56519	4,5875
1420	43,90983	4,5875	44,56519	5,24286
1440	44,56518	3,93213	44,56518	5,24286
1460	44,56519	4,58749	44,56519	4,58749
1480	45,22054	4,58749	44,56518	4,58749
1500	44,56518	4,58749	44,5652	5,24286
1520	45,22054	4,58749	44,56517	5,24285
1540	44,56517	4,58749	44,5652	4,58748
1560	44,56518	4,58748	44,56517	4,58749
1580	45,22053	3,93212	45,22053	4,58748
1600	45,22054	4,58747	44,56518	4,58748
1620	45,22054	3,9321	45,87591	3,9321
1640	52,42962	1,96598	57,01728	1,96596
1660	57,01728	1,96598	57,01727	2,62134
1680	57,67264	2,62134	57,67266	3,2767
1700	57,67264	2,62133	57,67265	3,2767
1720	57,67265	2,62133	58,32802	2,62133
1740	58,32804	2,62132	58,32802	2,62132
1760	58,32802	1,96596	58,98339	2,62131
1780	58,32803	1,96594	58,32803	2,62131
1800	58,32802	1,96594	58,98339	2,6213
